Sample,X,Y,Z
0,-0.1316,-0.0115,0.9426
1,-0.0618,0.0017,0.9819
2,0.0183,-0.0581,0.9868
3,0.0911,-0.0735,0.9858
4,0.1299,-0.0188,0.9966
5,0.0908,0.0488,0.9810
6,-0.0044,0.0674,0.9641
7,-0.1133,-0.0164,0.9644
8,-0.1484,-0.0229,1.0012
9,-0.0979,-0.0332,0.9819
10,0.0137,-0.0271,0.9475
11,0.0916,-0.0012,0.9846
12,0.1116,-0.0156,0.9868
13,0.0579,-0.0024,0.9995
14,-0.0417,-0.0427,0.9692
15,-0.0552,0.0010,0.9878
16,-0.0684,0.0552,0.9702
17,-0.1040,-0.0117,0.9429
18,-0.0154,-0.0056,0.9827
19,0.0310,0.0056,1.0112
20,0.0840,0.0203,1.0042
21,0.1021,-0.0195,0.9534
22,0.0579,-0.1047,0.9751
23,-0.0457,-0.0569,1.0032
24,-0.1257,-0.0071,0.9739
25,-0.1228,0.0835,0.9749
26,-0.0630,0.0283,0.9338
27,0.0249,-0.0051,0.9807
28,0.0647,0.0676,1.0044
29,0.0957,-0.0454,0.9673
30,0.0505,-0.0764,0.9856
31,0.0015,-0.0422,1.0112
32,-0.0544,0.0359,1.0073
33,-0.0918,-0.0029,0.9458
34,-0.0720,-0.0437,0.9868
35,-0.0149,-0.0112,0.9963
36,0.0220,-0.0732,0.9512
37,0.0684,0.0806,0.9827
38,0.0610,0.0737,0.9399
39,0.0188,0.0317,0.9771
40,-0.0437,-0.0181,0.9937
41,-0.0796,-0.0842,1.0073
42,-0.0688,-0.0444,0.9966
43,-0.0417,-0.0083,0.9966
44,0.0098,0.0161,0.9651
45,0.0459,-0.0728,0.9565
46,0.0825,0.0349,1.0042
47,0.0220,0.0369,0.9722
48,-0.0220,-0.0027,0.9536
49,-0.0654,0.0171,0.9966
50,-0.0554,0.0500,0.9917
51,-0.0405,-0.0083,0.9595
52,-0.0171,-0.0537,0.9729
53,0.0083,-0.0591,1.0061
54,0.0369,-0.0278,1.0247
55,0.0139,-0.0549,0.9524
56,0.0281,0.0420,0.9839
57,0.0056,0.0439,0.9663
58,-0.0627,0.0217,0.9565
59,-0.0256,0.0378,0.9780
60,-0.0229,0.0044,0.9885
61,0.0137,0.0278,0.9885
62,-0.0088,-0.0930,0.9731
63,0.0020,-0.0403,1.0129
64,0.0000,-0.0186,1.0032
65,-0.0151,-0.0442,0.9624
66,-0.0532,-0.0408,0.9517
67,-0.0186,0.0552,1.0229
68,-0.0190,0.0461,0.9692
69,0.0432,0.0698,0.9468
70,0.0669,0.0710,0.9478
71,0.0276,-0.0583,0.9653
72,0.0085,-0.0703,1.0500
73,-0.0903,-0.0662,1.0112
74,-0.0955,-0.0784,0.9651
75,-0.0300,0.0176,0.9956
76,-0.0071,0.0430,0.9810
77,0.0469,0.0425,0.9438
78,0.0688,0.0278,0.9438
79,0.0505,0.0156,0.9937
80,-0.0095,-0.0190,0.9888
81,-0.0598,0.0054,1.0002
82,-0.0942,-0.0364,0.9729
83,-0.0547,-0.0188,0.9944
84,-0.0317,-0.0298,0.9788
85,0.0234,-0.0361,0.9602
86,0.0503,-0.0288,0.9954
87,0.0784,0.0103,0.9963
88,0.0432,0.0549,0.9800
89,-0.0178,0.0437,0.9429
90,-0.0769,0.0222,0.9731
91,-0.0811,0.0247,1.0073
92,-0.1013,-0.0796,0.9631
93,0.0083,-0.0439,0.9993
94,0.0515,-0.0708,0.9895
95,0.0828,0.0198,1.0022
96,0.0500,0.0234,0.9624
97,0.0303,0.0325,0.9651
98,-0.0371,0.0396,0.9878
99,-0.0930,0.0029,0.9780
100,-0.0940,-0.0408,0.9739
101,-0.0288,-0.0227,0.9963
102,0.0193,-0.0312,0.9810
103,0.0586,0.0098,0.9712
104,0.0518,0.0249,0.9673
105,0.0037,-0.0244,0.9797
106,-0.0283,-0.0078,0.9927
107,-0.0508,0.0371,1.0042
108,-0.0671,0.0249,0.9495
109,-0.0056,-0.0247,0.9731
110,0.0303,-0.0105,0.9993
111,0.0396,-0.0325,0.9768
112,0.0303,-0.0051,0.9790
113,-0.0342,-0.0510,0.9692
114,-0.0386,0.0383,1.0217
115,-0.0688,0.0066,0.9517
116,-0.0232,0.0103,0.9546
117,0.0430,0.0410,0.9653
118,0.0129,0.0034,0.9741
119,0.0271,-0.0178,0.9905
120,-0.0022,-0.0566,0.9915
121,-0.0171,0.0071,1.0168
122,-0.0417,-0.0366,0.9622
123,-0.0295,-0.0176,0.9751
124,-0.0159,0.0156,0.9729
125,0.0042,0.0100,0.9661
126,0.0237,0.0269,0.9741
127,0.0342,0.0215,0.9819
128,0.0447,0.0098,0.9966
129,-0.0200,-0.0464,0.9712
130,-0.0493,-0.0256,0.9827
131,-0.0916,-0.0288,0.9797
132,-0.0581,0.0242,1.0078
133,-0.0183,-0.0205,0.9534
134,0.0684,0.0403,0.9907
135,0.0908,-0.0020,0.9739
136,0.0735,-0.0396,0.9800
137,-0.0151,-0.0022,0.9807
138,-0.0930,-0.0176,0.9709
139,-0.0852,0.0381,0.9934
140,-0.0562,0.0295,0.9622
141,0.0044,-0.0134,0.9602
142,0.0627,-0.0149,0.9946
143,0.0588,-0.0576,0.9995
144,0.0317,-0.0498,0.9768
145,-0.0132,0.0591,0.9780
146,-0.0488,0.0547,0.9602
147,-0.0601,-0.0505,0.9722
148,-0.0525,0.0059,0.9983
149,-0.0469,-0.0198,0.9712
150,0.0356,-0.0325,0.9800
151,0.0735,-0.0085,0.9927
152,0.0652,0.0706,0.9758
153,0.0156,0.0273,0.9495
154,-0.0447,-0.0715,0.9797
155,-0.0649,-0.0100,1.0334
156,-0.0781,-0.0291,0.9673
157,-0.0354,0.0188,0.9578
158,0.0334,-0.0247,0.9641
159,0.0269,0.0242,1.0024
160,0.0469,0.0134,0.9763
161,0.0369,-0.0288,0.9719
162,0.0320,0.0125,0.9885
163,-0.0310,-0.0200,0.9653
164,-0.0593,0.0588,0.9807
165,-0.0886,0.0015,0.9768
166,-0.0247,-0.0222,0.9956
167,0.0129,-0.0327,1.0005
168,0.0530,-0.0347,0.9839
169,0.0537,-0.0459,0.9700
170,0.0413,-0.0139,0.9758
171,-0.0396,0.0312,0.9758
172,-0.0647,0.0181,0.9563
173,-0.0557,0.0581,0.9912
174,-0.0276,0.0505,0.9817
175,0.0391,-0.0513,0.9497
176,0.0830,0.0107,1.0129
177,0.0444,-0.0115,0.9827
178,0.0232,-0.0444,1.0002
179,-0.0383,-0.0559,0.9878
180,-0.0906,-0.0447,1.0015
181,-0.0671,0.0146,0.9758
182,-0.0425,-0.0310,0.9448
183,0.0217,0.0740,0.9758
184,0.0183,0.0105,0.9397
185,0.0801,0.0691,1.0022
186,0.0432,0.0640,0.9878
187,0.0093,0.0049,0.9849
188,-0.0232,-0.0540,0.9849
189,-0.0317,-0.0940,1.0142
190,-0.0376,-0.0520,1.0139
191,-0.0552,-0.0986,0.9526
192,-0.0393,-0.0566,0.9897
193,-0.0044,0.0142,0.9878
194,0.0315,0.0891,0.9612
195,0.0642,0.1692,0.9128
196,0.0754,0.1006,0.9458
197,0.0342,0.0132,0.9944
198,-0.0237,-0.0950,1.0071
199,-0.0437,-0.0444,1.0493
200,-0.0881,-0.1274,0.9944
201,-0.0527,-0.1624,1.0112
202,-0.0432,-0.0254,1.0081
203,0.0010,0.0156,0.9338
204,0.0637,0.0845,0.9419
205,0.0657,0.0891,0.9319
206,0.0427,0.0762,0.9487
207,0.0471,0.1028,0.9937
208,-0.0205,0.0322,0.9836
209,-0.0305,-0.0508,0.9868
210,-0.0615,-0.1738,1.0159
211,-0.0764,-0.1179,1.0591
212,-0.0676,-0.0818,1.0103
213,-0.0017,-0.0540,0.9487
214,0.0491,0.0547,0.9692
215,0.1118,0.1475,0.9517
216,0.0793,0.0676,0.9009
217,0.0488,0.1121,0.9670
218,-0.0432,-0.0234,0.9702
219,-0.1069,-0.0481,1.0188
220,-0.1096,-0.0686,1.0220
221,-0.0747,-0.0564,1.0083
222,0.0217,-0.0596,0.9807
223,0.0835,-0.1099,0.9768
224,0.0994,-0.0295,0.9973
225,0.0654,0.0244,0.9700
226,0.0068,0.1179,0.9368
227,-0.0459,0.1252,0.9475
228,-0.0762,0.0906,0.9534
229,-0.0840,-0.0527,0.9739
230,-0.0361,-0.0789,1.0229
231,0.0093,-0.1116,1.0071
232,0.0640,-0.0916,1.0071
233,0.0630,-0.0486,0.9839
234,0.0479,0.0300,0.9866
235,0.0032,0.0437,0.9368
236,-0.0586,0.0166,0.9583
237,-0.0398,0.0713,0.9836
238,-0.0796,0.0195,0.9497
239,-0.0232,0.0288,0.9624
240,0.0447,-0.0376,0.9888
241,0.0457,-0.0281,1.0186
242,0.0251,-0.1028,0.9739
243,0.0405,-0.0325,1.0208
244,-0.0098,-0.0066,0.9822
245,-0.0176,-0.0229,0.9673
246,-0.0515,0.0486,0.9592
247,-0.0676,-0.0139,0.9663
248,-0.0234,0.0251,0.9795
249,0.0095,-0.0005,0.9563
250,0.0479,0.0486,0.9778
251,0.0781,0.0112,0.9692
252,0.0400,-0.0767,0.9934
253,-0.0305,-0.0312,1.0227
254,-0.0662,-0.0632,0.9810
255,-0.0591,0.0085,0.9790
256,-0.0430,-0.0681,0.9595
257,0.0112,0.0125,0.9976
258,0.0154,0.0542,0.9722
259,0.0566,0.0491,0.9436
260,0.0576,0.0112,0.9556
261,0.0205,-0.0034,0.9858
262,-0.0430,-0.0261,1.0000
263,-0.0945,-0.0776,0.9866
