Sample,X,Y,Z
0,-0.0784,0.0959,0.9897
1,-0.1296,0.0562,0.9456
2,-0.1328,-0.0737,0.9524
3,-0.0967,-0.0461,1.0452
4,0.0325,0.0054,1.0090
5,0.1147,-0.0562,0.9260
6,0.1101,0.0027,0.9827
7,0.0649,-0.0330,1.0071
8,0.0000,0.0020,1.0022
9,-0.0657,0.0271,0.9622
10,-0.0703,-0.0129,0.9329
11,-0.0376,0.0017,0.9797
12,-0.0046,0.0386,0.9780
13,0.0203,-0.0049,0.9692
14,0.0564,-0.0376,0.9653
15,0.0078,-0.0452,1.0276
16,-0.0085,0.0134,1.0334
17,-0.0378,-0.0813,0.9290
18,-0.0488,0.0322,0.9856
19,-0.0422,0.0234,0.9653
20,0.0027,-0.0149,0.9944
21,0.0244,0.0303,0.9622
22,0.0630,0.0312,0.9709
23,0.0740,0.0090,0.9602
24,0.0190,-0.0786,0.9827
25,-0.0125,-0.0049,1.0220
26,-0.0596,-0.0618,0.9553
27,-0.0735,-0.0081,1.0090
28,-0.0518,-0.0190,0.9644
29,-0.0288,0.0146,0.9856
30,0.0127,0.1091,0.9644
31,0.0493,0.0308,0.9360
32,0.0679,0.0020,0.9995
33,0.0498,-0.0835,0.9780
34,0.0371,-0.0459,0.9993
35,-0.0264,0.0085,0.9722
36,-0.0530,-0.0503,0.9612
37,-0.0657,-0.0410,0.9819
38,-0.0803,0.0232,1.0032
39,-0.0146,0.0662,0.9670
40,0.0474,0.0027,0.9426
41,0.0613,-0.0239,0.9868
42,0.0425,0.0059,1.0044
43,0.0293,0.0308,0.9680
44,-0.0381,0.0125,0.9541
45,-0.0491,-0.0352,0.9771
46,-0.0293,-0.0659,0.9963
47,-0.0146,0.0010,1.0159
48,0.0300,-0.0688,0.9553
49,0.0090,-0.0525,0.9905
50,-0.0088,0.0623,0.9895
51,-0.0266,0.0325,0.9360
52,-0.0103,0.0483,0.9409
53,0.0032,0.0149,0.9729
54,0.0217,0.0354,1.0190
55,-0.0042,-0.0137,1.0005
56,0.0032,-0.0498,0.9749
57,-0.0039,-0.1160,0.9817
58,0.0027,-0.0186,1.0044
59,0.0044,-0.0168,0.9612
60,-0.0251,0.0630,0.9731
61,-0.0232,0.0090,0.9673
62,-0.0200,-0.0078,0.9807
63,0.0078,-0.0017,0.9714
64,0.0283,0.0203,0.9661
65,0.0032,0.0144,0.9727
