Sample,X,Y,Z
0,0.0579,0.0066,0.9924
1,0.0432,-0.0481,0.9778
2,0.0166,0.0193,0.9895
3,-0.0474,-0.0391,0.9478
4,-0.0701,-0.0227,0.9749
5,-0.0750,0.0183,0.9856
6,-0.0725,-0.0149,0.9592
7,-0.0154,0.0486,0.9866
8,0.0281,0.0159,0.9810
9,0.0796,-0.0022,0.9885
10,0.0967,-0.0215,0.9868
11,0.0469,-0.0422,0.9709
12,-0.0210,-0.0327,0.9917
13,-0.0586,-0.0112,0.9829
14,-0.1101,-0.0056,0.9807
15,-0.0750,0.0186,0.9622
16,-0.0125,0.0022,0.9797
17,0.0264,0.0237,0.9897
18,0.0735,-0.0039,0.9810
19,0.0828,0.0068,0.9604
20,0.0002,-0.0178,0.9712
21,-0.0227,-0.0190,0.9983
22,-0.0735,-0.0376,0.9751
23,-0.0825,-0.0090,0.9897
24,-0.0122,0.0266,0.9751
25,0.0129,-0.0315,0.9670
26,0.0686,0.0374,1.0012
27,0.0720,-0.0232,0.9749
28,0.0364,-0.0178,0.9641
29,-0.0303,0.0291,1.0061
30,-0.0701,0.0073,0.9673
31,-0.1013,-0.0645,0.9456
32,-0.0710,0.0176,0.9846
33,0.0000,-0.0183,0.9641
34,0.0605,0.0037,0.9973
35,0.0901,0.0103,0.9944
36,0.0811,-0.0247,0.9858
37,0.0200,0.0046,0.9885
38,-0.0415,-0.0029,0.9907
39,-0.0784,-0.0085,0.9729
40,-0.0923,-0.0486,0.9565
41,-0.0642,0.0281,0.9800
42,-0.0095,-0.0115,0.9595
43,0.0681,-0.0220,0.9846
44,0.1047,0.0317,1.0024
45,0.0588,-0.0046,0.9722
46,-0.0002,0.0195,0.9875
47,-0.0776,-0.0386,0.9790
48,-0.1125,-0.0237,0.9829
49,-0.0996,-0.0286,0.9524
50,-0.0088,0.0330,0.9861
51,0.0679,0.0093,0.9924
52,0.1016,-0.0352,0.9875
53,0.1038,0.0342,0.9995
54,0.0234,-0.0227,0.9553
55,-0.0518,-0.0024,0.9849
56,-0.1094,0.0068,0.9719
57,-0.1379,-0.0525,0.9485
58,-0.0747,0.0242,0.9927
59,0.0239,0.0220,0.9888
60,0.0715,-0.0403,0.9827
61,0.1321,0.0125,1.0034
62,0.0791,-0.0210,0.9758
63,0.0146,-0.0076,0.9702
64,-0.0784,0.0132,0.9866
65,-0.1086,-0.0400,0.9504
66,-0.1260,-0.0120,0.9839
67,-0.0364,0.0432,0.9788
68,0.0400,-0.0220,0.9641
69,0.1008,0.0618,1.0161
70,0.1074,-0.0195,0.9749
71,0.0691,-0.0281,0.9846
72,-0.0232,-0.0420,0.9797
73,-0.0767,-0.0303,1.0024
74,-0.1069,0.0059,0.9849
75,-0.1082,-0.0337,0.9485
76,-0.0266,0.0356,0.9810
77,0.0439,0.0017,0.9653
78,0.0701,0.0115,0.9797
79,0.0935,0.0659,0.9712
80,0.0544,-0.0173,0.9761
81,-0.0073,-0.0146,1.0054
82,-0.0649,-0.0410,1.0171
83,-0.1003,-0.0793,0.9690
84,-0.0620,-0.0193,0.9722
85,0.0039,0.0327,0.9868
86,0.0261,0.0029,0.9556
87,0.0532,0.0164,0.9670
88,0.0303,0.0176,0.9731
89,-0.0283,0.0066,0.9731
90,-0.0249,0.0244,0.9797
91,-0.0276,-0.0054,0.9634
92,-0.0459,-0.0276,0.9976
93,0.0222,-0.0461,1.0054
94,0.0186,-0.0776,1.0100
95,0.0488,0.0171,0.9807
96,0.0479,0.0105,0.9553
97,-0.0005,0.0381,0.9846
98,-0.0620,-0.0259,0.9507
99,-0.0989,0.0393,0.9849
100,-0.0840,0.0122,0.9290
101,-0.0249,-0.0029,0.9868
102,0.0637,0.0273,1.0051
103,0.0806,-0.0840,0.9771
104,0.0913,0.0015,1.0305
105,0.0459,-0.0317,0.9836
106,-0.0337,-0.0701,0.9731
107,-0.0972,0.0684,0.9878
108,-0.1169,-0.0142,0.9397
109,-0.0791,0.0200,0.9800
110,-0.0024,0.0283,0.9790
111,0.0820,0.0012,0.9475
112,0.1082,0.0129,0.9902
113,0.0432,-0.0054,1.0366
114,-0.1289,-0.0664,1.0669
115,-0.2568,0.0364,1.0227
116,-0.3293,0.2632,0.8989
117,-0.3003,0.5605,0.7847
118,-0.2046,0.7771,0.7600
119,-0.1790,1.1157,0.9897
120,-0.1414,1.2493,1.0667
121,-0.2024,1.1272,0.9573
122,-0.2778,1.3467,0.9829
123,-0.2727,1.3188,0.9321
124,-0.3071,1.1958,1.0034
125,-0.1953,1.0881,1.0793
126,0.0964,1.0024,1.0024
127,0.4175,1.2610,0.9670
128,0.6838,1.4946,0.9741
129,0.8716,1.4309,0.8694
130,0.8860,1.2739,0.8442
131,0.7173,1.3206,0.9055
132,0.3059,1.1001,0.8716
133,-0.1785,0.8088,0.9114
134,-0.3003,0.7544,0.7856
