Sample,X,Y,Z
0,-0.0039,-0.0103,0.9729
1,-0.0042,-0.0056,0.9797
2,-0.0051,-0.0051,0.9817
3,-0.0054,-0.0054,0.9846
4,-0.0049,-0.0039,0.9819
5,-0.0061,-0.0066,0.9807
6,-0.0037,-0.0078,0.9819
7,-0.0032,-0.0068,0.9810
8,-0.0034,-0.0046,0.9817
9,-0.0061,-0.0042,0.9807
10,-0.0066,-0.0051,0.9797
11,-0.0071,-0.0059,0.9800
12,-0.0066,-0.0032,0.9817
13,-0.0071,-0.0042,0.9827
14,-0.0056,-0.0034,0.9827
15,-0.0042,-0.0054,0.9817
16,-0.0032,-0.0027,0.9817
17,-0.0032,-0.0029,0.9817
18,-0.0061,-0.0039,0.9800
19,-0.0059,-0.0056,0.9807
20,-0.0061,-0.0049,0.9800
21,-0.0066,-0.0032,0.9807
22,-0.0078,-0.0032,0.9817
23,-0.0046,-0.0020,0.9807
24,-0.0029,-0.0037,0.9832
25,-0.0017,-0.0061,0.9827
26,-0.0032,-0.0076,0.9819
27,-0.0059,-0.0063,0.9807
28,-0.0066,-0.0046,0.9788
29,-0.0042,-0.0024,0.9836
30,-0.0051,-0.0024,0.9829
31,-0.0063,-0.0049,0.9817
32,-0.0046,-0.0046,0.9797
33,-0.0063,-0.0066,0.9807
34,-0.0049,-0.0049,0.9797
35,-0.0061,-0.0027,0.9810
36,-0.0066,-0.0051,0.9827
37,-0.0051,-0.0034,0.9827
38,-0.0054,-0.0029,0.9817
39,-0.0056,-0.0037,0.9807
40,-0.0039,-0.0032,0.9817
41,-0.0046,-0.0042,0.9807
42,-0.0066,-0.0024,0.9810
43,-0.0066,-0.0027,0.9819
44,-0.0068,-0.0049,0.9807
45,-0.0061,-0.0054,0.9829
46,-0.0042,-0.0054,0.9817
47,-0.0037,-0.0049,0.9829
48,-0.0051,-0.0059,0.9829
49,-0.0066,-0.0049,0.9829
50,-0.0078,-0.0020,0.9827
51,-0.0081,-0.0022,0.9829
52,-0.0049,-0.0044,0.9836
53,-0.0042,-0.0051,0.9827
54,-0.0032,-0.0046,0.9817
55,-0.0059,-0.0044,0.9817
56,-0.0071,-0.0017,0.9817
57,-0.0056,-0.0024,0.9841
58,-0.0076,-0.0020,0.9807
59,-0.0063,-0.0037,0.9817
60,-0.0039,-0.0037,0.9817
61,-0.0039,-0.0066,0.9836
62,-0.0059,-0.0073,0.9797
63,-0.0066,-0.0037,0.9790
64,-0.0049,-0.0039,0.9829
65,-0.0071,-0.0029,0.9829
66,-0.0066,-0.0037,0.9817
67,-0.0061,-0.0029,0.9810
68,-0.0056,-0.0042,0.9807
69,-0.0044,-0.0044,0.9819
70,-0.0059,-0.0034,0.9817
71,-0.0063,-0.0032,0.9839
72,-0.0073,-0.0020,0.9807
73,-0.0056,-0.0032,0.9829
74,-0.0049,-0.0042,0.9819
75,-0.0044,-0.0059,0.9839
76,-0.0056,-0.0020,0.9807
77,-0.0039,-0.0044,0.9817
78,-0.0044,-0.0042,0.9839
79,-0.0029,-0.0042,0.9836
80,-0.0059,-0.0037,0.9819
81,-0.0037,-0.0044,0.9810
82,-0.0044,-0.0051,0.9797
83,-0.0071,-0.0024,0.9800
84,-0.0056,-0.0042,0.9827
85,-0.0059,-0.0039,0.9800
86,-0.0068,-0.0022,0.9797
87,-0.0049,-0.0034,0.9829
88,-0.0054,-0.0068,0.9812
89,-0.0049,-0.0032,0.9817
90,-0.0056,-0.0020,0.9827
91,-0.0029,0.0005,0.9846
92,-0.0044,-0.0022,0.9829
93,-0.0066,-0.0020,0.9829
94,-0.0056,-0.0059,0.9817
95,-0.0044,-0.0049,0.9800
96,-0.0059,-0.0046,0.9800
97,-0.0032,-0.0049,0.9810
98,-0.0049,-0.0049,0.9817
99,-0.0051,-0.0042,0.9797
100,-0.0042,-0.0059,0.9819
101,-0.0046,-0.0037,0.9829
102,-0.0051,-0.0059,0.9827
103,-0.0046,-0.0059,0.9829
104,-0.0068,-0.0042,0.9819
105,-0.0059,-0.0049,0.9819
106,-0.0081,-0.0066,0.9800
107,-0.0063,-0.0049,0.9810
108,-0.0059,-0.0039,0.9805
109,-0.0027,-0.0032,0.9810
110,-0.0024,-0.0029,0.9800
111,-0.0032,-0.0022,0.9790
112,-0.0042,-0.0015,0.9800
113,-0.0024,-0.0046,0.9810
114,-0.0090,-0.0046,0.9810
115,-0.0083,-0.0017,0.9839
116,-0.0066,-0.0034,0.9817
117,-0.0054,-0.0049,0.9829
118,-0.0056,-0.0078,0.9810
119,-0.0081,-0.0076,0.9810
120,-0.0071,-0.0059,0.9810
121,-0.0066,-0.0034,0.9800
122,-0.0049,-0.0034,0.9807
123,-0.0059,-0.0032,0.9827
124,-0.0083,-0.0020,0.9822
125,-0.0083,-0.0061,0.9819
126,-0.0044,-0.0044,0.9800
127,-0.0068,-0.0066,0.9807
128,-0.0081,-0.0037,0.9807
129,-0.0059,-0.0032,0.9819
130,-0.0049,-0.0049,0.9827
131,-0.0066,-0.0034,0.9846
132,-0.0044,-0.0032,0.9807
