Sample,X,Y,Z
0,-0.0195,-0.0720,1.0044
1,-0.0005,-0.0613,0.9641
2,0.0327,-0.0225,0.9849
3,0.0593,-0.0188,1.0083
4,0.0371,-0.0208,0.9700
5,-0.0149,-0.0347,0.9905
6,-0.0227,-0.0586,0.9905
7,-0.0171,-0.0317,0.9634
8,0.0190,-0.0525,1.0493
9,0.0339,-0.0427,0.9387
10,0.0315,-0.0115,1.0051
11,0.0125,-0.0295,0.9983
12,-0.0281,-0.0295,0.9641
13,-0.0144,-0.0217,1.0354
14,-0.0081,-0.0542,0.9917
15,0.0496,-0.0789,0.9465
16,0.0232,-0.0369,0.9592
17,0.0415,-0.0330,1.0161
18,0.0017,-0.0400,0.9651
19,-0.0156,-0.0195,1.0237
20,-0.0408,-0.0234,1.0198
21,0.0337,-0.0186,0.9797
22,0.0383,-0.0439,0.9827
23,0.0327,-0.0056,0.9556
24,0.0210,-0.0269,1.0249
25,-0.0095,-0.0728,0.9817
26,-0.0293,-0.0825,0.9937
27,-0.0251,-0.0542,0.9888
28,0.0330,-0.0354,0.9585
29,0.0537,-0.0022,0.9780
30,0.0527,-0.0212,1.0393
31,-0.0056,-0.0227,0.9478
32,-0.0349,-0.0303,0.9976
33,-0.0273,-0.0576,1.0120
34,0.0171,-0.0510,0.9849
35,0.0295,-0.0413,0.9856
36,0.0579,-0.0242,0.9692
37,0.0339,-0.0161,1.0100
38,0.0039,-0.0112,0.9683
39,-0.0239,-0.0264,1.0129
40,-0.0327,-0.0461,0.9797
41,0.0017,-0.0723,1.0073
42,0.0120,-0.0588,0.9465
43,0.0398,-0.0452,0.9993
44,0.0420,-0.0112,0.9526
45,0.0269,-0.0269,1.0366
46,-0.0181,-0.0164,0.9504
47,-0.0176,0.0071,1.0247
48,0.0166,-0.0596,1.0122
49,0.0295,-0.0488,0.9478
50,0.0005,-0.0498,1.0208
51,0.0151,-0.0730,0.9526
52,-0.0098,-0.0339,0.9653
53,0.0081,-0.0208,1.0259
54,0.0208,0.0117,0.9888
55,0.0425,-0.0293,1.0002
56,0.0049,-0.0486,0.9712
57,-0.0171,-0.0408,0.9651
58,0.0020,-0.0398,1.0100
59,0.0320,-0.0366,0.9712
60,0.0386,-0.0442,1.0325
61,-0.0098,-0.0247,0.9534
62,-0.0137,-0.0347,1.0071
63,-0.0007,-0.0354,0.9751
64,0.0220,-0.0457,1.0386
65,0.0195,-0.0227,0.9231
66,0.0181,-0.0205,1.0100
67,0.0327,-0.0640,0.9497
68,-0.0217,-0.0286,0.9934
69,0.0078,-0.0134,1.0100
70,0.0305,0.0000,1.0022
71,0.0491,-0.0300,1.0239
72,0.0420,-0.0645,0.9556
73,-0.0398,-0.0308,0.9663
74,-0.0249,-0.0686,1.0200
75,-0.0129,-0.0593,0.9497
76,-0.0227,-0.0122,1.0146
77,0.0239,-0.0356,0.9905
78,0.0488,-0.0366,0.9387
79,0.0579,-0.0222,1.0132
80,0.0320,-0.0129,0.9917
81,0.0271,-0.0139,0.9712
82,-0.0044,-0.0386,1.0344
