Sample,X,Y,Z
0,0.0286,-0.0305,0.9429
1,-0.0073,0.0168,0.9817
2,-0.0081,0.0312,1.0044
3,-0.0083,-0.0432,0.9663
4,-0.0396,-0.0149,1.0063
5,0.0063,-0.0383,0.9546
6,-0.0205,0.0090,1.0042
7,0.0078,0.0447,0.9839
8,-0.0381,-0.0518,0.9392
9,-0.0208,0.0620,1.0139
10,-0.0293,-0.0576,0.9631
11,0.0059,0.0469,1.0110
12,0.0288,-0.0134,0.9573
13,0.0481,-0.0579,0.9810
14,0.0374,-0.0190,1.0063
15,-0.0332,-0.0281,0.9573
16,-0.0332,0.0378,0.9758
17,-0.0583,0.0195,0.9983
18,-0.0259,-0.0156,0.9485
19,-0.0225,0.0308,0.9878
20,0.0393,0.0466,1.0032
21,0.0105,-0.0679,0.9729
22,0.0564,0.0029,1.0266
23,0.0139,-0.0796,0.9565
24,-0.0149,-0.0232,0.9768
25,-0.0364,0.0256,0.9963
26,-0.0581,0.0247,0.9419
27,-0.0525,0.0398,0.9778
28,-0.0134,0.0562,1.0044
29,0.0181,-0.0396,0.9407
30,0.0339,0.0144,1.0261
31,0.0471,-0.0229,0.9954
32,-0.0012,-0.0918,0.9780
33,0.0107,-0.0044,1.0120
34,-0.0251,-0.0527,0.9526
35,-0.0305,0.0271,0.9634
36,-0.0447,0.0459,0.9683
37,-0.0374,0.0588,0.9661
38,-0.0325,0.0288,0.9749
39,0.0095,-0.0098,0.9905
40,0.0146,-0.0073,1.0083
41,0.0449,-0.0715,0.9670
42,0.0122,-0.0066,1.0227
43,0.0337,-0.0525,0.9839
44,-0.0037,-0.0537,0.9849
45,-0.0374,0.0291,0.9963
46,-0.0505,0.0127,0.9155
47,-0.0522,0.0574,0.9741
48,-0.0190,0.0466,0.9729
49,0.0061,-0.0049,0.9663
50,0.0361,0.0181,1.0034
51,0.0276,-0.0667,1.0083
52,0.0347,-0.0027,1.0208
53,-0.0076,-0.0935,0.9702
54,-0.0366,-0.0085,1.0083
55,-0.0474,-0.0215,0.9692
56,-0.0532,-0.0029,0.9448
57,-0.0371,0.0740,0.9878
58,0.0183,0.0354,0.9292
59,0.0452,0.0579,0.9829
60,0.0806,0.0173,1.0132
61,0.0164,-0.0776,0.9868
62,-0.0227,-0.0471,1.0093
63,-0.0796,-0.0713,0.9966
64,-0.0784,-0.0303,0.9819
65,-0.0312,0.0171,0.9768
66,0.0212,0.0315,0.9700
67,0.0518,0.0200,0.9543
68,0.0735,0.0376,0.9758
69,0.0308,0.0151,0.9712
70,-0.0239,0.0007,0.9836
71,-0.0593,-0.0100,0.9934
72,-0.0723,-0.0757,0.9800
73,-0.0562,-0.0564,1.0139
74,-0.0112,-0.0068,0.9670
75,0.0449,0.0259,0.9543
76,0.0601,0.0557,1.0200
77,0.0464,-0.0093,0.9739
78,0.0020,0.0156,0.9885
79,-0.0266,-0.0203,0.9700
80,-0.0381,-0.0173,0.9712
81,-0.0376,-0.0183,0.9719
82,-0.0566,-0.0435,0.9751
83,0.0161,0.0144,1.0237
84,-0.0017,-0.0371,0.9622
85,0.0251,0.0315,0.9954
86,0.0374,-0.0093,0.9683
87,-0.0149,0.0789,0.9802
88,-0.0149,-0.0061,0.9485
89,-0.0564,-0.0322,0.9817
90,-0.0159,-0.0129,1.0139
91,0.0046,-0.0615,0.9622
92,0.0393,0.0249,1.0100
93,0.0239,-0.0317,0.9651
94,0.0166,-0.0225,0.9895
95,-0.0098,0.0210,0.9841
96,-0.0437,0.0164,0.9355
97,-0.0522,0.0620,1.0005
98,-0.0320,-0.0374,0.9839
99,-0.0183,-0.0247,0.9761
100,0.0117,0.0393,0.9731
101,0.0330,-0.0417,0.9819
102,-0.0374,-0.0002,1.1047
103,-0.1309,0.1021,0.9985
104,-0.2427,0.6235,0.9058
105,-0.2734,1.4338,0.7727
106,-0.1768,1.7629,0.5979
107,0.0513,1.7170,0.7903
108,0.3171,1.4163,1.0999
109,0.4397,1.2007,1.1802
110,0.3208,1.1643,1.1917
111,0.1016,1.0393,1.1975
112,-0.0193,0.8049,1.1809
113,-0.1345,0.7561,1.0588
114,-0.0588,0.7964,0.8237
115,-0.0527,1.1255,0.8188
116,0.0134,1.0796,0.7661
117,0.0532,0.8762,0.8215
118,0.0452,0.6743,0.9019
119,-0.0662,0.5232,0.9153
120,-0.1467,0.2986,0.9565
121,-0.2886,0.0142,1.0610
122,-0.2412,-0.0405,1.1135
123,-0.0327,0.1150,1.0500
124,0.1284,0.4431,1.0120
125,0.3054,0.7847,1.0024
126,0.2480,0.8491,0.9038
127,0.0278,0.9329,0.8918
