Sample,X,Y,Z
0,0.0581,0.0112,0.9700
1,0.0203,0.0105,0.9583
2,-0.0310,0.0325,0.9583
3,-0.0369,0.0518,0.9458
4,-0.0305,0.0442,0.9719
5,-0.0190,0.0168,1.0078
6,0.0176,-0.1187,1.0090
7,0.0078,-0.0564,1.0266
8,-0.0049,-0.0925,0.9622
9,0.0061,-0.0410,0.9917
10,-0.0112,0.0305,0.9797
11,-0.0115,0.1064,0.9390
12,-0.0115,0.0884,0.9429
13,-0.0098,0.0369,0.9827
14,0.0105,0.0134,1.0012
15,0.0193,-0.0457,0.9761
16,0.0076,-0.1484,1.0374
17,-0.0225,-0.0476,1.0425
18,-0.0522,-0.0537,0.9495
19,-0.0178,0.0210,0.9653
20,0.0076,0.0000,0.9692
21,0.0398,0.1147,0.9563
22,-0.0066,0.0491,0.9321
23,-0.0110,0.0308,1.0168
24,-0.0332,-0.0242,0.9866
25,-0.0076,0.0051,0.9934
26,0.0430,-0.0549,0.9946
27,0.0342,-0.1248,1.0151
28,0.0149,-0.0417,1.0227
29,-0.0322,-0.0393,0.9409
30,-0.0828,0.0283,0.9819
31,-0.0588,0.0874,0.9634
32,-0.0408,0.0730,0.9514
33,0.0415,0.0940,0.9749
34,0.0503,-0.0461,0.9790
35,0.0737,-0.0530,1.0042
36,0.0281,-0.1174,1.0012
37,-0.0020,-0.0596,0.9934
38,-0.0862,-0.0549,0.9771
39,-0.0801,0.0332,0.9888
40,-0.0564,0.1011,0.9836
41,0.0220,0.0889,0.9419
42,0.0557,-0.0354,0.9722
43,0.0530,0.0354,1.0161
44,0.0339,-0.0081,0.9426
45,-0.0415,-0.0876,0.9661
46,-0.0654,-0.0803,1.0256
47,-0.0298,-0.0024,0.9851
48,-0.0154,-0.0286,0.9536
49,0.0308,0.0303,1.0103
50,0.0386,0.0461,0.9888
51,0.0088,-0.0232,0.9507
52,-0.0120,0.0295,0.9924
53,-0.0381,-0.0054,0.9351
54,-0.0417,0.0078,0.9983
55,-0.0164,0.0098,1.0120
56,0.0017,-0.0630,0.9624
57,-0.0093,0.0210,0.9993
58,0.0151,0.0525,1.0061
59,0.0173,-0.0391,0.9768
60,0.0286,-0.0991,0.9690
61,-0.0020,-0.0571,0.9956
62,-0.0134,0.0330,0.9917
63,-0.0312,0.0286,0.9651
64,-0.0242,0.0298,0.9517
65,-0.0107,0.0823,0.9768
66,-0.0156,0.0266,0.9556
67,-0.0186,-0.0920,0.9937
68,-0.0171,-0.0132,1.0347
69,-0.0120,-0.0757,0.9722
70,0.0378,0.0017,1.0347
71,0.0674,0.0166,0.9875
72,0.0293,-0.0039,0.9409
73,-0.0151,0.0442,0.9897
74,-0.0754,-0.0830,0.9485
75,-0.0771,-0.0022,0.9897
76,-0.0349,0.0603,0.9575
77,0.0210,0.0095,0.9495
78,0.0535,0.0513,1.0347
79,0.0447,-0.0217,0.9761
80,0.0176,-0.0469,1.0022
81,-0.0310,-0.0518,1.0061
82,-0.0405,-0.1177,0.9712
83,-0.0374,0.0581,1.0200
84,-0.0312,0.0420,0.9446
85,-0.0046,0.0042,0.9514
86,0.0005,0.0825,0.9751
87,0.0361,0.0354,0.9465
88,0.0125,0.0046,1.0005
89,0.0337,-0.0889,1.0081
90,-0.0059,-0.0774,1.0100
91,-0.0315,-0.0146,0.9946
92,-0.0122,-0.0518,0.9673
93,-0.0715,0.0120,1.0139
94,-0.0576,0.0544,0.9653
95,-0.0090,0.0027,0.9265
96,0.0256,0.0779,0.9751
97,0.0811,0.0510,0.9700
98,0.1052,-0.0042,0.9810
99,0.0166,-0.0854,1.0259
100,-0.0413,-0.0354,1.0024
101,-0.1382,-0.0503,0.9897
102,-0.1748,0.0061,1.0854
103,-0.1409,0.0657,1.0090
104,-0.0815,0.5913,0.9194
105,-0.0339,1.1907,0.7454
106,0.1272,1.3755,0.6382
107,0.2041,1.5525,0.9045
108,0.2634,1.7085,1.0171
109,0.1970,1.5178,0.9983
110,0.0291,1.4514,1.1350
111,-0.1101,1.2710,1.1392
112,-0.1978,1.1919,1.0815
113,-0.2378,1.0347,1.0708
114,-0.1096,0.9495,0.9729
115,0.0625,0.9390,0.9263
116,0.2451,1.0891,0.9036
117,0.3137,0.7642,0.8296
118,0.2231,0.5603,0.9661
119,-0.0845,0.3308,0.9543
120,-0.3667,0.2397,0.9116
121,-0.5620,0.3347,0.9360
122,-0.4009,0.3530,0.9995
123,0.0068,0.2063,0.9856
124,0.3511,-0.0259,1.0012
125,0.4661,0.1968,1.0679
126,0.1802,0.4133,0.9700
127,-0.1726,0.6733,1.0376
128,-0.3186,0.8970,0.9946
129,-0.2905,1.0637,0.8557
130,-0.0747,1.5396,0.9028
131,0.0554,1.3550,0.7739
132,0.1575,1.0696,1.0042
133,0.1868,1.0752,1.1206
134,0.1082,0.8704,1.0042
135,0.1091,0.8997,1.0393
136,0.0847,0.6370,1.1174
137,-0.0251,0.4485,1.0081
138,-0.2556,0.4187,0.9338
139,-0.2302,1.1477,0.8899
140,-0.0718,1.6509,0.7632
141,0.1599,1.4612,0.7239
142,0.2566,0.6372,0.9810
143,0.2249,1.2349,1.3325
144,-0.0056,0.9673,0.7778
145,-0.1753,0.1003,0.8647
146,-0.1831,-0.0938,1.4087
147,-0.1316,0.4368,1.1067
148,-0.2544,0.7466,0.7280
149,-0.1240,0.8540,1.0552
150,0.0479,0.8638,1.0103
151,0.1289,0.8940,0.7388
152,0.1472,1.3977,0.9358
153,0.0864,1.3743,0.8342
154,0.0251,-0.0225,0.7463
155,0.2297,-0.9341,1.5242
156,0.1250,-1.4165,1.4368
157,-0.0664,-1.4897,1.0071
158,-0.5183,-1.5786,1.0481
159,-0.7759,-1.1345,1.2476
160,-0.5747,-1.0125,0.6011
161,-0.2075,-0.9929,0.4668
162,0.2939,-0.1155,0.9495
163,0.6782,0.0549,0.5803
164,0.6675,-0.2036,0.6624
165,0.4250,-0.4485,1.2017
166,0.2058,0.0308,1.2817
167,-0.2227,0.5139,1.0374
168,-0.3186,0.5366,1.1279
169,-0.0940,0.5579,1.3010
170,0.0464,0.8440,1.2395
171,0.2590,1.4907,1.1411
172,0.2781,1.5454,0.6733
173,0.0854,1.5540,0.6204
174,-0.1042,1.9336,0.9319
175,-0.1870,1.8032,0.8911
176,-0.0710,0.7437,0.7202
177,0.0532,-0.6111,1.1196
178,0.1006,-1.0818,1.3032
179,-0.2786,-0.8667,1.0969
180,-0.3606,-0.2729,1.0969
181,-0.1138,-0.8562,0.9604
182,0.1797,-0.5269,1.2356
183,0.3835,-0.3123,0.8101
184,0.0645,0.0068,0.7083
185,-0.2158,-0.1702,0.7456
186,-0.3704,-0.6465,0.9885
187,-0.2119,-0.1018,1.1086
188,-0.0735,-0.3335,0.4944
189,0.0867,-0.3298,1.0859
190,0.0535,-0.5327,1.3850
191,0.1252,-0.7410,1.1528
192,0.1392,0.0039,1.1880
193,0.1941,0.4485,0.8118
194,0.1145,0.0259,0.8179
195,0.0098,-0.4116,1.1272
196,-0.0903,0.0117,1.0151
197,-0.3333,0.5969,0.6536
198,-0.3574,0.2686,0.7798
199,-0.1128,-0.2141,1.2085
200,0.0925,-0.6160,1.0093
201,0.2292,-0.3792,1.1069
202,0.2439,-0.0884,1.1487
203,0.0886,-0.3472,0.8586
204,0.0251,0.0603,1.0110
205,-0.0786,0.6958,0.9790
206,-0.0952,1.2251,0.8159
207,-0.0239,0.8850,0.8469
208,0.2720,0.7327,1.2146
209,0.3997,-0.1814,0.8052
210,0.0710,-0.5366,0.9705
211,-0.2964,0.1016,1.2710
212,-0.5356,0.0913,0.9028
213,-0.4236,0.2571,1.1370
214,-0.0066,-0.1938,1.0862
215,0.3425,-0.1458,1.0093
216,0.3992,-0.1462,0.8657
217,0.1553,-0.1846,0.9224
218,-0.1323,0.5024,0.9927
219,-0.2676,0.7053,0.4817
220,-0.1616,0.4612,0.7844
221,0.0513,-0.4104,1.1118
222,0.0999,-0.7378,1.2522
223,-0.0083,-0.5850,1.1438
224,-0.1230,-0.4587,1.0854
225,-0.0564,-0.1753,1.1526
226,0.0710,-0.4773,0.9194
227,0.0891,-0.2449,1.0405
228,-0.0425,0.2563,0.8960
229,-0.1377,0.2100,0.5930
230,-0.1853,0.3347,0.9739
231,-0.1169,0.2261,0.9741
232,0.1006,-0.0549,1.0278
233,0.1738,-0.2991,1.1313
234,0.1594,-0.6345,1.0894
235,0.0947,0.0117,1.1021
236,-0.1479,0.7456,1.0112
237,-0.0503,0.6743,0.9507
238,0.1223,-0.0496,0.9448
239,0.0818,-0.4036,0.9478
240,0.0183,0.2974,0.8101
241,-0.3323,0.5579,0.6965
242,-0.3711,0.3008,1.0540
243,-0.0544,-0.3950,1.1399
244,0.1338,-0.2446,1.2170
245,0.3420,0.4434,1.0776
246,0.2700,0.1768,0.8977
247,0.1052,-0.2388,1.1506
248,-0.0830,-0.4294,1.0767
249,-0.1348,0.1282,0.7649
250,-0.3110,0.3950,0.5024
251,-0.3611,0.3196,0.9417
252,-0.3276,-0.2317,1.0601
253,-0.0950,-0.3962,1.0796
254,0.2693,-0.1338,1.0171
255,0.5999,-0.1541,0.9155
256,0.4761,-0.4722,1.0979
257,0.1382,-0.4177,1.1899
258,-0.2158,0.0718,0.9790
259,-0.4556,0.6572,0.8579
260,-0.2288,0.5525,0.8342
261,0.0349,-0.0234,0.9358
262,0.1912,-0.1853,1.1216
263,0.1804,-0.3074,1.1089
264,-0.0688,-0.4578,1.0444
265,-0.2070,-0.1606,0.9368
266,-0.3057,-0.1794,0.8130
267,-0.2131,0.1912,1.0393
268,-0.0859,0.0027,1.0481
269,0.1855,0.0269,0.9417
270,0.4553,0.1963,0.8452
271,0.5103,0.3948,0.8997
272,0.2471,0.3289,0.9729
273,-0.1426,0.0459,1.1382
274,-0.1987,0.3296,1.2983
275,-0.2441,-0.4192,0.9409
276,-0.1580,-0.6841,1.2922
