Sample,X,Y,Z
0,-0.0820,-0.0068,0.9504
1,-0.1292,0.0032,0.9722
2,-0.1206,-0.0103,0.9644
3,-0.0723,-0.0105,0.9741
4,0.0032,0.0452,0.9993
5,0.0796,-0.0293,0.9934
6,0.1030,-0.0823,1.0012
7,0.0713,0.0261,1.0090
8,0.0061,0.0288,0.9517
9,-0.0200,0.0227,0.9819
10,-0.0696,-0.0071,0.9709
11,-0.0876,-0.0015,0.9634
12,-0.0449,0.0161,0.9924
13,-0.0327,-0.0742,0.9771
14,0.0391,-0.0022,1.0198
15,0.0432,0.0049,0.9546
16,0.0496,-0.0232,0.9829
17,0.0100,0.0471,1.0022
18,-0.0161,-0.0103,0.9526
19,-0.0437,0.0132,0.9915
20,-0.0508,0.0168,0.9863
21,-0.0217,-0.0520,0.9478
22,0.0095,0.0076,1.0327
23,0.0337,-0.0344,0.9810
24,0.0249,-0.0745,0.9485
25,0.0273,0.0903,1.0327
26,-0.0076,0.0117,0.9407
27,-0.0293,-0.0276,0.9907
28,-0.0386,0.0742,0.9897
29,-0.0525,-0.0127,0.9263
30,-0.0391,-0.0068,1.0249
31,-0.0540,-0.1121,1.0054
32,0.0107,-0.0295,0.9895
33,0.0908,0.0366,0.9666
34,0.0847,0.0430,0.9800
35,0.0679,0.0427,0.9661
36,-0.0474,-0.0188,0.9839
37,-0.0835,-0.0496,0.9868
38,-0.1008,-0.0715,0.9761
39,-0.0632,0.0559,0.9758
40,0.0103,0.0093,0.9778
41,0.0544,-0.0037,1.0139
42,0.0471,0.0000,0.9927
43,0.0454,0.0278,0.9592
44,0.0188,-0.0310,0.9807
45,-0.0391,-0.1074,0.9956
46,-0.0520,-0.0076,0.9719
47,-0.0662,0.0762,0.9524
48,-0.0193,0.0632,0.9722
49,0.0249,0.0037,0.9895
50,0.0217,0.0063,1.0093
51,0.0339,-0.0603,1.0100
52,0.0229,-0.1299,1.0032
53,0.0005,-0.0173,0.9771
54,-0.0334,0.0449,0.9290
55,-0.0488,0.0527,0.9749
56,-0.0466,0.0537,0.9937
57,-0.0181,0.0093,0.9504
58,0.0037,-0.0396,0.9885
59,0.0005,-0.0300,1.0315
60,0.0388,-0.0549,0.9722
61,0.0330,0.0115,1.0093
62,0.0176,0.0334,0.9709
63,-0.0127,-0.0396,0.9543
64,-0.0537,0.0298,1.0051
65,-0.0508,-0.0730,0.9585
66,-0.0332,0.0366,0.9895
67,-0.0027,0.0432,0.9553
