Sample,X,Y,Z
0,-0.0237,-0.0208,0.9878
1,0.0249,-0.0095,0.9810
2,0.0703,-0.0034,0.9868
3,0.0833,0.0337,0.9946
4,0.0425,-0.0513,0.9663
5,0.0322,-0.0090,1.0015
6,-0.0874,-0.0356,0.9731
7,-0.0635,0.0154,0.9646
8,-0.1462,-0.0366,0.9700
9,-0.0591,0.0632,1.0073
10,0.0032,-0.0632,0.9211
11,0.0576,0.0601,1.0239
12,0.1208,-0.0178,0.9778
13,0.0852,-0.0640,0.9631
14,0.0476,0.0872,1.0374
15,-0.0198,-0.0349,0.9202
16,-0.0911,0.0330,1.0208
17,-0.0989,-0.0430,0.9807
18,-0.0422,-0.0623,0.9614
19,-0.0527,0.0356,0.9951
20,0.0249,-0.0269,0.9846
21,0.0625,-0.0356,0.9834
22,0.0408,0.0078,0.9976
23,0.0354,0.0337,0.9575
24,0.0007,-0.0088,0.9749
25,0.0122,0.0217,0.9956
26,-0.0137,-0.0356,0.9417
27,-0.0466,0.0371,0.9954
28,-0.0347,-0.0205,0.9839
29,-0.0164,-0.0315,0.9712
30,-0.0076,0.0234,1.0200
31,0.0259,-0.0098,0.9771
32,0.0396,-0.0381,0.9875
33,0.0059,0.0037,1.0112
34,-0.0264,-0.0527,0.9653
35,-0.0327,0.0408,0.9856
36,-0.0071,0.0071,0.9648
37,0.0171,-0.0044,0.9517
38,0.0054,-0.0178,0.9954
39,-0.0081,0.0059,0.9653
40,-0.0193,0.0151,0.9624
41,-0.0249,0.0393,0.9937
42,-0.0452,-0.0388,0.9897
43,0.0149,-0.0334,1.0095
44,0.0002,-0.0610,0.9817
45,0.0178,0.0403,1.0066
46,0.0210,0.0093,0.9670
47,0.0510,-0.0042,0.9897
48,0.0144,-0.0144,0.9800
49,0.0007,-0.0386,0.9514
50,-0.0442,-0.0002,0.9673
51,-0.1011,0.0278,0.9751
52,-0.0669,0.0381,0.9663
53,-0.0715,-0.0098,0.9966
54,-0.0017,0.0220,1.0093
55,0.0898,-0.0676,0.9731
56,0.1021,0.0300,1.0110
57,0.0862,-0.0381,0.9817
58,0.0242,-0.0198,1.0051
59,-0.0518,-0.0408,0.9866
60,-0.0938,-0.0388,0.9565
61,-0.0879,0.0144,0.9661
62,-0.0537,0.0139,0.9543
63,0.0056,0.0737,0.9668
64,0.0144,0.0703,0.9690
65,0.0649,-0.0059,0.9895
66,0.0588,-0.0420,1.0188
67,0.0090,-0.0427,1.0005
68,-0.0325,-0.0247,0.9895
69,-0.0520,-0.0298,0.9983
70,-0.0547,-0.0503,0.9749
71,-0.0171,-0.0562,0.9634
72,0.0276,0.0488,0.9741
73,0.0288,0.0386,0.9485
74,0.0645,0.0664,0.9807
75,-0.0015,-0.0122,0.9788
76,-0.0366,0.0405,0.9976
77,-0.0505,-0.0134,0.9692
78,-0.0557,-0.0317,0.9995
79,-0.0293,-0.0493,1.0015
80,-0.0225,-0.0679,0.9749
81,0.0142,-0.0212,0.9946
82,0.0361,-0.0027,0.9768
83,0.0129,0.0222,0.9661
84,0.0291,0.0249,0.9741
85,0.0107,0.0349,0.9758
86,0.0007,0.0422,0.9709
87,0.0076,-0.0227,0.9670
88,-0.0513,-0.0161,1.0239
89,-0.0483,-0.0093,0.9829
90,-0.0312,-0.0532,0.9758
91,-0.0461,-0.0081,1.0161
92,-0.0073,-0.0681,0.9680
93,0.0486,-0.0017,0.9739
94,0.0249,0.0383,0.9670
95,0.0249,0.0527,0.9602
96,0.0068,0.0178,0.9709
97,-0.0251,-0.0181,0.9976
98,-0.0056,0.0156,0.9797
99,-0.0344,-0.0151,0.9888
100,-0.0015,-0.0239,1.0090
101,0.0073,-0.0867,0.9761
102,-0.0371,0.0078,1.0356
103,-0.1526,-0.0352,1.0962
104,-0.1179,-0.0129,0.9524
105,-0.0532,0.4812,0.8792
106,0.0649,1.5278,0.7319
107,0.2019,1.9998,0.6060
108,0.1951,1.9998,0.8010
109,0.1882,1.9998,0.9338
110,0.0376,1.8889,0.9963
111,-0.0557,1.3979,1.2378
112,-0.0630,0.8843,1.2681
113,-0.0073,0.5562,1.2681
114,0.1055,0.7629,1.2180
115,0.1865,0.8491,1.0083
116,0.2896,1.1267,0.9397
117,0.1831,0.8723,0.8225
118,0.1206,0.5969,0.8098
119,-0.1509,0.1787,0.7720
120,-0.3872,-0.0774,0.7998
121,-0.5386,-0.3347,0.7954
122,-0.5337,-0.3982,0.9429
123,-0.3899,-0.1553,1.0217
124,-0.1394,0.2324,1.0298
125,0.1025,0.7095,1.0708
126,0.2166,0.6272,1.0393
127,0.2896,0.5867,1.1135
128,0.1956,0.6135,0.9866
129,0.0200,1.1106,0.9387
130,-0.0745,1.6284,0.8726
131,-0.1587,1.7124,0.8647
132,-0.1667,1.7271,0.9663
133,-0.1128,1.2749,0.9653
134,-0.0344,0.9692,1.0444
135,0.0811,0.6584,1.0989
136,0.1533,0.6040,1.0933
137,0.0754,0.6587,1.0366
138,0.0552,1.0808,0.9866
139,0.0007,1.1116,0.8225
140,0.0247,0.9602,0.8284
141,0.0840,0.8784,0.8794
142,0.1011,0.7661,0.8052
143,0.0967,0.7688,0.8918
144,0.0559,0.6426,0.9546
145,-0.1921,0.4670,1.0403
146,-0.2488,0.7507,1.2502
147,-0.2810,1.3313,1.2249
148,-0.0320,1.5532,0.9604
149,0.1665,0.3770,0.8176
150,0.1768,-0.6714,1.2327
151,0.2214,-0.2729,1.1487
152,-0.0369,1.1890,0.5981
153,-0.0994,1.9998,0.5154
154,-0.1074,1.7808,0.6782
155,-0.2300,0.3540,0.8979
156,-0.2412,-1.1687,1.3569
157,-0.1897,-1.9980,1.4448
158,-0.0476,-1.9983,1.3250
159,-0.1128,-1.9980,1.2944
160,-0.1421,-1.8972,1.1382
161,-0.0984,-0.8198,0.8333
162,-0.0376,0.0415,0.6245
163,0.1646,0.2012,0.4963
164,0.5229,-0.3364,0.5764
165,0.6704,-0.4946,0.8215
166,0.5574,-0.4226,0.8638
167,0.2544,0.2761,1.0588
168,-0.2173,0.9026,1.1809
169,-0.5613,1.5071,1.1594
170,-0.6619,1.9998,1.2346
171,-0.2986,1.9998,1.0989
172,-0.0886,1.2883,1.1282
173,0.2925,0.7561,1.3274
174,0.3574,0.1194,0.9319
175,0.2988,0.9673,0.8804
176,0.1270,1.2112,0.6448
177,-0.0867,0.9358,0.7493
178,-0.2781,0.5930,0.9749
179,-0.3093,-0.1362,0.8938
180,-0.1858,-0.5312,0.9495
181,0.0286,-1.3611,1.0610
182,0.2275,-1.5054,1.2551
183,0.1970,-0.8279,1.1421
184,0.0815,-0.2329,0.8850
185,-0.2068,0.0269,1.0015
186,-0.1970,-0.7886,0.7815
187,-0.1423,-1.2710,0.8518
188,-0.0515,-0.6882,1.1001
189,0.2212,-0.0962,0.7454
190,0.2661,0.6213,0.8499
191,0.1558,0.3772,1.0256
192,-0.0415,0.0933,1.0491
193,-0.2473,-0.0186,1.1177
194,-0.2603,-0.1160,1.1548
195,-0.1382,-0.3318,1.1226
196,0.0605,-0.1118,1.1067
197,0.1931,0.2585,1.0266
198,0.1479,0.3015,0.9319
199,0.0583,0.1089,1.0139
200,-0.1335,-0.2307,0.9067
201,-0.0361,-0.1101,0.8149
202,0.0481,-0.2656,0.8352
203,0.0913,0.4714,1.1169
204,0.2590,0.2263,0.7563
205,0.1841,-0.2551,0.8467
206,-0.0378,-0.3201,1.2075
207,-0.0857,0.0818,0.9631
208,-0.2803,0.7402,0.8442
209,-0.2349,0.7251,1.1099
210,-0.1013,0.3047,1.1575
211,-0.1589,0.0400,0.9575
212,0.2388,-0.0139,0.9905
213,0.2351,-0.1414,0.9595
214,0.2283,-0.1301,0.9905
215,0.1121,0.0764,0.9866
216,-0.1965,0.3525,0.9146
217,-0.1646,0.1775,0.7290
218,-0.2366,-0.3271,0.9651
219,-0.1970,-0.0178,1.2034
220,0.0999,0.0576,0.8784
221,0.1736,0.3240,1.0100
222,0.1426,-0.0581,1.1008
223,0.1587,-0.5339,1.0640
224,-0.1060,-0.2546,1.0962
225,-0.1721,-0.2908,0.9380
226,-0.1455,-0.3923,0.9351
227,-0.0918,-0.3218,0.9661
228,0.1318,-0.0847,0.9075
229,0.1936,0.2141,0.9851
230,0.2539,0.0864,1.1001
231,0.1257,0.0974,1.0198
232,0.0708,0.3591,0.8259
233,-0.0225,0.5374,0.7932
234,-0.1633,0.0962,0.9033
235,-0.0330,-0.4714,1.0454
236,-0.0327,-0.2900,1.0903
237,-0.0427,0.4956,0.9341
238,0.1077,0.5229,0.8677
239,0.0654,0.1882,1.1487
240,0.0403,-0.1167,1.2415
241,0.0273,-0.3306,0.9041
242,-0.0796,-0.3381,0.9976
243,0.0374,-0.4456,1.0278
244,0.0156,-0.1187,0.8882
245,0.0359,0.7065,0.9224
246,0.0261,1.0989,0.9319
247,-0.0093,0.7659,0.8860
248,0.0229,-0.5125,0.8618
249,0.0508,-1.2009,1.2085
250,0.0586,-0.9976,1.1526
251,0.0610,-0.0049,0.9116
252,-0.1191,0.6528,0.8892
253,-0.1907,0.5681,0.9319
254,-0.3083,0.2424,0.9602
255,-0.2849,0.0659,0.9895
256,-0.0544,-0.3938,0.9565
257,0.1445,-0.8062,1.0344
258,0.3337,-0.5212,1.0698
259,0.3848,0.2126,0.9475
260,0.0898,0.8589,0.9546
261,-0.1743,0.5220,1.0015
262,-0.3152,0.1018,1.0764
263,-0.3630,-0.2935,0.9124
264,-0.0757,0.0164,0.9614
265,0.1790,-0.3162,0.8491
266,0.3669,-0.5933,1.0237
267,0.2639,-0.1306,1.1418
268,0.0605,0.4778,0.8420
269,-0.0908,0.5754,0.7795
270,-0.2964,0.0017,1.0962
271,-0.2661,-0.4812,1.1011
272,-0.0728,-0.5608,0.9663
273,0.1536,-0.1118,1.0493
274,0.3157,-0.0723,0.9546
275,0.2183,0.2708,0.9934
276,-0.0544,0.5623,1.0129
277,-0.2708,0.6440,0.9897
278,-0.2834,0.0933,0.9204
279,0.0005,-0.7065,0.9172
280,0.0642,-1.0063,1.1096
281,0.2971,-0.0547,1.0151
282,0.1582,0.7290,0.7026
283,-0.0825,1.0747,0.8892
284,-0.2493,0.5901,0.9705
285,-0.3323,0.2427,0.9819
286,-0.2302,-0.0967,1.0754
287,0.1072,-0.4919,1.1274
288,0.2769,-0.7017,1.1946
289,0.3091,-0.2007,1.1057
290,0.1968,0.0742,0.9448
291,-0.1199,0.4128,1.0354
292,-0.3196,-0.1001,0.9573
293,-0.2893,-0.3220,0.9390
294,-0.1631,-0.2847,0.8020
295,0.1035,-0.2041,0.6946
296,0.2847,-0.2397,0.8723
297,0.2297,-0.0789,1.0059
298,0.0820,0.2976,1.0393
299,-0.1682,0.4868,0.9771
300,-0.2122,-0.0161,1.0862
301,-0.2578,-0.5317,1.2180
302,-0.0564,-0.6628,1.1929
303,0.0920,-0.2908,1.0093
304,0.2109,0.0518,0.9214
305,0.2629,0.2573,0.8218
306,0.1089,0.3267,0.8579
307,-0.0361,0.5696,0.8723
308,-0.2517,0.0342,0.8977
309,-0.1907,0.1985,1.1487
310,-0.0874,-0.3311,0.8567
311,0.0981,-0.2000,1.0913
312,0.1533,-0.5422,1.1694
313,0.0974,-0.2505,1.0510
314,-0.1287,0.3186,0.9426
315,-0.0818,0.4600,0.8169
316,-0.1086,0.2122,0.9172
317,0.0095,-0.0391,0.9995
318,0.1177,-0.0669,0.9370
319,0.0564,-0.0825,0.9487
320,0.1211,-0.0461,1.0024
321,-0.0891,-0.2507,1.0239
322,-0.1040,0.0842,1.1860
323,-0.1575,0.1360,1.0933
324,-0.1511,0.4871,1.0188
325,-0.0913,0.2737,0.8401
326,0.0037,0.1111,0.8560
327,0.0491,-0.2383,0.9065
328,0.2075,-0.3655,0.9143
329,0.0901,0.0991,0.9604
330,0.0295,0.3748,0.8352
331,0.0198,0.1716,0.8987
332,-0.2446,0.0251,1.1919
333,-0.1919,-0.4358,1.0825
334,-0.1333,-0.6599,1.0396
335,0.0596,-0.4314,1.2163
336,0.2739,-0.1621,0.9231
337,0.1917,0.4458,0.9253
338,0.0923,0.7834,0.9905
339,-0.0469,0.2961,0.8098
340,-0.1951,0.0872,0.8831
341,-0.0818,-0.4204,0.9016
342,-0.0181,-0.5818,0.9956
343,0.1211,-0.4351,1.0989
344,0.1169,-0.0015,1.0266
345,-0.0298,0.1575,0.9028
346,-0.0894,0.2407,1.0786
347,-0.1978,0.1426,1.0454
348,-0.0942,-0.2271,0.9612
349,0.0085,-0.3027,1.0793
350,0.1912,-0.5288,1.0334
351,0.3440,-0.1311,0.9233
352,0.2122,0.1790,0.9114
353,-0.0344,0.3352,1.0159
354,-0.1943,0.2268,0.9741
355,-0.3831,0.2083,0.8733
356,-0.2488,0.1917,0.8625
357,-0.0105,-0.2324,0.8726
358,0.1892,-0.4563,1.0454
359,0.3398,-0.1458,1.0784
360,0.1208,0.4399,0.9497
361,0.0647,0.8037,0.8940
362,-0.0864,0.3191,0.9263
363,-0.2290,0.1157,1.2134
364,-0.0554,-0.1689,1.0344
365,-0.0454,-0.4312,0.9670
366,0.0530,-0.4436,1.1001
367,0.1819,-0.3796,0.9526
368,0.0481,0.4585,0.9429
369,-0.0122,0.9065,0.9084
370,-0.1748,0.5356,0.8853
371,-0.2820,0.2209,1.1086
372,0.0039,-0.1672,0.9399
373,0.0916,-0.6990,0.8901
374,0.2825,-0.7676,1.1711
375,0.2676,-0.4519,0.9849
376,0.0374,0.4995,0.8120
377,-0.0066,0.6370,0.8069
378,-0.2534,0.0645,0.9907
379,-0.3706,0.0530,1.0894
380,-0.1829,0.1711,0.9006
381,0.0027,0.3486,0.9829
382,0.1836,-0.4497,1.0647
383,0.2722,-0.6890,1.2307
384,0.1101,-0.3782,1.0864
385,0.0112,0.0872,0.8274
386,-0.1824,0.0813,0.8801
387,-0.2485,0.1421,0.9214
388,-0.2146,0.2112,0.9211
389,-0.0408,0.3796,1.0022
390,0.1067,-0.1719,1.0454
391,0.1462,-0.0820,1.1528
392,0.2029,-0.3494,0.9282
393,0.1990,-0.1550,0.9314
394,0.0203,-0.2463,1.0483
395,-0.0332,-0.2048,0.9565
396,-0.1980,-0.1938,0.9417
397,-0.1599,0.2253,0.9602
398,-0.1165,0.2766,0.8577
399,-0.0957,0.1953,0.9312
400,0.1179,-0.0134,1.1331
401,0.0317,0.5657,1.1018
402,0.2202,0.4631,0.8127
403,0.1506,-0.3621,0.9214
404,-0.0234,-0.9119,1.3120
405,-0.0566,-0.5037,1.0142
406,-0.1223,0.2549,0.8081
407,-0.0188,0.1260,0.8513
408,-0.0449,-0.4187,1.0483
409,-0.0088,0.2563,1.0415
410,0.0203,0.4863,0.7666
411,0.0205,0.5940,0.9875
412,-0.0183,-0.4543,0.9683
413,0.0552,-0.7429,1.0493
414,-0.0376,-0.3525,1.0474
415,-0.0049,0.0679,0.9575
416,-0.0278,0.0728,0.9097
417,-0.2048,0.4011,1.0598
418,-0.1135,0.3674,0.9075
419,-0.0156,-0.0969,0.9329
420,0.1006,-0.4478,1.2971
421,0.2024,-0.5925,1.2349
422,0.2092,0.2275,0.9380
423,0.0950,0.5342,0.7759
424,-0.1685,0.5205,0.8853
425,-0.3064,-0.1675,0.8909
426,-0.1418,-0.1484,0.8938
427,-0.0857,-0.0466,0.9124
