Sample,X,Y,Z
0,-0.0129,0.0508,0.9475
1,-0.0237,-0.0027,0.9517
2,-0.0452,-0.0439,0.9856
3,-0.0508,-0.0024,0.9700
4,-0.0042,-0.0022,0.9595
5,-0.0027,-0.0017,0.9790
6,0.0125,-0.0042,1.0081
7,0.0066,-0.0400,0.9749
8,-0.0325,0.0186,0.9917
9,-0.0288,0.0591,0.9800
10,-0.0520,-0.0227,0.9546
11,0.0071,-0.0156,0.9849
12,0.0161,0.0029,0.9739
13,0.0447,0.0078,0.9722
14,0.0183,-0.0603,0.9771
15,-0.0452,-0.0286,1.0159
16,-0.0527,-0.0728,0.9651
17,-0.0806,0.0015,0.9817
18,-0.0510,-0.0188,0.9690
19,-0.0193,0.0132,0.9614
20,0.0100,-0.0012,0.9702
21,0.0242,0.0615,0.9790
22,0.0627,-0.0449,0.9663
23,0.0198,-0.0044,0.9985
24,-0.0264,-0.0706,0.9690
25,-0.0432,0.0039,0.9985
26,-0.0635,-0.0244,0.9846
27,-0.0374,0.0386,0.9934
28,0.0078,-0.0269,0.9719
29,0.0500,-0.0154,0.9758
30,0.0315,-0.0371,0.9751
31,0.0071,0.0195,0.9626
32,-0.0278,0.0227,0.9712
33,-0.0786,0.0503,0.9741
34,-0.0632,-0.0347,0.9683
35,-0.0691,-0.0618,0.9956
36,0.0144,-0.0381,0.9868
37,0.0220,0.0095,0.9829
38,0.0454,-0.0100,0.9729
39,0.0266,0.0081,1.0051
40,0.0046,-0.0239,0.9663
41,-0.0200,0.0444,0.9897
42,-0.0508,0.0344,0.9583
43,-0.0442,-0.0369,0.9927
44,-0.0398,-0.0349,0.9856
45,-0.0293,-0.0376,0.9741
46,0.0186,0.0442,0.9819
47,0.0171,-0.0417,0.9507
48,0.0222,-0.0120,1.0142
49,-0.0166,-0.0615,0.9536
50,-0.0562,0.0000,1.0015
51,-0.0779,0.0376,0.9465
52,-0.0417,-0.0281,0.9858
53,0.0266,-0.0115,0.9797
54,0.0212,-0.0740,0.9731
55,0.0750,0.0388,1.0051
56,0.0168,-0.0498,0.9546
57,-0.0415,0.0632,1.0171
58,-0.0781,-0.0481,0.9436
59,-0.0820,-0.0327,1.0022
60,-0.0405,0.0542,0.9634
61,0.0220,0.0024,0.9514
62,0.0847,0.0056,0.9878
63,0.1008,-0.0164,0.9719
64,0.0203,-0.0317,1.0015
65,-0.0266,-0.0356,0.9700
66,-0.1372,-0.0403,0.9995
67,-0.1526,-0.0183,0.9729
68,-0.0793,-0.0574,0.9634
69,-0.0012,0.0647,0.9895
70,0.1140,0.0027,0.9392
71,0.1287,0.0422,0.9985
72,0.0811,-0.0183,0.9641
73,-0.0225,0.0083,0.9856
74,-0.1194,-0.0015,0.9749
75,-0.1567,-0.0032,0.9751
76,-0.1062,-0.0427,0.9995
77,-0.0371,-0.0317,0.9800
78,0.0247,-0.0232,0.9829
79,0.1035,-0.0181,0.9895
80,0.1152,-0.0234,0.9829
81,0.0408,-0.0232,0.9729
82,-0.0120,0.0220,0.9663
83,-0.1094,-0.0168,0.9604
84,-0.1218,0.0410,0.9651
85,-0.1140,-0.0410,0.9604
86,-0.0500,-0.0076,0.9927
87,0.0574,-0.0483,0.9778
88,0.0708,-0.0051,0.9937
89,0.0898,0.0259,0.9797
90,0.0334,0.0330,0.9702
91,-0.0356,-0.0491,0.9917
92,-0.0837,-0.0203,0.9905
93,-0.0688,-0.0361,0.9751
94,-0.0610,0.0701,0.9846
95,0.0081,-0.0090,0.9438
96,0.0542,-0.0542,0.9751
97,0.0352,-0.0601,0.9702
98,0.0322,0.0212,0.9719
99,-0.0027,0.0134,0.9700
100,-0.0625,-0.0015,1.0015
101,-0.0732,-0.0220,0.9868
102,0.0164,-0.0505,0.9993
103,0.1741,0.0542,1.0627
104,0.4749,0.0237,0.9458
105,0.7856,0.3337,1.0032
106,1.0171,0.6018,0.8489
107,1.0012,0.6323,0.9028
108,0.7974,0.6038,0.9250
109,0.3159,0.4827,0.9592
110,-0.1997,0.5815,1.0132
111,-0.4597,0.5559,1.0012
112,-0.4265,0.5100,1.0627
113,-0.1265,0.4331,1.0630
114,0.3796,0.4346,1.1021
115,0.8081,0.2722,0.9983
116,1.0354,0.3794,1.0337
117,1.0015,0.4670,0.9143
118,0.8547,0.5498,0.8774
119,0.6917,0.5073,0.8569
120,0.6685,0.6399,0.8713
121,0.5901,0.5542,0.8394
122,0.6252,0.7222,1.0054
123,0.6606,0.5671,0.9797
124,0.5227,0.5259,1.1040
125,0.3665,0.5210,1.1069
126,0.2017,0.4299,1.0481
127,0.0774,0.4417,1.0569
128,0.0178,0.5044,1.0474
129,0.1677,0.3140,1.0239
