Sample,X,Y,Z
0,0.0042,-0.0789,0.9116
1,0.0168,0.0039,1.0022
2,0.0010,0.0610,0.9604
3,-0.0530,0.0015,0.9536
4,-0.0215,-0.0325,0.9937
5,-0.0471,-0.0349,0.9846
6,-0.0339,-0.0586,0.9595
7,0.0139,0.0085,0.9985
8,0.0381,0.0486,0.9690
9,0.0100,-0.0667,0.9661
10,-0.0308,0.0146,1.0415
11,-0.0527,-0.0366,0.9302
12,-0.0488,0.0269,1.0022
13,-0.0225,0.0496,0.9751
14,0.0105,-0.0835,0.9504
15,0.0205,-0.0195,1.0110
16,0.0339,0.0576,0.9536
17,-0.0059,0.0186,0.9568
18,-0.0449,-0.0200,1.0015
19,-0.0132,-0.0857,0.9771
20,-0.0469,-0.0652,1.0005
21,-0.0481,0.0806,0.9631
22,-0.0068,0.0073,0.9700
23,-0.0366,0.0049,1.0159
24,-0.0029,-0.0552,0.9348
25,0.0190,-0.0293,1.0100
26,0.0378,-0.0032,0.9631
27,-0.0107,-0.0188,0.9485
28,-0.0027,0.0310,1.0061
29,-0.0308,-0.0342,0.9663
30,-0.0518,-0.0679,0.9673
31,-0.0237,0.0830,0.9819
32,-0.0166,0.0479,0.9497
33,0.0039,-0.0403,0.9868
34,0.0073,-0.0317,1.0139
35,-0.0012,-0.0430,0.9624
36,-0.0046,0.0237,1.0002
37,0.0510,0.0088,0.9788
38,-0.0142,-0.1370,0.9690
39,-0.0178,-0.0166,1.0054
40,-0.0701,0.0183,0.9348
41,-0.1016,0.0271,0.9631
42,-0.0671,0.0410,0.9739
43,-0.0283,0.0149,0.9839
44,0.0825,-0.0042,0.9661
45,0.1074,-0.0203,0.9954
46,0.0488,0.0110,0.9875
47,-0.0176,-0.0862,0.9846
48,-0.0776,0.0063,1.0237
49,-0.1101,-0.0442,0.9436
50,-0.0688,0.0095,0.9836
51,-0.0369,-0.0347,0.9673
52,0.0356,-0.0146,0.9807
53,0.0281,-0.0620,0.9663
54,0.0176,0.0745,0.9954
55,0.0137,0.0637,0.9487
56,-0.0283,0.0037,0.9631
57,-0.0449,-0.0205,0.9846
58,-0.0420,-0.0457,0.9888
59,-0.0574,-0.0774,0.9722
60,0.0283,-0.0125,1.0208
61,0.0483,-0.0254,0.9875
62,0.0420,-0.0518,0.9641
63,0.0283,0.0581,0.9954
64,-0.0415,0.0142,0.9390
65,-0.0857,0.0066,0.9719
66,-0.0918,0.0496,0.9751
67,-0.0647,-0.0305,0.9517
68,0.0266,-0.0737,1.0071
69,0.0625,0.0132,0.9900
70,0.0469,0.0063,0.9592
71,0.0566,-0.0134,1.0063
72,-0.0132,-0.0808,0.9888
73,-0.0764,-0.1274,0.9614
74,-0.0935,0.0535,0.9963
75,-0.0586,0.1128,0.9409
76,-0.0366,0.0039,0.9607
77,0.0239,-0.0144,1.0132
78,0.0391,-0.0376,0.9758
79,0.0552,0.0034,0.9702
80,0.0349,-0.0027,0.9790
81,-0.0420,-0.0134,0.9973
82,-0.0718,-0.0454,0.9731
83,-0.0703,0.0483,0.9907
84,-0.0696,0.0190,0.9585
85,-0.0366,-0.0420,0.9868
86,0.0422,-0.0886,1.0022
87,0.0522,-0.0686,0.9800
88,0.0588,0.0535,0.9729
89,0.0085,0.0867,0.9585
90,-0.0662,-0.0093,0.9622
91,-0.0916,-0.0664,0.9875
92,-0.0740,-0.0483,0.9827
93,-0.0476,-0.0083,0.9641
94,0.0378,0.0378,0.9739
95,0.0959,0.0222,1.0032
96,0.0852,-0.0273,0.9534
97,0.0234,0.0139,0.9905
98,-0.0730,0.0283,0.9810
99,-0.1309,-0.1038,0.9556
100,-0.1292,-0.0190,1.0229
101,-0.0732,-0.0244,0.9602
102,0.1367,0.0134,0.9729
103,0.5254,-0.0586,0.9216
104,0.7632,-0.0654,1.0559
105,1.0708,-0.2544,0.9768
106,1.1985,-0.7102,1.0415
107,1.0911,-0.5701,1.1343
108,0.7971,-0.9246,0.8979
109,0.4192,-0.9128,1.0288
110,0.0007,-0.9634,0.9036
111,-0.3208,-0.9148,0.9370
112,-0.4724,-0.8911,0.9700
113,-0.3535,-0.5698,1.0432
114,-0.0918,-0.5154,1.0181
115,0.2515,-0.3843,1.0745
116,0.5142,-0.3696,1.0637
117,0.6575,-0.3591,1.0513
118,0.7319,-0.4302,0.9612
119,0.6606,-0.2981,0.9563
120,0.6125,-0.1233,0.8853
121,0.5420,-0.1113,0.8442
122,0.4856,0.1228,0.9160
123,0.4170,0.0596,0.8977
124,0.3770,-0.0815,1.0149
125,0.3823,-0.2249,1.0627
126,0.3220,-0.2581,1.1646
127,0.2837,-0.3569,1.1311
128,0.2561,-0.5017,1.1235
129,0.2041,-0.3813,1.0935
130,0.2097,-0.6365,0.9399
131,0.2317,-0.7771,0.9136
132,0.3052,-0.7927,0.8784
133,0.4465,-0.7209,0.8228
134,0.5051,-0.5535,0.8374
135,0.5649,-0.2542,0.8918
136,0.4768,-0.3088,0.9165
137,0.4800,-0.5151,1.0422
138,0.4524,-0.7322,1.1313
139,0.4114,-0.7332,1.1982
140,0.4731,-0.7170,1.1526
141,0.4514,-0.4880,1.1538
142,0.4387,-0.2830,1.0425
143,0.3452,-0.3022,0.9290
144,0.3042,-0.3286,0.9094
145,0.3335,-0.3154,0.7971
146,0.3430,-0.1296,0.8657
147,0.4807,0.0115,0.8071
148,0.5481,-0.0383,0.9243
149,0.5952,-0.1084,1.0188
150,0.5396,-0.4258,1.0129
151,0.4419,-0.4795,1.2229
152,0.2786,-0.7732,1.0991
153,-0.1875,-0.9597,1.2017
154,-0.5815,-0.5195,1.1021
155,-0.9773,-0.2871,0.8293
156,-1.3025,0.5696,0.9377
157,-1.2583,0.8569,0.6704
158,-1.0356,0.9224,0.8384
159,-0.5447,0.9299,0.9417
