Sample,X,Y,Z
0,-0.0466,0.0027,0.9924
1,-0.0044,-0.0410,0.9827
2,0.0347,-0.0022,0.9692
3,0.0281,0.0083,0.9661
4,-0.0215,0.0127,0.9827
5,-0.0740,0.0020,0.9709
6,-0.0818,0.0159,0.9719
7,-0.0457,-0.0149,0.9905
8,0.0146,-0.0022,0.9888
9,0.0627,-0.0164,0.9712
10,0.0496,0.0061,0.9963
11,0.0698,-0.0242,0.9829
12,-0.0176,-0.0522,0.9756
13,-0.0557,-0.0513,0.9966
14,-0.0713,-0.0781,0.9524
15,-0.1035,0.0134,0.9758
16,-0.0391,0.0466,0.9446
17,-0.0193,0.0186,0.9419
18,0.0310,0.0708,0.9995
19,0.0703,-0.0312,0.9329
20,0.0552,-0.0061,1.0286
21,0.0198,0.0015,1.0149
22,-0.0308,-0.0769,0.9631
23,-0.0764,0.0090,1.0598
24,-0.0720,-0.1194,0.9504
25,-0.0562,-0.0520,0.9915
26,-0.0110,0.0356,0.9624
27,0.0154,-0.0159,0.9038
28,0.0447,0.0801,0.9810
29,0.0144,-0.0322,0.9302
30,-0.0027,0.0142,0.9751
31,-0.0337,-0.0190,0.9915
32,-0.0479,-0.0007,1.0044
33,-0.0657,-0.0132,0.9966
34,-0.0308,-0.0381,1.0259
35,0.0125,0.0063,1.0034
36,0.0618,-0.0544,0.9507
37,0.0164,-0.0159,1.0151
38,-0.0593,-0.0122,0.9465
39,-0.0784,0.0168,0.9331
40,-0.1055,0.0229,0.9839
41,-0.0459,-0.0005,0.9331
42,0.0581,-0.0527,0.9514
43,0.1465,0.0154,1.0120
44,0.0803,-0.0569,0.9448
45,-0.0178,0.0120,1.0139
46,-0.1208,-0.0615,1.0022
47,-0.1567,-0.0256,0.9907
48,-0.1108,0.0007,0.9888
49,0.0415,0.0361,0.9788
50,0.1274,0.0317,0.9485
51,0.1394,-0.0029,0.9722
52,0.0415,-0.0090,0.9758
53,-0.1042,-0.0762,0.9456
54,-0.1367,-0.0181,0.9956
55,-0.1501,0.0002,0.9595
56,-0.0381,-0.0159,0.9670
57,0.0820,0.0010,0.9983
58,0.1282,-0.0232,0.9565
59,0.1118,-0.0479,0.9846
60,0.0093,-0.0520,1.0090
61,-0.0999,0.0139,0.9702
62,-0.1614,-0.0005,0.9758
63,-0.1321,0.0457,0.9963
64,-0.0430,-0.0178,0.9309
65,0.0464,0.0078,0.9944
66,0.1038,-0.0203,0.9722
67,0.0789,0.0159,0.9553
68,0.0332,0.0027,0.9897
69,-0.0093,0.0042,0.9944
70,-0.0586,-0.0288,0.9690
71,-0.0830,-0.0674,0.9924
72,-0.0811,-0.0791,0.9858
73,-0.0752,-0.0183,0.9673
74,-0.0039,0.0251,0.9583
75,0.0088,-0.0110,0.9604
76,0.0510,0.0110,0.9683
77,0.0520,-0.0205,0.9553
78,0.0525,0.0725,0.9758
79,0.0056,0.0115,0.9485
80,-0.0281,-0.0105,1.0110
81,-0.0879,-0.0518,1.0022
82,-0.0969,-0.0918,0.9875
83,-0.0452,-0.0110,1.0161
84,0.0034,-0.0349,0.9534
85,0.0417,-0.0356,0.9702
86,0.0667,-0.0181,0.9680
87,0.0161,0.0342,0.9302
88,-0.0408,0.0610,0.9507
89,-0.0508,-0.0105,0.9731
90,-0.0593,0.0188,0.9792
91,-0.0488,-0.0286,0.9771
92,0.0303,-0.0300,1.0132
93,0.0203,-0.0471,0.9868
94,0.0334,-0.0500,1.0005
95,0.0007,-0.0496,1.0005
96,-0.0352,-0.0068,0.9944
97,-0.0520,0.0107,0.9456
98,-0.0610,0.0171,0.9712
99,-0.0146,0.0608,0.9507
100,-0.0205,-0.0103,0.9260
101,0.0361,0.0271,0.9927
102,0.0317,-0.0020,0.9495
103,0.0105,0.0010,1.0015
104,-0.0046,-0.0676,1.0229
105,-0.0127,-0.0811,0.9956
106,-0.0828,-0.0764,1.0061
107,-0.0583,-0.0364,0.9897
108,-0.0408,0.0205,0.9485
109,-0.0334,0.0923,0.9456
110,0.0266,-0.0210,0.9377
111,0.0820,0.0320,0.9839
112,0.0950,-0.0288,0.9438
113,0.0500,0.0078,0.9937
114,-0.0459,0.0095,1.0022
115,-0.1423,-0.0283,0.9846
116,-0.1504,-0.0645,1.0071
117,-0.0881,-0.0923,1.0012
118,0.0378,-0.0254,0.9885
119,0.1504,0.0039,0.9641
120,0.1387,0.0464,0.9824
121,0.0774,0.0398,0.9397
122,-0.0630,0.0044,0.9543
123,-0.1331,0.0125,0.9722
124,-0.1577,-0.0938,0.9458
125,-0.1138,0.0244,1.0334
126,-0.0378,-0.0166,0.9595
127,0.0789,-0.0090,1.0034
128,0.1111,-0.0305,1.0276
129,0.1392,-0.0923,0.9700
130,0.0532,-0.0322,1.0071
131,0.0049,0.0354,0.9697
132,-0.1194,0.0254,0.9348
133,-0.1697,0.0798,1.0051
134,-0.1628,-0.0481,0.9211
135,-0.0835,-0.0010,0.9836
136,0.0344,-0.0337,0.9761
137,0.1431,0.0020,0.9670
138,0.1843,0.0090,0.9956
139,0.0940,-0.0061,1.0061
140,-0.0115,-0.0417,0.9885
141,-0.1646,-0.0842,1.0132
142,-0.2109,-0.0562,1.0002
143,-0.1912,-0.0161,0.9475
144,-0.0281,0.0618,0.9719
145,0.0642,-0.0129,0.9363
146,0.1814,-0.0024,0.9507
147,0.1831,0.0222,0.9504
148,0.1138,0.0359,0.9690
149,-0.0347,0.0554,0.9927
150,-0.1448,0.0007,1.0090
151,-0.1975,-0.0586,1.0198
152,-0.1711,-0.0693,1.0308
153,-0.0662,-0.0457,1.0024
154,0.0508,-0.0461,0.9888
155,0.1438,-0.0188,0.9644
156,0.1589,-0.0044,0.9280
157,0.0945,0.0356,0.9534
158,0.0125,0.0034,0.9250
159,-0.0876,-0.0188,0.9641
160,-0.1599,0.0151,0.9939
161,-0.1665,-0.0129,0.9631
162,-0.1135,0.0186,1.0298
163,-0.0286,-0.0303,1.0159
164,0.0518,-0.0557,1.0044
165,0.1328,-0.0239,1.0229
166,0.1377,-0.0120,0.9700
167,0.0889,0.0342,0.9707
168,-0.0144,0.0154,0.9602
169,-0.1174,-0.0156,0.9478
170,-0.0076,-0.1084,1.0005
171,-0.0100,-0.1040,1.0015
172,0.0237,-0.0325,0.9722
173,0.0098,0.0562,0.9653
174,-0.0178,0.0745,0.9553
175,-0.0356,-0.0159,0.9524
176,-0.0708,-0.0547,0.9868
177,-0.0188,-0.0581,0.9529
178,-0.0566,0.0234,0.9829
179,0.0173,0.0720,0.9976
180,0.0581,-0.0107,0.9641
181,0.0649,0.0244,1.0266
182,0.0518,-0.0693,0.9761
183,-0.0444,-0.0208,1.0012
184,-0.1116,0.0281,0.9805
185,-0.1353,-0.0298,0.9409
186,-0.0942,0.0349,1.0024
187,0.0142,-0.0911,0.9299
188,0.1021,-0.0383,0.9846
189,0.1091,-0.0122,0.9614
190,0.0815,-0.0022,0.9377
191,-0.0522,0.0398,0.9937
192,-0.1506,0.0015,0.9702
193,-0.1318,-0.0325,0.9756
194,-0.0503,-0.0371,1.0220
195,0.0564,-0.0061,0.9729
196,0.0957,0.0464,0.9712
197,0.1121,0.0420,0.9954
198,-0.0254,-0.0601,0.9631
199,-0.0864,-0.0679,0.9980
200,-0.1060,-0.0833,0.9741
201,-0.0630,0.0239,0.9712
202,0.0261,0.0706,0.9485
203,0.0647,-0.0010,0.9661
204,0.0471,0.0046,0.9683
205,0.0129,-0.0854,0.9348
206,-0.0864,-0.0283,1.0239
207,-0.0835,-0.0181,0.9583
208,-0.0540,0.0051,0.9790
209,0.0142,0.0581,1.0305
210,0.0691,-0.0476,0.9272
211,0.0525,0.0076,1.0139
212,0.0073,-0.0369,0.9663
213,-0.0486,-0.0129,0.9587
214,-0.1035,0.0823,1.0022
215,-0.1155,-0.0327,0.9380
216,-0.0466,0.0034,1.0024
217,0.0371,-0.0586,0.9519
218,0.0752,-0.0869,0.9768
219,0.0891,0.0071,0.9888
220,0.0603,-0.0234,0.9243
221,-0.0349,0.0591,1.0083
222,-0.0815,-0.0386,0.9583
223,-0.0864,-0.0264,0.9771
224,-0.0884,0.0366,0.9985
225,-0.0647,-0.0266,0.9380
226,-0.0132,0.0154,1.0061
227,0.0093,-0.0317,0.9634
228,0.0325,-0.0359,0.9614
229,0.0603,-0.0049,1.0120
230,0.0735,-0.0112,0.9614
231,0.0432,-0.0398,0.9692
232,-0.0139,0.0752,1.0159
233,-0.0935,-0.0049,0.9221
234,-0.1008,-0.0205,0.9907
235,-0.0955,-0.0981,0.9895
236,-0.0293,-0.0725,0.9556
237,0.0515,0.0151,0.9790
238,0.0854,0.0637,0.9719
239,0.0300,0.0164,0.9436
240,-0.0146,0.0059,1.0083
241,-0.0317,-0.0063,0.9604
242,-0.0476,-0.0378,0.9651
243,-0.0215,-0.0168,1.0327
244,-0.0398,-0.0322,0.9731
245,-0.0051,-0.0012,0.9731
246,-0.0068,-0.0391,1.0034
247,0.0066,-0.0398,0.9553
248,-0.0063,0.0078,0.9509
249,0.0063,0.0627,0.9709
250,-0.0354,0.0359,0.9419
251,-0.0349,0.0034,0.9824
252,-0.0527,-0.0688,1.0002
253,-0.0427,-0.0654,0.9934
254,0.0103,0.0310,0.9954
255,0.0471,-0.0066,0.9692
256,0.0535,-0.0178,0.9927
257,0.0400,-0.0549,0.9673
258,-0.0378,-0.0081,0.9719
259,-0.1016,-0.0022,0.9700
260,-0.1079,0.0254,0.9653
261,-0.0640,0.0190,0.9644
262,-0.0063,0.0032,0.9683
263,0.0771,-0.0293,0.9812
264,0.0837,-0.0063,0.9807
265,0.0562,-0.0491,0.9834
266,0.0154,-0.0144,0.9966
267,-0.0562,0.0037,0.9978
268,-0.0735,-0.0266,0.9780
269,-0.0518,-0.0388,0.9856
270,-0.0410,0.0256,0.9741
271,-0.0386,-0.0376,0.9419
272,-0.0034,0.0247,0.9878
273,0.0134,-0.0288,0.9438
274,0.0415,-0.0095,0.9778
275,0.0527,0.0359,0.9905
276,0.0303,0.0198,0.9644
277,-0.0254,-0.0059,1.0042
