Sample,X,Y,Z
0,-0.0122,0.0386,0.9534
1,0.0032,0.0032,0.9563
2,-0.0142,0.0491,0.9873
3,-0.0029,0.0134,0.9602
4,0.0029,-0.0508,0.9905
5,-0.0112,-0.0610,0.9993
6,0.0010,-0.0950,0.9944
7,-0.0120,-0.0466,0.9739
8,-0.0217,0.0759,0.9602
9,-0.0200,-0.0085,0.9429
10,-0.0283,0.0068,0.9976
11,-0.0081,0.0325,0.9749
12,-0.0398,0.0750,0.9670
13,-0.0032,-0.0051,0.9712
14,0.0173,-0.0620,1.0100
15,0.0156,-0.0586,0.9868
16,0.0137,-0.0400,0.9905
17,-0.0188,-0.0496,0.9739
18,-0.0374,-0.0154,0.9934
19,-0.0271,0.0386,0.9680
20,-0.0381,0.0420,0.9546
21,-0.0312,0.0610,0.9775
22,-0.0337,-0.0564,0.9604
23,-0.0166,-0.0498,1.0051
24,-0.0081,-0.0249,0.9751
25,0.0225,0.0376,0.9885
26,0.0061,-0.0212,0.9797
27,-0.0159,-0.0571,0.9927
28,-0.0032,0.0090,0.9810
29,-0.0164,0.0371,0.9536
30,-0.0022,-0.0132,0.9731
31,-0.0024,-0.0415,0.9878
32,0.0024,0.0178,0.9751
33,-0.0493,0.0427,0.9758
34,-0.0671,-0.0217,0.9817
35,-0.0449,-0.0627,0.9690
36,0.0083,0.0171,0.9827
37,0.0398,-0.0105,0.9478
38,0.0359,-0.0591,0.9797
39,0.0249,0.0215,0.9927
40,0.0022,0.0513,0.9590
41,-0.0288,0.0334,0.9771
42,-0.0632,-0.0254,0.9827
43,-0.0366,-0.0515,0.9771
44,-0.0312,0.0229,0.9927
45,-0.0107,-0.0413,0.9602
46,0.0188,-0.0566,0.9836
47,0.0415,-0.0061,0.9817
48,0.0066,-0.0066,0.9702
49,-0.0212,0.0305,0.9731
50,-0.0347,0.0349,0.9563
51,-0.0642,0.0056,0.9683
52,-0.0342,-0.0171,0.9846
53,-0.0132,-0.0049,1.0024
54,0.0103,0.0027,0.9702
55,0.0332,-0.0376,0.9968
56,0.0308,-0.0815,0.9907
57,-0.0242,0.0144,1.0071
58,-0.0283,0.0083,0.9575
59,-0.0691,-0.0237,0.9719
60,-0.0732,-0.0049,0.9719
61,-0.0417,0.0383,0.9631
62,-0.0107,-0.0085,0.9514
63,0.0181,0.0259,0.9963
64,0.0449,-0.0371,0.9641
65,0.0803,-0.0244,0.9966
66,0.0605,0.0476,1.0142
67,-0.0173,-0.0693,0.9543
68,-0.0806,-0.0706,0.9976
69,-0.1057,-0.0029,0.9858
70,-0.1157,0.0234,0.9419
71,-0.0518,0.0237,0.9651
72,0.0264,0.0210,0.9739
73,0.0752,-0.0388,0.9526
74,0.0820,0.0334,0.9839
75,0.0408,-0.0239,0.9739
76,0.0066,-0.0317,0.9976
77,-0.0618,-0.0515,0.9692
78,-0.0823,0.0288,0.9722
79,-0.0679,0.0098,0.9709
80,-0.0195,0.0559,0.9993
81,0.0083,-0.0244,0.9436
82,0.0312,-0.0569,0.9946
83,0.0452,-0.0208,1.0042
84,-0.0117,-0.0027,0.9817
85,-0.0410,0.0332,0.9624
86,-0.0540,-0.0366,0.9644
87,-0.0303,-0.0076,0.9868
88,-0.0435,0.0042,0.9565
89,-0.0049,0.0159,0.9641
90,0.0066,-0.0142,0.9866
91,0.0032,-0.0261,0.9993
92,0.0017,-0.0281,0.9944
93,-0.0176,0.0410,0.9946
94,-0.0281,-0.0151,0.9592
95,-0.0125,-0.0571,0.9875
96,-0.0222,-0.0156,0.9846
97,-0.0166,0.0566,0.9624
98,-0.0134,-0.0181,0.9534
99,-0.0413,-0.0393,0.9895
100,-0.0107,-0.0115,0.9709
101,-0.0132,0.0432,0.9758
102,-0.1030,-0.0330,1.0024
103,-0.1956,0.1333,1.0581
104,-0.2417,0.5952,0.9692
105,-0.2319,0.7983,0.7935
106,-0.0952,1.0767,0.8130
107,0.1582,1.1418,0.7991
108,0.3455,1.3860,0.9573
109,0.3901,1.3235,1.0608
110,0.4065,1.1978,1.0024
111,0.2065,0.9690,1.1907
112,0.0645,0.6721,1.0754
113,-0.1152,0.5574,1.0217
114,-0.2485,0.6265,1.0327
115,-0.1995,0.6763,0.9614
116,-0.1541,0.8479,0.8479
117,-0.1926,0.9172,0.8713
118,-0.0491,0.9419,0.8257
119,0.0518,0.9172,0.8831
120,0.1880,0.9729,0.9319
121,0.1899,0.7473,0.9016
122,0.1216,0.8167,1.0139
123,-0.0173,0.8713,0.9827
124,-0.1853,1.0256,1.0598
125,-0.2244,1.1614,1.0442
126,-0.0767,1.4067,1.0366
127,0.1543,1.3088,0.9417
128,0.2817,1.3831,0.9514
129,0.3354,1.4436,0.9417
130,0.2495,1.3157,0.9280
131,0.1213,0.9348,0.9612
132,-0.1111,0.6985,1.0256
133,-0.2847,0.4353,0.8840
134,-0.3562,0.3074,0.9631
135,-0.2871,0.3088,0.9797
136,-0.1545,0.4546,1.0024
137,-0.0286,0.5627,0.9700
