Sample,X,Y,Z
0,-0.0037,0.0220,1.0110
1,0.1233,-0.0312,0.9438
2,0.1370,-0.0042,1.0024
3,0.0859,0.0325,0.9800
4,-0.0217,-0.0508,0.9553
5,-0.1113,-0.0273,1.0093
6,-0.1531,0.0361,0.9631
7,-0.1204,0.0095,0.9810
8,-0.0117,-0.0239,0.9905
9,0.0615,-0.0479,0.9937
10,0.1274,-0.0112,0.9944
11,0.1060,-0.0059,0.9780
12,0.0447,0.0125,0.9875
13,-0.0342,-0.0342,0.9797
14,-0.0996,-0.0159,0.9788
15,-0.1079,0.0281,0.9768
16,-0.0754,-0.0474,0.9485
17,0.0007,0.0208,0.9944
18,0.0583,0.0132,0.9702
19,0.0945,0.0173,0.9927
20,0.0813,-0.0210,1.0063
21,0.0125,-0.0056,0.9927
22,-0.0398,-0.0415,0.9995
23,-0.0808,-0.0444,0.9758
24,-0.0842,0.0034,0.9829
25,-0.0396,-0.0276,0.9529
26,-0.0017,0.0049,0.9868
27,0.0540,0.0127,0.9536
28,0.0679,0.0247,0.9739
29,0.0479,0.0286,0.9966
30,0.0232,-0.0310,0.9719
31,-0.0376,-0.0188,1.0327
32,-0.0679,-0.0308,0.9778
33,-0.0767,-0.0117,0.9976
34,-0.0674,-0.0203,0.9934
35,0.0027,-0.0471,0.9634
36,0.0459,-0.0020,0.9910
37,0.0815,0.0259,0.9497
38,0.0491,0.0007,0.9741
39,0.0315,-0.0134,0.9817
40,-0.0176,-0.0022,0.9817
41,-0.0969,0.0242,0.9966
42,-0.0872,-0.0320,0.9719
43,-0.0288,-0.0066,0.9917
44,-0.0022,-0.0222,0.9839
45,0.0759,-0.0049,0.9683
46,0.0601,-0.0295,0.9956
47,0.0283,-0.0229,0.9954
48,-0.0249,-0.0073,0.9771
49,-0.0823,0.0212,0.9878
50,-0.0771,0.0381,0.9709
51,-0.0315,-0.0232,0.9673
52,0.0537,-0.0132,0.9937
53,0.0659,-0.0125,0.9741
54,0.0662,-0.0576,0.9856
55,0.0283,-0.0266,0.9878
56,-0.0479,0.0200,0.9807
57,-0.0925,0.0254,0.9680
58,-0.1047,-0.0105,0.9839
59,-0.0344,0.0059,0.9897
60,0.0164,-0.0256,0.9751
61,0.0769,0.0222,0.9993
62,0.1040,-0.0020,0.9712
63,0.0776,-0.0388,0.9954
64,0.0400,0.0032,0.9875
65,-0.0574,-0.0466,0.9583
66,-0.1296,-0.0278,1.0024
67,-0.1277,-0.0503,0.9465
68,-0.1025,0.0203,0.9985
69,-0.0027,0.0610,0.9780
70,0.0959,-0.0271,0.9536
71,0.1550,0.0383,1.0298
72,0.1162,-0.0251,0.9514
73,0.0215,-0.0186,1.0112
74,-0.0811,-0.0322,0.9973
75,-0.1235,-0.0366,0.9663
76,-0.1265,0.0115,0.9897
77,-0.0562,0.0037,0.9390
78,0.0369,0.0225,0.9836
79,0.1013,-0.0442,0.9709
80,0.0974,0.0396,0.9966
81,0.0659,0.0100,0.9875
82,0.0117,-0.0366,0.9817
83,-0.0730,-0.0042,1.0112
84,-0.1030,-0.0422,0.9788
85,-0.1221,-0.0605,0.9907
86,-0.0557,0.0034,0.9719
87,-0.0039,-0.0010,0.9536
88,0.0620,0.0181,0.9788
89,0.1138,0.0295,0.9651
90,0.0945,0.0601,0.9868
91,0.0161,0.0281,0.9934
92,-0.0210,-0.0393,0.9927
93,-0.0845,-0.0686,1.0217
94,-0.0781,-0.0168,0.9729
95,-0.0215,-0.0254,0.9731
96,-0.0127,-0.0325,0.9919
97,0.0310,-0.0537,0.9644
98,0.0352,0.0020,0.9934
99,-0.0098,0.0273,0.9602
100,0.0012,0.0571,0.9634
101,-0.0264,-0.0059,0.9866
102,0.0017,0.0439,1.0171
103,0.2024,0.0120,1.0210
104,0.4309,-0.0505,1.0356
105,0.7385,0.2427,1.0200
106,1.0266,0.5171,0.8853
107,1.1606,0.6287,0.9221
108,1.0549,0.6616,0.9331
109,0.7661,0.5642,0.9509
110,0.4202,0.7280,1.0151
111,0.1003,0.7407,0.8960
112,-0.0469,0.7551,0.9778
113,0.0229,0.7632,1.0103
114,0.1887,0.8052,1.0171
115,0.2815,0.8147,0.9973
116,0.3149,0.6711,0.9553
117,0.1448,0.5579,1.0120
118,-0.0447,0.3909,0.9875
119,-0.1074,0.3550,0.9966
120,-0.0842,0.3857,0.9517
121,0.2869,0.4458,0.9438
122,0.6577,0.3577,0.9387
123,1.0112,0.2478,1.0061
124,1.1187,0.2273,0.9895
125,0.9839,0.0483,0.9924
126,0.6741,0.0703,1.0474
127,0.3823,0.0369,1.0032
128,0.2046,0.3196,0.9680
129,0.2317,0.5464,0.9126
130,0.2825,0.4731,0.9087
131,0.3687,0.1047,1.0168
132,0.4292,0.0754,0.9934
133,0.3198,0.2073,0.9368
134,0.1091,0.3987,0.9495
135,-0.0415,0.4971,0.9399
136,-0.0439,0.6497,1.0452
137,0.1616,0.8635,0.9895
138,0.4282,0.7239,0.9856
139,0.6548,0.4890,1.0637
140,0.7573,0.2053,1.0305
141,0.7183,0.4192,1.0676
142,0.5444,0.4998,0.9231
143,0.3625,0.5786,0.8931
144,0.3369,0.6663,0.9446
145,0.3965,0.7249,0.9075
146,0.5347,0.6018,0.9055
147,0.5901,0.4067,0.9712
148,0.4905,0.1362,1.0190
149,0.3752,0.0364,1.0142
150,0.1792,0.2561,1.0491
151,0.0129,0.4653,0.9878
152,0.0374,0.4163,0.9670
153,0.0261,0.4521,1.0103
154,0.0225,0.4534,0.9631
155,-0.1824,0.1648,0.9446
156,-0.5161,-0.2654,1.0264
157,-0.8433,-0.5378,1.0728
158,-1.1685,-1.1541,1.0112
159,-1.1128,-0.9734,1.0781
160,-0.8074,-0.6851,0.9036
161,-0.3970,-0.0742,0.9331
162,0.2383,-0.0010,0.8169
163,0.6399,-0.1885,0.9155
164,0.8147,-0.5603,1.0015
165,0.8364,-0.8413,1.0022
166,0.7063,-0.7039,1.1265
167,0.5796,-0.3364,1.0452
168,0.5503,0.1707,1.0344
169,0.5757,0.3440,1.0256
170,0.5767,0.4075,0.9670
171,0.4604,0.4094,0.9534
172,0.2583,0.4673,0.9438
173,-0.0449,0.6196,0.8823
174,-0.4246,0.8054,0.9241
175,-0.5730,1.0042,0.9290
176,-0.6345,0.8411,0.9260
177,-0.5308,0.7114,0.9702
178,-0.3218,0.2847,0.9351
179,-0.0598,0.1917,1.1089
180,0.1604,0.1411,1.0679
181,0.1631,0.1873,1.0120
182,0.0774,0.4248,1.0454
183,-0.0378,0.3057,0.9407
184,0.0645,-0.0122,1.0969
185,0.2339,-0.2012,1.0447
186,0.3159,-0.5303,0.9465
187,0.3406,-0.5359,0.9839
188,0.2156,-0.5415,0.8245
189,-0.0789,-0.3718,0.8726
190,-0.2354,-0.2617,0.9016
191,-0.4565,-0.2361,0.8926
192,-0.5154,-0.3687,0.9622
193,-0.3696,-0.6960,0.9839
194,-0.1980,-0.7681,1.1194
195,0.0298,-0.5046,1.1606
196,0.0046,-0.4421,1.0767
197,0.0037,-0.1580,1.1401
198,-0.1055,-0.1133,0.9602
199,-0.2048,-0.0432,0.9575
200,-0.0525,0.1274,0.9211
201,0.1040,-0.0007,0.8118
202,0.2227,0.2061,0.9497
203,0.3792,0.3755,0.8062
204,0.2405,0.3960,0.8638
205,0.1838,0.4292,0.9897
206,0.0559,0.0327,0.9673
207,-0.1899,-0.1111,1.1870
208,-0.1458,-0.1035,1.0891
209,-0.2048,0.1755,1.0471
210,-0.1248,0.4133,1.0637
211,0.1182,0.5591,0.9624
212,0.1106,0.3806,0.9670
213,0.1357,0.5295,0.9875
214,0.0098,0.1997,0.8062
215,-0.0496,-0.0107,0.9514
216,0.0083,0.0117,0.9602
217,0.0212,0.0723,0.9182
218,0.0586,-0.0232,0.9973
219,0.1453,-0.1729,0.9485
220,0.1819,-0.1238,1.0315
221,0.2476,0.0466,1.0491
222,0.2068,0.0176,0.9563
223,0.0344,-0.1201,1.0627
224,-0.0222,-0.1189,1.0364
225,-0.1401,-0.2781,0.9282
226,-0.1304,-0.0598,1.0452
227,-0.0681,-0.1816,0.9045
228,-0.0344,-0.2117,1.0063
229,0.0007,-0.1221,0.9692
230,-0.0918,-0.2603,0.8469
231,-0.0999,-0.1648,1.0425
232,-0.0891,-0.2222,0.9456
233,-0.1667,-0.0391,1.0237
234,-0.1538,0.1138,1.0266
235,-0.1335,-0.0950,0.9043
236,-0.0588,-0.1245,1.0754
237,0.1226,0.0134,0.9836
238,0.0972,-0.0166,0.9299
239,0.1006,0.1592,1.0559
240,0.0171,-0.0491,0.8726
241,-0.1208,0.0996,1.0354
242,-0.0396,0.2659,0.9446
243,-0.1196,-0.0657,0.8638
244,-0.0161,0.1375,1.1409
245,0.1084,0.0210,0.8762
246,0.1165,0.1553,1.0366
247,0.1599,0.3049,1.0032
248,0.1416,0.0813,0.8899
249,0.0596,0.0774,1.1204
250,0.0688,0.2297,0.9602
251,-0.0059,0.1550,0.9084
252,0.0659,0.0737,1.0513
253,0.1367,-0.1436,0.8762
254,0.0620,-0.1438,1.0334
255,0.1082,0.0024,1.0015
256,0.0317,-0.1062,0.8521
257,-0.0679,0.2148,1.0815
258,-0.0103,0.1738,0.8442
259,-0.1396,0.0664,0.9771
260,-0.0908,0.1860,1.0833
261,-0.0415,-0.2349,0.8694
262,-0.0322,-0.1033,1.1890
263,0.0601,-0.0571,0.9812
264,-0.0220,-0.3438,0.9490
265,-0.0969,-0.1948,1.1997
266,-0.1963,-0.2422,0.8169
267,-0.1667,0.0432,0.9983
268,-0.0593,0.1257,0.9377
269,0.0146,-0.1418,0.7896
270,0.1257,0.0942,1.0852
271,0.1038,-0.0574,0.8403
272,0.0398,0.0503,1.0073
273,0.0630,0.1772,1.0659
274,-0.0542,-0.2087,0.9270
275,-0.1396,-0.2649,1.1987
276,-0.0864,-0.5408,0.9839
277,-0.0854,-0.2449,1.1128
278,0.0161,0.1694,1.0044
