Sample,X,Y,Z
0,0.0061,-0.0352,0.9631
1,-0.0029,0.0105,0.9888
2,0.0229,-0.0349,0.9751
3,-0.0149,-0.0183,0.9905
4,-0.0249,0.0024,0.9771
5,-0.0266,-0.0178,0.9927
6,-0.0012,-0.0337,0.9917
7,-0.0112,-0.0203,0.9780
8,0.0210,0.0479,0.9963
9,0.0310,-0.0200,0.9622
10,-0.0161,0.0042,0.9868
11,-0.0039,-0.0090,0.9868
12,0.0103,-0.0181,0.9692
13,-0.0400,-0.0334,0.9895
14,-0.0210,0.0198,0.9836
15,-0.0076,-0.0771,0.9771
16,-0.0305,0.0125,1.0073
17,-0.0078,0.0066,0.9604
18,0.0227,0.0168,0.9875
19,0.0293,-0.0237,0.9749
20,0.0259,0.0090,0.9885
21,0.0151,-0.0273,0.9817
22,-0.0413,-0.0190,0.9839
23,-0.0481,0.0149,0.9868
24,-0.0063,-0.0063,0.9778
25,-0.0137,-0.0144,0.9810
26,0.0076,-0.0154,0.9827
27,0.0474,-0.0271,0.9885
28,-0.0127,-0.0342,0.9946
29,-0.0334,0.0217,0.9768
30,-0.0005,0.0005,0.9722
31,-0.0229,0.0093,0.9788
32,0.0012,-0.0022,0.9729
33,0.0312,-0.0115,0.9868
34,-0.0010,-0.0537,0.9875
35,0.0012,0.0295,0.9875
36,-0.0015,-0.0410,0.9700
37,-0.0227,0.0012,0.9946
38,-0.0293,-0.0334,0.9653
39,-0.0325,0.0239,1.0015
40,0.0020,-0.0120,0.9673
41,-0.0056,-0.0081,0.9858
42,0.0161,-0.0146,0.9917
43,0.0544,-0.0188,0.9810
44,0.0251,-0.0071,0.9800
45,-0.0305,0.0195,0.9722
46,-0.0305,0.0078,0.9749
47,-0.0405,-0.0635,0.9924
48,-0.0413,-0.0017,0.9863
49,-0.0039,-0.0259,0.9683
50,0.0583,0.0566,0.9885
51,0.0420,-0.0452,0.9563
52,0.0117,0.0022,1.0090
53,-0.0134,-0.0383,0.9758
54,-0.0681,0.0273,0.9907
55,-0.0330,-0.0144,0.9719
56,-0.0364,-0.0596,0.9778
57,0.0059,-0.0283,0.9946
58,0.0708,0.0322,0.9546
59,0.0583,0.0249,0.9729
60,0.0322,-0.0146,0.9858
61,-0.0061,-0.0596,0.9985
62,-0.0627,0.0005,0.9866
63,-0.0969,0.0078,0.9709
