Sample,X,Y,Z
0,0.0198,-0.0166,0.9719
1,0.0103,-0.0073,0.9729
2,-0.0242,-0.0227,1.0054
3,-0.0151,0.0071,0.9524
4,-0.0378,0.0210,0.9917
5,-0.0186,-0.0151,0.9817
6,0.0312,-0.0063,0.9575
7,0.0117,-0.0144,0.9944
8,0.0181,0.0190,0.9634
9,-0.0181,-0.0415,0.9712
10,-0.0366,0.0520,1.0305
11,-0.0190,-0.0586,0.9360
12,-0.0271,-0.0176,1.0276
13,0.0034,0.0164,0.9739
14,0.0134,-0.0283,0.9595
15,0.0122,0.0227,1.0168
16,0.0266,0.0129,0.9399
17,-0.0022,-0.0056,1.0032
18,0.0010,-0.0371,0.9753
19,-0.0203,-0.0632,0.9739
20,-0.0283,0.0330,1.0168
21,-0.0220,-0.0132,0.9377
22,-0.0222,0.0352,1.0032
23,-0.0068,-0.0122,0.9797
24,0.0083,0.0085,0.9807
25,0.0217,-0.0610,0.9846
26,0.0164,0.0046,1.0024
27,0.0212,-0.0208,0.9595
28,-0.0105,-0.0081,0.9778
29,-0.0083,0.0427,0.9924
30,-0.0381,-0.0051,0.9575
31,-0.0396,-0.0515,1.0090
32,-0.0171,0.0161,0.9878
33,-0.0085,-0.0427,0.9749
34,0.0376,0.0029,0.9856
35,0.0310,-0.0068,0.9612
36,0.0076,0.0393,0.9917
37,-0.0171,-0.0867,0.9673
38,-0.0291,0.0259,1.0139
39,-0.0271,-0.0417,0.9504
40,-0.0449,0.0171,1.0161
41,0.0117,0.0183,0.9536
42,0.0227,0.0137,0.9790
43,0.0156,0.0437,1.0042
44,0.0330,-0.0579,0.9419
45,-0.0212,-0.0403,1.0286
46,-0.0190,0.0002,0.9556
47,-0.0547,-0.0247,0.9875
48,-0.0146,0.0469,0.9973
49,0.0151,-0.0645,0.9358
50,0.0066,0.0544,1.0354
51,0.0398,-0.0554,0.9380
52,0.0078,-0.0325,1.0044
53,-0.0244,-0.0046,0.9878
54,-0.0386,0.0161,0.9602
55,-0.0173,0.0022,0.9934
56,-0.0161,-0.0215,0.9683
57,0.0168,0.0117,0.9917
58,-0.0066,-0.0283,0.9956
59,0.0164,0.0159,0.9768
60,-0.0071,-0.0120,0.9895
61,-0.0171,0.0225,1.0020
62,-0.0012,-0.0320,0.9497
63,-0.0042,0.0056,1.0100
64,0.0183,-0.0261,0.9673
65,-0.0149,-0.0420,0.9875
66,0.0103,-0.0110,0.9868
67,-0.0229,0.0027,0.9763
68,-0.0374,0.0325,0.9778
69,-0.0117,-0.0208,0.9585
70,0.0129,0.0093,0.9956
71,0.0212,-0.0232,0.9612
72,0.0210,-0.0195,1.0034
73,0.0017,-0.0151,0.9934
74,-0.0103,-0.0161,0.9751
75,-0.0405,0.0225,0.9968
76,-0.0569,-0.0151,0.9739
77,-0.0242,-0.0222,0.9751
78,0.0007,-0.0076,0.9985
79,0.0239,0.0481,0.9810
80,0.0518,-0.0315,0.9631
81,0.0322,0.0159,0.9973
82,0.0210,-0.0212,0.9563
83,-0.0002,-0.0061,0.9985
84,-0.0686,-0.0774,0.9778
85,-0.0564,-0.0139,0.9973
86,-0.0337,-0.0107,0.9773
87,-0.0361,0.0249,0.9875
88,0.0415,0.0210,0.9661
89,0.0347,-0.0396,0.9729
90,0.0261,0.0442,1.0054
91,0.0300,-0.0073,0.9438
92,-0.0059,-0.0420,1.0022
93,-0.0393,0.0161,0.9878
94,-0.0420,-0.0068,0.9729
95,-0.0413,-0.0212,1.0159
96,-0.0132,-0.0154,0.9595
97,0.0305,-0.0144,0.9897
98,0.0366,-0.0122,0.9780
99,0.0139,0.0083,0.9709
100,0.0022,-0.0002,0.9849
101,-0.0532,-0.0093,0.9866
102,-0.0359,0.0364,0.9800
103,-0.0017,-0.0439,0.9670
104,0.0044,-0.0220,0.9988
105,0.0398,-0.0007,0.9624
106,0.0066,-0.0261,1.0071
107,0.0103,-0.0007,0.9817
108,-0.0256,-0.0225,0.9573
109,-0.0510,0.0442,1.0188
110,-0.0151,-0.0168,0.9312
111,-0.0203,-0.0259,0.9963
112,0.0139,0.0444,0.9915
113,0.0095,-0.0203,0.9634
114,0.0154,-0.0459,1.0012
115,0.0208,-0.0071,0.9790
116,-0.0315,0.0200,0.9937
117,-0.0122,-0.0386,0.9690
118,-0.0059,-0.0247,0.9829
119,-0.0220,0.0430,0.9829
120,-0.0085,-0.0522,0.9602
121,0.0210,0.0325,1.0195
122,0.0200,-0.0176,0.9573
123,-0.0112,-0.0134,0.9944
124,0.0027,0.0168,0.9741
125,-0.0261,0.0032,0.9661
126,-0.0381,-0.0137,0.9937
127,-0.0125,-0.0405,0.9741
128,-0.0127,0.0105,1.0051
129,-0.0020,-0.0205,0.9653
130,0.0242,-0.0105,0.9790
131,0.0208,0.0024,0.9888
132,0.0105,0.0154,0.9741
133,0.0042,-0.0103,0.9778
134,-0.0288,-0.0032,0.9934
135,-0.0398,-0.0195,0.9797
136,-0.0415,-0.0564,0.9946
137,-0.0098,0.0198,0.9866
138,0.0032,-0.0239,0.9712
139,0.0352,0.0122,0.9985
140,0.0471,-0.0227,0.9583
141,0.0056,0.0288,1.0012
142,-0.0010,-0.0020,0.9644
143,-0.0320,-0.0015,0.9846
144,-0.0403,-0.0183,0.9856
145,-0.0520,-0.0303,0.9927
146,-0.0159,-0.0039,0.9731
147,0.0010,-0.0068,0.9771
148,0.0117,0.0085,0.9954
149,0.0496,-0.0681,0.9595
150,0.0276,0.0100,1.0042
151,-0.0042,0.0112,0.9614
152,-0.0151,0.0217,0.9788
153,-0.0100,-0.0137,0.9790
154,-0.0325,0.0234,0.9817
155,-0.0195,-0.0364,0.9888
156,-0.0112,-0.0312,0.9895
157,-0.0229,-0.0486,0.9790
158,0.0144,0.0298,0.9966
159,0.0151,-0.0100,0.9653
160,0.0452,0.0222,0.9749
161,-0.0022,-0.0188,0.9976
162,-0.0024,0.0017,0.9797
163,-0.0229,-0.0396,0.9749
164,-0.0510,0.0381,0.9951
165,-0.0349,-0.0203,0.9661
166,-0.0144,0.0078,0.9934
