Sample,X,Y,Z
0,-0.1245,-0.0857,0.9907
1,-0.1145,-0.0049,0.9858
2,-0.0342,0.0244,0.9631
3,0.0686,0.0903,0.9712
4,0.1416,0.0164,0.9556
5,0.1138,-0.0139,1.0022
6,0.0564,-0.0198,0.9807
7,-0.0540,0.0269,1.0051
8,-0.1208,-0.0747,0.9709
9,-0.1038,-0.0349,1.0132
10,-0.0508,-0.0110,0.9644
11,-0.0244,-0.0339,0.9634
12,0.0400,0.0188,0.9680
13,0.0627,0.0347,0.9751
14,0.0972,0.0413,1.0054
15,0.0483,-0.0513,0.9651
16,-0.0054,0.0020,0.9944
17,-0.0317,-0.0151,0.9614
18,-0.1047,-0.0457,0.9927
19,-0.0901,0.0081,0.9944
20,-0.0520,-0.0007,0.9651
21,-0.0205,-0.0076,0.9946
22,0.0601,0.0242,0.9709
23,0.1177,0.0100,0.9771
24,0.0906,0.0061,0.9907
25,0.0354,-0.0415,0.9700
26,-0.0310,0.0034,1.0178
27,-0.0703,-0.0330,0.9651
28,-0.1335,-0.0776,0.9651
29,-0.1025,-0.0005,0.9897
30,-0.0437,0.0735,0.9663
31,0.0361,0.0098,0.9661
32,0.0964,-0.0227,0.9954
33,0.1089,0.0020,0.9807
34,0.0813,0.0415,0.9983
35,0.0044,0.0249,0.9868
36,-0.0688,-0.0808,0.9778
37,-0.0911,-0.0715,0.9885
38,-0.1091,-0.0090,0.9768
39,-0.0613,0.0181,0.9731
40,-0.0222,-0.0154,0.9639
41,0.0688,0.0583,0.9700
42,0.0894,0.0198,0.9695
43,0.0859,0.0369,1.0024
44,0.0232,-0.0120,0.9856
45,-0.0342,-0.0664,0.9897
46,-0.0449,-0.0513,0.9907
47,-0.0696,-0.0186,0.9751
48,-0.0862,0.0056,0.9927
49,0.0049,0.0234,0.9663
50,0.0146,0.0325,0.9905
51,0.0513,-0.0020,0.9683
52,0.0596,-0.0283,0.9602
53,0.0276,0.0610,0.9917
54,-0.0244,-0.0137,0.9739
55,-0.0564,-0.0715,1.0103
56,-0.0684,0.0076,0.9954
57,-0.0620,-0.0044,0.9438
58,-0.0164,-0.0486,0.9819
59,0.0261,0.0181,1.0002
60,0.0647,0.0222,0.9856
61,0.0864,-0.0181,0.9856
62,0.0322,-0.0181,0.9844
63,-0.0098,0.0637,0.9729
64,-0.0696,-0.0049,0.9446
65,-0.1084,-0.0144,0.9937
66,-0.0718,-0.0730,0.9875
67,-0.0115,-0.0090,1.0054
68,0.0088,0.0369,0.9819
69,0.0559,-0.0266,0.9612
70,0.0845,-0.0305,1.0142
71,0.0664,0.0195,0.9956
72,-0.0088,0.0005,0.9426
73,-0.0735,0.0249,0.9678
74,-0.0725,0.0366,0.9700
75,-0.0496,-0.0376,0.9719
76,-0.0190,0.0125,1.0237
77,0.0430,-0.0112,0.9622
78,0.0757,-0.0522,0.9993
79,0.0125,-0.0110,1.0042
80,-0.0024,-0.0376,0.9585
81,-0.0276,-0.0190,1.0022
82,-0.0701,0.0464,0.9758
83,-0.0603,-0.0066,0.9368
84,-0.0332,-0.0012,0.9846
85,0.0312,0.0105,0.9722
86,0.0408,-0.0344,0.9924
87,0.0339,-0.0017,1.0044
88,0.0522,0.0596,0.9878
89,-0.0068,-0.0034,0.9966
90,-0.0322,-0.0505,0.9741
91,-0.0364,-0.0237,0.9849
92,-0.0950,-0.0100,0.9973
93,-0.0498,-0.0781,0.9583
94,0.0125,0.0303,0.9966
95,0.0383,0.0566,0.9468
96,0.0889,0.0659,0.9653
97,-0.0083,-0.0544,0.9878
98,-0.0034,-0.0027,1.0081
99,-0.0098,-0.0701,0.9819
100,-0.0955,-0.0337,1.0129
101,-0.0081,-0.0105,0.9612
102,-0.0242,-0.0276,1.0229
103,-0.1023,0.1301,1.0608
104,-0.0791,0.3967,0.9768
105,-0.2207,0.5452,0.8752
106,-0.1599,0.6646,0.7817
107,-0.0342,0.8052,0.8433
108,0.0664,1.1868,1.0217
109,0.1531,1.2290,1.0098
110,0.1470,1.0198,1.0374
111,0.0803,1.1135,1.0012
112,-0.0115,1.1997,0.9810
113,-0.1052,0.8186,1.0442
114,-0.1794,0.8616,1.0100
115,-0.1223,0.8035,0.9514
116,0.0725,1.1968,0.9214
117,0.1648,1.0803,0.8264
118,0.2415,1.0833,1.0471
119,0.3169,0.7258,0.9182
120,0.1096,0.9629,0.9868
121,-0.1799,1.1575,0.8723
122,-0.4282,1.1216,0.8804
123,-0.4819,1.0083,0.9751
124,-0.4060,0.8801,1.0110
125,-0.1785,0.8870,1.0520
126,0.0820,1.1311,1.0217
127,0.2571,1.2075,0.9673
128,0.2920,1.0891,0.9397
129,0.2124,1.2083,1.0833
130,0.0239,0.9084,0.9241
131,-0.1216,0.7593,0.9917
132,-0.1619,1.0061,0.9309
133,-0.2788,0.9341,0.8140
134,-0.2122,0.9331,0.9644
135,-0.1245,0.7485,0.8960
136,0.0364,0.7405,1.0159
137,0.1411,0.6956,1.0198
138,0.0906,0.4185,0.9897
139,0.0425,0.5066,1.0979
140,0.0728,0.5911,0.9387
141,-0.1289,0.4885,0.9182
142,-0.1562,0.4785,0.9878
143,0.0559,0.5830,0.9487
144,0.0823,0.4360,1.0093
145,0.0898,0.7329,0.9878
146,-0.0361,0.6821,0.8188
147,-0.1509,0.5571,1.0327
148,-0.1646,0.6851,1.0298
149,-0.1404,0.6799,0.9690
150,0.0210,0.7395,1.0266
151,0.0454,0.5090,0.9319
152,0.0542,0.6487,1.0002
153,0.1104,0.8442,0.8394
154,0.0620,0.8550,0.8433
155,0.0823,0.4858,0.9468
156,-0.0725,-0.2839,1.1929
157,-0.2771,-0.3335,1.3557
158,-0.4753,-0.6265,0.9749
159,-0.5818,-0.8198,0.9475
160,-0.4175,-0.8699,0.8521
161,-0.1555,-1.0662,0.9331
162,0.0483,-1.1177,1.1135
163,0.1294,-1.0190,0.9348
164,0.1804,-0.9124,0.8013
165,0.3752,-0.2830,1.0737
166,0.6877,-0.1257,0.8892
167,0.6958,-0.0786,1.1028
168,0.6509,0.0315,1.0432
169,0.1938,0.1184,0.9094
170,-0.2593,0.5229,0.9390
171,-0.4734,0.8987,0.8743
172,-0.4861,1.1111,1.0081
173,-0.2544,1.0981,0.9849
174,-0.0591,0.9067,0.9888
175,-0.0085,0.8953,0.9290
176,0.0845,1.1077,0.9651
177,0.0618,0.9817,0.9778
178,0.0261,0.6274,1.1060
179,0.0518,0.1797,1.0288
180,-0.1721,0.3538,0.9553
181,-0.1118,0.2742,0.7197
182,-0.1545,0.0293,1.0510
183,0.0115,-0.5640,1.1702
184,0.1045,-0.4753,1.1323
185,0.1536,-0.6912,0.9136
186,-0.0142,-0.1262,1.0266
187,0.0942,-0.3994,0.6165
188,-0.1270,-0.5212,1.1362
189,-0.0642,-0.6521,1.0591
190,-0.1135,-0.3862,0.9573
191,-0.0513,-0.5251,0.8560
192,0.0623,-0.5122,0.9514
193,0.1006,-0.5486,1.0776
194,0.1118,-0.3174,1.1819
195,0.0149,-0.2383,1.0422
196,-0.0605,-0.1831,0.9475
197,0.0815,-0.1199,0.9319
198,0.1682,-0.0601,0.9358
199,0.1270,-0.1382,0.9683
200,0.0537,0.0837,0.9993
201,-0.1123,0.0649,0.8188
202,-0.2009,0.0046,0.9475
203,-0.1272,-0.0032,1.0178
204,-0.1145,0.1411,1.0942
205,-0.0366,0.3481,1.0688
206,-0.0020,0.2671,0.9497
207,0.1079,0.7336,1.0217
208,0.1533,0.2402,0.7500
209,0.1042,0.3015,1.1204
210,0.0376,0.0183,1.0854
211,-0.1267,0.2671,0.9829
212,-0.0620,0.1978,0.9194
213,0.0737,0.1851,0.9663
214,0.1111,0.0515,0.9517
215,0.1050,0.1765,1.0139
216,-0.0581,0.2068,0.9282
217,-0.1614,0.2061,0.9250
218,-0.0427,0.2146,0.9153
219,0.0369,-0.1562,1.0151
220,-0.0659,-0.2051,1.1382
221,-0.1467,-0.1875,0.9380
222,-0.2310,-0.2427,0.9995
223,0.0588,-0.0371,1.0627
224,0.2603,-0.0840,0.9133
225,0.3020,0.1099,1.0708
226,0.1997,-0.1323,0.8323
227,-0.0957,-0.4546,0.9280
228,-0.1763,0.2646,1.1001
229,-0.1851,-0.1699,0.6843
230,-0.2251,-0.2175,1.2388
231,-0.0459,-0.3362,1.0728
232,-0.0586,-0.4312,0.8650
233,-0.0266,-0.3804,1.1487
234,0.0273,-0.1843,0.8811
235,0.1384,0.2168,1.1431
236,0.1763,0.0479,0.9543
237,0.0544,-0.0649,0.8059
238,-0.0020,0.0730,0.9233
239,-0.0151,0.0945,0.9133
240,-0.0442,0.0251,1.1370
241,-0.0127,-0.0391,1.0474
242,0.0051,-0.2998,0.9048
243,0.0635,0.0312,1.0667
244,0.0999,-0.0242,0.9077
245,-0.0151,0.1501,1.0571
246,0.0149,0.1509,0.9390
247,-0.1599,0.2417,0.8284
248,-0.1406,0.3660,0.9309
249,0.0391,0.2688,0.9280
250,0.0994,-0.0955,1.0356
251,0.2017,0.0176,1.1331
252,-0.0039,-0.2371,0.9204
253,-0.0642,0.0071,1.0657
254,-0.1118,0.1609,0.9309
255,-0.2305,0.1780,0.9670
256,-0.1384,0.0891,0.9973
257,-0.1333,-0.0454,0.9819
258,-0.0010,0.2800,0.9390
259,0.0884,-0.1423,0.7700
260,0.0251,0.2036,1.1392
261,0.1584,0.0474,0.9429
262,0.0540,-0.2009,1.0776
263,0.0332,-0.6423,1.0342
264,0.0708,-0.3179,0.9973
265,0.0710,-0.1438,0.9944
266,-0.0088,0.0171,0.9995
267,-0.0220,0.0308,0.9321
268,0.0017,0.0264,0.8489
269,0.1101,0.2383,0.9829
270,-0.0247,0.1470,0.9194
271,-0.0684,-0.0486,1.0708
272,-0.1260,-0.1301,1.0442
273,-0.2104,-0.1399,0.9849
274,-0.0667,-0.0701,1.0190
275,-0.0603,0.2505,1.1060
276,0.1111,-0.1565,0.8403
277,0.0967,-0.1121,1.0842
278,0.0615,0.2366,0.9075
279,-0.0398,0.5901,0.7708
280,-0.0125,0.1978,0.9202
281,-0.0349,-0.0581,1.0930
282,-0.1218,-0.0974,1.0588
283,-0.2283,-0.0168,0.9944
284,-0.1157,-0.0186,0.9653
285,0.0991,-0.1045,0.9875
286,0.2307,-0.1313,1.0686
287,0.3647,-0.0757,1.0344
288,0.0498,0.0635,0.9634
289,-0.1143,0.0791,0.7717
290,-0.1777,-0.0696,0.9224
291,-0.1743,0.1689,1.0591
292,-0.0166,0.0999,0.9426
293,-0.0288,-0.2229,1.0610
294,0.0774,-0.3105,1.0061
295,0.1433,-0.0857,0.9243
296,-0.0127,-0.0569,1.1086
297,-0.0408,-0.0039,1.0764
298,-0.1987,-0.0994,0.9614
299,-0.1946,0.0791,0.9399
300,-0.0078,0.1597,0.8257
301,0.0417,0.2007,0.9556
302,0.2161,0.0127,0.9907
303,0.2366,0.0125,1.0435
304,0.0601,-0.0430,0.9260
305,-0.0298,-0.1426,0.9766
306,-0.1509,-0.1436,1.0962
307,-0.0945,-0.2197,1.0667
308,-0.0417,0.0811,1.1167
309,-0.0510,0.1252,0.8599
310,-0.0100,0.0642,0.8127
311,0.0698,0.0007,0.9456
312,0.1685,0.2229,1.0132
313,0.1143,0.0671,0.9485
314,-0.0981,-0.0964,1.0139
315,-0.1711,-0.1633,0.9260
316,-0.1816,-0.0896,1.0425
317,-0.0803,-0.0930,1.0842
318,0.1055,-0.1016,1.1001
319,0.1021,0.0417,0.9612
320,0.0437,0.0559,0.8420
321,-0.0344,0.0737,0.9214
322,-0.0801,0.1682,1.0295
323,-0.0813,0.1553,0.9810
324,-0.0249,0.0022,0.9729
325,-0.0168,-0.0798,0.9534
326,0.0422,-0.0701,0.9202
327,0.1731,-0.0227,1.0405
328,0.1353,-0.1938,1.0686
329,0.1125,0.1118,1.1069
330,0.0286,-0.1216,0.8247
331,-0.0874,-0.0742,0.9937
332,-0.1243,0.0767,0.9465
333,-0.1245,0.3687,0.9976
334,-0.1597,0.1880,1.0105
335,0.1155,-0.0403,0.9126
336,0.2195,-0.1804,0.9653
337,0.2017,0.1829,1.0081
338,0.0559,-0.1062,0.8813
339,-0.1914,-0.0769,1.2161
340,-0.1882,-0.1335,0.9448
341,-0.1584,0.0234,0.9429
342,-0.0161,-0.0105,0.9631
343,0.1458,-0.0679,0.9417
344,0.1787,0.0051,1.0774
345,0.1079,0.1396,0.9585
346,-0.0127,0.1470,0.8550
347,-0.1077,0.0203,0.9214
348,-0.0830,-0.2200,1.0474
349,-0.0449,0.0425,1.1272
350,-0.1384,-0.2856,0.8743
351,-0.0527,0.2256,1.0952
352,0.1235,0.0315,0.8176
353,0.0708,0.0349,1.0725
354,0.1555,-0.0942,1.0071
355,0.0500,-0.0867,0.9478
356,-0.0339,0.0295,1.0032
357,-0.1294,0.0876,0.9314
358,-0.1492,-0.1096,0.9602
359,-0.0471,-0.0479,1.0913
360,-0.0237,-0.0032,0.9448
361,0.0081,-0.1694,0.9368
362,0.0803,-0.0278,1.0601
363,0.1328,0.1721,0.9338
364,-0.1477,-0.2583,0.9495
365,-0.4165,-0.0811,1.2231
366,-0.3198,0.0410,0.8345
367,-0.1138,0.3110,0.9292
368,0.2656,0.1335,0.8899
369,0.5269,-0.1851,0.9514
370,0.3472,-0.2241,1.1057
371,-0.0654,-0.3821,0.8723
372,-0.3059,0.1694,1.1226
373,-0.3076,0.2080,0.9136
374,-0.1628,0.0361,0.9788
375,0.0601,-0.0593,1.1587
376,0.2102,-0.1135,0.8960
377,0.1848,0.1128,0.9194
378,-0.0032,0.2749,0.9585
379,-0.0483,0.1187,0.8979
380,-0.0271,-0.1299,1.0559
381,-0.0984,-0.0928,0.9731
382,-0.1487,-0.1841,0.8762
383,-0.1477,-0.0852,1.0735
384,0.0078,0.0874,1.0923
385,0.1445,0.0542,1.0513
386,0.1389,-0.2585,0.9565
387,0.1531,0.2654,1.0168
388,0.0408,0.1958,0.7358
389,-0.2302,0.2146,1.0735
390,-0.1431,0.0930,0.9478
391,-0.1941,0.1497,0.9417
392,0.1321,0.1152,0.9312
393,0.2249,-0.2219,0.9097
394,0.0745,-0.2285,1.1460
395,-0.0354,-0.0691,1.0522
396,-0.1624,0.0649,1.0579
397,-0.1394,-0.0081,0.9612
