Sample,X,Y,Z
0,-0.0056,-0.0217,0.9817
1,-0.0422,-0.0034,1.0242
2,-0.0510,-0.0518,0.9983
3,-0.0469,-0.0535,0.9866
4,0.0315,-0.0818,1.0002
5,0.0579,-0.0730,0.9897
6,0.0513,0.0635,1.0081
7,0.0159,0.0098,0.9192
8,-0.0725,-0.0437,0.9758
9,-0.0879,-0.0149,0.9866
10,-0.0718,-0.0142,0.9495
11,-0.0149,0.0735,0.9888
12,-0.0005,0.0718,0.9690
13,-0.0063,0.0186,1.0032
14,0.0244,0.0046,1.0247
15,0.0505,-0.0422,0.9917
16,0.0576,-0.1223,0.9885
17,0.0432,-0.1470,1.0149
18,-0.0352,-0.0112,0.9917
19,-0.0601,0.0779,0.9299
20,-0.1206,0.0012,0.9165
21,-0.0984,0.0188,1.0325
22,-0.0129,0.0500,0.9478
23,0.0532,0.0193,0.9993
24,0.1108,-0.0505,0.9829
25,0.0422,-0.1230,1.0071
26,0.0076,0.0562,1.0188
27,-0.0618,0.0110,0.9194
28,-0.0911,0.0010,1.0024
29,-0.0559,-0.0674,0.9995
30,0.0066,0.0325,1.0100
31,0.0454,0.0081,0.9485
32,0.0093,-0.0129,0.9888
33,0.0198,-0.0757,0.9780
34,-0.0164,0.0154,0.9885
35,-0.0293,0.0488,0.9331
36,-0.0601,-0.0518,0.9758
37,-0.0483,-0.0457,1.0396
38,0.0361,-0.0513,0.9702
39,0.0583,0.0547,0.9800
40,0.0669,0.0518,1.0090
41,-0.0176,-0.1135,0.9507
42,-0.0559,-0.0210,1.0403
43,-0.1106,0.0732,0.9380
44,-0.1077,-0.0361,0.9463
45,-0.0781,-0.0042,1.0500
46,0.0337,-0.0588,0.9338
47,0.1208,0.0566,0.9878
48,0.1340,0.0376,0.9985
49,0.0881,-0.0312,0.9983
50,-0.0261,-0.0649,1.0120
51,-0.1201,-0.0076,0.9497
52,-0.2009,-0.0530,0.9595
53,-0.1160,0.0222,0.9924
54,-0.0044,-0.0530,0.9565
55,0.0969,0.0947,1.0142
56,0.1282,0.0051,0.9761
57,0.0798,0.0037,1.0295
58,0.0154,-0.0674,0.9895
59,-0.0881,-0.0361,0.9651
60,-0.1218,-0.0500,0.9836
61,-0.0896,-0.0347,0.9651
62,-0.0107,-0.0569,0.9534
63,0.0510,0.0410,0.9839
64,0.0876,0.1025,0.9956
65,0.0415,0.0586,0.9810
66,-0.0203,0.0007,0.9875
67,-0.0630,-0.0173,0.9800
68,-0.1069,-0.0532,0.9800
69,-0.0422,-0.0376,1.0220
70,0.0044,-0.1265,0.9456
71,0.0652,-0.0156,1.0015
72,0.0706,0.0452,0.9946
73,0.0576,0.0085,0.9692
74,-0.0044,0.0229,0.9739
75,-0.0752,-0.0115,0.9739
76,-0.1165,-0.0107,0.9829
77,-0.0637,-0.0210,0.9768
78,-0.0022,-0.0183,0.9692
79,0.0083,-0.0547,0.9858
80,0.0657,-0.0073,0.9927
81,0.0503,0.0393,0.9888
82,0.0100,0.0825,0.9761
83,-0.0261,-0.0239,0.9988
84,-0.0535,-0.0410,1.0159
85,-0.0520,-0.0066,0.9749
86,-0.0701,0.0229,0.9417
87,-0.0117,-0.0488,0.9856
88,0.0122,-0.1179,1.0032
89,0.0520,-0.0498,1.0073
90,0.0452,0.0627,0.9446
91,0.0000,0.0068,0.9905
92,-0.0088,0.0073,0.9800
93,-0.0500,-0.0327,0.9839
94,-0.0361,0.1331,0.9905
95,-0.0493,0.0107,0.9497
96,-0.0374,-0.0642,1.0112
97,-0.0278,-0.0774,1.0181
98,0.0283,-0.0881,0.9749
99,0.0271,0.0337,1.0117
100,0.0134,0.0310,0.9478
101,-0.0181,-0.0520,0.9729
102,-0.0476,0.0049,1.0444
103,-0.0745,0.2959,0.9966
104,0.0613,0.7661,0.9028
105,0.1685,1.0815,0.7939
106,0.1460,1.2280,0.8970
107,0.0640,1.4846,0.9797
108,-0.0369,1.5161,0.9478
109,-0.1951,1.5667,1.0569
110,-0.2319,1.2920,0.9907
111,-0.2007,0.9927,0.9468
112,-0.1694,0.9106,1.0923
113,0.0881,0.3262,0.9963
114,0.1257,0.1790,1.1135
115,0.1541,0.5059,1.1206
116,0.0984,0.6841,0.8296
117,-0.0359,0.6523,0.8931
118,-0.2097,0.3162,0.9993
119,-0.2429,0.3811,0.9202
120,-0.1606,0.7397,0.8335
121,0.0344,0.8579,0.8140
122,0.1807,0.9709,0.8645
123,0.2612,1.2190,0.9866
124,0.1211,1.1838,1.0569
125,-0.0420,1.1997,1.1587
126,-0.2117,1.2756,1.0618
127,-0.3132,1.1633,1.0325
128,-0.2659,1.2700,1.0435
129,-0.1494,1.1196,0.8784
130,-0.0378,0.9495,0.8879
131,0.0449,0.6072,1.0042
132,0.1831,0.5745,0.9631
133,0.2874,0.5698,0.8745
134,0.3386,0.5854,0.8638
135,0.0740,0.3916,0.9976
136,-0.1475,0.5259,1.0864
137,-0.2390,0.7424,0.9333
138,-0.2817,0.8345,0.8579
139,-0.1013,0.8860,1.0129
140,0.0510,0.7434,1.0383
141,0.1594,0.6360,0.9641
142,0.1135,1.0452,1.0198
143,0.0396,0.9192,0.9153
144,-0.0986,0.8638,1.0552
145,-0.2590,0.5081,0.9729
146,-0.3367,0.7073,0.9631
147,-0.2791,0.8293,0.9700
148,-0.0566,1.0054,0.9497
149,0.0964,0.5447,0.8342
150,0.1147,0.6594,1.0940
151,0.1143,0.7776,0.9841
152,0.2305,0.8381,0.8577
153,0.3235,0.5596,0.9458
154,0.2847,-0.1318,1.1663
155,0.0193,-0.7944,1.2551
156,-0.1851,-1.2244,1.0776
157,-0.3757,-1.2798,1.0002
158,-0.3086,-1.4744,0.8628
159,-0.0645,-1.4790,1.0159
160,0.2097,-1.2515,0.9114
161,0.2170,-0.8435,0.7886
162,0.0613,-0.3042,0.8042
163,-0.1592,0.0303,0.8540
164,-0.2693,0.1467,0.9465
165,-0.2314,0.4553,1.0637
166,-0.0435,1.0198,1.0510
167,0.2986,1.2485,0.9438
168,0.4751,1.1614,1.1565
169,0.4514,1.1343,1.1245
170,0.1101,1.3774,0.9609
171,-0.4468,1.6489,1.0786
172,-0.7185,0.7737,0.8577
173,-0.6375,0.2805,1.0286
174,-0.0928,0.2874,0.9280
175,0.3125,0.3018,0.9260
176,0.5134,-0.4832,0.9927
177,0.4204,-0.8242,1.1829
178,0.1782,-1.2720,0.8264
179,-0.0637,-0.4849,1.1047
180,-0.1377,-0.0950,0.8921
181,-0.3062,-0.1609,0.8687
182,-0.2502,0.0288,1.1116
183,-0.0847,0.2200,0.8010
184,0.0945,0.6411,0.9146
185,0.2942,0.5161,0.9585
186,0.1050,-0.1338,0.9797
187,-0.1646,-0.3538,1.2329
188,-0.2351,0.0149,1.2375
189,-0.1426,-0.3477,0.7991
190,0.0789,-0.7664,1.0361
191,0.3396,-0.4509,1.1558
192,0.3464,-0.2825,0.9048
193,0.2583,0.0747,0.9016
194,-0.0486,-0.2961,0.7075
195,-0.3240,-0.1597,0.9846
196,-0.3066,-0.0295,0.9995
197,-0.2837,0.0029,0.9575
198,-0.1758,-0.0503,1.0432
199,-0.0464,-0.2615,1.0005
200,0.1335,-0.0063,1.1704
201,0.2397,0.1094,0.9758
202,0.2324,0.1135,1.0286
203,0.0869,0.4077,1.0239
204,-0.0266,0.2454,0.7954
205,-0.0491,0.7209,0.9836
206,0.0945,0.6392,0.8472
207,0.1560,0.4016,0.8831
208,0.2209,-0.0049,1.0522
209,0.0884,0.1016,1.2192
210,-0.1350,0.0276,0.9875
211,-0.3079,-0.0205,0.9231
212,-0.4194,-0.1736,1.0405
213,-0.2964,-0.2449,1.0181
214,-0.1318,-0.4768,0.9143
215,0.0454,-0.0806,0.9026
216,0.2168,0.0356,0.8579
217,0.3921,0.1343,1.0061
218,0.3579,-0.2046,0.9895
219,0.1313,-0.1213,0.9673
220,-0.1333,0.0767,1.0806
221,-0.2908,0.0334,1.0120
222,-0.2942,0.0732,1.0012
223,-0.2168,-0.0828,0.9995
224,-0.1252,0.0354,1.0999
225,-0.0391,-0.1240,0.8918
226,-0.0178,-0.2292,0.9104
227,0.0249,-0.1064,0.9624
228,0.1418,-0.2615,0.8638
229,0.1606,-0.1960,1.0903
230,0.1333,-0.4492,0.9797
231,-0.0029,-0.2390,1.0229
232,-0.0845,0.3706,0.9937
233,-0.1255,0.2700,0.8071
234,-0.0618,0.0632,1.1265
235,0.0566,0.0093,1.0991
236,0.0999,0.2317,0.8459
237,0.0117,0.4956,0.9644
238,-0.0884,-0.0520,0.9397
239,-0.1475,-0.3198,1.0784
240,-0.1008,-0.2480,0.9465
241,0.0063,0.2500,0.9858
242,0.1367,0.1609,0.9700
243,0.1387,-0.0627,1.0347
244,0.1306,-0.3113,1.0034
245,0.1294,0.2163,1.0747
246,0.0991,0.0452,0.7961
247,0.0388,0.1897,0.9993
248,-0.1294,0.2007,1.0259
249,-0.3071,0.1284,0.9722
250,-0.3035,0.1843,0.9761
251,-0.3042,-0.2400,0.8052
252,-0.0967,-0.0027,1.0432
253,0.0981,-0.0540,1.0200
254,0.2681,-0.2756,0.9905
255,0.2756,-0.2266,1.0464
256,0.2166,0.0706,1.0295
257,0.0474,-0.0908,0.8958
258,-0.0815,-0.0813,1.0227
259,-0.1511,-0.2119,0.9026
260,-0.0920,0.2805,1.0227
261,-0.0288,0.3525,0.9165
262,-0.0771,0.0935,0.9446
263,-0.1978,0.0276,1.1011
264,-0.2742,-0.1973,0.9661
265,-0.1003,-0.0984,0.9836
266,0.1255,-0.2417,0.9377
267,0.2405,-0.2390,1.0083
268,0.2776,-0.0457,1.0288
269,0.1162,0.0042,0.8977
270,-0.0469,0.1558,0.9575
271,-0.1116,0.1667,0.8979
272,-0.1265,-0.0566,0.9761
273,0.0234,0.0203,1.2356
274,0.0325,0.2778,1.0923
275,0.0361,0.1118,0.8354
276,-0.1340,-0.1326,1.0981
277,-0.2468,-0.3684,0.9390
278,-0.2202,-0.1016,0.9272
279,-0.0391,0.2493,0.8918
280,0.1802,-0.1133,0.8098
281,0.3235,-0.2405,1.0513
282,0.2236,-0.2017,1.0969
283,0.0317,0.2603,0.9604
284,-0.2253,0.2996,0.8650
285,-0.3330,-0.0278,1.0300
286,-0.1921,-0.2859,1.1284
287,-0.1331,-0.4016,1.0454
288,-0.0151,0.0969,1.0842
289,0.1260,0.3430,0.8337
290,-0.0361,-0.2532,0.8489
291,-0.0146,-0.1401,1.2161
292,-0.0081,-0.2031,0.8245
293,-0.0442,0.2971,0.8127
294,0.1333,0.2595,0.9543
295,0.1484,-0.1846,1.0393
296,0.0444,-0.3772,1.1118
297,0.0142,-0.0706,0.9553
298,-0.1443,0.0969,0.9045
299,-0.1631,0.4751,1.1704
300,-0.1326,-0.0806,1.0012
301,-0.1252,-0.1240,1.1548
302,-0.1006,0.0916,0.8987
303,-0.1428,0.0220,0.7476
