Sample,X,Y,Z
0,-0.0151,-0.0896,0.9761
1,-0.0476,0.0278,0.9739
2,-0.0413,0.0894,0.9438
3,-0.0066,0.0044,0.9534
4,0.0181,0.0217,0.9888
5,0.0168,-0.0459,0.9680
6,0.0066,-0.0713,0.9917
7,0.0115,-0.0713,1.0249
8,0.0125,-0.0125,0.9858
9,-0.0317,-0.0063,0.9761
10,-0.0662,0.0808,1.0022
11,-0.0586,0.0083,0.9565
12,-0.0615,-0.0217,0.9895
13,-0.0164,0.0090,0.9944
14,0.0605,0.0017,0.9592
15,0.0820,0.0408,0.9924
16,0.0977,0.0156,0.9915
17,-0.0007,-0.0923,0.9790
18,-0.0684,-0.0801,1.0149
19,-0.1418,-0.0786,0.9758
20,-0.1270,-0.0740,0.9614
21,-0.0898,0.0256,0.9966
22,0.0222,0.0151,0.9497
23,0.0947,0.0527,0.9836
24,0.1116,0.0608,0.9907
25,0.0669,-0.0142,0.9673
26,0.0061,-0.0122,1.0093
27,-0.0710,-0.0115,0.9973
28,-0.1160,0.0068,0.9888
29,-0.0759,-0.0269,0.9849
30,-0.0317,-0.0608,0.9995
31,0.0156,-0.0605,0.9778
32,0.0520,-0.0164,0.9624
33,0.0476,0.0310,0.9800
34,0.0303,0.0581,0.9749
35,-0.0220,-0.0042,0.9741
36,-0.0876,-0.0005,1.0100
37,-0.0869,-0.0842,0.9780
38,-0.0566,-0.0916,0.9856
39,-0.0105,-0.0295,0.9829
40,0.0474,0.0095,0.9700
41,0.0645,-0.0100,0.9768
42,0.0481,0.0508,1.0178
43,0.0234,0.0327,0.9592
44,-0.0210,0.0383,0.9878
45,-0.0476,0.0845,1.0112
46,-0.0378,-0.0620,0.9565
47,-0.0623,-0.0188,1.0171
48,-0.0693,-0.1218,0.9829
49,-0.0325,-0.1587,0.9758
50,-0.0247,-0.0750,1.0112
51,0.0371,0.0452,0.9526
52,0.0605,0.0715,0.9338
53,0.0332,0.1526,1.0012
54,0.0352,0.0530,0.9514
55,-0.0393,-0.0574,0.9993
56,-0.0613,-0.0500,1.0337
57,-0.0588,-0.1096,0.9683
58,-0.0161,-0.0474,1.0146
59,0.0005,-0.0303,0.9954
60,0.0022,-0.0129,0.9731
61,-0.0024,-0.0107,0.9758
62,-0.0029,0.0388,0.9702
63,-0.0120,0.0576,0.9546
64,-0.0112,0.0452,0.9595
65,-0.0015,0.0093,0.9846
66,-0.0159,-0.0210,0.9834
67,-0.0227,-0.0388,0.9856
68,-0.0269,-0.0852,1.0127
69,0.0107,-0.0930,1.0181
70,-0.0286,-0.0610,1.0159
71,-0.0178,-0.0220,0.9670
72,-0.0215,0.0059,0.9702
73,-0.0198,0.1035,0.9810
74,-0.0171,0.0366,0.9260
75,-0.0081,0.0630,0.9810
76,0.0251,-0.0186,1.0034
77,-0.0078,-0.1067,0.9517
78,0.0037,-0.0500,1.0220
79,0.0012,0.0708,1.0083
80,-0.0144,-0.0779,0.9575
81,-0.0386,0.0144,1.0522
82,-0.0254,-0.0667,0.9712
83,-0.0591,-0.1018,0.9517
84,-0.0049,0.0076,1.0112
85,0.0281,0.0132,0.9458
86,0.0271,0.0527,0.9468
87,0.0146,0.1306,1.0042
88,0.0085,0.0178,0.9456
89,-0.0508,-0.0955,0.9995
90,-0.0508,-0.0720,1.0247
91,-0.0593,-0.0920,0.9709
92,-0.0261,-0.0200,0.9963
93,0.0098,-0.0076,1.0142
94,0.0378,0.0298,0.9778
95,0.0122,0.0198,0.9680
96,0.0117,0.0544,0.9741
97,-0.0010,-0.0178,0.9517
98,-0.0542,-0.0330,0.9885
99,-0.0515,-0.0181,0.9868
100,-0.0515,-0.0605,0.9741
101,-0.0298,-0.0422,1.0173
102,0.0381,-0.0410,1.0129
103,0.2844,-0.0420,1.0649
104,0.6331,0.0801,1.0142
105,1.0005,0.4226,0.9778
106,1.3306,0.8206,0.8616
107,1.3264,0.8745,0.8525
108,0.9788,1.0122,0.9722
109,0.3032,0.7625,0.8860
110,-0.3706,0.7573,0.9888
111,-0.8113,0.6243,1.0203
112,-0.8640,0.4075,1.0510
113,-0.5349,0.3303,1.1594
114,0.0217,0.2600,1.1331
115,0.6887,0.2175,1.0483
116,1.0110,0.2327,1.0063
117,1.1848,0.2786,0.9292
118,1.0588,0.3394,0.8218
119,0.8381,0.3511,0.8281
120,0.6509,0.4465,0.8381
121,0.5295,0.2837,0.8472
122,0.4729,0.2437,1.0259
123,0.4172,0.1340,1.0522
124,0.3960,0.2620,1.1604
125,0.2368,0.4065,1.1516
126,0.1582,0.5237,1.0950
127,0.1260,0.8491,1.0679
128,0.1221,0.7122,0.8977
129,0.2534,0.7131,0.9543
130,0.3518,0.5469,0.8354
131,0.4338,0.5278,0.7964
132,0.4602,0.6733,0.7612
133,0.4202,0.6704,0.9429
134,0.5054,0.4587,1.0618
135,0.4827,0.2690,1.1743
136,0.5701,0.3015,1.2522
137,0.6118,0.1501,1.1106
138,0.5669,-0.1089,1.1819
139,0.4521,0.0601,1.0725
140,0.3005,0.0840,0.8052
141,0.1873,0.4470,0.8362
142,0.0544,0.2234,0.6565
143,0.0251,0.2954,0.7612
144,0.2988,0.5833,0.8333
145,0.4065,0.4058,0.8833
146,0.5044,0.5237,1.1692
147,0.5559,0.4834,1.1392
148,0.5054,0.6838,1.2161
149,0.5005,0.5459,1.2502
150,0.3665,0.2358,1.1626
151,0.3088,0.0652,1.0845
152,0.3091,0.5242,0.9866
153,0.0500,0.7280,0.6196
154,-0.3188,0.7017,0.7476
155,-0.7583,0.0789,0.8120
156,-1.2371,-0.7729,0.9788
157,-1.4390,-0.9666,1.0820
158,-1.2358,-1.3455,0.9878
159,-0.6130,-1.1450,1.1731
160,0.1670,-0.9585,1.1223
161,0.9446,-0.3760,1.0347
162,1.3394,-0.4021,0.9670
163,1.3167,-0.4265,1.0347
164,1.0229,-0.5815,0.8831
165,0.4700,-0.1433,0.9087
166,0.0159,0.5750,0.9163
167,-0.2585,0.6663,0.7668
168,-0.3806,1.0081,1.0227
169,-0.3254,1.1487,0.9846
170,-0.2429,0.8723,0.9573
171,-0.1714,0.8164,1.1812
172,0.0083,0.7463,1.0637
