Sample,X,Y,Z
0,0.0034,0.0386,0.9517
1,-0.0237,0.0085,0.9683
2,-0.0178,0.0242,1.0093
3,0.0396,-0.0266,0.9446
4,-0.0120,-0.0234,0.9966
5,-0.0193,-0.0474,0.9917
6,-0.0278,-0.1160,0.9673
7,-0.0344,-0.0012,1.0181
8,-0.0261,0.0205,0.9702
9,0.0100,0.0134,0.9683
10,-0.0100,0.0320,0.9905
11,0.0166,0.0664,0.9651
12,-0.0073,-0.0217,0.9575
13,0.0010,0.0002,1.0393
14,-0.0203,-0.1335,0.9712
15,-0.0310,-0.0056,0.9934
16,-0.0310,0.0149,0.9800
17,-0.0198,-0.0081,0.9751
18,-0.0168,-0.0720,0.9885
19,-0.0327,0.0024,1.0181
20,0.0159,-0.0281,0.9468
21,-0.0061,-0.0066,0.9800
22,0.0134,0.0630,0.9976
23,0.0347,-0.0105,0.9229
24,-0.0269,0.0083,0.9995
25,-0.0093,0.0549,1.0132
26,-0.0359,-0.1135,0.9448
27,-0.0476,0.0002,1.0591
28,0.0115,-0.0471,0.9761
29,-0.0122,-0.0173,0.9897
30,-0.0034,0.0051,0.9753
31,-0.0371,-0.0522,0.9761
32,-0.0071,0.0234,0.9868
33,-0.0232,-0.0349,0.9614
34,-0.0146,0.0588,0.9973
35,0.0020,-0.0449,0.9287
36,0.0022,-0.0283,0.9976
37,0.0217,-0.0132,0.9976
38,-0.0149,-0.0349,0.9722
39,-0.0085,0.0229,1.0198
40,-0.0029,0.0078,1.0071
41,-0.0637,-0.0466,0.9700
42,-0.0476,-0.0195,1.0129
43,-0.0149,-0.0012,0.9768
44,0.0002,-0.0322,0.9419
45,0.0129,0.0068,0.9927
46,0.0627,0.0813,0.9641
47,0.0076,-0.0491,0.9380
48,-0.0029,0.0554,1.0442
49,-0.0173,-0.1226,0.9563
50,-0.1042,-0.1067,1.0159
51,-0.0332,0.0400,1.0344
52,-0.0288,-0.0759,0.9241
53,-0.0142,0.0295,1.0308
54,0.0544,0.0237,0.9585
55,0.0093,0.0195,0.9456
56,0.0007,0.0898,0.9897
57,0.0427,-0.0176,0.9573
58,-0.0386,-0.0891,1.0002
59,-0.0479,-0.0264,1.0112
60,-0.0403,-0.0483,0.9604
61,-0.0552,0.0044,1.0288
62,-0.0396,0.0137,0.9712
63,-0.0176,-0.0432,0.9641
64,0.0051,-0.0249,1.0129
65,0.0330,-0.0901,0.9556
66,0.0195,0.0610,1.0061
67,0.0215,0.0796,0.9492
68,0.0417,-0.0244,0.9526
69,-0.0234,-0.0730,1.0317
70,-0.0645,-0.0215,0.9788
71,-0.0879,-0.0532,0.9565
72,-0.0774,0.1062,1.0396
73,0.0110,-0.0850,0.9370
74,0.0259,-0.0276,1.0100
75,0.0518,0.0654,0.9897
76,0.0461,-0.0337,0.9368
77,-0.0283,-0.0132,1.0227
78,-0.0564,-0.0574,0.9856
79,-0.0469,-0.0068,0.9575
80,-0.0305,0.0364,0.9866
81,0.0066,-0.0071,0.9692
82,0.0151,-0.0825,0.9810
83,0.0200,-0.0134,1.0100
84,-0.0076,0.0000,0.9885
85,-0.0225,0.0610,0.9790
86,-0.0398,-0.0530,0.9641
87,-0.0376,0.0327,1.0151
88,-0.0469,-0.0559,0.9524
89,-0.0061,0.0129,0.9946
90,0.0420,-0.0203,0.9885
91,0.0344,0.0071,0.9922
92,-0.0034,-0.0457,0.9436
93,-0.0564,-0.0005,1.0239
94,-0.0288,-0.0283,0.9683
95,-0.0852,-0.0515,0.9800
96,0.0125,0.0881,1.0247
97,0.0220,-0.0745,0.9299
98,0.0552,-0.0046,1.0305
99,0.0391,-0.0354,0.9778
100,-0.0217,0.0249,0.9653
101,-0.0447,-0.0134,0.9749
102,0.0374,0.0481,0.9661
103,0.3628,-0.0322,0.9348
104,0.6975,-0.0654,1.0552
105,1.1497,-0.2961,1.0737
106,1.4116,-0.9019,1.1018
107,1.5425,-0.9810,1.2317
108,1.1790,-1.2009,0.9985
109,0.5759,-1.0522,0.9651
110,0.0056,-0.9556,0.9104
111,-0.5642,-0.8882,0.8167
112,-0.7117,-0.6636,0.8381
113,-0.5483,-0.5510,0.8765
114,-0.1494,-0.5310,0.9497
115,0.2656,-0.5015,1.0188
116,0.5100,-0.3347,1.0737
117,0.5405,-0.1379,1.1018
118,0.3701,-0.0645,1.0903
119,0.2366,0.0767,1.0796
120,0.2441,0.1934,0.9868
121,0.3586,0.2256,0.9624
122,0.6213,0.2856,0.9634
123,0.8843,0.1985,0.9280
124,0.9866,0.0718,0.9556
125,0.8801,-0.0327,1.0210
126,0.5920,-0.2029,1.0308
127,0.3247,-0.3979,1.0657
128,0.1238,-0.6448,1.0903
129,-0.0310,-0.8364,1.0959
130,0.0012,-1.0144,0.9829
131,0.0562,-1.0483,0.9651
132,0.1504,-0.7856,0.9075
133,0.1472,-0.9126,0.9280
134,0.2544,-0.7271,0.8411
135,0.4253,-0.5815,0.9397
136,0.5181,-0.1699,0.9099
137,0.6995,-0.3718,0.9644
138,0.8306,-0.5884,1.1780
139,0.8042,-0.5776,1.1096
140,0.7288,-0.6121,1.1040
141,0.6479,-0.3003,1.0530
142,0.4585,-0.3687,0.9192
143,0.3726,-0.1582,0.9963
144,0.3162,-0.1189,0.8911
145,0.2466,0.0662,0.9104
146,0.3254,-0.1624,0.9106
147,0.3459,-0.3474,1.0161
148,0.4260,-0.1392,1.1147
149,0.4595,-0.1558,1.0344
150,0.4094,-0.5730,1.1216
151,0.3369,-0.9597,1.1577
152,0.3289,-0.9497,1.0383
153,-0.1548,-0.6287,0.8647
154,-0.6147,-0.2490,0.8286
155,-1.2087,-0.1401,0.7249
156,-1.6177,0.5903,0.7983
157,-1.6111,1.0315,0.6387
158,-1.2651,1.2627,0.8813
159,-0.3330,1.1311,1.1350
160,0.5159,0.6997,1.2104
161,1.2446,0.6721,1.3889
162,1.5911,0.3765,1.2661
163,1.4797,0.1318,1.2124
164,1.1653,-0.0527,1.1050
165,0.6633,-0.0503,0.9048
166,0.1770,-0.0393,0.7437
167,-0.0964,-0.1079,0.7375
168,-0.2732,-0.4253,0.7083
169,-0.3777,-0.5195,0.8323
170,-0.4683,-0.6990,0.8784
171,-0.5435,-0.9441,1.0552
172,-0.4937,-1.2156,1.2124
173,-0.4177,-1.3149,1.2268
174,-0.1299,-1.0620,1.2219
175,0.1946,-0.8738,1.1021
176,0.4563,-0.5378,1.0151
177,0.6321,-0.1941,0.8491
178,0.5715,0.2505,0.7632
179,0.3645,0.5586,0.7515
180,0.1919,0.7512,0.6858
181,-0.0266,1.0090,0.9006
182,-0.1260,0.9172,0.9573
183,-0.1174,0.6272,1.1467
184,-0.1218,0.3069,1.2512
185,-0.1021,0.1084,1.2261
186,-0.1792,0.2271,1.2153
187,-0.2427,0.2146,1.0337
188,-0.2800,0.1389,0.9651
189,-0.3174,0.1292,0.8616
190,-0.3042,0.2246,0.7358
191,-0.1985,0.2039,0.7437
192,-0.0786,0.0508,0.8472
193,0.0522,-0.1919,0.9182
194,0.0764,-0.2966,1.0435
195,0.0764,-0.3745,1.1233
196,0.0176,-0.6714,1.1692
197,-0.0791,-0.5125,1.2632
198,-0.0913,-0.5229,1.0637
199,-0.0659,-0.2292,0.9956
200,-0.0183,0.0388,0.8694
201,0.0925,0.3013,0.7661
202,0.1003,0.4329,0.7844
203,0.1289,0.4844,0.8413
204,0.1165,0.3062,0.8579
205,0.0786,0.1780,1.0222
