Sample,X,Y,Z
0,0.0435,-0.0635,1.0071
1,-0.0684,-0.0271,0.9849
2,-0.1248,0.0598,0.9509
3,-0.1492,0.1055,0.9575
4,-0.0364,0.0747,0.9712
5,0.0693,0.0088,0.9924
6,0.1106,-0.0386,0.9849
7,0.1160,-0.0603,1.0034
8,0.0352,-0.1592,1.0044
9,-0.0901,-0.1433,1.0315
10,-0.1655,-0.0203,0.9712
11,-0.1733,0.0403,0.9614
12,-0.0803,0.0371,0.9807
13,0.0349,0.0542,0.9602
14,0.1316,0.0618,0.9290
15,0.1606,0.0508,0.9780
16,0.1174,0.0415,1.0093
17,-0.0083,-0.0242,0.9778
18,-0.1257,-0.0535,0.9924
19,-0.1624,-0.0889,1.0181
20,-0.1560,-0.1494,1.0256
21,-0.0833,-0.1331,1.0198
22,0.0081,-0.0740,0.9631
23,0.1140,0.0430,0.9409
24,0.1294,0.1008,0.9407
25,0.1140,0.2017,0.9497
26,0.0544,0.1821,0.9526
27,-0.1152,0.0151,0.9565
28,-0.1279,-0.1431,1.0344
29,-0.1738,-0.1848,1.0483
30,-0.1121,-0.1604,1.0256
31,0.0308,-0.0781,1.0042
32,0.1152,-0.0242,0.9778
33,0.1826,0.0676,0.9624
34,0.0940,0.0378,0.9563
35,-0.0283,0.0378,0.9673
36,-0.1431,0.0615,0.9653
37,-0.2070,0.0588,0.9409
38,-0.1138,-0.0349,0.9702
39,-0.0183,-0.0244,1.0217
40,0.0715,-0.0291,0.9819
41,0.1616,-0.0342,1.0129
42,0.1106,-0.0989,1.0190
43,0.0552,-0.1357,1.0061
44,-0.0725,-0.0354,0.9905
45,-0.1626,0.0339,0.9536
46,-0.1558,0.0300,0.9553
47,-0.0757,0.0481,0.9817
48,0.0251,0.1167,0.9641
49,0.0884,0.0479,0.9348
50,0.0972,-0.0745,0.9836
51,0.0718,-0.0720,1.0315
52,-0.0352,-0.0330,0.9846
53,-0.1021,-0.0723,0.9797
54,-0.0874,-0.0664,1.0276
55,-0.0378,-0.0593,1.0042
56,0.0063,0.0239,0.9700
57,0.0603,0.0396,0.9419
58,0.0391,0.0488,0.9749
