Sample,X,Y,Z
0,-0.0066,-0.0125,0.9644
1,-0.0105,-0.0266,0.9827
2,-0.0239,-0.0293,0.9810
3,-0.0278,-0.0305,0.9780
4,-0.0144,0.0085,0.9907
5,-0.0239,0.0261,0.9749
6,0.0137,0.0056,0.9778
7,-0.0020,-0.0325,0.9800
8,0.0181,-0.1104,0.9709
9,0.0037,0.0046,1.0034
10,-0.0161,-0.0063,0.9475
11,-0.0383,0.0642,0.9836
12,-0.0376,0.0386,0.9895
13,-0.0525,0.0217,0.9517
14,0.0203,-0.0452,0.9788
15,0.0173,-0.0227,0.9995
16,0.0183,-0.1104,0.9553
17,0.0051,0.0093,1.0117
18,-0.0256,-0.0015,0.9788
19,-0.0637,0.0051,0.9702
20,-0.0325,0.0190,0.9751
21,-0.0264,0.0073,0.9656
22,0.0149,-0.0361,0.9741
23,0.0425,-0.0049,0.9729
24,0.0061,-0.0420,0.9800
25,-0.0090,0.0076,0.9895
26,-0.0110,-0.0037,0.9592
27,-0.0562,0.0139,0.9944
28,-0.0474,-0.0698,0.9670
29,-0.0146,-0.0249,0.9888
30,-0.0037,0.0303,0.9731
31,0.0166,-0.0029,0.9739
32,0.0466,-0.0061,0.9817
33,0.0090,0.0203,0.9836
34,-0.0388,0.0242,0.9690
35,-0.0469,-0.0107,0.9741
36,-0.0652,-0.0408,0.9849
37,-0.0317,-0.0486,0.9731
38,0.0137,-0.0378,0.9888
39,0.0305,-0.0054,0.9858
40,0.0271,-0.0413,0.9680
41,0.0115,-0.0042,0.9895
42,-0.0195,-0.0088,0.9683
43,-0.0435,0.0571,0.9612
44,-0.0593,-0.0022,0.9680
45,-0.0383,0.0156,0.9827
46,0.0022,-0.0649,0.9692
47,0.0208,0.0693,1.0005
48,0.0349,-0.0393,0.9485
49,0.0376,-0.0042,1.0034
50,-0.0183,-0.0447,0.9788
51,-0.0608,-0.0491,0.9780
52,-0.0520,-0.0608,0.9895
53,-0.0454,0.0361,0.9800
54,-0.0020,0.0117,0.9448
55,0.0342,0.0537,0.9946
56,0.0415,-0.0220,0.9448
57,0.0090,-0.0051,0.9778
58,-0.0278,-0.0308,0.9792
59,-0.0593,-0.0334,0.9875
60,-0.0315,-0.0554,0.9849
61,-0.0166,0.0112,0.9810
62,0.0249,-0.0278,0.9724
63,0.0293,0.0452,0.9878
64,0.0044,-0.0051,0.9634
65,-0.0105,0.0779,0.9868
66,-0.0513,-0.0066,0.9702
67,-0.0540,-0.0286,0.9800
68,-0.0168,-0.0652,0.9800
69,-0.0046,-0.0051,0.9868
70,0.0269,-0.0090,0.9690
71,0.0229,-0.0361,0.9819
72,-0.0210,-0.0198,0.9868
73,-0.0366,-0.0205,0.9668
74,-0.0537,-0.0161,0.9749
75,-0.0288,-0.0063,0.9758
76,0.0198,-0.0042,0.9514
77,0.0347,0.0356,0.9907
78,0.0261,0.0276,0.9670
79,-0.0088,-0.0310,0.9846
80,-0.0532,-0.0491,0.9995
81,-0.0613,-0.0161,0.9761
82,-0.0405,-0.0005,0.9751
83,0.0071,0.0527,0.9751
84,0.0320,-0.0029,0.9702
85,0.0469,0.0330,0.9885
86,0.0168,-0.0588,0.9800
87,-0.0010,-0.0667,0.9897
88,-0.0483,-0.0413,0.9741
89,-0.0703,-0.0017,0.9758
90,-0.0513,-0.0286,0.9575
91,-0.0366,-0.0105,0.9868
92,-0.0061,0.0410,0.9751
93,0.0430,-0.0535,0.9622
94,0.0662,0.0188,0.9993
95,0.0483,0.0212,0.9468
96,-0.0088,0.0010,0.9888
97,-0.0430,-0.0034,0.9907
98,-0.1086,-0.0547,0.9741
99,-0.0972,-0.0212,0.9924
