Sample,X,Y,Z
0,0.0151,-0.0374,0.9783
1,-0.0178,-0.0232,0.9849
2,-0.0544,-0.0586,0.9858
3,-0.0637,0.0117,0.9905
4,-0.0408,-0.0212,0.9509
5,0.0403,0.0181,0.9895
6,0.0396,0.0007,0.9573
7,0.0496,-0.0107,0.9761
8,-0.0085,0.0054,0.9788
9,-0.0664,-0.0176,0.9761
10,-0.0933,0.0024,0.9858
11,-0.0776,-0.0374,0.9661
12,-0.0149,0.0256,0.9749
13,0.0337,-0.0200,0.9670
14,0.0764,-0.0322,1.0002
15,0.0774,-0.0276,0.9895
16,0.0137,-0.0017,0.9692
17,-0.0513,0.0288,0.9937
18,-0.0820,-0.0256,0.9641
19,-0.0942,-0.0352,0.9858
20,-0.0513,0.0061,0.9692
21,-0.0149,-0.0054,0.9653
22,0.0518,0.0225,0.9839
23,0.0791,-0.0261,0.9722
24,0.0227,-0.0222,1.0012
25,0.0146,-0.0308,0.9751
26,-0.0505,0.0012,0.9778
27,-0.0908,-0.0107,0.9651
28,-0.0740,0.0144,0.9788
29,-0.0337,-0.0688,0.9712
30,0.0125,0.0254,0.9993
31,0.0405,-0.0154,0.9524
32,0.0437,0.0291,0.9897
33,0.0151,-0.0073,0.9712
34,-0.0366,-0.0376,0.9758
35,-0.0530,-0.0066,0.9927
36,-0.0491,0.0002,0.9644
37,-0.0232,-0.0044,0.9866
38,0.0276,-0.0093,0.9673
39,0.0459,-0.0168,0.9846
40,0.0125,-0.0496,0.9695
41,-0.0188,0.0115,0.9866
42,-0.0449,0.0178,0.9592
43,-0.0745,-0.0105,0.9768
44,-0.0535,-0.0298,0.9973
45,-0.0176,-0.0549,0.9739
46,0.0471,0.0139,0.9976
47,0.0535,0.0212,0.9595
48,0.0325,-0.0115,0.9768
49,0.0215,-0.0183,0.9878
50,-0.0215,-0.0098,0.9683
51,-0.0950,0.0139,0.9758
52,-0.0728,0.0364,0.9817
53,-0.0669,-0.0505,0.9690
54,-0.0383,0.0010,0.9905
55,0.0281,-0.0249,0.9641
56,0.0535,-0.0564,0.9875
57,0.0522,-0.0215,0.9905
58,0.0579,0.0186,0.9624
59,-0.0139,0.0334,0.9778
60,-0.0415,-0.0037,0.9878
61,-0.0588,-0.0637,0.9702
62,-0.0842,-0.0010,0.9937
