Sample,X,Y,Z
0,0.0515,-0.0317,0.9761
1,0.0217,-0.0176,0.9858
2,0.0371,-0.0098,0.9683
3,-0.0310,-0.0610,0.9907
4,-0.0544,0.0068,0.9924
5,-0.0801,-0.0234,0.9866
6,-0.0784,0.0281,0.9768
7,0.0164,-0.0029,0.9800
8,0.0662,0.0115,0.9963
9,0.1162,-0.0146,0.9709
10,0.0869,-0.0249,0.9973
11,-0.0056,-0.0339,0.9839
12,-0.0874,-0.0278,0.9690
13,-0.1143,-0.0347,0.9944
14,-0.1104,-0.0720,0.9719
15,-0.0330,0.0339,0.9937
16,0.0498,0.0300,0.9504
17,0.0625,0.0083,0.9690
18,0.0818,0.0300,0.9888
19,0.0940,0.0122,0.9973
20,0.0039,-0.0576,0.9946
21,-0.0342,-0.0256,1.0112
22,-0.0608,-0.0713,0.9814
23,-0.1123,-0.0278,0.9807
24,-0.0483,0.0271,0.9612
25,-0.0178,-0.0615,0.9788
26,0.0193,0.0471,0.9966
27,0.0715,0.0500,0.9380
28,0.0537,0.0288,0.9888
29,0.0142,-0.0352,0.9797
30,0.0151,-0.0225,1.0276
31,-0.0281,-0.0342,0.9934
32,-0.0403,-0.0032,0.9670
33,-0.0586,-0.0864,0.9758
34,-0.0229,-0.0066,1.0093
35,-0.0078,-0.0090,0.9583
36,0.0042,0.0278,0.9807
37,0.0229,0.0122,0.9729
38,0.0249,-0.0137,0.9856
39,0.0371,0.0430,0.9973
40,-0.0256,-0.0457,0.9614
41,-0.0361,-0.0325,1.0071
42,-0.0259,-0.0308,0.9924
43,-0.0662,-0.0269,0.9749
44,0.0078,0.0051,0.9722
45,0.0081,-0.0259,0.9731
46,0.0364,0.0085,0.9956
47,0.0271,0.0200,0.9885
48,-0.0085,0.0300,0.9819
49,-0.0271,-0.0405,0.9788
50,-0.0178,-0.0071,1.0208
51,-0.0422,-0.0471,0.9702
52,-0.0144,-0.0278,0.9846
53,0.0005,-0.0212,0.9807
54,0.0032,-0.0579,0.9543
55,-0.0081,0.0352,0.9907
56,0.0032,0.0339,0.9370
57,-0.0127,0.0029,0.9934
58,0.0266,0.0002,0.9937
59,0.0073,0.0208,1.0042
60,-0.0039,-0.0024,0.9790
61,0.0056,-0.0261,1.0042
62,-0.0171,-0.0779,0.9956
63,-0.0361,-0.0276,1.0012
64,-0.0220,0.0261,0.9468
65,-0.0154,-0.0186,0.9604
66,-0.0251,-0.0146,0.9780
67,0.0234,0.0066,0.9778
68,0.0315,0.0503,0.9810
69,-0.0178,-0.0188,0.9573
70,0.0273,-0.0015,1.0129
71,-0.0283,-0.0369,0.9771
72,-0.0613,-0.0400,0.9915
73,-0.0100,0.0078,0.9985
74,-0.0271,-0.0520,0.9856
75,0.0032,-0.0020,1.0024
76,0.0483,-0.0247,0.9543
77,0.0208,0.0327,1.0015
78,0.0195,0.0007,0.9272
79,-0.0178,-0.0210,0.9993
80,-0.0413,0.0295,0.9707
81,-0.0503,-0.0327,0.9624
82,-0.0349,-0.0068,1.0005
83,-0.0042,-0.0085,0.9758
84,0.0200,-0.0020,0.9963
85,0.0098,-0.0688,0.9836
86,-0.0029,0.0039,1.0122
87,-0.0083,0.0081,0.9614
88,-0.0491,-0.0056,0.9875
89,-0.0159,-0.0107,0.9536
90,0.0278,0.0054,0.9807
91,0.0254,0.0244,0.9761
92,0.0425,-0.0303,0.9670
93,0.0120,-0.0447,1.0200
94,-0.0271,-0.0083,0.9812
95,-0.0659,-0.0364,0.9673
96,-0.0625,0.0166,0.9673
97,-0.0503,0.0076,0.9788
98,0.0049,-0.0171,0.9778
99,0.0437,0.0259,0.9956
100,0.0613,0.0386,0.9692
101,0.0308,-0.0117,0.9836
102,0.0215,0.0010,1.0100
103,0.1460,-0.0332,1.0493
104,0.2935,-0.0203,0.9895
105,0.5591,0.1985,0.9329
106,0.8137,0.6499,0.8530
107,0.9106,0.7747,0.7756
108,0.9019,0.9866,0.9153
109,0.7271,0.7126,0.9534
110,0.3542,0.5063,1.0425
111,0.1067,0.3247,1.0913
112,-0.1143,0.2009,1.1079
113,-0.1135,0.2717,1.1448
114,0.1187,0.5974,1.1116
115,0.2925,0.7688,0.9534
116,0.4907,0.9768,0.8186
117,0.5422,0.9868,0.8628
118,0.5112,0.5139,0.9426
119,0.3662,0.2202,0.9575
120,0.3013,0.1213,1.0081
121,0.3518,0.2466,0.9614
122,0.5159,0.1963,0.9331
123,0.7397,0.2932,1.0325
124,0.9507,0.3884,0.9807
125,0.9087,0.6526,0.9866
126,0.6248,0.4573,0.9299
127,0.2886,0.2668,1.0627
128,0.0278,0.0667,1.0027
129,-0.0845,0.2112,1.0042
130,0.0640,0.4924,0.9045
131,0.2935,0.5232,0.8547
132,0.5220,0.6545,0.9524
133,0.6646,0.5647,0.9075
134,0.5618,0.6245,0.9556
135,0.4194,0.6526,0.9954
136,0.2473,0.6616,1.0322
137,0.1565,0.4849,1.0874
138,0.2595,0.6011,1.1226
139,0.4048,0.3782,1.0422
140,0.5393,0.3442,1.0864
141,0.5217,0.2231,0.9893
142,0.4858,0.2747,1.0276
143,0.3101,0.3606,0.9641
144,0.1304,0.3010,0.8840
145,0.1741,0.2065,0.9028
