Sample,X,Y,Z
0,-0.0066,-0.0356,0.9478
1,-0.0864,-0.0339,0.9888
2,-0.0686,0.0210,0.9741
3,-0.0374,-0.0291,0.9526
4,0.0198,0.0195,0.9827
5,0.0483,-0.0146,1.0005
6,0.0886,0.0012,0.9731
7,0.0459,-0.0012,0.9976
8,0.0088,0.0356,1.0054
9,-0.0715,-0.0737,0.9797
10,-0.0991,-0.0283,1.0190
11,-0.0911,-0.0288,0.9917
12,-0.0217,-0.0012,0.9546
13,0.0356,0.0186,0.9719
14,0.1155,0.0120,0.9800
15,0.0713,-0.0303,0.9602
16,0.0144,0.0513,1.0024
17,-0.0161,-0.0332,0.9719
18,-0.1025,-0.0530,1.0083
19,-0.0928,-0.0139,1.0005
20,-0.0491,-0.0322,0.9778
21,-0.0083,0.0083,0.9829
22,0.0569,0.0298,0.9927
23,0.0850,-0.0637,0.9749
24,0.0752,0.0310,0.9993
25,0.0315,0.0264,0.9651
26,-0.0435,0.0105,0.9768
27,-0.1008,-0.0410,0.9868
28,-0.1182,-0.0476,1.0022
29,-0.0632,-0.0156,0.9761
30,0.0112,-0.0017,0.9722
31,0.1001,0.0046,0.9973
32,0.0754,-0.0339,0.9761
33,0.1138,-0.0024,0.9817
34,-0.0183,0.0139,0.9739
35,-0.0706,-0.0183,0.9973
36,-0.1011,0.0295,0.9819
37,-0.1482,-0.0593,0.9807
38,0.0017,0.0640,0.9985
39,0.0056,-0.0771,0.9487
40,0.1050,0.0217,1.0120
41,0.1260,-0.0115,0.9680
42,0.0454,-0.0081,0.9866
43,-0.0322,0.0383,0.9827
44,-0.1196,-0.0583,0.9702
45,-0.1362,-0.0039,0.9985
46,-0.0496,-0.0244,0.9849
47,0.0203,-0.0129,0.9673
48,0.0767,0.0261,0.9827
49,0.1047,0.0283,0.9700
50,0.0366,0.0015,0.9934
51,-0.0242,-0.0042,0.9966
52,-0.0781,-0.0781,0.9836
53,-0.0806,-0.0525,1.0034
54,-0.0410,-0.0093,0.9800
55,-0.0112,0.0093,0.9749
56,0.0664,0.0779,0.9739
57,0.0835,0.0010,0.9485
58,0.0234,0.0144,0.9856
59,-0.0552,-0.0400,0.9771
60,-0.1196,-0.0369,0.9846
61,-0.0425,0.0454,0.9956
62,-0.0088,-0.0354,0.9937
63,0.0457,-0.0164,1.0002
64,0.0657,-0.0706,0.9934
65,0.0334,-0.0022,0.9917
66,-0.0022,-0.0498,0.9456
67,-0.0630,0.0366,0.9741
68,-0.0750,0.0210,0.9514
69,-0.0679,0.0276,0.9583
70,-0.0361,0.0125,0.9800
71,0.0505,-0.0046,0.9851
72,0.0830,-0.0442,0.9905
73,0.0891,0.0171,1.0044
74,0.0740,-0.0049,0.9807
75,-0.0540,-0.0122,1.0122
76,-0.1074,-0.0352,0.9973
77,-0.1340,-0.0935,0.9690
78,-0.1082,0.0269,0.9800
79,0.0217,0.0369,0.9221
80,0.0442,-0.0044,0.9553
81,0.1228,0.0837,0.9836
82,0.0642,-0.0679,0.9434
83,0.0415,0.0435,1.0190
84,-0.0439,-0.0725,0.9878
85,-0.0867,-0.0513,1.0208
86,-0.0554,0.0173,1.0063
87,-0.0664,-0.0291,0.9741
88,-0.0105,0.0034,0.9829
89,-0.0176,-0.0264,0.9644
90,0.0659,0.0234,0.9612
91,0.0278,0.0293,0.9456
92,0.0583,0.0337,0.9644
93,-0.0005,0.0203,0.9692
94,-0.0317,-0.0535,0.9888
95,-0.0747,-0.0354,1.0239
96,-0.0652,-0.0757,0.9915
97,-0.0610,-0.0217,1.0010
98,0.0435,0.0027,0.9622
99,0.0544,0.0151,0.9653
100,0.0327,0.0300,0.9573
101,0.0400,-0.0046,0.9631
102,0.0750,0.0481,0.9448
103,0.3491,0.0295,0.9417
104,0.6243,-0.0557,1.0229
105,0.9709,-0.1521,1.0796
106,1.2017,-0.4946,1.1145
107,1.3228,-0.5693,1.1365
108,1.1060,-0.8696,0.9954
109,0.7522,-0.9104,0.9810
110,0.3279,-0.9038,0.8967
111,-0.1614,-0.9412,0.8936
112,-0.4001,-0.8257,0.8606
113,-0.4089,-0.7417,0.9045
114,-0.3127,-0.4187,0.8677
115,-0.0977,-0.5789,0.9614
116,0.1147,-0.6060,1.0784
117,0.2017,-0.4644,1.1272
118,0.3362,-0.3259,1.0688
119,0.4319,-0.2292,1.1147
120,0.5969,-0.0857,1.1196
121,0.7212,-0.1982,0.9934
122,0.7786,0.0081,0.9458
123,0.9019,0.2112,0.8557
124,0.8743,0.2021,0.8208
125,0.7993,0.2854,0.8948
126,0.6555,0.2017,0.9487
127,0.4517,0.1267,1.0422
128,0.2834,-0.1729,1.0620
129,0.1323,-0.6616,1.1360
130,0.1023,-0.9539,1.1694
131,0.1660,-1.0601,1.0862
132,0.1882,-1.0496,1.0093
133,0.2268,-0.9197,0.9800
134,0.1340,-0.8472,0.9329
135,0.2385,-0.5640,0.8542
136,0.3293,-0.2107,0.7759
137,0.4536,-0.4175,0.9016
138,0.7036,-0.4478,0.9924
139,0.8420,-0.5906,1.0239
140,0.8557,-0.5759,1.0923
141,0.7678,-0.6345,1.0972
142,0.6018,-0.6541,1.1489
143,0.3704,-0.6765,1.0718
144,0.2280,-0.4790,1.0266
145,0.1785,-0.1797,0.9526
146,0.2151,0.1113,0.8628
147,0.3384,0.2620,0.8391
148,0.4148,0.3999,0.9097
149,0.4175,0.2424,0.9158
150,0.4377,-0.1458,1.0415
151,0.3958,-0.7224,1.1353
152,0.3616,-0.9685,1.2466
153,0.2759,-0.9810,1.1614
154,-0.0330,-0.5542,1.0754
155,-0.3401,-0.0325,0.8596
156,-0.7908,0.2834,0.6750
157,-1.0720,0.6526,0.7083
158,-1.2175,0.6458,0.6829
159,-1.0688,0.5039,0.9448
160,-0.6052,0.4873,1.1008
161,-0.0776,0.3689,1.1516
162,0.4009,0.3479,1.2141
163,0.7004,0.3286,1.1616
164,0.7747,0.4956,1.1753
165,0.6880,0.5105,1.0149
166,0.5354,0.3745,0.9507
167,0.5073,0.0854,0.9055
168,0.5503,-0.1245,0.8538
169,0.4478,-0.1096,0.8137
170,0.3857,-0.0359,0.7957
171,0.1758,-0.0496,0.9124
172,-0.1418,-0.2986,0.9810
173,-0.4409,-0.8127,1.0552
174,-0.5356,-1.1765,1.1724
175,-0.4509,-1.3140,1.1731
176,-0.2104,-1.1169,1.1118
177,0.0298,-0.8472,0.9827
178,0.1978,-0.4292,0.9368
179,0.3069,-0.3459,0.8413
180,0.1592,-0.1614,1.0347
181,0.2615,0.1555,0.8538
182,0.1165,0.5232,0.7537
183,0.1509,0.4983,0.9036
184,0.1943,0.3511,0.9897
185,0.1333,0.1318,1.1021
186,0.0696,0.2412,1.1519
187,-0.0637,0.0945,1.0540
188,-0.2546,0.2727,1.0901
189,-0.3325,0.3472,1.0259
190,-0.4753,0.5500,0.9387
191,-0.4236,0.7444,0.9221
192,-0.2478,0.8027,0.9028
193,-0.1213,0.4072,0.8630
194,-0.0356,0.3738,0.9778
195,0.0710,0.3250,0.9592
196,0.0020,0.2925,0.9797
197,-0.0300,0.1404,1.0562
198,-0.0845,-0.4939,1.0981
199,-0.0540,-0.9558,1.1587
200,0.0979,-0.9607,1.1245
201,0.1467,-0.7527,1.0063
202,0.2222,-0.3484,0.8889
203,0.1099,0.1304,0.8127
204,-0.0039,0.4866,0.7473
205,-0.1174,0.4312,0.7700
206,-0.1992,-0.2454,0.8872
207,-0.0344,-0.6404,1.1499
208,0.1504,-0.8147,1.1577
209,0.2253,-0.5251,1.1079
210,0.3464,-0.2087,1.0913
211,0.2534,-0.0220,1.1008
212,0.1982,0.2070,1.0435
213,0.0920,0.2917,0.9365
214,-0.0864,0.2563,0.8589
215,0.0212,0.2791,0.8489
216,-0.0100,0.3989,0.8784
217,-0.0171,0.5671,0.8342
218,-0.0007,0.4197,0.8752
219,-0.1428,0.0054,1.0366
220,-0.1802,-0.4158,1.1226
221,-0.1646,-0.5466,1.1948
222,-0.1838,-0.4451,1.2183
223,-0.0483,-0.2756,1.1360
224,-0.0149,-0.1335,1.0200
225,0.0647,0.3823,0.9292
226,0.1052,0.6804,0.7048
227,0.0227,0.6880,0.6528
228,-0.0229,0.5044,0.7310
229,-0.1528,0.0701,0.7944
230,-0.1843,-0.1792,0.9524
231,-0.1729,-0.6255,1.0745
232,-0.0823,-0.9197,1.3208
233,0.0623,-0.7937,1.3823
234,0.1323,-0.3652,1.2385
235,0.1206,0.1187,1.0571
236,0.1492,0.6047,0.9368
237,0.0464,0.7815,0.8323
238,0.0283,0.6438,0.7092
239,0.0105,0.0972,0.7434
240,-0.0320,-0.2932,0.8792
241,0.0527,-0.5544,0.8931
242,0.0842,-0.3152,1.0366
243,0.0928,0.0181,1.0862
244,-0.0029,-0.0435,1.0627
245,-0.1152,0.1052,1.2200
246,-0.1086,-0.0498,1.1030
247,-0.1235,-0.1541,1.0776
248,0.0137,0.1113,1.0679
249,0.1519,0.0146,0.8362
250,0.0779,0.0952,0.8149
251,0.1270,0.1362,0.8169
252,-0.0020,-0.0671,0.8218
253,-0.1619,-0.1343,0.9192
254,-0.1282,-0.3953,1.0015
255,-0.1216,-0.6160,1.0542
256,-0.1050,-0.2546,1.1284
257,0.0552,0.3398,1.0444
258,-0.0474,0.7004,0.9963
259,-0.0193,0.5989,1.0168
260,0.0017,-0.0369,1.0364
261,-0.0391,-0.3774,1.0969
262,0.0942,-0.4546,0.9802
263,0.0959,-0.3098,0.9517
264,0.1667,0.1504,0.9233
265,0.1218,0.3555,0.8374
266,0.0234,0.5178,0.8323
267,-0.0278,0.2334,0.8982
268,-0.0691,-0.0420,1.0344
269,-0.0146,-0.3008,1.0852
270,0.0149,-0.2798,1.1030
271,-0.0830,-0.1548,1.0540
272,-0.0488,0.0881,1.0364
273,-0.1035,0.2209,1.0012
274,-0.2209,0.0220,0.9241
275,-0.0405,-0.1868,0.9526
276,0.0059,-0.3669,0.9624
277,0.1558,-0.1538,0.9280
278,0.2212,-0.1155,0.8870
279,0.2251,0.1240,0.9651
280,0.1477,0.2227,0.9575
281,-0.0215,0.0154,0.9536
282,-0.0681,-0.2007,1.0764
283,-0.1277,-0.4424,1.1672
284,0.0173,-0.5220,1.1233
285,0.0530,-0.3005,1.0581
286,0.0344,0.0339,0.9526
287,0.0642,0.3877,0.8394
288,-0.0703,0.6152,0.8149
289,-0.1707,0.5784,0.7834
