Sample,X,Y,Z
0,-0.0574,-0.0220,0.9866
1,-0.0015,0.0066,0.9839
2,0.0305,-0.0601,0.9680
3,0.0295,-0.0244,0.9839
4,0.0332,0.0137,0.9839
5,-0.0283,0.0161,0.9709
6,-0.0376,0.0413,0.9810
7,-0.0269,-0.0247,0.9741
8,-0.0222,0.0232,1.0007
9,0.0132,-0.0220,0.9683
10,0.0068,0.0010,0.9807
11,0.0103,-0.0454,1.0015
12,-0.0044,-0.0447,0.9944
13,-0.0122,-0.0425,0.9719
14,-0.0029,0.0437,0.9719
15,0.0081,-0.0063,0.9683
16,0.0112,-0.0085,0.9778
17,-0.0107,-0.0034,0.9846
18,-0.0225,0.0271,0.9868
19,-0.0205,0.0161,0.9631
20,-0.0166,-0.0342,1.0083
21,0.0107,-0.0012,1.0061
22,0.0127,-0.0974,0.9692
23,0.0142,0.0632,1.0012
24,-0.0137,-0.0083,0.9536
25,-0.0356,-0.0244,0.9797
26,0.0059,0.0183,0.9905
27,-0.0225,-0.0310,0.9771
28,0.0107,-0.0347,0.9827
29,-0.0002,0.0317,0.9895
30,0.0066,-0.0408,0.9819
31,0.0066,-0.0029,0.9758
32,-0.0325,0.0022,0.9917
33,-0.0254,-0.0186,0.9810
34,-0.0015,-0.0339,0.9683
35,-0.0186,0.0315,0.9956
36,0.0269,0.0415,0.9719
37,0.0286,-0.0427,0.9673
38,0.0068,0.0527,1.0151
39,-0.0222,-0.0356,0.9829
40,-0.0574,-0.0334,0.9888
41,-0.0769,-0.0242,0.9983
42,-0.0017,-0.0225,0.9788
43,0.0410,-0.0793,0.9524
44,0.0483,0.0337,0.9963
45,0.0820,0.0171,0.9563
46,0.0181,-0.0098,0.9761
47,-0.0029,0.0525,0.9924
48,-0.0798,-0.0498,0.9714
49,-0.0835,0.0735,1.0042
50,-0.0908,-0.0686,0.9663
51,-0.0408,-0.0112,1.0085
52,0.0332,-0.0330,0.9912
53,0.1077,-0.0093,0.9758
54,0.1179,-0.0259,0.9692
55,0.0388,0.0308,1.0090
56,-0.0295,-0.0300,0.9546
57,-0.1384,-0.0012,0.9758
58,-0.1162,0.0383,0.9858
59,-0.0618,-0.0601,0.9575
60,0.0779,0.0022,0.9966
61,0.0823,0.0249,0.9966
62,0.1118,-0.0557,0.9602
63,0.0083,-0.0010,1.0051
64,-0.0557,-0.0110,0.9963
65,-0.1011,-0.0288,0.9622
66,-0.0942,0.0103,1.0042
67,-0.0334,0.0203,0.9819
68,0.0422,-0.0447,0.9536
69,0.0688,0.0566,0.9836
70,0.0759,-0.0054,0.9719
71,0.0498,-0.0327,0.9797
72,-0.0220,-0.0227,0.9963
73,-0.0369,0.0122,1.0061
74,-0.0835,-0.0667,0.9438
75,-0.0417,0.0015,1.0112
76,-0.0134,0.0117,0.9878
77,-0.0056,-0.0667,0.9495
78,0.0295,0.0051,1.0034
