Sample,X,Y,Z
0,0.0967,0.0759,0.9846
1,0.0439,0.0300,0.9507
2,-0.0110,-0.0439,0.9351
3,-0.1074,0.0061,0.9846
4,-0.1045,0.0762,0.9905
5,-0.0854,-0.0100,0.9380
6,-0.0518,-0.0283,0.9944
7,0.0225,-0.0464,1.0081
8,0.1165,0.0005,1.0171
9,0.1323,-0.0195,0.9661
10,0.1067,-0.0427,0.9849
11,-0.0273,-0.0188,0.9702
12,-0.1003,-0.0271,0.9856
13,-0.0950,0.0308,0.9175
14,-0.1194,0.0366,0.9534
15,-0.0381,0.0754,0.9973
16,0.0544,-0.0837,0.9692
17,0.0923,-0.0327,1.0210
18,0.0566,0.0085,0.9973
19,0.0090,0.0059,0.9927
20,-0.0527,-0.0637,0.9624
21,-0.0481,-0.0896,0.9829
22,-0.0095,-0.0305,0.9612
23,0.0139,0.0581,0.9683
24,0.0315,0.0232,0.9526
25,0.0225,0.0273,0.9868
26,-0.0271,0.0791,0.9849
27,-0.0254,0.0383,0.9592
28,0.0073,-0.0723,0.9905
29,-0.0195,-0.1436,1.0310
30,0.0022,-0.0994,0.9778
31,-0.0459,0.0039,0.9761
32,-0.0146,0.0874,0.9458
33,0.0269,-0.0740,0.9407
34,0.0430,0.0474,0.9976
35,0.0337,0.1104,0.9856
36,0.0559,0.0444,0.9546
37,-0.0400,-0.0378,0.9875
38,-0.0769,-0.0198,1.0188
39,-0.0408,-0.1160,0.9573
40,-0.0513,-0.0359,1.0168
41,0.0134,-0.0833,0.9702
42,0.0461,-0.0969,0.9631
43,0.0144,0.0750,0.9993
44,0.0352,0.1113,0.9429
45,-0.0027,0.0103,0.9458
46,-0.0598,0.0701,0.9956
47,-0.0205,0.0063,0.9829
48,-0.0022,-0.0598,0.9673
49,-0.0044,-0.0737,1.0081
50,0.0156,-0.0542,1.0042
51,0.0220,-0.0017,0.9880
52,0.0244,0.0261,0.9563
53,-0.0356,-0.0156,0.9976
54,-0.0073,-0.0164,0.9924
55,-0.0049,-0.0242,0.9631
56,-0.0295,0.0261,0.9475
57,-0.0193,-0.0193,0.9448
58,-0.0137,0.0078,1.0044
59,0.0222,-0.0015,0.9788
60,0.0198,-0.0496,0.9604
