Sample,X,Y,Z
0,0.0295,-0.0344,0.9749
1,0.0459,-0.0215,0.9780
2,0.0107,0.0430,0.9856
3,-0.0200,0.0637,0.9653
4,-0.0327,-0.0918,0.9885
5,-0.0481,-0.0693,1.0051
6,-0.0413,-0.0491,0.9475
7,-0.0291,0.0457,0.9868
8,0.0122,-0.0217,0.9622
9,0.0115,0.0183,0.9924
10,0.0254,-0.0007,0.9387
11,-0.0256,0.0503,0.9927
12,-0.0186,-0.0295,0.9653
13,-0.0481,-0.0837,1.0034
14,-0.0322,0.0051,0.9897
15,-0.0278,-0.0288,0.9778
16,0.0049,0.0747,0.9866
17,0.0203,-0.0662,0.9531
18,-0.0166,0.0374,1.0142
19,0.0027,-0.1128,0.9409
20,-0.0210,0.0090,1.0129
21,-0.0229,0.0293,0.9556
22,-0.0227,0.0483,0.9670
23,-0.0186,-0.0500,0.9839
24,0.0183,0.0098,0.9771
25,-0.0032,-0.0198,0.9592
26,-0.0132,0.0884,0.9976
27,-0.0095,-0.0896,0.9634
28,-0.0347,-0.0256,1.0168
29,-0.0400,-0.0549,0.9634
30,-0.0276,0.0198,1.0071
31,0.0396,-0.0491,0.9622
32,-0.0063,0.0601,0.9846
33,-0.0020,0.0117,0.9392
34,-0.0195,-0.0447,0.9719
35,-0.0190,-0.0259,0.9866
36,-0.0420,0.0620,0.9526
37,-0.0435,0.0449,0.9807
38,-0.0083,-0.0295,0.9983
39,0.0042,-0.0891,0.9875
40,0.0149,-0.0334,0.9946
41,0.0178,0.0347,0.9751
42,0.0078,-0.0205,0.9937
43,-0.0090,-0.0212,0.9849
44,-0.0669,-0.0701,0.9536
45,-0.0544,-0.0020,0.9771
46,-0.0063,0.0068,0.9426
47,-0.0151,0.0737,0.9778
48,0.0166,0.0332,0.9673
49,0.0095,-0.0310,0.9858
50,0.0051,-0.0645,0.9966
51,-0.0129,0.0229,0.9946
52,-0.0129,-0.0181,0.9641
53,-0.0271,-0.0303,1.0103
54,-0.0205,0.0139,0.9790
55,-0.0500,-0.0552,0.9480
56,-0.0276,0.0330,1.0005
57,0.0005,-0.0327,0.9583
58,-0.0071,-0.0308,0.9753
59,0.0388,-0.0122,0.9749
60,0.0288,0.0432,0.9648
61,0.0002,0.0127,0.9690
62,-0.0176,0.0020,0.9966
63,-0.0510,0.0159,0.9810
64,-0.0762,-0.0129,0.9653
65,-0.0325,-0.0352,0.9973
66,-0.0146,-0.0610,0.9868
67,0.0320,-0.0295,0.9778
68,0.0249,0.0361,0.9956
69,0.0254,0.0137,0.9583
70,-0.0159,-0.0217,0.9885
71,-0.0215,0.0066,0.9536
72,-0.0667,-0.0261,0.9741
73,-0.0339,0.0161,0.9690
74,-0.0007,-0.0293,0.9751
75,-0.0037,0.0830,0.9827
76,0.0059,-0.0269,0.9543
77,0.0132,-0.0037,1.0054
78,-0.0159,-0.0864,0.9849
79,-0.0447,-0.0132,1.0063
80,-0.0120,-0.0574,0.9817
81,-0.0212,0.0393,0.9917
82,0.0144,-0.0078,0.9224
83,0.0173,0.0376,0.9846
84,0.0164,-0.0474,0.9653
85,-0.0308,-0.0349,0.9749
86,-0.0408,0.0149,0.9749
87,-0.0737,0.0410,0.9680
88,-0.0447,0.0002,0.9709
89,-0.0161,-0.0081,1.0227
90,0.0295,-0.0281,0.9790
91,0.0347,-0.0679,0.9995
92,0.0505,0.0303,0.9827
93,0.0183,-0.0527,0.9524
94,-0.0144,0.0149,0.9927
95,-0.0576,-0.0742,0.9683
96,-0.0798,0.0603,0.9729
97,-0.0625,-0.0063,0.9377
98,-0.0400,0.0603,0.9983
99,0.0312,-0.1162,0.9563
100,0.0420,0.0168,1.0171
101,0.0481,0.0193,0.9543
102,0.0149,0.0806,1.0200
103,0.1646,-0.0686,1.0413
104,0.3577,-0.0342,1.0254
105,0.6216,0.2009,0.9807
106,0.9700,0.6060,0.8960
107,1.1323,0.7859,0.8557
108,1.0383,0.9380,0.9595
109,0.8208,0.7649,0.8997
110,0.3242,0.5894,1.0024
111,-0.0383,0.6116,1.0051
112,-0.2075,0.4868,0.9360
113,-0.2244,0.6389,1.1526
114,0.0349,0.4719,1.0295
115,0.4141,0.6106,1.0657
116,0.6790,0.5542,0.9897
117,0.7249,0.5122,0.9517
118,0.6184,0.2141,0.9429
119,0.3960,0.2888,0.9797
120,0.2104,0.3611,0.8586
121,0.2542,0.3701,0.9351
122,0.4807,0.3579,0.9146
123,0.6919,0.2703,0.9534
124,0.9036,0.2810,1.0024
125,0.8579,0.0239,1.0012
126,0.5530,0.1179,1.1265
127,0.2952,0.1335,0.9966
128,0.0251,0.2432,1.0139
129,-0.0432,0.5205,0.9829
130,0.0901,0.5122,0.8696
131,0.2754,0.6223,0.9338
132,0.4907,0.5579,0.9114
133,0.5562,0.5735,0.9182
134,0.5239,0.4993,0.9583
135,0.3635,0.5474,1.0527
136,0.2661,0.5129,1.0608
137,0.2219,0.4634,1.0444
138,0.3440,0.4858,1.0767
139,0.4878,0.2810,0.9895
140,0.5901,0.1924,0.9917
141,0.6528,0.2649,0.9729
142,0.5764,0.3589,0.8589
143,0.5093,0.3870,0.8762
144,0.3806,0.5034,0.9253
145,0.2617,0.3521,0.9399
146,0.2649,0.2881,0.9946
147,0.3140,0.1404,1.0256
148,0.3477,0.1921,1.0605
149,0.3853,0.1067,1.0090
150,0.3862,0.4290,1.0793
151,0.4124,0.4507,0.9663
152,0.3762,0.5571,0.9507
153,0.2336,0.5120,0.8938
154,-0.0349,0.4517,0.9126
155,-0.4382,0.1973,0.8694
156,-0.9578,-0.1890,1.0188
157,-1.2847,-0.4539,1.0776
158,-1.3367,-0.9478,1.0217
159,-0.9995,-0.6814,1.0908
160,-0.3716,-0.6355,0.9380
161,0.1755,-0.5046,0.9751
162,0.7034,-0.5554,0.9888
163,0.9758,-0.3835,0.9575
164,0.9614,-0.4702,0.9700
165,0.7769,-0.1926,0.9856
166,0.5549,-0.2854,0.9106
167,0.3577,0.0452,1.0161
168,0.2834,0.3208,0.9224
169,0.2151,0.5688,1.0015
170,0.1956,0.5737,1.0063
171,0.0530,0.6033,0.9836
172,-0.1304,0.8872,0.9878
173,-0.2278,0.9563,0.9299
174,-0.3364,1.0396,0.9478
175,-0.2976,0.9487,0.9771
176,-0.1099,0.6721,0.9417
177,-0.0115,0.3206,1.0032
178,0.3088,0.2559,0.9292
179,0.1672,-0.1592,1.0403
180,0.1384,-0.3286,1.1497
181,0.1641,-0.5220,1.0510
182,0.0630,-0.4031,1.0698
183,0.0210,-0.4509,0.9146
184,-0.0471,-0.5720,0.9956
185,0.0149,-0.4558,0.9663
186,0.0015,-0.4087,0.8049
187,-0.0986,-0.1780,0.8882
188,-0.2480,-0.5344,0.8120
189,-0.4197,-0.6987,0.9670
190,-0.5229,-0.6472,1.0415
191,-0.5991,-0.4485,1.0347
192,-0.4138,-0.1340,1.0500
193,-0.2568,0.0361,1.0012
194,-0.0146,0.1047,1.0667
195,0.1970,0.1404,1.0852
196,0.3137,0.3579,1.0288
197,0.3416,0.3950,0.9331
198,0.2056,0.2920,0.9087
199,0.1489,0.3042,0.8794
200,0.1040,0.2566,0.8921
201,0.0359,0.2273,0.9387
202,0.0439,0.1521,0.9009
203,0.0803,0.2690,0.9453
204,0.0483,0.3157,0.9973
205,0.0122,0.3430,1.0168
206,-0.0969,0.0627,1.0969
207,-0.1833,0.0037,1.1243
208,-0.1597,-0.2791,0.9917
209,-0.1184,-0.1992,1.0769
210,0.1101,-0.2595,0.9448
211,0.2258,-0.3013,0.9983
212,0.3877,-0.0217,1.0393
213,0.3154,-0.0676,0.8113
214,0.1548,0.2058,0.9407
215,-0.0364,-0.0654,0.8040
216,-0.1960,-0.1016,0.9436
217,-0.3020,-0.0728,0.9495
218,-0.3738,-0.0593,0.9084
219,-0.3113,-0.0413,1.0647
220,-0.2654,-0.1555,0.9797
221,-0.1165,-0.2107,1.1245
222,0.0017,-0.1006,1.0959
223,0.0288,-0.1169,0.9937
224,0.0686,0.1426,1.0405
225,0.0981,-0.0374,0.8901
226,0.1018,0.1653,0.9993
227,0.1609,0.1372,0.8589
228,0.0552,0.0171,0.8818
229,0.0237,-0.0386,0.9055
230,-0.1516,-0.1106,0.8635
231,-0.1619,0.1458,1.0286
232,-0.1687,0.0657,0.9517
233,-0.1299,-0.1150,1.0913
234,0.0151,-0.3804,1.0715
235,0.0894,-0.1077,1.1038
236,0.1787,0.1533,0.9478
237,0.1296,0.1782,0.9810
238,0.0947,0.2703,1.0042
239,-0.0259,0.1516,0.7983
240,-0.0417,0.3215,1.0032
241,-0.0745,-0.0217,0.8792
242,0.0210,-0.3169,1.0500
243,0.1436,-0.1833,1.0630
244,0.1167,0.0259,0.9448
245,0.0933,0.2795,1.0178
246,0.0337,0.1384,0.9595
247,-0.0750,0.0955,1.0596
248,-0.0806,-0.1760,0.9478
249,-0.1433,-0.2139,0.9368
250,-0.0967,-0.1624,0.9114
251,-0.0378,0.0090,0.8723
252,0.0063,0.1543,0.9888
253,0.0815,0.1516,0.9719
254,-0.0432,-0.0476,1.0403
255,-0.0271,-0.0642,1.0618
256,-0.0916,-0.2642,1.0090
257,-0.1628,-0.0566,1.0911
258,-0.0710,-0.0530,0.9485
259,-0.0947,0.0559,0.9661
260,0.0251,0.0869,0.9067
261,0.0703,0.1562,0.8879
262,0.1052,0.0750,0.9761
263,0.1182,0.0605,0.9282
264,0.1409,-0.2766,0.9097
265,-0.0293,-0.0979,1.0442
266,-0.1292,0.0891,0.9192
267,-0.1072,0.2454,1.0491
268,-0.1167,0.1221,1.0591
269,-0.1072,-0.0515,1.0110
270,-0.0208,-0.2058,0.9917
271,-0.0623,-0.2971,0.9641
272,-0.0398,-0.0923,1.0093
273,-0.0225,-0.2886,0.9290
274,-0.0444,-0.0994,1.0662
275,0.0056,0.1785,0.8975
