Sample,X,Y,Z
0,-0.0020,-0.0002,0.9390
1,-0.0378,0.0249,0.9526
2,-0.0178,0.0894,0.9546
3,-0.0420,0.0847,0.9622
4,-0.0364,0.0684,0.9778
5,0.0085,-0.0933,0.9673
6,0.0203,-0.0684,1.0220
7,0.0078,-0.0583,0.9653
8,0.0149,-0.0630,0.9985
9,-0.0315,-0.0227,1.0178
10,-0.0632,-0.0728,0.9670
11,-0.0425,-0.0127,0.9858
12,-0.0276,0.0483,0.9553
13,0.0383,0.0774,0.9612
14,0.0020,0.0393,0.9397
15,0.0156,-0.0227,0.9829
16,0.0012,0.0420,0.9983
17,-0.0740,-0.0190,0.9670
18,-0.0354,-0.0767,0.9885
19,-0.0369,-0.0776,1.0210
20,-0.0081,-0.0198,0.9741
21,0.0488,-0.0278,0.9612
22,0.0117,-0.0481,0.9749
23,0.0046,-0.0171,0.9895
24,-0.0364,0.0686,0.9875
25,-0.1021,0.0583,0.9336
26,-0.0232,0.0168,0.9565
27,-0.0156,-0.0063,0.9905
28,0.0039,0.0410,0.9817
29,0.0381,-0.0647,0.9583
30,0.0181,-0.1001,1.0190
31,0.0286,-0.0549,1.0073
32,-0.0208,-0.0508,0.9644
33,-0.0750,0.0381,0.9788
34,-0.0637,-0.0200,0.9436
35,-0.0564,-0.0088,1.0051
36,0.0198,0.1086,0.9819
37,0.0054,0.0107,0.9299
38,0.0198,-0.0347,0.9709
39,0.0488,-0.0198,1.0051
40,-0.0054,0.0752,0.9819
41,-0.0234,-0.0205,0.9583
42,-0.0347,-0.0916,0.9985
43,-0.0759,-0.1294,1.0120
44,-0.0281,-0.0464,1.0051
45,-0.0146,-0.0627,0.9641
46,0.0249,0.0527,0.9563
47,0.0251,0.0525,0.9390
48,0.0085,0.1272,0.9768
49,-0.0244,0.0884,0.9604
50,-0.0784,0.0059,0.9700
51,-0.0591,-0.0759,0.9907
52,-0.0332,-0.1099,1.0159
53,0.0061,-0.0952,1.0024
54,0.0908,-0.0818,0.9846
55,0.0669,-0.0669,0.9905
56,0.0227,0.0088,0.9722
57,-0.0403,0.0710,0.9521
58,-0.1672,0.0632,0.9495
59,-0.1401,0.0569,0.9565
60,-0.0649,0.0608,0.9751
61,0.0234,0.0481,0.9690
62,0.1248,-0.1018,0.9780
63,0.1504,-0.0986,1.0269
64,0.0815,-0.0820,0.9807
65,-0.0430,-0.0686,0.9983
66,-0.0962,-0.0193,0.9761
67,-0.1643,-0.0320,0.9817
68,-0.1360,0.0718,0.9680
69,-0.0850,0.0488,0.9250
70,0.0269,0.1143,0.9836
71,0.1064,-0.0259,0.9536
72,0.1396,-0.0508,0.9951
73,0.0994,0.0129,0.9585
74,0.0220,-0.0427,0.9810
75,-0.0813,-0.0796,1.0132
76,-0.1494,-0.1040,1.0002
77,-0.1604,-0.0059,0.9761
78,-0.0747,0.0142,0.9807
79,0.0012,0.0391,0.9878
80,0.0864,0.0227,0.9397
81,0.1328,0.0525,0.9543
82,0.0850,0.0391,0.9622
83,0.0171,-0.0256,0.9827
84,-0.0706,-0.0823,0.9966
85,-0.1538,-0.0732,1.0015
86,-0.1299,-0.0305,0.9810
87,-0.0623,-0.0151,0.9946
88,0.0317,0.0210,0.9775
89,0.0686,-0.0134,0.9485
90,0.0894,-0.0068,0.9841
91,0.0388,-0.0044,0.9827
92,-0.0183,0.0171,0.9729
93,-0.0430,0.0220,0.9602
94,-0.0625,-0.0078,0.9722
95,-0.0444,0.0029,0.9983
96,-0.0281,-0.0193,0.9683
97,-0.0208,-0.0505,0.9917
98,0.0076,-0.0669,0.9973
99,-0.0298,-0.0728,0.9934
100,-0.0073,0.0315,0.9680
101,-0.0071,0.0090,0.9497
102,0.0200,0.0615,0.9849
103,0.0186,0.0330,0.9417
104,-0.0027,0.0183,0.9780
105,-0.0327,-0.0576,0.9915
106,-0.0276,-0.0996,1.0032
107,-0.0068,-0.0181,0.9905
108,-0.0049,-0.0154,0.9487
109,-0.0105,-0.0137,0.9858
110,-0.0337,-0.0188,0.9937
111,-0.0576,0.0217,1.0012
112,-0.0398,0.0728,0.9514
113,-0.0117,-0.0398,0.9399
114,0.0305,-0.0212,0.9849
115,0.0554,-0.0112,0.9927
116,0.0242,-0.0066,0.9771
117,0.0007,-0.0400,0.9839
118,-0.0188,-0.0154,0.9888
119,-0.0732,-0.0642,0.9673
120,-0.0752,0.0046,1.0002
121,-0.0884,0.0247,0.9407
