Sample,X,Y,Z
0,0.0337,-0.0176,0.9790
1,-0.0430,-0.0378,0.9915
2,-0.0808,-0.0486,0.9749
3,-0.0837,-0.0603,0.9758
4,-0.0811,-0.0107,0.9817
5,-0.0186,0.0601,0.9397
6,0.0520,0.0791,0.9624
7,0.0498,0.0115,0.9885
8,0.0364,-0.0593,0.9902
9,0.0181,-0.0273,0.9917
10,-0.0293,-0.0125,0.9790
11,-0.0225,-0.0403,0.9846
12,-0.0317,-0.0542,0.9846
13,-0.0520,0.0364,0.9751
14,-0.0444,0.0581,0.9729
15,-0.0684,-0.0471,0.9663
16,-0.0178,-0.0046,0.9995
17,0.0247,0.0017,0.9487
18,0.0615,0.0325,0.9846
19,0.0364,-0.0195,0.9819
20,-0.0051,-0.0464,0.9729
21,-0.0210,0.0105,0.9895
22,-0.0679,0.0339,0.9761
23,-0.0598,-0.0330,0.9700
24,-0.0476,-0.0630,0.9839
25,0.0015,-0.0222,0.9995
26,0.0378,0.0222,0.9758
27,0.0173,0.0264,0.9758
28,-0.0010,0.0117,0.9624
29,-0.0161,-0.0417,0.9692
30,-0.0620,0.0103,0.9788
31,-0.0422,0.0156,0.9504
32,-0.0110,-0.0505,0.9797
33,0.0237,-0.0134,1.0090
34,0.0342,-0.0076,0.9768
35,0.0203,0.0354,0.9749
36,-0.0461,-0.0078,0.9858
37,-0.0854,-0.0186,0.9836
38,-0.0547,-0.0283,0.9614
39,-0.0203,0.0186,0.9846
40,0.0442,-0.0229,0.9387
41,0.0647,-0.0222,0.9976
42,0.0386,0.0232,0.9829
43,-0.0103,-0.0366,0.9624
44,-0.0806,0.0266,1.0063
45,-0.0850,-0.0300,0.9595
46,-0.0779,-0.0149,0.9846
47,-0.0266,0.0161,0.9663
48,0.0435,-0.0037,0.9709
49,0.0508,0.0144,0.9927
50,0.0271,-0.0576,0.9666
51,0.0295,-0.0115,0.9905
52,-0.0562,0.0129,0.9761
53,-0.0391,-0.0325,0.9573
54,-0.0166,-0.0283,0.9927
55,-0.0557,-0.0132,0.9875
56,-0.0208,0.0012,0.9761
57,-0.0188,-0.0107,0.9712
58,-0.0264,0.0151,0.9612
59,0.0132,0.0151,0.9749
60,0.0183,0.0044,0.9963
61,0.0215,0.0132,0.9690
62,0.0002,-0.0120,0.9768
63,-0.0010,-0.0232,0.9897
64,-0.0562,-0.0486,0.9868
65,-0.0693,-0.0337,0.9719
66,-0.0439,-0.0391,0.9731
67,-0.0107,-0.0146,0.9878
68,0.0320,-0.0183,0.9670
69,0.0479,0.0361,0.9683
70,0.0176,0.0583,0.9565
71,0.0122,0.0430,0.9741
72,-0.0615,-0.0310,0.9824
73,-0.0835,0.0002,0.9868
74,-0.0820,-0.0334,0.9644
75,-0.0728,-0.0464,1.0042
76,0.0217,-0.0229,0.9985
77,0.0452,-0.0815,0.9749
78,0.0933,-0.0049,0.9780
79,0.0981,0.0498,0.9702
80,-0.0034,0.0417,0.9526
81,-0.0525,-0.0266,0.9631
82,-0.1389,0.0017,0.9585
83,-0.1521,0.0295,0.9641
84,-0.0483,0.0361,0.9944
85,0.0090,-0.0571,0.9976
86,0.0867,-0.0498,1.0071
87,0.1077,-0.0293,0.9800
88,0.0447,-0.0029,0.9971
89,-0.0444,-0.0557,0.9495
90,-0.0669,-0.0278,0.9800
91,-0.1135,0.0364,0.9592
92,-0.0608,0.0500,0.9543
93,-0.0129,0.0754,0.9836
94,0.0410,-0.0154,0.9575
95,0.0571,-0.0569,0.9993
96,0.0476,-0.0574,1.0081
97,-0.0037,-0.0454,0.9956
98,-0.0493,-0.0183,0.9807
99,-0.0710,0.0007,0.9592
100,-0.0723,0.0239,0.9680
101,-0.0623,0.0417,0.9612
102,-0.0720,-0.0083,1.0198
103,-0.1321,0.1187,1.0435
104,-0.2151,0.4565,0.9585
105,-0.2488,0.7795,0.8098
106,-0.2302,1.0110,0.7737
107,-0.0317,1.2249,0.8870
108,0.1282,1.5256,1.0022
109,0.3191,1.5471,1.0022
110,0.3589,1.4504,1.0432
111,0.2942,1.3452,1.0132
112,0.1655,1.2886,1.0054
113,-0.1199,1.0959,0.9768
114,-0.3335,0.8345,1.0024
115,-0.2568,0.7200,0.9709
116,-0.0391,0.6450,1.0112
117,0.3276,0.7307,1.0422
118,0.6438,0.5376,0.9312
119,0.6128,0.3899,0.9211
120,0.3333,0.4858,0.8374
121,-0.2603,0.6187,0.8413
122,-0.6804,0.8391,0.9211
123,-0.8132,0.6799,0.9172
124,-0.5718,0.7085,1.0376
125,-0.0896,0.9016,1.0725
126,0.4233,1.0999,1.0344
127,0.6760,1.0835,0.9839
128,0.6604,1.2173,0.8022
129,0.2903,1.1558,0.9731
130,-0.2661,1.0005,0.8481
131,-0.4097,0.7261,1.1460
132,-0.5388,0.2996,1.1194
133,-0.3042,0.5669,1.0376
134,0.0789,0.7383,0.9673
135,0.2913,0.9690,0.8909
136,0.3931,1.1790,0.8801
137,0.3069,1.1997,0.8989
138,0.0457,0.8352,0.8274
139,-0.2109,0.6968,0.9233
140,-0.3464,0.6897,0.9700
141,-0.4126,0.5591,0.9370
142,-0.2751,0.2454,1.0774
143,0.0232,0.4902,1.1450
144,0.3989,0.3367,0.9358
145,0.4656,0.8606,1.1086
146,0.3079,0.8623,0.8901
147,0.0037,1.0403,0.9348
148,-0.2563,1.2065,0.8726
149,-0.2900,1.0962,0.8442
150,-0.0452,1.0510,0.9055
151,0.1104,0.8237,0.9497
152,0.2295,0.8518,1.0032
153,0.2937,0.5835,0.8569
154,0.1914,0.1372,0.9937
155,0.2786,-0.3684,1.3110
156,0.0940,-0.9353,1.3442
157,-0.1958,-1.0376,1.2717
158,-0.6616,-1.3914,0.8130
159,-0.9673,-1.2898,0.7603
160,-0.8804,-1.3250,0.7339
161,-0.5281,-1.2319,0.9504
162,0.0115,-0.9849,0.9270
163,0.4114,-0.7932,0.8413
164,0.7092,-0.5447,0.9194
165,0.6282,0.1187,1.0913
166,0.4680,0.6353,0.9595
167,0.1758,0.7446,1.0337
168,-0.2554,0.8599,1.1011
169,-0.6597,0.9067,0.9126
170,-0.6460,1.4175,0.9463
171,-0.2380,1.7375,0.9602
172,0.4319,1.4917,1.0259
173,0.9155,1.1184,1.1096
174,0.9026,0.9746,0.9351
175,0.4194,0.7834,0.7620
176,-0.3042,0.2266,0.9390
177,-0.7751,0.0273,1.1145
178,-0.8035,-0.3252,1.0530
179,-0.5220,-0.3044,1.0474
180,-0.0913,-0.4568,0.8306
181,0.2607,-0.4688,0.8674
182,0.4797,-0.5623,1.0493
183,0.4292,-0.3687,1.1272
184,0.0786,-0.5845,0.9631
185,-0.1680,-0.6882,0.9624
186,-0.2964,-0.7087,0.9497
187,-0.1982,-0.4614,0.9094
188,0.0803,-0.4324,0.9917
189,0.2219,-0.4236,1.1255
190,0.1287,-0.1086,0.9976
191,0.0198,-0.0266,0.8479
192,-0.1531,0.0784,0.9465
193,-0.1636,0.2573,1.0796
194,-0.1279,-0.0618,0.9985
195,-0.2527,0.0654,0.9895
196,-0.0410,0.0176,0.8003
197,0.0833,-0.0361,0.9956
198,0.1951,0.0149,1.0842
199,0.2385,-0.0879,0.9634
200,0.1309,0.0872,0.9905
201,-0.1003,0.0024,0.9438
202,-0.1418,0.0054,0.9973
203,-0.2046,0.1936,1.0403
204,-0.1387,0.1885,0.8938
205,-0.1343,0.2925,0.9370
206,-0.0710,0.2478,0.9338
207,0.1343,0.1841,0.9915
208,0.3147,0.3140,1.0967
209,0.2339,0.0491,0.9729
210,0.0723,0.3601,1.0364
211,-0.1848,-0.0117,0.8108
212,-0.1758,0.0679,1.0679
213,0.0229,0.0464,1.0061
214,0.0056,0.0710,0.9417
215,0.0017,-0.0444,0.9114
216,-0.0537,-0.0847,0.9810
217,0.0032,0.0012,1.0093
218,-0.0046,-0.0884,0.9377
219,0.0095,-0.1482,1.0317
220,-0.0381,-0.1396,0.9946
221,-0.1333,-0.1399,0.9712
222,-0.1492,-0.3286,0.9387
223,0.0215,-0.3726,1.0540
224,0.1699,-0.1401,1.0686
225,0.1460,-0.1414,0.9497
226,0.0391,0.1465,0.8979
227,-0.1567,0.0469,0.7632
228,-0.1560,-0.0828,1.0833
229,-0.0132,0.0188,1.0718
230,0.0090,-0.0425,0.9338
231,0.0981,0.1099,0.9563
232,-0.0557,-0.2593,0.9026
233,-0.1086,-0.0796,1.1304
234,-0.0645,-0.0437,1.0513
235,-0.0911,0.1921,1.0540
236,-0.0642,0.1172,0.8684
237,0.0886,0.0059,0.8694
238,0.0574,-0.0918,1.0061
239,0.0500,0.1089,1.0237
240,0.1450,-0.2456,0.9495
241,-0.0056,-0.0017,1.0444
242,0.0139,0.1113,0.8440
243,0.0310,0.1350,0.9563
244,-0.0530,0.2710,1.0669
245,-0.0120,0.0239,0.9368
246,-0.1323,0.0496,0.9946
247,-0.1692,0.0654,0.8538
248,-0.0964,0.0703,0.9524
249,-0.0503,0.0378,1.0364
250,-0.0188,-0.2200,1.0767
251,-0.0500,0.0264,1.0376
252,0.0388,0.0393,0.8909
253,0.1841,0.1284,0.9856
254,0.1792,-0.1606,0.9846
255,0.0249,-0.1340,1.0100
256,-0.1104,0.0879,0.9351
257,-0.2625,0.0850,0.8713
258,-0.1733,-0.2039,0.9775
259,0.0110,0.0759,1.0601
260,0.1790,0.0073,0.9722
261,0.1577,-0.1924,0.9973
262,0.0298,-0.1404,1.0256
263,-0.0122,-0.0745,0.8723
264,-0.0618,0.0044,1.0190
265,-0.1343,-0.0916,1.0137
266,-0.0476,0.0217,0.9651
267,0.0505,-0.0425,0.9170
268,0.0449,0.0706,0.9934
269,0.1807,0.1938,0.9585
270,0.0483,-0.0593,0.9182
271,-0.0864,-0.0022,1.0942
272,-0.1548,0.0164,0.9670
273,-0.2319,-0.2078,0.8843
274,-0.0955,0.1160,1.0217
275,0.0251,-0.0510,0.9270
276,-0.0071,0.0742,1.0894
277,-0.0144,-0.2161,0.9604
278,-0.0054,-0.0876,0.9106
