Sample,X,Y,Z
0,-0.0334,-0.0400,0.9487
1,-0.0063,0.0637,0.9927
2,0.0149,-0.0022,0.9465
3,0.0015,-0.0247,0.9934
4,0.0139,-0.0264,0.9868
5,-0.0256,0.0161,0.9827
6,-0.0366,-0.0518,0.9634
7,-0.0442,0.0322,1.0251
8,-0.0112,-0.0261,0.9524
9,-0.0254,-0.0623,0.9866
10,0.0142,0.0205,0.9917
11,0.0364,-0.0112,0.9426
12,-0.0188,-0.0232,0.9993
13,-0.0295,0.0093,0.9761
14,-0.0449,-0.0161,0.9387
15,-0.0200,0.0491,0.9954
16,0.0095,0.0005,0.9761
17,-0.0181,-0.0427,0.9905
18,0.0234,-0.0166,0.9905
19,-0.0278,-0.0186,0.9722
20,-0.0474,0.0095,0.9856
21,-0.0173,-0.0718,0.9563
22,-0.0078,0.0349,1.0198
23,0.0107,-0.0044,0.9312
24,-0.0059,0.0063,0.9846
25,0.0032,0.0278,0.9863
26,-0.0269,-0.0474,0.9507
27,-0.0371,-0.0200,1.0100
28,-0.0168,-0.0173,0.9692
29,-0.0178,-0.0212,0.9741
30,-0.0149,-0.0085,0.9934
31,0.0005,0.0618,0.9895
32,-0.0100,-0.0735,0.9556
33,-0.0103,0.0015,1.0208
34,0.0012,-0.0469,0.9487
35,-0.0120,0.0068,0.9846
36,-0.0005,0.0085,0.9612
37,-0.0342,0.0132,0.9924
38,-0.0291,-0.0066,0.9631
39,-0.0457,-0.0186,0.9819
40,-0.0007,0.0173,0.9780
41,-0.0134,-0.0474,0.9744
42,0.0256,-0.0120,1.0034
43,0.0063,-0.1030,0.9700
44,-0.0273,0.0339,1.0120
45,-0.0266,0.0269,0.9507
46,-0.0200,0.0632,0.9810
47,-0.0337,-0.0906,0.9575
48,-0.0015,0.0120,1.0071
49,0.0188,-0.0801,0.9290
50,-0.0312,0.0208,1.0183
51,0.0205,0.0657,0.9690
52,-0.0178,-0.0544,0.9536
53,-0.0146,0.0239,1.0298
54,-0.0142,-0.0417,0.9612
55,-0.0198,-0.0186,0.9907
56,-0.0293,-0.0332,0.9985
57,-0.0103,0.0486,0.9683
58,-0.0261,-0.0730,0.9419
59,-0.0044,0.0613,1.0168
60,0.0198,-0.0154,0.9292
61,-0.0093,0.0085,0.9875
62,-0.0015,-0.0132,0.9927
63,-0.0151,-0.0579,0.9653
64,-0.0444,-0.0735,1.0022
65,-0.0085,0.0723,1.0012
66,-0.0054,-0.0493,0.9299
67,-0.0347,0.0173,1.0298
68,0.0195,-0.0010,0.9475
69,-0.0332,-0.0759,0.9653
70,-0.0295,0.0293,1.0071
71,-0.0173,-0.0537,0.9270
72,0.0117,0.0085,1.0034
73,0.0078,0.0249,0.9709
74,0.0088,0.0554,0.9690
75,-0.0017,-0.0444,0.9800
76,-0.0471,-0.0010,1.0269
77,-0.0276,-0.0835,0.9514
78,-0.0603,-0.0903,0.9915
79,-0.0183,0.0657,0.9954
80,0.0498,0.0269,0.9036
81,0.0117,-0.0374,1.0044
82,0.0327,-0.0234,0.9976
83,-0.0547,-0.0579,0.9468
84,-0.0674,0.0132,0.9875
85,-0.0391,0.0557,0.9565
86,-0.0312,-0.0007,0.9768
87,0.0181,-0.0371,1.0005
88,0.0547,0.0159,1.0015
89,0.0356,-0.0225,0.9680
90,0.0046,-0.0129,0.9995
91,-0.0249,-0.0918,0.9700
92,-0.0723,-0.0686,0.9963
93,-0.0535,0.0112,0.9504
94,-0.0659,0.0881,0.9465
95,0.0022,0.1047,0.9524
96,0.0681,-0.0288,0.9797
97,0.0466,-0.0457,1.0088
98,-0.0139,-0.0864,0.9739
99,-0.0327,0.0049,0.9915
100,-0.0569,-0.0452,0.9839
101,-0.0312,0.0027,0.9888
102,0.1084,-0.0771,0.9524
103,0.3860,0.0083,0.9819
104,0.5461,-0.1370,0.9888
105,0.7446,-0.2036,1.0364
106,0.8159,-0.5630,1.0491
107,0.7874,-0.4666,1.1108
108,0.6343,-0.6499,0.9377
109,0.4153,-0.6335,0.9946
110,0.2124,-0.7778,0.9211
111,-0.0227,-0.6997,0.9211
112,-0.2146,-0.5190,0.9094
113,-0.1943,-0.4128,0.9077
114,-0.0613,-0.4360,0.9827
115,0.1831,-0.5139,1.0229
116,0.4937,-0.6206,1.0657
117,0.6731,-0.6609,1.1099
118,0.8254,-0.6433,1.0815
119,0.8215,-0.5740,1.0337
120,0.7974,-0.3882,1.0188
121,0.8333,-0.3113,0.8862
122,0.7925,-0.3313,0.9377
123,0.8186,-0.3069,0.9380
124,0.7124,-0.5483,0.9250
125,0.5784,-0.4568,1.0669
126,0.3206,-0.5415,0.9817
127,0.0667,-0.4890,1.0444
128,-0.1150,-0.4912,1.0295
129,-0.2957,-0.4639,0.9973
130,-0.1777,-0.5586,0.9817
131,0.0557,-0.5828,0.9976
132,0.3584,-0.4814,0.9534
133,0.6526,-0.3386,0.9136
134,0.7424,-0.2717,0.9468
135,0.7454,-0.2407,0.9780
136,0.6194,-0.3352,0.9927
137,0.3950,-0.2388,1.0901
138,0.3506,-0.2483,1.0132
139,0.3318,-0.4097,1.0540
140,0.4172,-0.3318,1.1108
141,0.4604,-0.3965,0.9436
142,0.4468,-0.3545,1.0061
143,0.3545,-0.3250,0.9272
144,0.1201,-0.4871,0.8735
145,0.0161,-0.3655,0.9417
146,-0.0449,-0.3228,0.8850
147,0.1338,-0.1104,0.9851
148,0.4028,-0.2119,0.9602
