Sample,X,Y,Z
0,-0.0396,-0.0220,0.9788
1,-0.0251,-0.0325,1.0049
2,0.0132,-0.0515,1.0063
3,0.0549,-0.0427,0.9875
4,0.0767,-0.0706,0.9497
5,0.0613,-0.0059,0.9856
6,-0.0247,0.0518,0.9846
7,-0.0613,-0.0081,0.9680
8,-0.0964,-0.0493,0.9729
9,-0.0857,-0.0100,1.0071
10,0.0020,-0.0168,0.9612
11,0.0571,-0.0422,0.9810
12,0.0894,-0.0134,0.9944
13,0.0620,-0.0537,0.9583
14,-0.0032,-0.0212,0.9963
15,-0.0452,-0.0171,0.9829
16,-0.0566,0.0586,0.9973
17,-0.0559,0.0295,0.9751
18,-0.0244,-0.0186,0.9700
19,-0.0037,-0.0420,0.9934
20,0.0239,-0.0659,0.9553
21,0.0342,-0.0383,0.9692
22,0.0295,0.0278,1.0125
23,0.0173,-0.0054,0.9758
24,-0.0073,-0.0503,0.9944
25,-0.0015,-0.0359,0.9836
26,-0.0068,-0.0452,0.9634
27,-0.0017,-0.0068,0.9819
28,0.0032,-0.0066,0.9673
29,-0.0122,0.0605,1.0073
30,-0.0344,0.0193,0.9504
31,-0.0085,-0.0337,0.9768
32,-0.0122,-0.0078,0.9885
33,-0.0007,-0.0220,0.9709
34,0.0073,-0.0337,0.9963
35,0.0081,-0.0371,1.0005
36,-0.0093,-0.0222,0.9771
37,-0.0056,0.0454,0.9771
38,0.0112,0.0071,0.9622
39,0.0029,-0.0859,0.9719
40,0.0103,-0.0586,1.0034
41,-0.0083,-0.0039,0.9895
42,-0.0364,-0.0330,0.9653
43,-0.0410,-0.0107,0.9751
44,-0.0701,-0.0015,0.9827
45,-0.0154,0.0139,0.9595
46,0.0317,-0.0459,0.9563
47,0.0708,0.0205,1.0256
48,0.0962,-0.0171,0.9790
49,0.0681,0.0259,1.0068
50,-0.0193,0.0481,0.9778
51,-0.0540,-0.0608,0.9475
52,-0.0754,-0.0515,0.9846
53,-0.0796,-0.0564,0.9761
54,-0.0361,0.0188,0.9954
55,-0.0264,0.0242,0.9790
56,-0.0122,0.0010,0.9856
57,0.0437,-0.0393,0.9653
58,0.1123,-0.0945,0.9468
59,0.1191,-0.0176,0.9785
60,0.0920,0.0466,1.0044
61,-0.0034,0.0022,0.9797
