Sample,X,Y,Z
0,0.0054,0.0068,1.0024
1,-0.0005,0.0044,0.9651
2,-0.0251,-0.0259,1.0002
3,-0.0195,-0.0698,1.0129
4,-0.0173,-0.0461,0.9954
5,-0.0105,0.0222,0.9644
6,-0.0156,0.0088,0.9692
7,0.0210,-0.0391,0.9778
8,0.0120,-0.0439,0.9719
9,-0.0129,0.0315,0.9924
10,0.0002,0.0500,0.9436
11,-0.0225,-0.0225,0.9780
12,-0.0122,-0.0217,1.0259
13,-0.0056,-0.0330,0.9729
14,0.0198,0.0554,0.9995
15,0.0063,-0.0374,0.9797
16,0.0061,-0.1130,1.0044
17,-0.0049,-0.0303,1.0012
18,-0.0032,0.0322,0.9399
19,-0.0386,0.0093,0.9546
20,-0.0420,-0.0598,0.9905
21,-0.0166,-0.0403,1.0015
22,0.0022,0.0054,0.9719
23,0.0317,0.0352,0.9739
24,0.0195,-0.0156,1.0054
25,0.0591,-0.0386,1.0046
26,0.0461,-0.0496,0.9631
27,0.0112,0.0693,0.9924
28,-0.0476,0.0073,0.9387
29,-0.0662,-0.0256,0.9846
30,-0.0742,-0.0637,0.9939
31,-0.0701,-0.0127,0.9800
32,-0.0073,0.0117,0.9839
33,0.0444,-0.0339,1.0002
34,0.0906,-0.0039,1.0178
35,0.0264,-0.0166,0.9771
36,0.0266,-0.0044,0.9719
37,-0.0049,-0.0259,0.9788
38,-0.0229,-0.0334,0.9497
39,-0.0161,0.0151,0.9722
40,-0.0198,0.0317,0.9812
41,-0.0540,0.0513,0.9778
42,-0.0566,-0.0557,0.9797
43,-0.0354,-0.0654,1.0229
44,-0.0010,-0.0598,0.9768
45,0.0613,0.0469,0.9985
46,0.0598,-0.0281,0.9751
47,0.0491,-0.0366,0.9934
48,0.0051,-0.0093,0.9868
49,-0.0112,0.0498,0.9575
50,-0.0220,-0.0034,0.9573
51,-0.0649,-0.0540,0.9976
52,-0.0181,-0.0220,1.0044
53,-0.0232,0.0305,0.9702
54,-0.0120,0.0254,0.9565
55,0.0034,-0.0220,1.0073
56,0.0071,-0.0627,0.9917
57,0.0298,-0.0088,0.9739
58,0.0029,0.0015,0.9768
59,-0.0144,-0.0217,0.9875
60,-0.0134,-0.1033,0.9888
61,-0.0256,-0.0081,1.0166
