Sample,X,Y,Z
0,0.0100,-0.0330,0.9800
1,-0.0374,0.0017,0.9719
2,-0.0903,0.0134,0.9878
3,-0.0759,-0.0198,0.9624
4,-0.0288,-0.0112,0.9846
5,0.0200,0.0247,0.9741
6,0.0559,-0.0032,0.9692
7,0.0657,-0.0042,1.0063
8,0.0232,-0.0183,0.9751
9,0.0012,-0.0015,0.9827
10,-0.0471,-0.0454,0.9741
11,-0.0383,-0.0593,1.0022
12,-0.0144,-0.0410,0.9653
13,-0.0198,-0.0171,0.9797
14,-0.0083,0.0486,0.9919
15,0.0017,-0.0139,0.9653
16,0.0122,0.0349,0.9998
17,0.0115,0.0105,0.9485
18,0.0061,0.0203,0.9856
19,-0.0100,-0.0510,0.9778
20,-0.0015,-0.0581,1.0012
21,-0.0085,0.0007,0.9866
22,-0.0046,0.0095,0.9719
23,0.0029,-0.0208,0.9917
24,0.0042,-0.0728,0.9885
25,-0.0078,-0.0400,0.9819
26,-0.0210,0.0144,0.9700
27,-0.0132,0.0593,0.9690
28,-0.0210,-0.0171,0.9612
29,0.0146,-0.0037,0.9993
30,0.0417,-0.0012,0.9631
31,0.0303,0.0188,0.9839
32,0.0178,-0.0117,0.9858
33,-0.0286,-0.0713,0.9915
34,-0.0845,-0.0420,0.9937
35,-0.0391,-0.0017,0.9709
36,-0.0198,-0.0129,0.9722
37,0.0254,-0.0271,0.9829
38,0.0610,-0.0220,0.9807
39,0.0339,0.0208,0.9878
40,0.0129,0.0073,0.9673
41,-0.0281,-0.0024,0.9827
42,-0.0547,-0.0032,0.9858
43,-0.0312,-0.0115,0.9624
44,-0.0212,0.0164,0.9858
45,-0.0037,-0.0190,0.9836
46,0.0288,-0.0544,0.9946
47,0.0217,-0.0210,0.9966
48,0.0234,0.0049,0.9875
49,-0.0027,-0.0115,0.9653
50,-0.0325,-0.0349,0.9788
51,-0.0312,-0.0356,0.9712
52,-0.0378,0.0017,0.9761
53,-0.0042,0.0437,0.9800
54,0.0161,0.0078,0.9719
55,0.0137,0.0066,1.0005
56,0.0295,-0.0251,0.9780
57,0.0142,-0.0254,0.9954
58,-0.0088,-0.0286,0.9780
59,-0.0071,-0.0259,0.9861
60,-0.0552,-0.0259,0.9719
61,-0.0361,-0.0366,0.9768
62,-0.0081,0.0042,0.9888
63,0.0117,0.0095,0.9797
64,0.0374,-0.0203,0.9692
65,0.0244,0.0022,0.9995
66,0.0068,0.0215,0.9553
67,-0.0066,-0.0261,0.9583
68,-0.0330,0.0032,1.0042
69,-0.0237,-0.0264,0.9731
70,-0.0273,-0.0276,0.9924
71,-0.0264,-0.0005,1.0061
72,0.0002,-0.0303,0.9719
73,0.0164,-0.0522,0.9866
74,0.0588,0.0054,0.9771
75,0.0256,-0.0232,0.9583
76,0.0002,0.0603,1.0042
77,-0.0212,0.0129,0.9426
78,-0.0601,-0.0181,0.9829
79,-0.0542,-0.0139,0.9927
80,-0.0054,-0.0349,0.9819
81,0.0027,-0.0066,1.0022
82,0.0325,-0.0486,0.9761
83,0.0491,-0.0518,0.9995
84,0.0308,-0.0269,0.9712
85,0.0083,0.0034,0.9602
86,-0.0342,0.0410,0.9807
87,-0.0671,0.0166,0.9780
88,-0.0137,0.0017,0.9807
89,-0.0103,0.0042,0.9897
90,0.0293,-0.0051,0.9878
91,0.0256,-0.0496,0.9761
92,0.0132,0.0085,1.0168
93,-0.0024,-0.0227,0.9338
94,-0.0181,-0.0483,0.9819
95,-0.0220,-0.0134,0.9973
96,-0.0239,-0.0745,0.9807
97,-0.0198,0.0405,1.0034
98,0.0020,0.0181,0.9614
99,0.0068,0.0027,0.9866
100,0.0142,-0.0466,0.9617
101,0.0093,-0.0269,0.9829
102,-0.0371,0.0356,0.9832
103,-0.0798,0.0557,0.9827
104,-0.1401,0.3313,1.0276
105,-0.0947,0.4458,0.9058
106,-0.0874,0.5537,0.8989
107,-0.0969,0.6973,0.8882
108,-0.0544,0.6821,0.8647
109,-0.0320,0.8674,0.9709
110,0.0781,0.8909,0.9358
111,0.1599,0.8557,0.9622
112,0.1636,0.8274,0.9924
113,0.1541,0.7561,0.9504
114,0.0708,0.8459,0.9749
115,-0.0125,0.8765,0.9268
116,-0.0811,0.7346,0.9475
117,-0.1370,0.5920,1.0139
118,-0.1509,0.4905,1.0198
119,-0.1292,0.4807,1.0295
120,-0.0444,0.4651,0.9866
121,0.0203,0.5425,0.9917
122,0.1184,0.6213,0.9465
123,0.1663,0.6082,0.9407
124,0.0940,0.6685,0.9673
125,-0.0862,0.7300,0.9399
126,-0.2507,0.9153,0.9377
127,-0.3293,1.0483,0.9038
128,-0.2173,1.0103,0.9155
129,-0.0396,0.7993,0.9263
130,0.1284,0.8245,1.0002
131,0.1414,0.8433,0.7690
132,0.1470,0.7925,0.9907
133,0.0522,0.6431,1.0435
134,-0.0212,0.4399,0.9478
135,-0.0796,0.2700,1.0952
136,0.0000,0.2983,1.1353
137,0.0103,0.3291,1.0522
138,0.0420,0.2981,1.0481
139,0.0151,0.4470,0.9680
140,-0.0112,0.3445,0.9207
141,-0.0002,0.3152,0.9575
142,-0.0198,0.3689,0.9182
143,0.0288,0.5254,0.8950
144,0.0444,0.3181,0.8342
145,0.0444,0.4451,0.9778
146,-0.0112,0.4268,0.9036
147,-0.0149,0.5745,0.9709
148,-0.0088,0.5654,0.9155
149,-0.0474,0.6455,0.9624
150,-0.0615,0.6821,0.9907
151,-0.0479,0.5952,0.9731
152,-0.0056,0.5881,1.0110
153,0.0193,0.8003,1.0151
154,0.0132,0.5513,1.0405
155,-0.1265,-0.4158,1.1079
156,-0.2263,-0.8298,1.1753
157,-0.2542,-0.2578,1.0715
158,0.0198,-0.4409,0.8762
159,0.3130,-0.8662,1.0872
160,0.3020,-1.3250,1.0806
161,0.0876,-0.9392,1.0063
162,-0.0637,-0.4080,0.8530
163,-0.2139,-0.2095,0.8247
164,-0.2625,-0.4409,0.9426
165,-0.1323,-0.4321,1.0325
166,0.0864,-0.0640,1.0054
167,0.1948,0.1650,0.8948
168,0.0562,0.2561,0.9651
169,-0.0557,0.4253,0.9937
170,-0.0957,0.7393,0.9038
171,-0.0835,0.9885,0.8518
172,-0.1211,0.9419,0.8911
173,-0.1277,0.9075,1.0276
174,-0.0664,1.0051,1.0110
175,-0.0024,0.8081,0.9165
176,0.0122,0.4260,1.0442
177,0.1406,0.3079,1.1770
178,0.1636,0.0818,1.0667
179,0.0337,-0.3396,1.0015
180,-0.1143,-0.2971,1.1216
181,-0.0952,-0.2090,0.9465
182,-0.0669,-0.3191,0.9165
183,0.0522,-0.6311,1.0503
184,0.0984,-0.6694,1.0383
185,0.1145,-0.3579,0.9055
186,0.0134,-0.1355,0.8228
187,-0.0081,-0.1699,0.9917
188,-0.0444,-0.3032,1.0071
189,-0.0164,-0.3252,0.9709
190,0.0229,0.0186,1.0457
191,0.0701,0.1169,0.9924
192,0.0012,-0.0959,0.9868
193,-0.0366,-0.0657,0.9966
