Sample,X,Y,Z
0,0.0742,-0.0044,0.9917
1,0.0554,0.0063,0.9543
2,-0.0068,0.0251,0.9905
3,-0.0579,0.0059,0.9878
4,-0.0979,0.0032,0.9800
5,-0.0447,0.0303,0.9976
6,0.0100,-0.0625,0.9514
7,0.0781,-0.0161,1.0098
8,0.0740,-0.0295,0.9741
9,0.0388,0.0129,0.9751
10,-0.0391,0.0059,0.9819
11,-0.1333,-0.0271,0.9683
12,-0.1172,0.0054,0.9846
13,-0.0352,-0.0376,0.9724
14,0.0354,0.0159,1.0054
15,0.1138,-0.0005,0.9788
16,0.1335,0.0156,0.9868
17,0.0764,0.0415,1.0015
18,-0.0376,0.0029,0.9507
19,-0.1030,-0.0225,0.9565
20,-0.1248,-0.0664,1.0063
21,-0.0686,-0.0168,0.9993
22,-0.0054,0.0273,0.9595
23,0.0349,0.0393,0.9924
24,0.0471,0.0171,0.9973
25,0.0444,-0.0945,0.9641
26,0.0400,-0.0339,0.9868
27,-0.0046,0.0317,0.9731
28,-0.0161,0.0913,0.9565
29,-0.0642,-0.0166,0.9856
30,-0.0667,-0.0408,1.0376
31,-0.0488,-0.0295,0.9517
32,0.0063,0.0330,0.9534
33,0.0315,0.0144,1.0005
34,0.0537,-0.0364,0.9875
35,0.0342,-0.0459,0.9702
36,0.0271,-0.0088,0.9934
37,-0.0110,0.0317,0.9915
38,-0.0413,-0.0002,0.9543
39,-0.0269,-0.0198,0.9856
40,-0.0410,0.0266,0.9995
41,-0.0171,0.0583,0.9568
42,0.0007,-0.0200,0.9651
43,0.0024,-0.0012,1.0237
44,0.0051,-0.0342,0.9612
45,0.0027,0.0259,0.9692
46,-0.0186,-0.0396,0.9973
47,-0.0237,-0.0728,0.9836
48,-0.0232,-0.0154,0.9858
49,0.0337,0.0486,0.9792
50,0.0188,0.0295,0.9504
51,-0.0032,-0.0173,0.9917
52,0.0129,-0.0537,0.9966
53,-0.0139,0.0334,0.9905
54,-0.0259,0.0764,0.9341
55,-0.0310,0.0491,0.9700
56,-0.0288,-0.0242,1.0288
57,-0.0059,-0.1072,0.9604
58,0.0027,-0.0154,1.0022
59,0.0198,0.0237,0.9712
60,0.0312,-0.0288,0.9534
61,-0.0005,-0.0012,1.0208
62,-0.0115,-0.0015,0.9812
63,-0.0371,0.0244,0.9600
64,-0.0298,0.0342,0.9836
65,0.0127,-0.0303,0.9700
66,-0.0137,-0.0090,0.9722
67,0.0017,0.0015,0.9670
68,0.0034,0.0291,0.9888
69,0.0071,-0.0166,0.9663
70,0.0042,-0.0671,0.9683
71,-0.0266,0.0034,1.0354
72,-0.0002,0.0054,0.9800
73,-0.0039,-0.0337,0.9778
74,0.0044,0.0371,1.0012
75,-0.0046,0.0078,0.9253
76,-0.0110,0.0615,0.9817
77,0.0073,0.0132,0.9731
78,-0.0029,-0.0273,0.9690
79,-0.0034,0.0129,0.9878
80,-0.0466,-0.0422,0.9788
81,-0.0129,-0.0149,1.0159
82,-0.0115,-0.0752,0.9729
83,-0.0054,0.0168,1.0032
84,0.0215,0.0149,0.9524
85,0.0178,0.0017,0.9700
86,0.0366,-0.0144,1.0005
87,0.0295,-0.0127,0.9524
88,0.0142,0.0747,0.9653
89,-0.0481,0.0149,0.9543
90,-0.0747,-0.0215,1.0034
91,-0.0652,-0.0425,1.0188
92,-0.0378,-0.0190,0.9849
93,-0.0039,0.0579,0.9797
94,0.0427,-0.0193,0.9448
95,0.0583,-0.0396,1.0015
96,0.0684,-0.0444,0.9890
97,0.0483,0.0042,0.9465
98,-0.0447,0.0713,0.9849
99,-0.0781,0.0339,0.9888
100,-0.0869,-0.0320,0.9875
101,-0.0789,-0.0181,0.9993
102,-0.0002,-0.0281,0.9583
103,0.0220,0.0823,1.0022
104,0.0383,0.2031,0.9976
105,-0.0029,0.2629,0.9358
106,-0.0300,0.3445,0.9563
107,-0.0525,0.4058,0.9038
108,-0.1042,0.5520,0.9319
109,-0.0967,0.7551,0.9465
110,-0.0818,0.6995,0.9504
111,-0.0786,0.7288,1.0481
112,-0.1096,0.7324,0.9526
113,-0.1062,0.8901,0.8823
114,-0.0886,0.9751,0.8833
115,-0.0371,1.0198,0.8352
116,0.0132,0.9204,0.8501
117,0.0288,0.8948,0.9299
118,0.0979,0.7522,1.0159
119,0.0293,0.7190,1.0725
120,0.0649,0.6431,1.0464
121,0.1125,0.6567,1.1772
122,0.1445,0.5757,1.0503
123,0.1191,0.7166,1.0540
124,-0.0059,0.7209,0.9680
125,-0.1331,0.7710,0.9800
126,-0.1462,0.7307,0.9612
127,-0.1196,0.8499,0.9495
128,-0.0315,0.9438,0.8325
129,0.0532,0.9419,0.8667
130,0.0608,0.8481,1.0083
131,0.0020,0.5793,0.9534
132,0.0273,0.7151,1.0110
133,-0.0142,0.8872,0.9844
134,-0.0251,0.8254,0.9275
135,-0.0579,0.5447,1.0374
136,-0.1538,0.4363,1.1047
137,-0.1968,0.4780,0.9546
138,-0.2024,0.4648,0.9194
139,-0.0464,0.3916,1.0757
140,0.1018,0.2537,1.0229
141,0.1404,0.2493,0.9602
142,0.1455,0.3430,1.0076
143,0.0017,0.4241,0.9709
144,-0.1331,0.4500,0.8704
145,-0.1787,0.3413,0.9185
146,-0.1399,0.3660,0.9797
147,0.0034,0.3423,0.9116
148,0.1809,0.4146,1.0161
149,0.2117,0.2883,0.9788
150,0.1013,0.3835,0.9299
151,-0.0356,0.6304,0.9243
152,-0.1609,0.5698,0.8745
153,-0.2019,0.4011,0.9456
154,-0.2148,0.1641,0.9976
155,-0.1128,-0.0288,1.0610
156,-0.0312,-0.1362,1.1028
157,0.0176,-0.3872,1.0325
158,0.0027,-0.4148,1.1235
159,0.0811,-0.5940,1.0825
160,0.1621,-0.7195,1.0405
161,0.1274,-0.8408,0.9739
162,0.0750,-0.5320,0.9868
163,0.0332,-0.3904,0.8462
164,0.0964,-0.2673,0.9224
165,0.0281,-0.2429,0.9536
166,-0.0330,-0.0535,0.9009
167,-0.0598,0.0823,0.8967
168,-0.0647,0.1582,0.9253
169,-0.0940,0.1975,0.8879
170,-0.0764,0.2761,0.8899
171,0.0498,0.4163,1.0159
172,0.0691,0.3772,0.9292
173,-0.0164,0.5046,0.9866
174,-0.0735,0.6526,1.0413
175,-0.1711,0.7004,0.9436
176,-0.1892,0.7258,0.9573
