Sample,X,Y,Z
0,-0.0459,-0.0149,0.9563
1,-0.0039,0.0625,0.9905
2,0.0227,0.0051,0.9651
3,0.0083,-0.0193,1.0190
4,0.0059,-0.0576,1.0051
5,0.0068,-0.0632,0.9927
6,-0.0039,-0.0269,0.9751
7,-0.0024,-0.0327,0.9644
8,-0.0068,-0.0073,0.9839
9,0.0095,0.0222,0.9534
10,0.0000,0.0515,0.9751
11,-0.0029,0.0454,0.9797
12,-0.0117,0.0032,0.9768
13,-0.0200,-0.0051,0.9858
14,-0.0371,0.0002,0.9963
15,-0.0093,-0.0396,0.9888
16,0.0078,-0.0327,0.9954
17,0.0146,-0.0525,0.9856
18,0.0188,-0.0103,0.9956
19,0.0178,-0.0500,0.9556
20,0.0132,0.0278,0.9846
21,0.0127,0.0251,0.9309
22,-0.0127,0.0535,0.9807
23,-0.0249,0.0244,0.9651
24,-0.0513,-0.0344,0.9888
25,-0.0327,0.0105,1.0159
26,-0.0015,-0.0361,0.9604
27,0.0554,-0.0142,1.0032
28,0.0527,-0.0229,0.9790
29,0.0391,-0.0071,0.9985
30,-0.0049,-0.0295,0.9653
31,-0.0547,-0.0330,0.9868
32,-0.0813,0.0000,0.9780
33,-0.0459,0.0164,0.9614
34,-0.0125,0.0090,0.9573
35,0.0410,0.0278,0.9800
36,0.0664,0.0056,0.9790
37,0.0732,-0.0007,0.9924
38,0.0237,-0.0088,0.9885
39,-0.0405,-0.0188,0.9927
40,-0.0896,-0.0112,0.9907
41,-0.0989,-0.0408,0.9771
42,-0.0459,0.0010,1.0005
43,0.0439,-0.0112,0.9504
44,0.0793,-0.0266,0.9751
45,0.0769,0.0071,1.0027
46,0.0552,-0.0142,0.9575
47,-0.0112,0.0115,0.9778
48,-0.0693,0.0237,0.9700
49,-0.0908,-0.0276,0.9739
50,-0.0574,0.0017,1.0054
51,-0.0054,-0.0029,0.9575
52,0.0503,0.0344,1.0012
53,0.0710,0.0132,0.9651
54,0.0525,-0.0166,0.9915
55,0.0007,0.0083,1.0120
56,-0.0576,-0.0505,0.9722
57,-0.0596,-0.0417,0.9719
58,-0.0698,-0.0479,0.9634
59,-0.0271,0.0127,0.9858
60,0.0474,0.0168,0.9573
61,0.0747,0.0110,0.9768
62,0.0645,0.0161,0.9875
63,0.0396,-0.0005,0.9702
64,-0.0591,0.0120,0.9817
65,-0.0942,0.0342,1.0012
66,-0.0918,-0.0273,0.9719
67,-0.0417,-0.0254,0.9976
68,0.0176,-0.0247,0.9771
69,0.0906,-0.0432,0.9907
70,0.1072,-0.0066,0.9790
71,0.0481,-0.0042,0.9592
72,-0.0073,0.0337,0.9963
73,-0.0503,-0.0076,0.9409
74,-0.0952,-0.0007,0.9924
75,-0.0669,-0.0095,0.9819
76,-0.0259,-0.0205,0.9790
77,0.0461,0.0483,0.9790
78,0.0442,0.0481,0.9954
79,0.0283,0.0215,0.9856
80,0.0034,-0.0562,0.9680
81,-0.0139,-0.0562,0.9917
82,-0.0322,0.0085,1.0051
83,-0.0205,-0.0210,0.9839
84,0.0078,-0.0239,0.9907
85,0.0073,-0.0459,0.9663
86,-0.0283,0.0342,0.9863
87,-0.0122,0.0037,0.9397
88,-0.0198,0.0293,0.9712
89,0.0105,0.0381,0.9653
90,0.0281,0.0178,0.9839
91,0.0386,0.0244,1.0054
92,0.0410,-0.0054,0.9868
93,-0.0361,-0.0527,1.0161
94,-0.0430,-0.0496,1.0120
95,-0.0554,-0.0601,0.9595
96,-0.0288,0.0312,0.9858
97,0.0176,0.0173,0.9429
98,0.0332,-0.0312,0.9583
99,0.0269,-0.0049,0.9976
100,-0.0244,0.0156,0.9771
101,-0.0217,0.0635,0.9849
102,-0.0588,-0.0120,0.9641
103,-0.1365,0.0671,1.0549
104,-0.0493,0.2095,0.9985
105,0.0569,0.3086,0.9126
106,0.0437,0.3943,0.9446
107,0.1057,0.4932,0.9438
108,0.1243,0.5366,0.9409
109,0.1255,0.7815,0.9924
110,0.0222,0.8474,0.9788
111,-0.0188,0.6931,1.0120
112,-0.0652,0.5645,0.9937
113,-0.0061,0.7415,0.9436
114,0.1121,0.8315,0.9897
115,0.2017,0.6189,0.9456
116,0.1509,0.4915,1.0403
117,0.1096,0.5930,1.0569
118,-0.0615,0.7974,0.9546
119,-0.2788,0.9966,0.9224
120,-0.4023,0.9897,0.8882
121,-0.4607,0.8860,0.9260
122,-0.4333,0.8660,0.9563
123,-0.3130,0.9019,0.9438
124,-0.1218,0.8845,0.9202
