Sample,X,Y,Z
0,-0.0349,-0.0403,0.9553
1,-0.0303,-0.0039,1.0129
2,0.0029,-0.0557,0.9800
3,0.0256,-0.0205,0.9966
4,0.0073,0.0059,0.9768
5,-0.0042,-0.0420,0.9817
6,0.0066,0.0518,0.9897
7,-0.0303,-0.0027,0.9319
8,-0.0283,0.0093,0.9634
9,-0.0173,-0.0063,0.9814
10,0.0061,-0.0100,0.9973
11,0.0120,0.0247,0.9719
12,0.0234,-0.0300,0.9709
13,0.0215,-0.0195,0.9937
14,0.0002,-0.0391,0.9885
15,-0.0278,-0.0151,0.9692
16,-0.0264,0.0322,0.9634
17,-0.0298,-0.0168,0.9856
18,-0.0139,0.0139,0.9946
19,0.0066,-0.0122,0.9729
20,0.0381,0.0315,0.9670
21,0.0437,-0.0134,0.9670
22,0.0261,-0.0212,0.9897
23,-0.0383,0.0034,0.9917
24,-0.0659,-0.0188,0.9810
25,-0.0500,-0.0371,0.9700
26,-0.0220,0.0188,0.9995
27,0.0259,0.0457,0.9622
28,0.0479,-0.0300,0.9438
29,0.0256,0.0188,1.0012
30,-0.0139,-0.0496,0.9885
31,-0.0251,-0.0193,0.9963
32,-0.0417,-0.0037,0.9595
33,-0.0073,-0.0193,0.9856
34,0.0386,0.0215,0.9702
35,-0.0220,-0.0491,0.9780
36,0.0151,0.0535,0.9934
37,0.0220,-0.0427,0.9409
38,-0.0483,0.0488,1.0132
39,0.0020,0.0105,0.9624
40,0.0200,-0.0603,0.9685
41,-0.0408,0.0337,1.0034
42,0.0039,-0.0552,0.9739
43,0.0015,-0.0396,0.9888
44,-0.0215,0.0142,0.9976
45,0.0322,-0.0005,0.9612
46,0.0090,0.0151,0.9573
47,0.0007,0.0132,0.9856
48,0.0051,-0.0464,0.9790
49,-0.0125,0.0068,0.9858
50,-0.0322,0.0391,0.9709
51,-0.0171,-0.0149,0.9751
52,-0.0098,-0.0366,0.9758
53,-0.0103,0.0193,1.0007
54,0.0112,0.0193,0.9629
55,0.0276,-0.0422,0.9507
56,0.0132,-0.0044,1.0256
57,-0.0061,0.0227,0.9856
58,-0.0142,-0.0342,0.9741
59,-0.0083,0.0161,0.9807
60,-0.0137,-0.0620,0.9612
61,0.0083,0.0559,1.0002
62,-0.0242,-0.0208,0.9312
63,-0.0046,-0.0579,0.9780
64,-0.0044,0.0339,1.0090
65,0.0049,0.0283,0.9690
66,0.0046,0.0295,0.9377
67,0.0200,-0.0422,0.9937
68,-0.0107,-0.0366,1.0132
