Sample,X,Y,Z
0,-0.1194,-0.0005,1.0071
1,-0.0530,0.0110,0.9878
2,-0.0225,-0.0872,0.9360
3,0.0215,0.0322,1.0559
4,0.0847,0.0542,0.9153
5,0.0513,-0.0547,1.0061
6,0.0347,0.0032,1.0051
7,-0.0339,-0.0708,0.9573
8,-0.0723,0.0291,1.0168
9,-0.0784,-0.0896,0.9221
10,-0.0540,0.0469,1.0415
11,0.0212,-0.0710,0.9006
12,0.0229,0.0659,1.0229
13,0.0789,0.0085,0.9331
14,0.0391,-0.0500,1.0042
15,0.0242,0.0320,1.0042
16,-0.0308,-0.0625,0.9573
17,-0.0461,0.0300,1.0344
18,-0.0603,-0.0776,0.9351
19,-0.0791,0.0276,1.0190
20,-0.0168,-0.0623,0.9426
21,0.0020,0.0115,1.0044
22,0.0530,-0.0002,0.9526
23,0.0618,0.0046,0.9768
24,0.0186,0.0225,0.9875
25,0.0193,-0.0759,0.9543
26,-0.0261,-0.0171,1.0295
27,-0.0452,-0.0159,0.9614
28,-0.0671,-0.0095,1.0054
29,-0.0129,-0.0247,0.9712
30,-0.0129,0.0000,0.9722
31,0.0012,0.0593,0.9680
32,0.0281,-0.0762,0.9661
33,0.0203,0.0100,1.0256
34,0.0173,-0.0249,0.9534
35,-0.0103,0.0266,0.9915
36,-0.0337,-0.0437,0.9614
37,-0.0310,-0.0520,0.9917
38,-0.0271,-0.0312,0.9875
39,0.0010,0.0269,0.9702
40,0.0049,0.0117,0.9749
41,0.0234,-0.0352,0.9819
42,0.0083,-0.0269,0.9934
43,-0.0173,-0.0095,0.9709
44,-0.0266,0.0125,0.9827
45,-0.0322,0.0107,0.9749
46,-0.0166,-0.0183,0.9780
47,0.0151,-0.0071,0.9895
48,0.0181,-0.0183,0.9778
49,0.0208,-0.0159,0.9739
50,-0.0061,-0.0298,0.9849
51,-0.0154,-0.0093,0.9866
52,-0.0432,-0.0564,0.9663
53,-0.0283,0.0063,1.0024
54,-0.0017,-0.0100,0.9702
55,0.0032,0.0273,0.9851
56,0.0154,0.0046,0.9644
57,0.0059,-0.0378,0.9844
58,0.0020,-0.0569,0.9946
59,-0.0137,-0.0344,0.9780
60,-0.0249,-0.0125,0.9810
61,-0.0127,0.0081,0.9739
62,0.0039,0.0239,0.9788
63,-0.0015,-0.0093,0.9712
64,0.0032,-0.0261,0.9810
65,0.0071,0.0256,0.9937
66,-0.0344,0.0183,0.9592
67,-0.0271,-0.0461,0.9976
68,-0.0383,-0.0330,1.0081
69,-0.0066,-0.0627,0.9729
70,0.0488,-0.0151,0.9800
71,0.0303,-0.0122,0.9663
72,0.0457,0.0293,0.9731
73,0.0093,-0.0752,0.9585
74,-0.0498,0.0469,1.0142
75,-0.0374,0.0320,0.9360
76,-0.0796,-0.0322,0.9810
77,-0.0598,0.0139,0.9983
78,-0.0088,-0.0635,0.9788
79,0.0466,-0.0300,1.0054
80,0.0762,0.0103,0.9875
81,0.0662,0.0591,0.9875
82,0.0447,-0.1365,0.9565
83,-0.0491,0.0120,1.0247
84,-0.0610,-0.0459,0.9312
85,-0.0984,0.0520,0.9861
86,-0.0537,0.0432,0.9631
87,-0.0090,-0.0229,0.9702
88,0.0369,-0.1157,0.9895
89,0.0559,0.0354,0.9995
90,0.0620,-0.0305,0.9543
91,0.0234,-0.0168,1.0100
92,-0.0212,0.0034,0.9944
93,-0.0439,-0.0464,0.9783
94,-0.0618,-0.0352,0.9797
95,-0.0508,0.0774,0.9722
96,-0.0068,-0.0010,0.9485
97,0.0259,-0.0305,0.9836
98,0.0273,0.0330,0.9729
99,0.0366,-0.0049,0.9739
100,-0.0051,-0.0571,0.9995
101,-0.0283,-0.0107,0.9956
102,-0.0266,-0.0764,1.0012
103,-0.0227,-0.0547,0.9839
104,-0.0154,-0.0059,0.9692
105,-0.0085,0.0364,0.9771
106,0.0374,-0.0181,0.9436
107,-0.0027,0.0127,0.9944
108,0.0039,0.0320,0.9553
109,-0.0071,-0.0405,0.9739
110,-0.0344,0.0391,1.0093
111,-0.0271,-0.0732,0.9700
112,-0.0166,-0.0425,1.0364
113,0.0146,-0.0264,0.9575
114,0.0088,0.0095,0.9907
115,0.0254,0.0125,0.9702
116,0.0107,-0.0493,0.9583
117,-0.0208,0.0381,1.0081
118,-0.0276,-0.0283,0.9331
119,-0.0420,0.0042,0.9907
120,-0.0002,0.0425,0.9741
121,0.0242,-0.0173,0.9644
122,0.0120,-0.0652,1.0132
123,-0.0073,-0.0688,0.9934
124,-0.0122,-0.0459,0.9905
125,-0.0222,-0.0298,0.9878
126,-0.0217,0.0181,0.9663
127,-0.0112,-0.0110,0.9875
128,0.0027,0.0212,0.9539
129,-0.0220,0.0125,0.9780
130,0.0139,0.0596,0.9700
131,0.0037,-0.0388,0.9641
132,-0.0198,0.0393,1.0129
133,0.0134,-0.0867,0.9683
134,-0.0212,-0.0732,1.0298
135,-0.0188,-0.0356,0.9719
136,-0.0178,-0.0039,0.9817
137,0.0042,-0.0063,0.9927
138,0.0051,-0.0046,0.9407
139,-0.0183,0.0264,0.9856
140,0.0198,0.0195,0.9543
141,-0.0020,-0.0500,0.9631
142,0.0061,0.0305,1.0063
143,-0.0120,-0.0715,0.9702
144,-0.0312,-0.0305,1.0073
145,-0.0127,-0.0430,0.9836
146,-0.0439,0.0000,1.0073
147,0.0017,-0.0615,0.9504
148,-0.0022,0.0383,1.0054
149,0.0449,0.0713,0.9614
150,0.0435,-0.0234,0.9341
151,-0.0110,0.0354,1.0208
152,0.0063,-0.0398,0.9329
153,-0.0435,-0.0483,1.0012
154,-0.0789,0.0222,0.9983
155,-0.0371,-0.0872,0.9583
156,-0.0317,-0.0449,1.0376
157,0.0527,0.0022,0.9546
