Sample,X,Y,Z
0,-0.0239,-0.0979,0.9680
1,-0.0745,-0.0771,1.0110
2,-0.0530,0.0227,1.0032
3,-0.0593,-0.0461,0.9622
4,-0.0020,-0.0164,0.9866
5,0.0649,0.0093,0.9868
6,0.0664,0.0237,0.9602
7,0.0203,0.0173,0.9604
8,-0.0315,-0.0215,0.9817
9,-0.0725,-0.0452,0.9741
10,-0.0833,-0.0322,0.9622
11,-0.0400,0.0747,0.9849
12,-0.0061,0.0120,0.9683
13,0.0532,-0.0261,0.9917
14,0.0586,-0.0374,0.9985
15,0.0244,-0.0181,0.9702
16,-0.0176,-0.0208,0.9856
17,-0.0635,-0.0386,0.9866
18,-0.0942,-0.0339,0.9663
19,-0.0579,0.0364,0.9719
20,-0.0244,0.0273,0.9622
21,0.0322,-0.0298,0.9634
22,0.0637,0.0127,0.9834
23,0.0461,-0.0017,0.9553
24,0.0100,0.0093,0.9624
25,-0.0244,0.0244,0.9963
26,-0.0464,0.0144,0.9927
27,-0.0842,-0.0798,0.9895
28,-0.0435,-0.0730,1.0090
29,-0.0122,-0.0723,0.9780
30,0.0347,-0.0349,0.9553
31,0.0493,0.0625,0.9692
32,0.0366,0.0398,0.9417
33,-0.0159,0.0752,0.9695
34,-0.0857,0.0225,0.9675
35,-0.0603,0.0347,0.9800
36,-0.0496,-0.0793,0.9644
37,0.0022,-0.0437,1.0247
38,0.0532,-0.1099,0.9807
39,0.0305,-0.0500,1.0120
40,0.0254,0.0256,0.9888
41,-0.0432,0.0151,0.9585
42,-0.0557,0.0037,0.9536
43,-0.0535,0.0425,0.9641
44,-0.0217,0.0034,0.9409
45,-0.0024,0.0156,0.9663
46,0.0269,0.0264,0.9885
47,-0.0017,-0.0176,0.9780
48,0.0178,-0.0457,0.9819
49,-0.0283,0.0071,1.0237
50,-0.0403,-0.0732,0.9729
51,-0.0171,-0.0818,1.0039
52,-0.0405,-0.0288,0.9951
53,0.0056,0.0281,0.9536
54,0.0181,0.0208,0.9563
55,0.0068,0.0762,0.9788
56,0.0129,-0.0229,0.9280
57,-0.0168,-0.0022,0.9963
58,-0.0625,0.0334,0.9702
59,-0.0303,-0.0359,0.9651
60,-0.0369,-0.0317,1.0198
61,-0.0137,-0.0237,0.9780
62,0.0200,-0.0276,0.9858
63,0.0115,0.0049,1.0024
64,0.0127,-0.0542,0.9768
65,-0.0244,-0.0283,0.9768
66,-0.0115,0.0356,0.9761
67,-0.0266,-0.0552,0.9260
68,-0.0156,0.0210,0.9741
69,-0.0042,0.0347,0.9524
70,-0.0408,0.0291,0.9624
71,-0.0051,0.0413,1.0032
72,-0.0110,-0.0061,0.9937
73,-0.0068,-0.0730,0.9917
74,0.0044,-0.0427,0.9993
75,0.0115,-0.0334,0.9924
76,0.0029,-0.0676,0.9758
77,-0.0063,-0.0439,0.9993
78,-0.0200,0.0332,0.9849
79,-0.0476,0.0427,0.9175
80,-0.0164,0.1033,0.9788
81,-0.0251,-0.0105,0.9407
82,-0.0557,-0.0916,0.9604
83,-0.0144,-0.0012,0.9983
84,0.0144,0.0039,1.0002
85,0.0574,-0.0396,0.9983
86,0.0361,0.0168,1.0237
87,0.0400,0.0125,0.9895
88,-0.0242,-0.0789,0.9448
