Sample,X,Y,Z
0,0.0496,0.0215,0.9546
1,0.0515,-0.0205,0.9680
2,-0.0171,0.0227,1.0032
3,-0.0403,-0.0181,0.9644
4,-0.0632,-0.0244,0.9724
5,-0.0146,-0.0215,0.9797
6,-0.0107,-0.0247,0.9585
7,0.0276,-0.0071,0.9622
8,0.0154,0.0330,0.9553
9,-0.0156,0.0425,0.9390
10,-0.0181,0.0063,0.9829
11,-0.0010,-0.0315,0.9905
12,-0.0117,-0.0090,0.9739
13,-0.0247,0.0027,0.9634
14,-0.0007,-0.0237,0.9680
15,-0.0098,-0.0613,0.9468
16,-0.0088,-0.0076,0.9878
17,0.0439,0.0256,0.9546
18,0.0176,-0.0347,0.9651
19,-0.0076,0.1096,0.9875
20,-0.0554,-0.0366,0.9270
21,-0.0593,0.0225,0.9900
22,-0.0391,-0.0413,0.9700
23,-0.0447,0.0640,0.9592
24,-0.0247,-0.0674,0.9438
25,0.0007,-0.0212,1.0374
26,0.0750,-0.0378,0.9397
27,0.0542,-0.0369,0.9800
28,0.0701,0.1021,0.9917
29,0.0198,-0.0867,0.9048
30,-0.0361,0.0503,0.9888
31,-0.1157,-0.0388,0.9585
32,-0.1067,0.0667,0.9739
33,-0.0886,-0.0210,0.9631
34,0.0005,-0.0249,0.9614
35,0.0540,-0.0281,0.9797
36,0.0867,0.0120,0.9702
37,0.0659,-0.0251,0.9641
38,0.0042,0.0051,1.0002
39,-0.0393,-0.0317,0.9495
40,-0.0715,0.0188,0.9771
41,-0.0110,0.0200,0.9360
42,-0.0659,-0.0059,0.9663
43,-0.0217,0.0322,0.9780
44,0.0042,-0.0947,0.9360
45,-0.0181,0.0823,1.0100
46,0.0132,-0.0403,0.9583
47,0.0615,-0.0278,0.9717
48,0.0037,-0.0273,1.0054
49,0.0205,0.0242,0.9260
50,-0.0417,-0.0625,0.9556
51,-0.0732,0.0728,0.9895
52,-0.0271,0.0005,0.8928
53,-0.0381,0.0391,0.9868
54,0.0427,-0.0098,1.0073
55,0.0483,0.0117,0.9612
56,-0.0049,0.0017,0.9917
57,-0.0276,-0.0437,0.9868
58,-0.1067,-0.0686,0.9729
59,-0.0161,-0.0330,0.9585
60,0.0181,-0.0356,0.9338
61,0.0435,0.0393,0.9836
62,0.0630,-0.0112,0.9172
63,0.0217,0.0598,0.9636
64,-0.0781,0.0369,0.9546
65,-0.0999,0.0017,0.9917
66,-0.0371,0.0452,0.9790
67,-0.0535,-0.0649,0.9534
68,0.0408,-0.0088,1.0396
69,0.0710,-0.0801,0.9573
70,0.0354,0.0017,0.9780
71,-0.0066,-0.0139,0.9592
72,-0.0044,-0.0659,0.9536
73,-0.0264,0.0413,0.9485
74,-0.0569,0.0344,0.9312
75,-0.0623,0.0515,0.9546
76,-0.0798,-0.0383,0.9866
77,0.0007,0.0425,0.9875
78,0.0398,-0.0710,0.9485
79,0.0830,0.0491,1.0149
80,0.0630,-0.0840,0.9292
81,0.0139,-0.0195,0.9966
82,-0.0598,-0.0122,0.9631
83,-0.1274,0.0283,0.9573
84,-0.1062,0.0388,0.9583
85,-0.0522,-0.0415,0.9595
86,0.0544,0.0728,0.9866
87,0.0903,-0.0083,0.9165
88,0.0935,0.0122,1.0044
89,0.0105,-0.0930,0.9788
90,-0.0378,-0.0571,0.9866
91,-0.1099,-0.0110,0.9546
92,-0.1016,-0.0254,0.9517
93,-0.0422,-0.0027,0.9712
94,0.0210,-0.0264,0.9468
95,0.0898,0.0703,0.9771
96,0.0708,0.0811,0.9497
97,0.0513,0.0334,0.9741
98,-0.0149,-0.0315,0.9800
99,-0.0562,-0.0381,0.9963
100,-0.0725,-0.0264,0.9573
101,-0.1389,-0.0371,0.9653
102,-0.0874,-0.0378,1.0256
103,-0.2102,-0.1660,1.0403
104,-0.0608,0.0679,0.9568
105,0.0215,0.6665,0.8062
106,0.1772,1.7554,0.6987
107,0.2185,1.9998,0.6304
108,0.2041,1.9998,0.8833
109,0.1165,1.9998,0.8345
110,0.1157,1.5562,1.1167
111,0.1541,0.9338,1.2678
112,0.1501,0.4763,1.1936
113,0.1096,0.7720,1.2739
114,-0.2075,0.9426,1.1067
115,-0.4287,0.8586,1.0110
116,-0.5513,0.6245,0.9712
117,-0.4702,0.1501,0.8438
118,-0.1606,-0.1897,0.7981
119,0.2136,-0.2424,0.7974
120,0.4473,0.0801,0.6895
121,0.2439,0.6252,0.7151
122,-0.1350,0.9331,0.8081
123,-0.4995,0.6150,0.8735
124,-0.6960,0.3591,1.1692
125,-0.4341,0.1741,1.1528
126,0.0134,0.3101,1.1147
127,0.3401,1.2866,1.1655
128,0.5715,1.9197,0.9194
129,0.4067,1.9998,0.9319
130,0.0229,1.8647,0.9614
131,-0.1912,0.8518,0.8684
132,-0.3853,0.1777,1.0601
133,-0.2979,0.0103,0.9680
134,-0.1570,0.2659,0.8928
135,-0.0159,0.7290,0.9370
136,0.1401,1.0374,0.8665
137,0.1809,1.5110,0.8567
138,0.1450,1.5015,0.8618
139,0.1165,0.8784,0.9312
140,0.0310,0.3958,1.1038
141,-0.0354,0.4392,1.0569
142,-0.1641,0.4775,0.9019
143,-0.1055,0.5942,1.0239
144,-0.1421,0.4778,1.0403
145,-0.0117,0.6331,0.9817
146,-0.0596,0.8286,0.8950
147,-0.0562,1.0591,0.9087
148,-0.0950,1.1262,0.8596
149,-0.1267,1.3635,0.9778
150,-0.1221,1.4448,0.9204
151,-0.0901,0.9387,0.8909
152,0.0989,0.6311,1.1643
153,0.2207,-0.1426,0.6780
154,0.2708,0.2385,1.1106
155,0.0583,-0.1899,1.0149
156,-0.0308,-1.8098,1.1545
157,-0.0845,-1.9460,1.7310
158,-0.2104,-1.9978,0.9717
159,-0.1953,-1.3425,0.7827
160,-0.0447,-1.0649,0.9456
161,0.0032,-1.0459,0.6213
162,0.0256,-0.4209,0.5952
163,0.0869,0.1262,0.6460
164,-0.1057,-0.0562,0.5388
165,-0.1448,-0.1431,0.9866
166,-0.1379,-0.0029,1.1311
167,-0.0742,0.4011,1.2141
168,0.2417,0.9651,1.3616
169,0.2297,1.3804,1.1606
170,0.2292,1.7219,1.0549
171,0.3228,1.5737,0.9829
172,0.0378,1.6245,1.0542
173,-0.0305,1.9998,0.8774
174,-0.3550,1.9998,0.5576
175,-0.4373,1.3655,0.8088
176,-0.3950,-0.3875,1.0308
177,-0.2092,-1.3289,1.2778
178,0.1975,-1.4285,1.2681
179,0.4800,-1.4614,1.1721
180,0.3684,-1.4966,1.0188
181,0.2017,-0.8406,0.9390
182,-0.0183,0.0361,0.7554
183,-0.2468,0.6228,0.6038
184,-0.3162,0.5090,0.5911
185,-0.4031,0.0879,0.6946
186,-0.1587,-0.2195,0.7515
187,-0.1055,-0.4509,0.8921
188,0.0854,-1.0044,1.2512
189,0.3257,-1.1743,1.4631
190,0.2151,-0.6648,1.3306
191,0.2634,0.1577,1.2007
192,0.0752,0.4985,1.0444
193,-0.1731,0.5891,1.0081
194,-0.1763,0.4485,0.9114
195,-0.0845,0.4136,0.6978
196,-0.0886,0.3818,0.7544
197,0.1467,0.0554,0.8081
198,0.1155,-0.8159,0.8518
199,0.1191,-0.3477,1.2522
200,-0.0083,-0.5913,0.7903
201,-0.1052,-0.8650,1.0112
202,-0.1204,-0.5962,1.2747
203,-0.1833,0.1545,0.8625
204,-0.0464,0.9741,0.8071
205,-0.0981,0.5371,0.9204
206,-0.0527,0.4651,0.9592
207,-0.0950,0.7395,0.8391
208,-0.0022,0.8323,0.8948
209,0.0449,0.1155,1.1001
210,0.0889,-0.2925,1.2268
211,0.1301,-0.4417,1.0845
212,0.1335,0.1089,1.1992
213,0.0920,0.3245,0.8127
214,-0.0288,0.0693,1.0093
215,-0.1274,0.4470,0.9507
216,-0.3484,0.2971,0.6838
217,-0.3547,0.7371,0.6526
218,0.0081,-0.0264,0.9075
219,0.1885,-0.2498,1.0942
220,0.3057,-0.6802,1.1282
221,0.0916,-0.7986,0.9702
222,0.1360,-0.6902,1.4175
223,0.1897,-0.5115,0.9409
224,0.0964,-0.4773,1.0327
225,-0.2292,-0.0645,0.9485
226,-0.2026,0.5132,0.7344
227,-0.3118,0.5386,0.5112
228,-0.0781,0.6851,0.9614
229,-0.2510,0.0249,0.6860
230,-0.0408,-0.1221,1.0510
231,0.2151,-0.4333,1.2417
232,0.3044,-0.7339,0.9993
233,0.2720,-0.4810,1.3762
234,0.1082,-0.3872,1.1204
235,-0.1467,0.0103,0.9543
236,-0.0681,0.3452,0.9937
237,-0.0864,0.3274,0.7327
238,-0.0754,1.0571,0.8315
239,-0.0247,1.2639,0.6887
240,-0.1724,0.0745,0.7219
241,-0.0022,-0.3406,1.2954
242,-0.0713,-1.1177,0.8811
243,-0.0344,-0.5718,1.2209
244,0.0225,-0.2117,1.1929
245,0.0327,-0.3159,0.8997
246,0.0769,0.1377,1.0767
247,0.0547,0.5325,0.8772
248,0.1550,1.0122,0.5923
249,0.1162,0.3645,0.9065
250,0.1238,0.3025,0.9768
251,-0.1206,0.9351,0.8618
252,-0.2869,0.6829,0.7522
253,-0.3599,-0.6042,1.1470
254,-0.1328,-1.2095,1.3508
255,-0.0056,-0.9636,1.1558
256,0.3110,0.0762,1.2190
257,0.3628,0.1863,0.9417
258,0.1736,0.4834,0.9790
259,0.0439,0.2571,0.8169
260,-0.1968,0.1582,0.7485
261,-0.2078,-0.2290,0.7976
262,-0.1343,-0.2517,0.8608
263,0.0427,-0.1113,0.8608
264,0.1934,0.0891,0.8032
265,0.0789,-0.0281,0.9878
266,0.1284,-0.6169,1.2085
267,0.1245,-0.7310,1.2463
268,-0.0088,-0.4253,1.0042
269,-0.0142,0.3459,1.0227
270,-0.1143,0.4263,0.9185
271,-0.1648,0.7239,0.9797
272,-0.1079,0.9673,0.8667
273,-0.2300,0.5127,0.6855
274,-0.0325,-0.1335,1.0630
275,0.1770,-0.7905,1.0686
276,0.2207,-0.8826,1.0972
277,0.1331,-0.5952,1.0979
278,-0.1899,-0.0803,0.9417
279,-0.2944,0.5054,0.9038
280,-0.2915,0.2744,0.7476
281,-0.1865,0.0564,1.0276
282,0.1667,0.6167,0.9985
283,0.1606,0.4885,0.5452
284,0.2061,0.2395,1.0911
285,0.1721,-0.5349,1.1265
286,-0.0549,-0.4771,1.1946
287,-0.0154,-0.2178,1.1604
288,-0.0737,-0.5906,0.9419
289,-0.0251,-0.5620,1.0706
290,0.0059,-0.2554,0.9556
291,-0.0435,0.5139,0.7688
292,-0.0073,1.0737,0.7251
293,-0.1335,0.8518,0.7307
294,-0.1775,0.3557,0.8323
295,0.0295,-0.0701,1.0217
296,0.0420,-0.6372,0.9915
297,0.0591,-1.1919,1.2483
298,0.1978,-1.2915,1.3098
299,0.1143,-0.6736,1.0474
300,0.0181,0.7798,1.0034
301,-0.1111,1.4331,0.7700
302,-0.2139,0.9163,0.8557
303,-0.1345,0.3401,0.9583
304,-0.0833,0.1667,0.7825
305,0.0029,-0.0125,0.8782
306,0.1204,-0.3223,1.0579
307,0.1499,-0.5356,1.0510
308,-0.0442,-0.1936,1.0618
309,-0.0996,-0.0432,1.0061
310,-0.0249,-0.4302,0.9758
311,0.0305,-0.6450,1.2063
312,0.2759,-0.0920,0.9592
