Sample,X,Y,Z
0,-0.0139,0.0332,1.0161
1,0.0288,0.0159,0.9846
2,0.0823,0.0361,0.9009
3,0.1262,-0.0210,0.9846
4,0.0371,-0.0391,0.9585
5,-0.0078,-0.0261,0.9309
6,-0.0640,-0.0496,0.9983
7,-0.0896,-0.0142,0.9622
8,-0.0549,-0.0195,0.9651
9,0.0249,0.0469,0.9995
10,0.1191,0.0439,0.9885
11,0.1558,0.0732,0.9700
12,0.0728,0.0112,0.9844
13,-0.0073,0.0166,0.9587
14,-0.1174,-0.0061,0.9517
15,-0.1233,-0.0303,0.9595
16,-0.0652,-0.0298,0.9634
17,-0.0051,-0.0374,0.9465
18,0.1147,-0.0276,0.9495
19,0.1646,-0.0159,1.0022
20,0.1042,0.0571,0.9470
21,0.0303,0.0283,1.0161
22,-0.0288,-0.0142,1.0110
23,-0.1487,0.0564,0.9341
24,-0.0781,0.0361,1.0063
25,-0.0310,-0.0547,1.0093
26,0.0520,0.0881,0.8560
27,0.1167,-0.0967,1.0288
28,0.0884,-0.0298,0.9253
29,0.0469,0.0356,0.8938
30,0.0151,-0.0762,1.0757
31,-0.0513,0.0522,0.9163
32,-0.0496,0.0085,0.9641
33,-0.0166,0.0024,1.0540
34,-0.0071,0.0500,0.9387
35,0.0918,0.0347,0.9692
36,0.0168,-0.0615,1.0344
37,0.0327,0.0537,0.9016
38,-0.0144,-0.0586,0.9836
39,-0.0369,0.0037,0.9641
40,-0.0078,-0.0127,0.9211
41,0.0293,0.0049,0.9680
42,0.0635,-0.0149,0.9849
43,0.0876,0.0205,0.9465
44,0.0120,0.0322,0.9885
45,-0.0325,-0.0110,1.0034
46,-0.0527,0.0510,0.9417
47,-0.1028,-0.0454,1.0161
48,0.0056,0.0457,0.9553
49,0.0378,-0.0388,0.9729
50,0.1001,0.0183,0.9553
51,0.1116,-0.0210,0.9563
52,0.0627,0.0042,0.9448
53,-0.0142,-0.0122,0.9624
54,-0.0474,0.0222,0.9680
55,-0.1042,-0.0151,0.9885
56,-0.0583,0.0110,0.9827
57,-0.0200,0.0229,0.9702
58,0.0571,0.0095,0.9849
59,0.1445,0.0242,0.9731
60,0.1221,0.0349,0.9526
61,0.0535,-0.0352,0.9856
62,-0.0334,-0.0271,0.9387
63,-0.1479,-0.0117,0.9417
64,-0.1079,-0.0427,0.9976
65,-0.0159,0.0024,0.9731
