Sample,X,Y,Z
0,0.0278,-0.0234,0.9407
1,0.0305,0.0059,0.9380
2,0.0249,-0.0864,0.9846
3,0.0151,-0.0098,0.9087
4,0.0449,-0.0623,0.9976
5,-0.0347,-0.0386,0.9758
6,-0.0745,0.0579,0.9653
7,-0.0251,-0.0215,1.0393
8,-0.0581,0.0669,0.9832
9,0.0684,0.1023,0.9670
10,0.1025,-0.0193,1.0159
11,0.0625,0.0642,0.9185
12,0.0518,-0.0149,0.9495
13,-0.0232,-0.0061,0.9595
14,-0.0312,-0.0396,0.9202
15,-0.0188,-0.0781,0.9497
16,-0.0286,-0.0520,0.9788
17,-0.0034,-0.0576,0.9690
18,0.0173,0.0454,0.9810
19,0.0168,0.0239,1.0481
20,0.0613,0.1077,0.9543
21,0.0261,0.0381,1.0034
22,0.0044,0.0251,0.9700
23,-0.0217,0.0479,0.9338
24,-0.0110,-0.0522,0.9897
25,-0.0017,-0.0386,0.9294
26,0.0571,-0.0698,0.9272
27,0.0063,-0.0562,0.9683
28,0.0234,0.0413,0.9399
29,0.0027,-0.0220,1.0093
30,0.0115,0.0544,0.9819
31,-0.0095,0.0249,0.9917
32,-0.0066,0.0481,0.9846
33,0.0012,0.0200,0.9897
34,0.0305,0.0376,0.9683
35,0.0469,-0.0068,0.9595
36,0.0771,-0.0759,0.9661
37,0.0386,-0.0286,0.9253
38,-0.0266,-0.0361,0.9651
39,-0.1016,-0.0107,0.9790
40,-0.0735,0.0247,0.9377
41,-0.0093,0.0247,1.0002
42,0.0669,0.0295,0.9846
43,0.1350,0.0735,0.9797
44,0.0706,-0.0137,0.9907
45,0.0095,0.0544,0.9524
46,-0.0066,-0.0676,0.9739
47,-0.0208,0.0188,0.9370
48,-0.0129,-0.0647,0.9836
49,0.0127,-0.0244,0.9702
50,-0.0339,-0.0083,0.9465
51,-0.0483,-0.0046,0.9800
52,-0.0220,0.0288,0.9800
53,0.0217,0.0999,0.9580
54,0.1101,0.0276,0.9895
55,0.1140,-0.0083,0.9680
56,0.0459,-0.0090,0.9192
57,-0.0181,-0.0474,1.0100
58,-0.0654,-0.0427,0.9758
59,-0.0894,0.0266,0.9495
