Sample,X,Y,Z
0,0.0505,0.0059,0.9702
1,-0.0474,-0.0566,0.9514
2,-0.0916,0.0002,0.9944
3,-0.0591,0.0110,0.9536
4,-0.0518,-0.0063,0.9507
5,0.0593,0.0127,0.9915
6,0.0713,-0.0630,0.9534
7,0.0688,0.0242,0.9924
8,0.0391,0.0015,0.9536
9,-0.0801,-0.0139,0.9827
10,-0.0952,-0.0151,0.9702
11,-0.0986,0.0037,0.9702
12,-0.0642,0.0112,0.9321
13,0.0425,0.0103,0.9731
14,0.1023,-0.0046,0.9739
15,0.0984,-0.0664,0.9683
16,0.0381,0.0635,1.0093
17,-0.0500,-0.0769,0.9280
18,-0.1128,0.0388,0.9956
19,-0.0947,-0.0320,0.9543
20,-0.0698,-0.0178,0.9468
21,0.0010,0.0029,0.9700
22,0.0889,0.0669,0.9619
23,0.0686,-0.0752,0.9563
24,0.0569,0.0356,1.0073
25,-0.0146,-0.0137,0.9507
26,-0.0830,0.0059,0.9575
27,-0.0698,-0.0210,0.9692
28,-0.0552,0.0212,0.9819
29,-0.0005,-0.0737,0.9524
30,0.0471,0.0391,1.0044
31,0.0366,-0.0256,0.9487
32,0.0215,0.0073,0.9602
33,-0.0325,0.0032,0.9622
34,-0.0471,0.0034,0.9634
35,-0.0601,-0.0178,0.9673
36,0.0002,0.0215,0.9875
37,0.0078,-0.0378,0.9565
38,0.0522,0.0085,0.9788
39,0.0391,-0.0115,0.9641
40,-0.0161,-0.0100,0.9731
41,-0.0625,-0.0283,0.9556
42,-0.0679,0.0044,0.9858
43,-0.0425,0.0020,0.9448
44,-0.0095,-0.0039,0.9585
45,0.0669,0.0623,0.9973
46,0.0347,-0.0940,0.9260
47,0.0232,0.0662,1.0188
48,-0.0273,-0.0515,0.9338
49,-0.0540,0.0042,0.9858
50,-0.0571,-0.0337,0.9673
51,-0.0471,0.0015,0.9644
52,0.0139,-0.0286,0.9585
53,0.0117,0.0308,0.9670
54,0.0642,0.0198,0.9709
55,0.0254,-0.0518,0.9573
56,0.0186,0.0510,0.9895
57,-0.0437,-0.0271,0.9429
58,-0.0774,0.0354,0.9807
59,-0.0823,-0.0383,0.9807
60,-0.0505,-0.0139,0.9866
61,0.0359,-0.0486,0.9497
62,0.0479,0.0227,0.9946
63,0.0603,-0.0085,0.9351
64,0.0334,-0.0325,0.9624
65,-0.0195,0.0420,0.9966
66,-0.0725,-0.0161,0.9197
67,-0.0674,0.0422,0.9956
68,-0.0659,-0.0168,0.9709
69,-0.0088,-0.0305,0.9651
70,0.0566,0.0095,0.9868
71,0.0930,-0.0105,0.9653
72,0.0583,-0.0549,0.9683
73,-0.0005,-0.0195,0.9790
74,-0.0996,0.0164,0.9653
75,-0.1338,-0.0010,0.9592
76,-0.1150,0.0149,0.9634
77,-0.0322,-0.0225,0.9536
78,0.1096,0.0269,0.9614
79,0.1150,-0.0146,0.9810
80,0.1274,0.0383,0.9924
81,0.0112,-0.0842,0.9592
82,-0.1089,0.0454,1.0159
83,-0.1379,-0.0547,0.9260
84,-0.1431,-0.0168,0.9819
85,-0.0261,0.0227,0.9790
86,0.0696,-0.0198,0.9321
87,0.1174,0.0354,0.9915
88,0.1270,0.0044,0.9448
89,0.0178,-0.0117,0.9797
90,-0.0583,-0.0015,0.9749
91,-0.1570,-0.0493,0.9536
92,-0.1372,-0.0063,0.9983
93,-0.0447,-0.0425,0.9329
94,0.0381,0.0081,0.9966
95,0.1331,0.0195,0.9565
96,0.1016,-0.0181,0.9573
97,0.0374,0.0562,0.9956
98,-0.0723,-0.0496,0.9224
99,-0.1294,0.0242,1.0156
100,-0.0701,-0.0073,0.9407
101,-0.0466,-0.0266,0.9875
102,0.0452,-0.0115,0.9722
103,0.0544,-0.0715,0.9465
104,0.0784,0.0652,0.9927
105,0.0012,-0.0513,0.9294
106,-0.0347,0.0422,1.0110
107,-0.0745,-0.0444,0.9292
108,-0.0886,0.0129,0.9827
109,-0.0334,0.0530,0.9731
110,0.0122,-0.0242,0.9526
111,0.0547,0.0315,1.0063
112,0.0618,-0.0889,0.9485
113,0.0276,0.0083,0.9810
114,0.0073,0.0015,0.9631
115,-0.0259,-0.0068,0.9526
116,-0.1038,-0.0488,0.9829
117,-0.0698,0.0471,0.9661
118,-0.0449,0.0002,0.9360
119,-0.0264,0.0256,1.0000
120,0.0659,-0.0830,0.9348
121,0.0386,0.0203,1.0012
122,0.0730,0.0405,0.9563
123,0.0020,-0.0425,0.9712
124,-0.0371,0.0068,1.0024
125,-0.0515,-0.0596,0.9338
126,-0.0386,0.0688,0.9927
127,-0.0430,-0.0330,0.9272
128,-0.0146,0.0159,1.0034
129,0.0044,-0.0461,0.9497
130,-0.0046,0.0010,0.9543
131,0.0269,0.1011,0.9963
132,0.0117,-0.0754,0.9136
133,0.0020,-0.0073,1.0288
134,-0.0085,-0.0417,0.9592
135,-0.0288,-0.0125,0.9631
136,-0.0229,0.0095,0.9790
137,-0.0146,-0.0251,0.9556
138,-0.0090,0.0132,0.9653
139,-0.0203,0.0127,0.9526
140,-0.0139,0.0728,0.9761
141,-0.0222,-0.0640,0.9553
142,0.0061,0.0254,0.9993
143,0.0347,-0.0374,0.9749
144,-0.0303,-0.0273,0.9585
145,0.0005,-0.0537,0.9700
146,-0.0181,0.0383,0.9670
147,-0.0149,-0.0442,0.9465
148,0.0056,0.0188,0.9875
149,0.0205,0.0369,0.9653
150,-0.0005,0.0125,0.9370
151,-0.0049,0.0154,0.9907
152,-0.0679,-0.0557,0.9751
153,-0.0730,-0.0154,0.9788
154,-0.0552,0.0076,0.9778
155,-0.0630,-0.0510,0.9526
156,0.0710,0.0166,0.9739
157,0.0850,-0.0339,0.9653
158,0.1074,0.0393,0.9700
159,0.0457,-0.0300,0.9563
160,-0.0249,0.0737,0.9875
161,-0.1125,-0.0459,0.9192
162,-0.1226,0.0105,0.9983
163,-0.1228,-0.0188,0.9661
164,0.0049,-0.0181,0.9651
165,0.0608,0.0164,0.9829
166,0.0676,-0.0488,0.9800
167,0.1204,-0.0054,0.9771
168,-0.0032,-0.0398,0.9553
169,-0.0427,0.0833,0.9761
170,-0.0688,-0.0637,0.9224
171,-0.1216,0.0391,0.9917
172,-0.0222,0.0215,0.9534
173,0.0103,-0.0022,0.9751
174,0.0371,-0.0305,0.9595
175,0.1001,0.0200,0.9927
176,0.0178,-0.0425,0.9570
177,-0.0300,-0.0586,0.9807
178,-0.0720,0.0112,0.9937
179,-0.0879,-0.0154,0.9478
180,-0.0212,0.0029,0.9678
181,0.0005,-0.0090,0.9595
182,0.0869,0.0532,0.9639
183,0.0488,0.0203,0.9465
184,0.0137,0.0110,0.9683
185,-0.0605,-0.0439,0.9790
186,-0.0771,-0.0308,0.9709
187,-0.0747,-0.0215,0.9702
188,-0.0186,0.0229,1.0061
189,0.0371,-0.0784,0.9448
190,0.0513,0.0002,1.0022
191,0.0369,0.0527,0.9592
192,0.0369,-0.0076,0.9299
193,-0.0427,0.0139,0.9797
194,-0.0720,-0.0205,0.9573
195,-0.0630,-0.0337,0.9644
196,-0.0581,-0.0117,0.9858
197,0.0203,0.0400,0.9622
198,-0.0022,-0.0369,0.9534
199,0.0439,0.0352,0.9917
200,0.0259,-0.0200,0.9583
201,-0.0149,-0.0132,0.9927
202,0.0098,-0.0154,0.9631
203,-0.0137,-0.0037,0.9927
204,0.0142,-0.0239,0.9377
205,-0.0354,-0.0483,0.9634
206,-0.0471,0.0688,0.9839
207,-0.0417,-0.0715,0.9026
208,-0.0459,0.0493,1.0229
209,0.0002,-0.0276,0.9321
210,0.0256,0.0332,0.9634
211,0.0315,0.0417,0.9985
212,0.0293,-0.0415,0.9670
213,-0.0220,-0.0520,0.9985
214,-0.0120,0.0027,0.9692
215,-0.0391,-0.0144,0.9526
216,-0.0398,-0.0242,0.9761
217,-0.0085,-0.0127,0.9497
218,-0.0171,0.0168,0.9702
219,0.0249,0.0237,0.9368
220,0.0044,0.0183,0.9729
221,0.0168,0.0010,0.9797
222,-0.0417,-0.0552,0.9624
223,-0.0469,0.0276,1.0071
224,-0.0225,-0.0583,0.9419
225,-0.0220,0.0044,0.9954
226,0.0376,-0.0044,0.9692
227,0.0173,-0.0417,0.9497
228,0.0059,0.0662,0.9907
229,0.0115,-0.0088,0.9194
230,-0.0498,0.0195,0.9800
231,-0.0032,0.0022,0.9722
232,-0.0325,-0.0374,0.9595
233,-0.0349,0.0042,1.0061
234,0.0012,-0.0337,0.9651
235,-0.0063,-0.0422,0.9673
236,-0.0110,-0.0071,0.9719
237,0.0115,-0.0046,0.9387
238,-0.0076,-0.0017,0.9692
239,0.0198,0.0579,0.9722
240,-0.0078,-0.0164,0.9604
241,-0.0171,0.0242,0.9836
242,-0.0278,0.0098,0.9729
243,-0.0352,-0.0159,0.9651
244,-0.0125,-0.0476,0.9800
245,-0.0095,-0.0042,0.9797
246,0.0237,-0.0569,0.9458
247,0.0142,-0.0127,0.9702
248,-0.0112,0.0178,0.9768
249,-0.0007,0.0095,0.9368
250,-0.0339,0.0259,0.9741
251,-0.0359,0.0552,0.9631
252,-0.0164,-0.0593,0.9429
253,-0.0071,0.0330,1.0032
254,0.0107,-0.0408,0.9634
255,0.0010,-0.0308,0.9915
256,0.0073,-0.0403,0.9553
257,-0.0090,0.0046,0.9788
258,-0.0020,0.0227,0.9485
259,-0.0339,-0.0215,0.9631
260,-0.0144,0.0288,0.9829
261,-0.0237,-0.0205,0.9458
262,0.0088,0.0439,0.9719
263,0.0081,-0.0430,0.9556
264,-0.0115,-0.0374,0.9797
265,-0.0046,-0.0259,0.9592
266,-0.0491,0.0205,0.9800
267,-0.0317,0.0151,0.9670
