Sample,X,Y,Z
0,-0.0190,-0.0305,0.9426
1,-0.0178,-0.0120,0.9917
2,-0.0081,0.0112,0.9758
3,0.0227,-0.0222,0.9573
4,0.0151,-0.0208,0.9771
5,0.0100,0.0222,0.9827
6,0.0173,-0.0198,0.9436
7,-0.0112,0.0327,0.9807
8,-0.0310,-0.0491,0.9348
9,-0.0493,-0.0083,1.0034
10,-0.0432,-0.0144,0.9458
11,-0.0488,-0.0291,0.9546
12,0.0093,0.0405,0.9963
13,0.0388,-0.0530,0.9204
14,0.0552,0.0757,1.0112
15,0.0645,-0.0276,0.9507
16,-0.0178,0.0312,0.9993
17,-0.0803,-0.0652,0.9702
18,-0.0649,0.0120,0.9700
19,-0.0430,-0.0076,0.9739
20,-0.0081,-0.0232,0.9536
21,0.0210,-0.0581,0.9504
22,0.0193,0.0144,0.9817
23,0.0200,0.0178,0.9341
24,-0.0132,-0.0183,0.9758
25,-0.0227,0.0369,0.9963
26,-0.0144,-0.0330,0.9290
27,-0.0203,0.0476,0.9973
28,-0.0137,-0.0361,0.9565
29,0.0039,-0.0117,0.9888
30,-0.0093,-0.0312,0.9907
31,-0.0210,-0.0049,0.9551
32,-0.0146,-0.0234,0.9856
33,-0.0220,0.0283,0.9377
34,-0.0188,-0.0596,0.9365
35,0.0266,0.0767,1.0210
36,0.0269,-0.0371,0.9077
37,0.0134,0.0217,0.9973
38,0.0017,0.0005,0.9927
39,-0.0625,-0.0654,0.9360
40,-0.0466,0.0110,1.0032
41,-0.0400,0.0105,0.9536
42,-0.0364,-0.0393,0.9585
43,0.0591,0.0200,0.9680
44,0.0320,0.0076,0.9858
45,0.0283,0.0105,0.9475
46,0.0088,-0.0430,0.9592
47,-0.0315,0.0813,1.0132
48,-0.0354,-0.1157,0.8987
49,-0.0559,0.0278,1.0083
50,-0.0522,-0.0051,0.9622
51,-0.0212,-0.0364,0.9438
52,0.0195,0.0063,1.0071
53,0.0627,0.0220,0.9299
54,0.0481,-0.0234,0.9856
55,0.0212,0.0710,0.9800
56,-0.0461,-0.1108,0.9456
57,-0.0652,0.0967,1.0383
58,-0.0581,-0.0522,0.9016
59,-0.0388,0.0369,1.0022
60,0.0269,-0.1091,0.9692
61,0.0325,0.0247,0.9575
62,0.0496,0.0134,0.9692
63,-0.0085,-0.0105,0.9465
64,-0.0503,-0.0283,0.9829
65,-0.0286,0.0383,0.9573
66,-0.0662,0.0015,0.9673
67,-0.0242,-0.0247,0.9702
68,0.0229,-0.0093,0.9915
69,0.0667,0.0518,0.9651
70,0.0706,-0.1208,0.9429
71,0.0122,0.0718,1.0415
72,-0.0532,-0.0679,0.9185
73,-0.1067,0.0178,0.9700
74,-0.1074,-0.0171,0.9827
75,-0.0454,0.0378,0.9553
76,0.0474,-0.0095,0.9358
77,0.1055,0.0591,1.0044
78,0.1113,-0.0747,0.9504
79,0.0386,0.0012,0.9849
80,-0.0588,-0.0100,0.9839
81,-0.1099,-0.0251,0.9624
82,-0.1143,-0.0623,0.9680
83,-0.0657,0.0476,0.9751
84,0.0083,-0.0581,0.9539
85,0.0754,0.0537,0.9663
86,0.0879,0.0300,0.9673
87,0.0552,0.0286,0.9712
88,-0.0266,-0.0776,0.9663
89,-0.0659,0.0642,0.9934
90,-0.0776,-0.0491,0.9390
91,-0.0769,-0.0244,0.9895
92,0.0056,-0.0522,0.9817
93,0.0496,-0.0168,0.9673
94,0.0547,0.0122,0.9585
95,0.0247,0.0256,0.9524
96,-0.0227,-0.0056,0.9827
97,-0.0549,0.0352,0.9507
98,-0.0820,-0.0217,0.9436
99,-0.0220,0.0781,1.0161
100,0.0315,-0.0886,0.9331
101,0.0581,-0.0007,1.0129
102,0.0591,-0.0693,0.9719
103,-0.0239,-0.0029,0.9604
104,-0.0491,-0.0090,0.9602
105,-0.0908,0.0105,0.9517
106,-0.0757,0.0029,0.9690
107,-0.0073,0.0410,0.9458
108,0.0305,0.0139,0.9751
109,0.0911,0.0100,0.9878
110,0.0710,-0.0737,0.9497
111,0.0083,0.0259,1.0110
112,-0.0430,-0.0735,0.9497
113,-0.1128,-0.0344,0.9819
114,-0.0732,0.0413,0.9836
115,-0.0422,-0.0247,0.9231
116,-0.0159,0.0059,0.9829
117,0.0598,0.0769,0.9622
118,0.0505,-0.0127,0.9377
119,0.0457,0.0271,0.9807
120,0.0244,-0.0503,0.9741
121,-0.0278,-0.0164,0.9868
122,-0.0576,-0.0850,0.9739
123,-0.0784,0.0083,1.0005
124,-0.0439,-0.0430,0.9282
125,0.0037,0.0154,0.9556
126,0.0364,0.0303,0.9944
127,0.0283,0.0010,0.9377
128,0.0122,0.0513,0.9722
129,-0.0054,0.0688,0.9614
130,-0.0300,-0.0854,0.9583
131,-0.0315,-0.0056,1.0083
132,-0.0312,-0.0454,0.9553
133,-0.0244,0.0190,0.9924
134,-0.0151,-0.0798,0.9573
135,-0.0039,0.0000,0.9944
136,0.0437,-0.0073,0.9338
137,0.0493,0.0625,0.9546
138,0.0190,-0.0015,0.9553
139,-0.0361,-0.0063,0.9761
140,-0.0908,0.0291,0.9683
141,-0.0842,0.0122,0.9543
142,-0.0359,-0.0376,0.9897
143,0.0117,-0.0740,0.9780
144,0.0730,-0.0225,0.9768
145,0.0898,0.0566,0.9709
146,0.0398,-0.0237,0.9387
147,-0.0195,-0.0034,0.9944
148,-0.0876,-0.0115,0.9670
149,-0.1191,0.0249,0.9517
150,-0.0762,0.0486,0.9751
151,0.0034,-0.0386,0.9534
152,0.0659,-0.0310,0.9700
153,0.0989,-0.0293,0.9780
154,0.0393,-0.0103,0.9749
155,-0.0190,-0.0371,0.9543
156,-0.0879,0.0208,1.0012
157,-0.0959,-0.0007,0.9536
158,-0.0715,0.0151,0.9360
159,-0.0100,0.0537,0.9915
160,0.0601,0.0181,0.9380
161,0.0933,-0.0608,0.9885
162,0.0781,0.0520,0.9954
163,0.0068,-0.1113,0.9438
164,-0.0469,0.0066,0.9973
165,-0.1062,-0.0747,0.9504
166,-0.1279,0.0168,0.9719
167,-0.0588,-0.0046,0.9397
168,0.0298,0.0828,0.9846
169,0.0986,-0.0293,0.9194
170,0.0876,0.0391,1.0051
171,0.0496,0.0442,0.9565
172,-0.0266,-0.0603,0.9592
173,-0.0845,-0.0059,1.0149
174,-0.0789,-0.0461,0.9612
175,-0.0635,-0.0637,0.9670
176,-0.0132,-0.0090,0.9897
177,0.0354,0.0288,0.9556
178,0.0652,-0.0071,0.9399
179,0.0471,0.0471,0.9749
180,-0.0088,-0.0352,0.9504
181,-0.0525,0.0435,0.9604
182,-0.0659,0.0034,0.9673
183,-0.0554,-0.0112,0.9875
184,-0.0039,-0.0884,0.9700
185,0.0342,0.0325,0.9907
186,0.0442,-0.0454,0.9624
187,0.0327,0.0254,0.9790
188,-0.0132,-0.0110,0.9436
189,-0.0510,0.0229,0.9731
190,-0.0554,-0.0188,0.9456
191,-0.0498,0.0217,0.9895
192,-0.0002,-0.0171,0.9731
193,0.0203,-0.0278,0.9458
194,0.0310,-0.0229,0.9700
195,0.0469,0.0017,0.9683
196,-0.0037,-0.0532,0.9651
197,-0.0239,0.0286,0.9780
198,-0.0535,0.0249,0.9680
199,-0.0576,-0.0076,0.9683
200,-0.0427,0.0225,0.9731
201,-0.0305,-0.0046,0.9895
202,0.0249,0.0007,0.9634
203,0.0579,-0.0369,0.9475
204,0.0686,0.0024,1.0002
205,0.0427,-0.0776,0.9407
206,-0.0352,0.0007,0.9709
207,-0.0554,0.0603,0.9771
208,-0.1045,-0.0369,0.9241
209,-0.0769,0.0022,0.9856
210,-0.0012,0.0339,0.9849
211,0.0339,-0.0237,0.9419
212,0.0649,0.0037,0.9807
213,0.0586,0.0244,0.9768
214,0.0125,-0.0618,0.9575
215,-0.0393,-0.0288,0.9915
216,-0.0845,0.0256,0.9846
217,-0.0466,-0.0444,0.9368
218,-0.0027,0.0325,0.9839
219,0.0149,-0.0269,0.9595
220,0.0312,-0.0103,0.9517
221,0.0081,0.0474,0.9565
222,-0.0159,0.0215,0.9634
223,-0.0347,-0.0381,0.9731
224,-0.0410,-0.0171,0.9817
225,-0.0315,-0.0093,0.9827
226,0.0027,-0.0332,0.9866
227,0.0261,-0.0366,0.9487
228,0.0452,0.0281,1.0073
229,0.0454,-0.0083,0.9338
230,-0.0430,-0.0427,0.9446
231,-0.0598,0.1096,1.0022
232,-0.0791,-0.0579,0.9067
233,-0.0706,0.0166,1.0015
234,0.0068,0.0322,0.9673
235,0.0225,-0.0293,0.9546
236,0.0789,-0.0369,0.9915
237,0.0764,-0.0391,0.9934
238,0.0022,-0.0220,0.9807
239,-0.0269,-0.0225,0.9292
240,-0.0796,0.0483,1.0063
241,-0.0791,-0.0334,0.9351
242,-0.0559,-0.0020,0.9419
243,0.0012,0.1125,1.0002
244,0.0425,-0.0630,0.9221
245,0.0454,-0.0198,0.9905
246,0.0417,0.0295,0.9888
247,0.0015,-0.0679,0.9485
248,-0.0244,-0.0151,0.9895
249,-0.0571,-0.0078,0.9856
250,-0.0483,-0.0215,0.9702
251,-0.0322,-0.0498,0.9409
252,-0.0371,0.0867,0.9983
253,0.0164,-0.0066,0.9146
254,0.0376,-0.0105,0.9543
255,0.0339,0.0244,1.0022
256,0.0273,-0.0547,0.9280
257,-0.0044,0.0251,1.0129
258,-0.0405,-0.0015,0.9729
259,-0.0898,-0.0789,0.9717
260,-0.0471,0.0081,0.9731
261,0.0037,0.0225,0.9475
262,0.0232,-0.0161,0.9622
263,0.0461,-0.0227,0.9614
264,0.0195,0.0625,0.9712
265,0.0020,-0.0430,0.9429
266,-0.0232,0.0452,0.9976
267,-0.0654,-0.0562,0.9634
268,-0.0508,-0.0288,0.9758
269,-0.0256,-0.0120,0.9829
270,-0.0056,0.0059,0.9644
271,0.0312,-0.0259,0.9604
272,0.0454,0.0325,0.9690
273,0.0522,0.0188,0.9583
274,-0.0005,0.0134,0.9653
275,-0.0691,-0.0034,0.9634
276,-0.0632,0.0061,0.9751
277,-0.0647,-0.0056,0.9768
278,-0.0347,-0.0579,0.9631
279,0.0244,-0.0400,0.9944
280,0.0532,-0.0417,0.9585
281,0.0518,0.0505,0.9583
282,0.0237,0.0134,0.9585
283,-0.0361,0.0051,0.9780
284,-0.0510,-0.0222,0.9507
285,-0.0806,0.0352,0.9741
286,-0.0513,0.0679,0.9485
287,0.0142,0.0112,0.9592
288,0.0408,0.0757,1.0208
289,0.0625,0.0015,0.9253
290,0.0374,0.0542,1.0032
291,-0.0061,-0.0154,0.9817
292,-0.0532,-0.0647,0.9712
293,-0.1121,-0.0491,0.9983
294,-0.0747,-0.0176,0.9272
295,-0.0220,-0.0176,0.9624
296,0.0310,0.0991,0.9478
297,0.0579,0.0615,0.9263
298,0.0554,0.0938,0.9944
299,0.0132,0.0757,0.9458
300,-0.0530,0.0166,0.9739
301,-0.0566,-0.0259,1.0054
302,-0.0615,-0.0686,0.9927
303,-0.0022,0.0693,0.9749
304,0.0095,0.1570,0.9514
305,0.0391,0.1008,0.9749
306,0.0396,0.0833,0.9641
307,-0.0103,0.0891,0.9595
308,-0.0486,0.1499,0.9360
309,-0.0605,0.0361,0.9338
310,-0.0374,0.1482,1.0208
311,0.0320,0.0881,0.9211
312,0.0027,0.2473,0.9866
313,0.1060,0.2388,0.9565
314,0.0317,0.1899,0.9634
315,0.0132,0.3169,0.9927
316,-0.0156,0.3247,0.9331
317,-0.0872,0.4016,0.9963
318,-0.0193,0.2771,0.9631
319,-0.0422,0.2708,0.9758
320,-0.0056,0.2471,0.9741
321,0.0569,0.2305,0.9556
322,0.0034,0.1333,0.9751
323,-0.0266,0.1226,0.9731
324,-0.0708,-0.0078,0.9602
325,-0.0845,-0.0703,0.9565
326,-0.0483,-0.0745,1.0081
327,-0.0447,-0.0493,0.9358
328,0.0115,-0.1138,0.9309
329,0.0667,-0.0569,1.0249
330,0.0305,-0.3501,0.8997
331,-0.0237,-0.3274,1.0425
332,-0.0415,-0.3347,0.9790
333,-0.1160,-0.4043,0.9495
334,-0.1384,-0.2429,1.0051
335,-0.1621,-0.1611,0.9097
336,-0.1589,-0.0625,0.9260
337,-0.0999,0.0505,0.9243
338,-0.0881,-0.0510,0.9768
339,-0.0198,-0.1064,0.9810
340,0.0449,-0.1165,1.0012
341,0.0757,0.0239,0.9966
342,0.1265,0.0054,0.9341
343,0.1340,0.1443,1.0461
344,0.1758,-0.1338,0.9592
345,0.1970,-0.2314,1.0435
346,0.1748,-0.2991,1.0161
347,0.1248,-0.3010,0.9165
348,0.0327,-0.1040,0.9856
349,-0.0886,0.0547,0.8850
350,-0.1470,0.0789,0.8801
351,-0.1201,0.1113,0.9492
352,-0.0396,-0.0532,0.9321
353,0.0044,-0.0642,1.0256
354,0.1104,-0.0818,0.9709
355,0.0962,0.1218,1.0100
356,0.0476,0.2720,0.9937
357,-0.0312,0.2827,0.9429
358,-0.1143,0.3799,1.0366
359,-0.1189,0.2778,0.9504
360,-0.1091,0.1836,0.9438
361,-0.0388,0.1521,1.0051
362,0.0273,0.0688,0.9407
363,0.0322,0.0681,0.9631
364,0.0364,0.0007,0.9534
365,-0.0334,-0.0447,0.9910
366,-0.0459,-0.2034,0.9424
367,-0.0593,-0.1470,0.9849
368,-0.0327,-0.1423,0.9553
369,0.0063,-0.1499,0.9211
370,0.0244,-0.0618,0.9944
371,0.0413,-0.1863,0.9448
372,0.0144,-0.1643,0.9915
373,-0.0217,-0.2161,0.9702
374,-0.0286,-0.2261,1.0051
375,-0.0103,-0.2563,0.9680
376,-0.0222,-0.1333,0.9963
377,-0.0088,-0.1035,0.9680
378,-0.0393,-0.1567,0.9456
379,-0.0337,-0.0503,0.9819
380,-0.0422,-0.1477,0.9270
381,-0.0107,-0.0481,0.9514
382,0.0105,-0.0151,0.9309
383,0.0022,0.0671,0.9592
384,-0.0083,0.0183,0.9595
385,-0.0725,0.0144,0.9966
386,-0.0334,-0.0447,0.9963
387,0.0354,-0.0967,0.9768
388,0.0635,-0.0952,1.0244
389,0.1458,-0.3359,1.0151
390,0.1243,-0.5974,1.0356
391,0.0737,-0.4985,1.0442
392,-0.0127,-0.2385,0.9016
393,-0.1362,0.0300,0.8228
394,-0.1489,0.1804,0.8762
395,-0.1335,0.1748,0.8628
396,-0.1287,0.2241,0.9026
397,0.0459,0.3147,0.9758
398,0.1069,-0.0022,1.0090
399,0.1604,-0.0186,1.1499
400,0.1345,-0.0171,1.0659
401,0.0095,0.0361,1.0464
402,-0.0168,0.0422,1.0474
403,-0.1152,0.0432,0.9917
404,-0.1104,-0.0161,0.8938
405,-0.0078,-0.0491,0.8928
406,0.0417,-0.0659,0.8872
407,0.0759,-0.3108,0.8433
408,0.0774,-0.2600,0.9497
409,-0.0327,-0.2722,0.9302
410,-0.0310,-0.2039,0.9653
411,-0.0923,-0.2136,1.0249
412,-0.0459,-0.0698,1.0483
413,0.0759,-0.0789,0.9839
414,0.1006,0.0620,1.0532
415,0.1580,-0.0139,0.9780
416,0.0547,-0.0376,0.9800
417,-0.0620,0.0483,0.9761
418,-0.1492,-0.1284,0.8928
419,-0.2778,-0.1277,0.9790
420,-0.1050,-0.2190,0.9214
421,-0.0386,-0.2773,0.9722
422,0.1643,-0.2808,0.9719
423,0.1743,-0.3860,0.9866
424,0.1707,-0.2327,1.0112
425,0.0620,-0.3352,0.9084
426,-0.0818,-0.0259,1.0247
427,-0.1516,-0.2085,0.8674
428,-0.1782,-0.1101,1.0151
429,-0.1338,-0.1157,0.9514
430,-0.0203,-0.2139,0.9680
431,0.0042,-0.0312,1.0161
432,0.0515,-0.0847,0.9185
433,0.0439,0.1592,1.0063
434,-0.0171,0.0491,0.9485
435,-0.0881,0.1072,0.9937
436,-0.0967,0.0337,0.9927
437,-0.1304,-0.0073,0.9575
438,-0.0623,0.0686,0.9729
439,-0.0295,0.0371,0.9302
440,0.0488,0.1370,0.9790
441,0.0925,0.1101,0.9485
442,0.0684,0.0237,0.9595
443,0.0728,0.0774,1.0286
444,0.0344,-0.1199,0.9194
445,-0.0132,0.0027,1.0474
446,0.0513,-0.0422,0.9507
447,0.0081,-0.0708,0.9368
448,0.0635,0.0164,1.0112
449,0.0642,-0.1040,0.8967
450,0.0061,-0.0562,1.0073
451,0.0635,-0.1038,0.9495
452,0.0254,-0.1526,0.9575
453,0.1025,-0.1008,1.0073
454,0.0349,-0.0715,0.9409
455,0.0271,0.0471,0.9849
456,-0.0732,-0.1367,0.9436
457,-0.0918,0.0298,0.9954
458,-0.1250,-0.0918,0.9006
459,-0.0996,0.1550,0.9924
460,-0.0679,0.0017,0.9204
461,-0.1338,0.0618,1.0044
462,-0.0869,0.0322,0.9690
463,-0.1453,0.0305,0.9866
464,-0.1016,0.0940,0.9934
465,-0.0337,0.0044,0.9351
466,-0.0801,0.1250,1.0256
467,-0.0767,0.0393,0.9351
468,-0.1067,0.0203,0.9583
469,-0.1509,-0.0020,0.9946
470,0.0005,-0.0310,0.9351
471,0.0112,0.0452,0.9397
472,0.1047,0.1982,0.9673
473,0.1436,0.0464,0.9282
474,0.1338,0.0046,1.0161
475,0.1597,-0.0078,1.0022
476,0.1519,-0.0471,1.0012
477,0.1375,-0.0784,0.9856
478,0.0996,-0.0518,1.0112
479,0.0203,-0.0063,0.9595
480,-0.0742,-0.0464,0.9338
481,-0.0681,0.1189,0.9602
482,0.0120,-0.0374,0.8879
483,0.0386,0.1030,0.9685
484,0.0842,0.0742,0.9360
485,0.0347,-0.0410,0.9487
486,-0.0486,-0.0051,1.0474
487,-0.1196,-0.1641,0.9897
488,-0.1462,-0.1335,1.0188
489,-0.1257,-0.0610,1.0139
490,-0.0364,0.0435,0.9487
491,0.0051,0.1299,0.9341
492,0.0298,0.1609,0.9387
493,-0.0012,0.1599,0.9214
494,-0.0762,0.0305,0.9270
495,-0.0481,0.1174,0.9856
496,-0.0483,-0.0291,0.9517
497,-0.0659,0.0715,0.9946
498,-0.0281,-0.0073,0.9963
499,-0.0718,0.0442,0.9868
500,-0.0371,0.0063,0.9692
501,-0.0842,0.0874,1.0083
502,0.0078,0.0425,0.9221
503,0.0134,0.1067,0.9729
504,0.0698,0.2234,0.9526
505,0.0850,0.0461,0.9019
506,0.0642,0.0876,1.0288
507,0.0798,-0.0928,0.9526
508,0.0242,-0.2405,1.0278
509,0.0615,-0.2249,1.0298
510,0.0513,-0.2861,0.9631
511,-0.0142,-0.0750,0.9780
512,-0.0449,0.0012,0.9067
513,-0.0535,0.1511,0.9429
514,-0.0388,0.0242,0.9084
515,0.0454,0.1262,0.9602
516,0.0676,0.0417,0.9143
517,0.1316,0.1519,0.9683
518,0.0608,0.0188,1.0061
519,0.0640,0.0308,1.0110
520,-0.0417,0.0312,1.0190
521,-0.0935,0.1086,1.0159
522,-0.0718,0.0237,0.9419
523,-0.1123,0.1296,1.0403
524,-0.0410,0.2097,0.9097
525,-0.1082,0.1509,0.9155
526,-0.0999,0.2705,0.9478
527,-0.0698,0.0039,0.9133
528,-0.0691,0.0354,1.0266
529,0.0281,-0.1633,0.9319
530,0.0498,-0.1545,1.0298
531,0.0916,-0.1216,0.9729
532,0.0686,-0.0803,0.9465
533,-0.0129,0.1057,1.0005
534,-0.0610,0.0073,0.9077
535,-0.0940,0.1672,0.9885
536,-0.1011,0.0356,0.9028
537,-0.0586,0.0623,0.9827
538,0.0386,-0.0339,1.0061
539,0.0435,-0.1138,0.9436
540,0.0164,-0.0525,1.0425
541,0.0105,-0.0254,0.9478
542,-0.0720,-0.0193,0.9456
543,-0.0767,0.0928,1.0266
544,-0.1169,-0.0034,0.9263
545,-0.1223,0.1174,0.9683
546,-0.0605,0.3403,0.9155
547,0.0645,0.5962,0.8853
548,0.1299,0.8364,0.8950
549,0.1963,0.7847,0.9517
550,0.1321,0.2290,0.9985
551,0.0454,-0.2275,1.1692
552,-0.0454,-0.3813,1.1399
553,-0.1270,-0.4783,1.0308
554,-0.1038,-0.2644,1.0405
555,-0.0469,-0.1689,0.9185
556,-0.0564,0.0188,0.8062
557,-0.0120,0.0933,0.8003
558,-0.0256,0.0989,0.8442
559,-0.0178,-0.2544,0.8391
560,-0.0051,-0.2842,0.9878
561,-0.0217,-0.2122,1.0122
562,0.0063,0.0537,1.0181
563,0.0017,0.1128,1.0413
564,-0.0227,0.1956,1.1467
565,0.0449,0.1787,1.0444
566,-0.0007,0.3130,0.9995
567,0.0454,0.4243,0.9604
568,0.0098,0.2671,0.9058
569,-0.0208,0.2395,0.9124
570,-0.0457,0.1174,0.8997
571,-0.0623,0.0322,0.8958
572,-0.0471,-0.0735,0.9253
573,0.0068,-0.1611,0.9817
574,0.0276,-0.2754,0.9934
575,0.0244,-0.0850,1.0483
576,-0.0129,0.0374,0.9722
577,-0.0571,0.1821,0.9736
578,-0.0576,0.3792,0.9827
579,-0.0854,0.3279,0.9270
580,0.0178,0.2837,0.9497
581,0.0376,0.2134,0.9661
582,0.0728,0.2253,0.9329
583,0.1011,0.1614,0.9563
584,0.0339,0.2466,1.0142
585,0.0071,0.1345,0.9807
586,-0.0798,0.0791,1.0112
587,-0.1165,0.1189,1.0110
588,-0.0566,0.1382,0.9399
589,-0.0486,0.1868,0.9692
590,0.0139,0.2026,0.9390
591,-0.0251,0.1272,0.9524
592,-0.0784,0.0103,0.9260
593,-0.1946,-0.1101,0.9358
594,-0.2537,-0.0674,0.9973
595,-0.2627,-0.1777,0.9102
596,-0.1741,0.0117,1.0081
597,-0.0151,-0.0151,0.9751
598,0.1624,0.0054,0.9712
599,0.2600,-0.0527,1.0146
600,0.3430,0.0093,1.0034
601,0.2446,-0.1003,0.9514
602,0.1541,-0.0413,0.9868
603,0.0444,-0.1528,0.9758
604,-0.0806,-0.1978,0.9749
605,-0.1140,-0.2739,0.9172
606,-0.1086,-0.1082,0.9985
607,-0.0002,-0.0420,0.8804
608,0.0889,0.1106,0.9309
609,0.1455,0.3430,0.9905
610,0.1143,0.1875,0.9106
611,0.0159,0.1770,1.0247
612,-0.0991,0.1365,0.9983
613,-0.1025,0.1182,0.9805
614,-0.0371,0.1829,0.9963
615,0.0479,0.2239,1.0012
616,0.1096,0.1436,0.9487
617,0.0535,0.1379,0.9778
618,-0.0776,0.0659,0.9663
619,-0.2368,-0.1399,0.9478
620,-0.2798,-0.0747,1.0332
621,-0.1902,-0.1157,0.9182
622,-0.1235,-0.0449,0.9438
623,0.0125,-0.1533,0.9700
624,0.0522,-0.3394,0.9377
625,0.0261,-0.4021,0.9976
626,0.0405,-0.4197,0.9507
627,0.0767,-0.4351,0.9719
628,0.1531,-0.2913,0.9937
629,0.1604,-0.0613,0.9243
630,0.1279,0.1321,0.9446
631,0.0779,0.1233,0.9565
632,-0.0208,-0.0361,1.0198
633,-0.0227,-0.1323,0.9849
634,0.0271,-0.0413,1.0278
635,0.1182,0.0559,0.9788
636,0.0867,0.0396,0.9241
637,0.0491,0.2944,1.0200
638,-0.0220,0.2380,0.8586
639,-0.1052,0.2271,0.9282
640,-0.1370,0.2722,0.9875
641,-0.1392,0.0789,0.9419
642,-0.0757,0.1501,0.9927
643,-0.0630,0.1409,1.0042
644,-0.0300,0.0986,0.9895
645,0.0203,-0.1306,0.9719
646,-0.0510,-0.0320,1.0601
647,-0.0269,-0.2417,0.9290
648,-0.1116,-0.2961,0.9800
649,-0.0801,-0.1477,1.0061
650,-0.0713,-0.2380,0.8550
651,-0.1038,-0.0188,0.9456
