Sample,X,Y,Z
0,-0.1362,-0.0088,0.9966
1,-0.0928,-0.0071,0.9504
2,-0.0181,0.0085,0.9976
3,0.0503,0.0332,0.9966
4,0.1221,-0.0125,0.9680
5,0.1235,-0.0022,0.9768
6,0.0471,0.0000,0.9653
7,-0.0271,-0.0244,0.9934
8,-0.0806,-0.0273,0.9917
9,-0.1130,-0.0454,0.9905
10,-0.0720,-0.0066,0.9866
11,-0.0386,0.0071,0.9690
12,0.0386,0.0547,0.9790
13,0.0789,-0.0269,0.9585
14,0.0898,-0.0229,1.0044
15,0.0640,-0.0142,0.9839
16,0.0073,0.0193,0.9983
17,-0.0759,0.0012,0.9653
18,-0.1223,-0.0437,0.9702
19,-0.0835,-0.0151,0.9858
20,0.0032,-0.0051,0.9851
21,0.0764,0.0000,0.9849
22,0.0999,0.0061,0.9963
23,0.0725,0.0061,0.9822
24,-0.0076,-0.0234,0.9592
25,-0.0776,-0.0239,0.9741
26,-0.1104,-0.0129,0.9780
27,-0.0823,-0.0044,0.9875
28,-0.0103,0.0061,0.9751
29,0.0461,-0.0132,0.9778
30,0.0894,0.0178,0.9995
31,0.1145,-0.0215,0.9634
32,0.0415,-0.0127,0.9905
33,-0.0474,0.0168,1.0015
34,-0.1033,-0.0295,0.9534
35,-0.1296,-0.0347,0.9954
36,-0.0862,0.0149,0.9866
37,0.0203,-0.0261,0.9680
38,0.1094,0.0037,0.9788
39,0.1182,0.0344,0.9741
40,0.0889,0.0144,0.9866
41,0.0098,-0.0559,0.9692
42,-0.0864,-0.0261,1.0015
43,-0.1277,-0.0195,0.9749
44,-0.1069,-0.0247,0.9790
45,-0.0356,0.0000,1.0015
46,0.0378,-0.0012,0.9739
47,0.1252,0.0215,0.9829
48,0.1062,0.0186,0.9624
49,0.0422,0.0254,0.9924
50,-0.0225,-0.0293,0.9788
51,-0.0935,-0.0403,0.9807
52,-0.1211,-0.0105,1.0015
53,-0.0740,-0.0293,0.9673
54,0.0076,-0.0566,0.9966
55,0.0815,-0.0159,0.9758
56,0.0916,0.0181,0.9790
57,0.0759,0.0684,0.9722
58,-0.0049,0.0100,0.9514
59,-0.0740,0.0396,1.0186
60,-0.0640,-0.0474,0.9612
61,-0.0591,-0.0381,0.9995
62,-0.0276,-0.0173,0.9915
63,0.0186,-0.0571,0.9788
64,0.0249,-0.0095,1.0032
65,0.0361,-0.0081,0.9641
66,0.0486,0.0063,0.9766
67,0.0251,0.0027,0.9749
68,0.0010,0.0205,0.9788
69,-0.0371,0.0366,0.9885
70,-0.0652,-0.0330,0.9602
71,-0.0676,-0.0212,0.9917
72,-0.0454,-0.0215,0.9973
73,0.0115,0.0063,0.9944
74,0.0964,-0.0327,0.9634
75,0.0718,-0.0569,0.9897
76,0.0181,0.0005,1.0217
77,-0.0129,0.0049,0.9624
78,-0.0688,-0.0044,0.9495
79,-0.1003,0.0212,0.9817
80,-0.0415,0.0229,0.9749
81,0.0276,-0.0168,0.9836
82,0.0820,-0.0022,0.9993
83,0.0635,-0.0525,0.9556
84,0.0068,0.0168,1.0200
85,-0.0376,0.0212,0.9778
86,-0.0586,-0.0579,0.9573
87,-0.0669,-0.0154,1.0100
88,-0.0188,-0.0017,0.9624
89,0.0449,-0.0046,0.9917
90,0.0781,-0.0010,0.9788
91,0.0286,-0.0291,0.9731
92,0.0208,0.0256,0.9849
93,-0.0403,-0.0242,0.9556
94,-0.0781,0.0100,1.0027
95,-0.0813,-0.0308,0.9702
96,-0.0203,0.0020,0.9849
97,0.0291,-0.0278,0.9819
98,0.0725,0.0239,0.9976
99,0.0942,-0.0376,0.9709
100,0.0667,-0.0127,0.9858
101,-0.0188,-0.0146,0.9741
102,-0.1145,0.0212,1.0012
103,-0.1753,0.0083,0.9897
104,-0.1655,0.1470,0.9712
105,-0.0674,0.2646,0.9211
106,0.0115,0.3503,0.9172
107,-0.0190,0.4985,0.9556
108,-0.0874,0.4644,0.9692
109,-0.1841,0.3979,0.9849
110,-0.2891,0.3401,0.9807
111,-0.1841,0.4224,1.0103
112,0.0405,0.3770,0.9624
113,0.3464,0.3506,0.9917
114,0.6116,0.4185,0.9966
115,0.6799,0.5312,0.9946
116,0.4956,0.6008,0.9563
117,0.1267,0.6682,0.9426
118,-0.3418,0.6108,0.9331
119,-0.6736,0.5754,0.9495
120,-0.7183,0.5410,0.9536
121,-0.5037,0.4954,0.9758
122,-0.1750,0.4329,0.9358
123,0.1370,0.5391,1.0034
124,0.3293,0.5371,0.9585
125,0.3706,0.4846,0.9690
126,0.2925,0.6555,1.0110
127,0.1748,0.6772,0.9409
128,0.0405,0.7798,1.0142
129,-0.0581,0.7202,0.9585
130,-0.2029,0.5916,0.9563
131,-0.2993,0.5620,1.0015
132,-0.2759,0.5562,0.9644
133,-0.1626,0.5129,0.9631
134,-0.0571,0.4587,0.9875
135,0.0686,0.3833,0.9702
136,0.2065,0.2419,0.9631
137,0.2317,0.2329,0.9800
138,0.1479,0.2244,0.9631
139,0.0125,0.1125,0.9534
140,-0.1729,-0.0037,0.9634
141,-0.3184,0.1167,1.0481
142,-0.2812,0.2478,1.0422
143,-0.0132,0.2378,0.9888
144,0.2288,0.2524,0.9604
145,0.3677,0.2151,0.9441
146,0.2649,0.3403,0.9917
147,0.0217,0.3591,0.8987
148,-0.2300,0.4558,0.9583
149,-0.2805,0.2576,0.9065
150,-0.1226,0.2012,1.0132
151,0.0505,0.2646,1.0454
152,0.1738,0.4167,0.9221
153,0.2261,0.4045,0.9993
154,0.0881,0.1450,1.0054
155,-0.1167,0.2024,1.0442
156,-0.2190,0.3196,0.9690
157,-0.2490,0.6479,0.9263
158,-0.2031,0.8345,0.8286
159,-0.0862,0.7114,0.8960
160,0.0862,0.8384,1.0347
161,0.1582,0.4456,0.9055
162,0.1565,0.4045,1.0608
163,0.0696,0.3196,1.0295
164,0.0032,0.3708,1.0530
165,-0.0510,0.4104,1.0725
166,-0.0657,0.3110,0.9468
167,-0.1125,0.3953,0.9758
168,-0.0903,0.7170,0.9041
169,-0.0540,0.6106,0.9221
170,-0.0200,0.3765,0.9771
171,0.0581,0.3154,0.9448
172,0.0789,0.2688,0.9055
173,0.0320,0.3560,1.0806
174,0.0347,0.1770,0.9631
175,-0.0981,0.1096,1.0024
176,-0.1582,0.2004,1.0513
177,-0.1426,0.1501,1.0012
178,-0.0376,0.2668,0.9485
179,-0.0720,0.4194,0.8628
180,-0.0366,0.6013,1.0315
181,0.0525,0.5552,0.9399
182,0.0837,0.5608,0.9094
183,0.0896,0.4019,0.9507
184,0.1121,0.3335,1.0503
185,0.0723,0.4062,1.0181
186,-0.0244,0.4390,0.9966
187,-0.1013,0.2622,1.0181
188,-0.1777,0.1978,1.0042
189,-0.2258,0.2847,0.9780
190,-0.1147,0.4829,0.9888
191,-0.0168,0.4358,0.9016
192,0.0027,0.3303,0.9260
193,0.0903,0.5366,0.9556
194,0.1089,0.3374,0.8831
195,-0.0195,0.1555,0.9741
196,0.0637,0.2727,1.1223
197,0.1719,0.6223,1.0159
198,0.0852,0.3645,0.9700
199,-0.0615,0.4106,1.1006
200,-0.2239,0.2612,0.8755
201,-0.2263,0.6458,0.9749
202,-0.1416,0.3477,0.7769
203,-0.0220,0.5793,1.1125
204,0.1140,0.7202,0.9028
205,0.0059,0.0952,0.8499
206,-0.1987,-0.1887,1.2358
207,-0.1777,-0.5552,0.9924
208,-0.0703,-0.3364,1.1038
209,0.1011,-0.1802,1.0657
210,0.2913,-0.2808,0.8403
211,0.1926,-0.3628,0.9136
212,0.0857,-0.3899,0.8853
213,0.1382,-0.2585,0.9546
214,0.1565,-0.4451,0.9048
215,0.0161,-0.4412,1.1509
216,-0.0044,-0.5422,1.1240
217,-0.1511,-0.5464,0.9963
218,-0.2856,-0.1963,1.1011
