Sample,X,Y,Z
0,-0.0432,0.0276,0.9622
1,-0.0254,0.0078,0.9604
2,-0.0247,-0.0205,0.9749
3,-0.0117,0.0237,0.9983
4,0.0217,-0.0530,0.9788
5,0.0386,-0.0278,1.0149
6,0.0410,-0.0491,0.9768
7,-0.0042,0.0032,1.0061
8,-0.0137,-0.0178,0.9731
9,-0.0256,-0.0413,0.9585
10,-0.0432,-0.0027,0.9858
11,-0.0005,0.0396,0.9585
12,0.0173,0.0220,0.9573
13,0.0242,-0.0061,0.9771
14,0.0002,-0.0068,0.9878
15,-0.0107,-0.0256,0.9954
16,-0.0276,0.0078,0.9944
17,-0.0422,-0.0322,0.9932
18,-0.0271,-0.0107,1.0051
19,0.0088,-0.0208,0.9624
20,0.0459,0.0222,0.9849
21,0.0676,-0.0093,0.9556
22,0.0361,-0.0220,0.9790
23,-0.0149,-0.0020,0.9839
24,-0.0530,-0.0017,0.9722
25,-0.0808,-0.0330,0.9771
26,-0.0623,0.0024,0.9963
27,-0.0105,-0.0054,0.9819
28,0.0449,-0.0054,0.9768
29,0.0469,0.0322,0.9839
30,0.0227,-0.0110,0.9751
31,0.0212,-0.0088,1.0044
32,0.0139,-0.0449,0.9546
33,-0.0190,0.0117,0.9995
34,-0.0308,0.0061,0.9661
35,-0.0244,-0.0259,0.9800
36,-0.0125,-0.0276,0.9758
37,-0.0144,0.0024,0.9905
38,0.0178,0.0146,0.9749
39,0.0029,-0.0254,0.9722
40,0.0007,-0.0078,0.9976
41,-0.0076,-0.0305,0.9702
42,-0.0039,-0.0149,0.9866
43,-0.0029,0.0066,0.9800
44,-0.0120,-0.0051,0.9741
45,-0.0090,0.0193,0.9954
46,0.0183,0.0103,0.9553
47,0.0269,0.0066,0.9790
48,0.0044,-0.0032,0.9944
49,0.0022,-0.0078,0.9778
50,-0.0291,-0.0271,0.9897
51,-0.0266,-0.0032,0.9907
52,-0.0376,-0.0493,0.9712
53,-0.0088,-0.0161,1.0034
54,0.0103,-0.0273,0.9495
55,-0.0007,0.0081,0.9897
56,0.0195,0.0266,0.9673
57,-0.0051,-0.0466,0.9536
58,-0.0259,0.0242,1.0178
59,0.0049,0.0181,0.9563
60,0.0251,0.0054,0.9917
61,0.0198,-0.0037,1.0015
62,0.0229,-0.0281,0.9873
63,0.0010,0.0059,0.9963
64,-0.0320,0.0085,0.9536
65,-0.0657,0.0042,0.9849
66,-0.0576,-0.0422,0.9817
67,-0.0037,-0.0464,0.9651
68,0.0146,0.0247,1.0000
69,0.0562,-0.0166,0.9585
70,0.0420,-0.0413,0.9875
71,0.0151,-0.0105,1.0083
72,-0.0212,-0.0188,0.9563
73,-0.0356,0.0198,0.9885
74,-0.0520,0.0298,0.9641
75,-0.0376,-0.0032,0.9751
76,-0.0095,-0.0125,0.9966
77,0.0129,0.0056,0.9780
78,0.0259,0.0127,0.9915
79,0.0520,-0.0383,0.9888
80,0.0134,-0.0444,0.9937
81,-0.0137,-0.0098,0.9895
82,-0.0369,0.0034,0.9712
83,-0.0378,-0.0383,0.9700
84,-0.0627,0.0232,0.9954
85,-0.0151,-0.0173,0.9536
86,0.0149,-0.0054,0.9788
87,0.0225,-0.0073,0.9800
88,0.0435,-0.0095,0.9827
89,0.0493,-0.0105,0.9934
90,0.0310,0.0151,0.9778
91,-0.0112,0.0151,0.9878
92,-0.0671,-0.0542,0.9973
93,-0.1008,-0.0413,0.9946
94,-0.0708,-0.0168,0.9878
95,-0.0227,0.0325,0.9614
96,0.0271,0.0110,0.9631
97,0.0686,-0.0017,0.9731
98,0.0806,-0.0249,0.9663
99,0.0464,0.0134,0.9839
100,0.0190,-0.0005,0.9993
101,-0.0291,-0.0347,0.9915
102,-0.0942,-0.0647,0.9985
103,-0.1455,0.0725,1.0247
104,-0.0999,0.1638,0.9585
105,-0.0276,0.1953,0.9390
106,-0.0195,0.2883,1.0022
107,0.0876,0.2671,0.9067
108,0.1111,0.2788,0.9644
109,0.0852,0.3870,0.9846
110,0.0432,0.4104,0.9709
111,-0.0251,0.3074,0.9966
112,-0.1372,0.3462,1.0259
113,-0.1450,0.3530,0.9829
114,-0.0449,0.3472,0.9585
115,0.0869,0.4253,0.9526
116,0.1772,0.4846,0.9475
117,0.1936,0.4248,0.9780
118,0.1387,0.4771,0.9829
119,0.0562,0.5359,0.9661
120,0.0364,0.6995,0.9885
121,0.0691,0.7415,0.9456
122,0.1208,0.7515,0.9663
123,0.1311,0.7212,1.0063
124,0.0603,0.6682,0.9875
125,-0.0764,0.6880,1.0054
126,-0.2451,0.7026,0.9712
127,-0.4731,0.6665,0.9536
128,-0.5933,0.7925,0.9839
129,-0.5894,0.8110,0.9038
130,-0.4055,0.8472,0.9341
131,-0.1887,0.7788,0.9272
132,0.0735,0.7512,0.9670
133,0.2427,0.6470,0.9634
134,0.1958,0.4966,0.9937
135,0.0103,0.3818,1.0278
136,-0.1997,0.2222,0.9976
137,-0.2388,0.1753,1.0122
138,-0.0801,0.1157,0.9709
139,0.2332,0.1582,1.0034
140,0.5815,0.1326,0.9465
141,0.6848,0.0696,0.9683
142,0.4993,0.1189,1.0034
143,0.0957,0.1411,0.9634
144,-0.3511,-0.0173,0.9546
145,-0.5876,-0.0034,0.9993
146,-0.5073,-0.0542,0.9380
147,-0.2322,0.1106,1.0051
148,0.0994,0.1743,0.9497
149,0.3428,0.1699,0.9673
150,0.3040,0.1211,1.0122
151,0.1440,0.2014,1.0247
152,-0.0361,0.4578,1.0295
153,-0.1790,0.5735,0.9202
154,-0.1746,0.7104,0.9556
155,-0.1313,0.6392,0.9136
156,-0.0461,0.6265,0.9204
157,0.0110,0.6858,0.9270
158,0.0671,0.5208,0.9583
159,0.0957,0.2969,0.9888
160,0.0825,0.3391,1.0334
161,-0.0051,0.4211,1.0188
162,-0.1287,0.5989,1.0686
163,-0.2366,0.5403,0.9495
164,-0.2092,0.5327,0.9712
165,-0.0393,0.6987,0.9546
166,0.1265,0.8130,0.8911
167,0.2065,0.5950,0.9211
168,0.1047,0.4358,0.9954
169,0.0178,0.3098,0.9758
170,-0.1050,0.2542,1.0559
171,-0.0920,0.2800,1.0398
172,-0.0823,0.2715,0.9878
173,-0.0781,0.3728,1.0403
174,-0.1011,0.2749,0.9224
175,-0.0405,0.2507,0.9866
176,0.0740,0.5825,0.9385
177,0.2026,0.4436,0.8157
178,0.1912,0.4390,1.0229
179,-0.0264,0.2800,0.9260
180,-0.2271,0.2153,0.9937
181,-0.3608,0.2666,1.0659
182,-0.2314,0.1565,1.0081
183,0.0117,0.1477,1.0784
184,0.2288,0.1826,0.9976
185,0.2446,0.3015,0.9290
186,0.0481,0.4346,0.9937
187,-0.1592,0.1936,0.8645
188,-0.2493,0.1765,0.9475
189,-0.1328,0.5676,1.0208
190,0.0925,0.6567,0.8667
191,0.2158,0.4465,0.9700
192,0.1694,0.2371,1.0002
193,0.0571,0.3286,1.0601
194,0.0024,0.5090,1.0110
195,0.0024,0.5266,0.9749
196,-0.0759,0.1448,0.9358
197,-0.1348,0.3613,1.0649
198,-0.1978,0.6248,0.9104
199,-0.2024,0.5415,0.8774
200,-0.0283,0.4485,0.9465
201,0.1550,0.4329,0.9504
202,0.1636,0.6067,0.9954
203,0.1169,0.6304,0.8931
204,-0.0576,0.4956,0.9800
205,-0.2295,0.3054,1.0422
206,-0.3027,-0.0820,1.0686
207,-0.3445,-0.5146,1.0066
208,-0.1873,-0.2112,1.1438
209,0.0435,0.0359,0.9514
210,0.2800,-0.3816,0.9604
211,0.2070,-0.7732,0.9780
212,0.0332,-0.5056,0.9478
213,-0.1118,-0.2861,0.8765
214,-0.1943,-0.3062,0.9299
215,-0.1191,-0.6045,0.9563
216,0.0327,-0.9998,0.9897
217,0.2903,-0.3633,1.1860
218,0.3860,0.0952,0.8999
219,0.3364,0.1770,1.0110
220,0.1731,-0.1306,0.9565
221,-0.0132,-0.0303,1.0562
222,-0.0933,0.3145,0.9722
223,-0.0457,0.7598,0.9897
224,-0.0854,0.4700,0.8000
225,-0.1809,0.2319,1.0776
226,-0.1262,0.3999,1.0454
