Sample,X,Y,Z
0,-0.0334,-0.0278,0.9749
1,-0.0310,0.0266,0.9937
2,0.0188,-0.0098,0.9573
3,0.0359,-0.0093,0.9993
4,0.0251,0.0027,0.9849
5,0.0359,-0.0168,0.9634
6,0.0115,-0.0442,0.9829
7,-0.0178,0.0208,1.0015
8,-0.0435,-0.0012,0.9565
9,-0.0408,-0.0396,0.9700
10,-0.0378,0.0085,0.9895
11,-0.0151,0.0010,0.9824
12,0.0132,-0.0281,0.9648
13,0.0388,-0.0188,0.9866
14,0.0247,0.0332,1.0042
15,0.0220,-0.0454,0.9634
16,-0.0042,0.0430,1.0073
17,-0.0024,-0.0173,0.9634
18,-0.0381,-0.0046,1.0120
19,-0.0310,-0.0640,0.9517
20,-0.0076,-0.0312,0.9966
21,-0.0144,-0.0024,0.9817
22,-0.0085,-0.0007,0.9553
23,0.0051,0.0825,0.9858
24,-0.0081,-0.0254,0.9729
25,0.0186,-0.0291,1.0073
26,0.0286,-0.0574,0.9585
27,0.0273,0.0354,0.9934
28,-0.0247,0.0276,0.9800
29,-0.0410,-0.0474,0.9680
30,-0.0566,-0.0288,1.0083
31,-0.0137,0.0347,0.9849
32,0.0330,-0.0239,0.9634
33,0.0588,-0.0325,0.9849
34,0.0259,-0.0483,0.9751
35,-0.0225,0.0112,0.9895
36,-0.0645,0.0112,0.9536
37,-0.0508,0.0691,0.9993
38,-0.0330,-0.0059,0.9878
39,0.0352,-0.0698,0.9700
40,0.0603,-0.0110,0.9963
41,0.0664,0.0125,0.9885
42,0.0232,-0.0251,0.9692
43,-0.0168,-0.0515,0.9741
44,-0.0835,0.0454,1.0142
45,-0.0928,0.0166,0.9468
46,-0.0566,-0.0007,0.9788
47,0.0088,-0.0366,0.9885
48,0.0537,-0.0527,0.9985
49,0.1167,0.0032,0.9717
50,0.0608,0.0605,0.9722
51,-0.0225,-0.0122,1.0012
52,-0.0881,-0.0544,0.9780
53,-0.0764,-0.0527,0.9612
54,-0.0537,0.0637,1.0237
55,0.0295,-0.0032,0.9241
56,0.0552,-0.0046,0.9846
57,0.0291,0.0107,0.9907
58,0.0198,-0.0122,0.9690
59,-0.0132,-0.0369,0.9885
