Sample,Timestamp,Raw Encoder Reading,Target Motor Steps,Current Error,PID I Term,Phase Shift
0,0.04,49763,607.45,-0.01,-3.7,0
1,1.07,49756,607.41,0.04,-3.6,0
2,2.10,49749,607.34,0.06,-3.6,0
3,3.09,49739,607.27,0.11,-3.5,0
4,4.10,49733,607.20,0.11,-3.4,0
5,5.05,49725,607.07,0.07,-3.3,0
6,6.07,49703,606.88,0.15,-3.2,0
7,7.10,49680,606.67,0.23,-3.0,0
8,8.05,49670,606.49,0.16,-2.9,0
9,9.06,49657,606.26,0.10,-2.7,0
10,10.05,49636,606.01,0.11,-2.6,0
11,11.09,49621,605.75,0.02,-2.5,0
12,12.04,49608,605.52,-0.05,-2.5,0
13,13.05,49596,605.26,-0.16,-2.7,0
14,14.06,49584,605.01,-0.27,-2.9,0
15,15.10,49568,604.75,-0.33,-3.2,0
16,16.12,49554,604.50,-0.42,-3.6,0
17,17.04,49538,604.27,-0.45,-4.0,0
18,18.05,49521,604.01,-0.49,-4.5,0
19,19.05,49497,603.76,-0.45,-4.9,0
20,20.06,49472,603.51,-0.39,-5.4,0
21,21.10,49446,603.25,-0.34,-5.7,0
22,22.12,49422,603.00,-0.31,-6.1,0
23,23.05,49404,602.76,-0.32,-6.4,0
24,24.07,49381,602.51,-0.28,-6.6,0
25,25.10,49355,602.25,-0.23,-6.9,0
26,26.04,49331,602.02,-0.17,-7.0,0
27,27.05,49309,601.76,-0.16,-7.2,0
28,28.08,49287,601.51,-0.15,-7.4,0
29,29.12,49268,601.25,-0.17,-7.6,0
30,30.05,49255,601.01,-0.24,-7.8,0
31,31.07,49231,600.76,-0.21,-8.0,0
32,32.10,49212,600.50,-0.23,-8.2,0
33,33.05,49193,600.26,-0.23,-8.5,0
34,34.07,49170,600.01,-0.21,-8.7,0
35,35.10,49144,599.75,-0.15,-8.9,0
36,36.10,49126,599.50,-0.18,-9.0,0
37,37.04,49106,599.27,-0.17,-9.2,0
38,38.06,49084,599.01,-0.16,-9.3,0
39,39.09,49062,598.75,-0.15,-9.5,0
40,40.12,49041,598.50,-0.15,-9.7,0
41,41.06,49024,598.26,-0.17,-9.8,0
42,42.07,48999,598.01,-0.12,-10.0,0
43,43.10,48979,597.75,-0.13,-10.2,0
44,44.05,48961,597.51,-0.16,-10.3,0
45,45.09,48937,597.25,-0.12,-10.5,0
46,46.11,48921,597.00,-0.18,-10.6,0
47,47.12,48901,596.75,-0.20,-10.8,0
48,48.04,48879,596.52,-0.15,-10.9,0
49,49.06,48861,596.26,-0.18,-11.1,0
50,50.10,48835,596.00,-0.13,-11.2,0
51,51.05,48813,595.76,-0.10,-11.4,0
52,52.08,48788,595.51,-0.05,-11.4,0
53,53.10,48771,595.25,-0.10,-11.5,0
54,54.11,48750,595.00,-0.10,-11.6,0
55,55.04,48733,594.77,-0.12,-11.7,0
56,56.05,48709,594.51,-0.07,-11.8,0
57,57.08,48690,594.26,-0.11,-11.9,0
58,58.10,48667,594.00,-0.07,-12.0,0
59,59.12,48646,593.75,-0.07,-12.1,0
60,60.05,48627,593.52,-0.07,-12.1,0
61,61.05,48608,593.26,-0.10,-12.2,0
62,62.07,48588,593.01,-0.11,-12.4,0
63,63.10,48571,592.75,-0.16,-12.5,0
64,64.11,48548,592.50,-0.12,-12.6,0
65,65.05,48528,592.27,-0.12,-12.7,0
66,66.05,48502,592.01,-0.05,-12.8,0
