Sample,Timestamp,Current Error,PID Control Signal
0,0.04,-0.02,-92.9
1,0.31,-0.01,-93.6
2,0.57,0.00,-108.0
3,0.83,0.00,-99.2
4,1.09,0.04,-99.2
5,1.35,0.09,-92.9
6,1.62,0.12,-107.8
7,1.80,0.17,-101.6
8,2.05,0.28,-87.5
9,2.32,0.39,-93.6
10,2.57,0.46,-81.6
11,2.83,0.56,-83.2
12,3.10,0.70,-85.6
13,3.36,0.81,-68.3
14,3.53,0.88,-66.4
15,3.79,1.01,-59.3
16,4.05,1.07,-71.4
17,4.31,1.23,-73.6
18,4.57,1.31,-80.5
19,4.83,1.42,-65.0
20,5.09,1.57,-67.4
21,5.35,1.66,-72.9
22,5.54,1.75,-75.0
23,5.80,1.84,-54.4
24,6.05,1.93,-53.1
25,6.31,2.04,-61.0
26,6.57,2.15,-57.4
27,6.83,2.23,-54.0
28,7.10,2.32,-62.7
29,7.27,2.37,-54.2
30,7.53,2.44,-54.2
31,7.79,2.50,-55.2
32,8.05,2.55,-65.6
33,8.31,2.64,-53.7
34,8.58,2.66,-65.3
35,8.84,2.71,-62.6
36,9.10,2.76,-57.3
37,9.27,2.78,-58.2
38,9.54,2.84,-77.4
39,9.79,2.88,-62.8
40,10.05,2.91,-52.9
41,10.31,2.97,-67.6
42,10.56,2.93,-63.9
43,10.83,3.02,-69.6
44,11.01,3.04,-88.7
45,11.27,3.10,-64.8
46,11.53,3.11,62.8
47,11.79,3.14,67.2
48,12.05,3.17,61.1
49,12.32,3.22,70.0
50,12.57,3.21,66.1
51,12.84,3.17,55.7
52,13.01,3.15,57.8
53,13.27,3.09,54.6
54,13.54,2.99,41.4
55,13.80,2.93,42.9
56,14.05,2.84,43.2
57,14.31,2.75,34.7
58,14.57,2.65,34.6
59,14.82,2.55,31.5
60,15.00,2.44,22.6
61,15.26,2.34,20.4
62,15.53,2.15,7.3
63,15.79,2.08,14.5
64,16.04,1.98,14.0
65,16.30,1.83,10.2
66,16.55,1.68,4.0
67,16.81,1.59,3.4
68,17.08,1.38,-13.6
69,17.25,1.35,-4.6
70,17.51,1.22,-12.1
71,17.77,1.15,-3.4
72,18.03,1.03,-11.8
73,18.29,0.88,-18.8
74,18.55,0.79,-18.5
75,18.81,0.68,-21.7
76,18.99,0.63,-25.1
77,19.25,0.56,-18.3
78,19.51,0.46,-25.5
79,19.77,0.37,-27.5
80,20.03,0.27,-28.4
81,20.29,0.21,-29.0
82,20.55,0.15,-30.0
83,20.81,0.09,-32.8
84,20.99,0.02,-38.4
85,21.25,-0.02,-31.0
86,21.51,-0.07,-33.0
87,21.76,-0.10,-29.0
88,22.03,-0.17,-31.6
89,22.29,-0.23,-36.6
90,22.55,-0.26,-36.9
91,22.81,-0.29,-38.6
92,22.99,-0.33,-40.5
93,23.25,-0.37,-42.6
94,23.52,-0.43,-44.8
95,23.77,-0.43,-37.2
96,24.04,-0.43,-36.4
97,24.30,-0.46,-36.3
98,24.47,-0.48,-38.1
99,24.74,-0.56,-49.6
100,25.00,-0.54,-43.3
101,25.26,-0.57,-45.8
102,25.51,-0.55,-36.0
103,25.78,-0.54,-40.2
104,26.04,-0.59,-39.2
105,26.30,-0.57,-39.4
106,26.47,-0.56,-40.0
107,26.73,-0.52,-32.8
108,26.99,-0.56,-41.6
109,27.25,-0.52,-38.9
110,27.51,-0.51,-33.3
111,27.77,-0.49,-34.5
112,28.03,-0.46,-31.7
113,28.29,-0.40,-27.4
114,28.47,-0.39,-25.7
115,28.72,-0.40,-30.2
116,28.99,-0.32,-33.9
117,29.26,-0.29,-26.3
118,29.51,-0.23,-21.0
119,29.77,-0.18,-18.1
120,30.03,-0.12,-14.5
121,30.29,-0.01,-9.9
122,30.47,0.04,-10.0
123,30.73,0.06,-10.6
124,30.99,0.12,-12.2
125,31.25,0.16,-10.4
126,31.51,0.24,-7.0
127,31.78,0.31,-3.8
128,32.04,0.40,0.9
129,32.21,0.43,3.5
130,32.47,0.48,5.6
131,32.73,0.52,-1.6
132,33.00,0.59,-0.6
133,33.25,0.61,5.7
134,33.51,0.65,4.3
135,33.76,0.71,10.0
136,34.03,0.73,6.0
137,34.28,0.82,8.8
138,34.46,0.82,8.8
139,34.73,0.87,14.8
140,34.99,0.89,8.7
141,35.25,0.92,9.8
142,35.51,0.95,14.7
143,35.77,0.92,5.9
144,35.96,0.94,2.3
145,36.21,0.94,9.3
146,36.47,0.96,14.6
147,36.72,0.96,14.0
148,36.99,0.96,12.1
149,37.24,0.98,8.2
150,37.50,0.94,8.3
151,37.76,0.93,6.4
152,37.94,0.92,2.7
153,38.21,0.90,4.3
154,38.48,0.84,-2.0
155,38.73,0.85,5.1
156,38.99,0.78,-3.1
157,39.25,0.73,0.8
158,39.51,0.74,-2.6
159,39.68,0.72,-3.2
160,39.94,0.70,-1.9
161,40.20,0.59,-8.6
162,40.45,0.61,-5.6
163,40.71,0.56,-6.0
164,40.97,0.52,-6.1
165,41.23,0.49,-6.6
166,41.49,0.45,-9.8
167,41.75,0.43,-4.6
168,42.01,0.38,-15.3
169,42.18,0.31,-15.2
170,42.44,0.33,-12.1
171,42.69,0.28,-13.6
172,42.96,0.28,-13.1
173,43.22,0.22,-15.7
174,43.49,0.18,-19.7
175,43.75,0.18,-15.3
176,44.01,0.18,-14.0
177,44.18,0.17,-9.0
178,44.45,0.16,-15.5
179,44.71,0.12,-13.9
180,44.96,0.12,-11.7
181,45.22,0.11,-16.5
182,45.48,0.11,-10.7
183,45.75,0.10,-17.2
184,45.93,0.13,-11.3
185,46.19,0.07,-13.4
186,46.44,0.07,-12.6
187,46.70,0.05,-20.0
188,46.96,0.09,-13.1
189,47.23,0.10,-8.7
190,47.49,0.07,-11.2
191,47.74,0.06,-12.0
192,47.93,0.06,-15.0
193,48.19,0.09,-14.8
194,48.45,0.05,-17.6
195,48.71,0.04,-14.4
196,48.97,0.09,-18.2
197,49.23,0.06,-11.0
198,49.49,0.02,-20.9
199,49.67,0.00,-24.2
200,49.93,0.05,-12.2
201,50.19,0.07,-7.1
202,50.45,0.04,-14.8
203,50.71,0.02,-10.2
204,50.98,0.04,-17.4
205,51.23,0.09,-5.2
206,51.41,0.06,-14.9
207,51.67,0.02,-14.2
208,51.94,0.02,-21.6
209,52.21,0.06,-10.4
210,52.46,0.06,-9.6
211,52.72,0.09,-7.4
212,52.90,0.05,-14.7
213,53.16,0.04,-18.6
214,53.43,0.04,-15.0
215,53.68,0.05,-12.5
216,53.94,0.07,-15.3
217,54.20,0.09,-6.4
218,54.46,0.07,-9.4
219,54.72,0.10,-13.1
220,54.97,0.09,-6.8
221,55.15,0.11,-7.8
222,55.41,0.11,-8.3
223,55.66,0.10,-8.6
224,55.93,0.13,-6.2
225,56.18,0.13,-4.8
226,56.44,0.16,-3.1
227,56.69,0.21,1.3
228,56.95,0.22,-8.7
229,57.21,0.17,-10.2
230,57.39,0.16,-10.9
231,57.64,0.20,-9.3
232,57.91,0.21,-9.8
233,58.17,0.21,-4.4
234,58.43,0.21,-9.2
235,58.69,0.22,-9.3
236,58.95,0.23,-7.6
237,59.21,0.24,-4.4
238,59.39,0.26,-6.7
239,59.65,0.27,-2.3
240,59.92,0.29,-0.6
241,60.17,0.27,-4.8
242,60.43,0.28,-3.0
243,60.69,0.28,-5.1
