Sample,Timestamp,Current Error,PID Control Signal
0,0.05,-0.01,-4.2
1,1.73,0.00,-1.1
2,3.37,0.02,0.6
3,5.09,0.04,4.7
4,6.78,0.00,-3.8
5,8.46,-0.04,-4.0
6,10.05,-0.01,-1.4
7,11.77,-0.02,-5.5
8,13.44,-0.01,-2.4
9,15.08,-0.01,-5.1
10,16.73,-0.01,-3.3
11,18.39,-0.01,-5.1
12,20.12,0.00,-2.9
13,21.71,-0.02,-5.5
14,23.42,0.01,-0.7
15,25.08,0.02,0.6
16,26.75,-0.01,-3.3
17,28.39,0.02,0.6
18,30.05,-0.02,-1.8
19,31.71,0.02,0.6
20,33.44,-0.02,-4.6
21,35.11,0.01,-1.7
22,36.75,-0.02,-3.7
23,38.39,0.00,-2.9
24,40.06,-0.02,-4.6
25,41.71,-0.02,-7.4
26,43.38,0.02,1.5
27,45.11,-0.01,-4.3
28,46.75,-0.01,-5.2
29,48.43,0.00,-1.1
30,50.10,-0.01,-4.3
31,51.78,-0.01,-2.4
32,53.37,0.04,-0.0
33,55.12,-0.01,-3.3
34,56.78,-0.04,-5.9
35,58.44,0.00,0.7
36,60.09,0.00,-3.0
37,61.75,0.01,-0.8
38,63.40,0.00,-1.1
39,65.06,0.00,-1.1
40,66.71,0.01,-2.6
41,68.44,-0.01,-1.5
42,70.10,0.01,1.1
43,71.76,0.00,-3.9
44,73.40,0.00,0.7
45,75.11,0.01,-1.7
46,76.77,0.00,-0.2
47,78.45,0.01,0.1
48,80.09,-0.01,-3.3
49,81.73,0.01,-0.7
50,83.40,0.01,0.2
51,85.05,-0.01,-5.2
52,86.74,-0.02,-6.3
53,88.42,0.01,1.1
54,90.08,-0.01,-1.5
55,91.74,0.00,-0.2
56,93.40,0.01,1.1
57,95.07,-0.01,-3.3
58,96.73,0.00,-1.1
59,98.39,0.01,0.1
60,100.06,0.01,-2.6
61,101.71,0.01,-0.8
62,103.44,-0.01,-3.3
63,105.09,0.02,0.5
64,106.73,0.00,-0.2
65,108.37,0.02,0.5
66,110.11,-0.01,-4.3
67,111.76,0.00,-0.2
68,113.39,0.01,0.2
69,115.06,0.01,2.0
70,116.74,-0.01,-6.1
71,118.39,-0.01,-2.4
72,120.04,0.01,-1.7
73,121.78,0.01,-2.6
74,123.42,0.02,-0.4
75,125.08,0.00,-0.2
76,126.74,0.00,-2.0
77,128.38,0.02,2.4
78,130.10,0.01,0.2
79,131.75,0.01,2.1
80,133.40,0.01,-2.6
81,135.06,0.00,-1.1
82,136.78,0.00,-2.0
83,138.44,0.00,-2.0
84,140.06,0.01,-1.7
85,141.71,-0.01,-1.5
86,143.44,0.02,2.4
87,145.10,0.00,-3.9
88,146.75,-0.01,-4.3
89,148.42,0.02,-0.4
90,150.08,0.00,-0.2
91,151.74,-0.01,-3.4
92,153.39,-0.02,-4.7
93,155.06,0.02,2.3
94,156.72,0.01,-0.8
95,158.38,-0.01,-5.2
96,160.09,-0.02,-3.7
97,161.74,0.00,-2.1
98,163.39,0.01,-0.8
99,165.04,0.00,-2.1
100,166.79,0.00,-1.1
101,168.44,-0.01,-2.4
102,170.10,-0.01,1.2
103,171.77,0.00,-3.0
104,173.40,0.01,0.2
105,175.05,-0.05,-6.3
106,176.78,0.01,-0.8
107,178.43,-0.01,-5.3
108,180.08,-0.01,-4.3
109,181.74,0.04,2.7
110,183.39,-0.01,-4.3
111,185.06,-0.01,-3.4
112,186.72,-0.02,-1.9
113,188.39,-0.02,-6.6
114,190.05,0.01,-0.8
115,191.79,0.00,-1.2
116,193.44,-0.01,-4.3
117,195.09,-0.01,-2.5
118,196.75,-0.01,-1.6
119,198.42,-0.04,-7.8
120,200.07,0.00,-4.0
121,201.71,0.01,-2.7
122,203.42,-0.05,-7.4
123,205.11,0.01,-0.8
124,206.71,0.02,-0.5
125,208.45,-0.01,-4.3
126,210.05,-0.02,-3.7
127,211.77,0.01,0.1
128,213.43,0.00,-3.0
129,215.08,0.00,-1.2
130,216.74,-0.02,-4.7
131,218.40,0.04,0.8
132,220.05,0.01,-1.7
133,221.71,0.00,-0.3
134,223.41,0.02,0.5
135,225.06,-0.01,-3.4
136,226.72,-0.01,-3.4
137,228.38,-0.01,-4.3
138,230.12,-0.01,-3.4
139,231.78,-0.01,-2.5
140,233.45,-0.01,-7.1
141,235.11,0.02,0.5
142,236.75,-0.02,-6.6
143,238.42,0.01,1.0
144,240.11,0.01,-0.8
145,241.77,-0.02,-4.6
146,243.41,-0.01,-6.1
147,245.04,0.00,-3.9
148,246.76,0.01,2.0
149,248.42,0.01,0.2
150,250.07,-0.01,-2.4
151,251.73,0.01,0.2
152,253.38,-0.02,-5.6
153,255.11,-0.01,-2.4
154,256.76,-0.01,-0.5
155,258.41,0.00,-4.8
156,260.06,0.00,-1.1
157,261.72,-0.01,-4.3
158,263.44,-0.01,-4.3
159,265.10,-0.02,-6.4
160,266.77,0.00,-0.2
161,268.43,0.02,-2.2
162,270.08,0.01,0.2
163,271.73,0.01,-0.7
164,273.40,0.02,1.4
165,275.07,-0.01,-6.1
166,276.72,0.00,-1.1
167,278.45,0.01,-1.7
168,280.11,0.01,-2.6
169,281.76,0.01,-0.7
170,283.40,0.02,3.3
171,285.07,-0.02,-5.5
172,286.72,0.01,-1.7
173,288.39,0.00,-0.2
174,290.05,0.02,0.6
175,291.78,0.01,0.2
176,293.41,0.02,1.5
177,295.06,0.00,-3.9
178,296.78,0.00,-1.1
179,298.38,-0.01,-3.4
180,300.11,-0.01,-3.4
181,301.76,0.01,-1.7
182,303.42,0.00,-3.0
183,305.06,0.01,-1.7
184,306.72,0.01,-1.7
185,308.37,0.00,-1.1
186,310.10,0.01,-2.6
187,311.75,0.02,0.5
188,313.40,-0.01,-5.2
189,315.11,0.02,1.5
190,316.75,-0.01,-2.4
191,318.41,0.01,-2.6
192,320.07,0.02,0.5
193,321.74,0.00,-1.1
194,323.38,0.00,-3.9
195,325.04,-0.01,-4.3
196,326.76,0.01,1.1
197,328.41,-0.02,-5.6
198,330.06,0.00,-2.1
199,331.73,-0.02,-4.6
200,333.44,0.01,-0.8
201,335.09,-0.01,-5.2
202,336.76,0.01,0.1
203,338.45,0.00,-3.0
204,340.09,0.01,-0.7
205,341.75,-0.02,-1.9
206,343.40,0.01,-0.8
207,345.05,0.00,-0.2
208,346.77,-0.04,-8.7
209,348.43,0.01,-1.7
210,350.07,0.04,1.8
211,351.73,-0.01,-5.2
212,353.40,0.02,-2.2
213,355.08,0.00,-3.0
214,356.72,-0.01,-3.3
215,358.45,0.05,4.9
216,360.09,0.02,-1.3
217,361.74,0.00,-3.0
218,363.38,-0.04,-5.0
219,365.11,-0.02,-4.7
220,366.77,0.04,0.8
221,368.44,-0.04,-6.0
222,370.11,-0.01,-4.3
223,371.74,-0.01,-2.4
224,373.40,0.01,-0.8
225,375.05,0.01,1.1
226,376.72,0.01,0.1
227,378.40,-0.01,-1.5
228,380.12,-0.01,-4.3
229,381.77,-0.01,-2.4
230,383.41,0.00,-2.1
231,385.08,0.00,-3.0
232,386.74,0.00,-3.0
233,388.39,0.02,1.5
234,390.04,0.01,0.1
235,391.77,0.02,-0.4
236,393.42,0.00,-0.2
237,395.07,-0.02,-5.6
238,396.71,0.02,-1.3
239,398.45,-0.01,-3.4
240,400.11,0.01,0.1
241,401.75,0.01,0.1
242,403.39,0.00,-3.9
243,405.04,-0.01,-2.4
244,406.77,-0.04,-7.8
245,408.42,0.04,1.8
246,410.07,0.00,-3.9
247,411.74,0.02,-0.4
248,413.40,-0.02,-6.5
249,415.08,0.01,0.1
250,416.73,0.00,-0.2
251,418.45,0.01,0.2
252,420.12,0.00,-1.1
253,421.72,0.00,-3.9
254,423.45,0.00,-1.1
255,425.11,-0.01,-4.3
256,426.74,0.00,-1.1
257,428.41,0.04,-1.0
258,430.07,0.01,0.1
259,431.73,-0.01,-5.2
260,433.38,0.00,-0.2
261,435.05,-0.02,-4.6
262,436.73,0.01,-0.8
263,438.44,0.00,-1.1
264,440.11,0.02,0.5
265,441.75,-0.01,-2.4
266,443.39,0.04,2.8
267,445.04,-0.01,-2.4
268,446.78,-0.02,-6.5
269,448.42,-0.01,-5.2
270,450.08,-0.01,-3.3
271,451.74,-0.02,-5.5
272,453.39,0.01,1.2
273,455.12,-0.02,-3.7
