Sample,Timestamp,Current Error,PID Control Signal,Phase Shift
0,0.04,0.01,26.0,0
1,0.57,-0.01,23.5,0
2,1.09,-0.02,23.2,0
3,1.58,-0.02,24.7,0
4,2.10,-0.06,22.6,0
5,2.61,-0.02,31.9,0
6,3.05,-0.06,25.1,0
7,3.57,-0.07,28.3,0
8,4.08,-0.10,25.6,0
9,4.60,-0.09,27.6,0
10,5.12,-0.04,36.5,0
11,5.55,-0.01,36.2,0
12,6.05,-0.04,32.8,0
13,6.57,0.02,41.1,0
14,7.08,0.04,37.3,0
15,7.60,0.10,41.8,0
16,8.12,0.10,42.1,0
17,8.55,0.12,41.6,0
18,9.06,0.15,42.1,0
19,9.58,0.16,49.5,0
20,10.09,0.16,47.2,0
21,10.61,0.16,48.8,0
22,11.12,0.17,51.0,0
23,11.55,0.09,36.7,0
24,12.07,0.12,48.3,0
25,12.58,0.12,46.8,0
26,13.10,0.06,40.9,0
27,13.54,0.07,49.0,0
28,14.05,0.04,48.9,0
29,14.57,0.04,52.4,0
30,15.09,-0.06,44.2,0
31,15.61,-0.09,52.4,0
32,16.05,-0.10,45.9,0
33,16.56,-0.12,49.1,0
34,17.08,-0.12,53.1,0
35,17.60,-0.17,49.2,0
36,18.12,-0.16,53.2,0
37,18.56,-0.18,47.8,0
38,19.06,-0.24,37.9,0
39,19.58,-0.21,50.2,0
40,20.09,-0.22,48.8,0
41,20.61,-0.24,50.6,0
42,21.04,-0.28,47.7,0
43,21.56,-0.29,52.2,0
44,22.07,-0.32,49.8,0
45,22.58,-0.29,57.6,0
46,23.09,-0.28,48.8,0
47,23.61,-0.31,50.5,0
48,24.04,-0.33,51.6,0
49,24.56,-0.29,59.0,0
50,25.07,-0.37,51.2,0
51,25.59,-0.42,51.7,0
52,26.10,-0.38,54.0,0
53,26.62,-0.43,53.6,0
54,27.05,-0.45,47.8,0
55,27.57,-0.42,52.2,0
56,28.08,-0.46,51.2,0
57,28.60,-0.45,54.9,0
58,29.12,-0.48,49.6,0
59,29.55,-0.51,56.7,0
60,30.06,-0.51,54.7,0
61,30.57,-0.54,58.1,0
62,31.09,-0.54,60.5,0
63,31.61,-0.56,26.2,0
64,32.12,-0.59,20.8,0
65,32.55,-0.55,23.5,0
66,33.06,-0.55,27.6,0
67,33.58,-0.48,34.8,0
68,34.09,-0.43,33.5,0
69,34.61,-0.37,38.5,0
70,35.04,-0.35,35.2,0
71,35.56,-0.29,38.6,0
72,36.07,-0.23,40.4,0
73,36.58,-0.21,36.7,0
74,37.10,-0.15,39.2,0
75,37.62,-0.12,40.8,0
76,38.05,-0.10,37.0,0
77,38.57,-0.05,42.8,0
78,39.08,-0.04,41.4,0
79,39.60,-0.02,42.6,0
80,40.11,0.02,43.3,0
81,40.55,0.04,42.7,0
82,41.05,0.05,39.8,0
83,41.56,0.02,40.6,0
84,42.07,0.06,42.7,0
85,42.59,0.09,44.3,0
86,43.10,0.06,40.9,0
87,43.63,0.11,46.8,0
88,44.05,0.11,45.2,0
89,44.57,0.15,49.9,0
90,45.08,0.13,44.4,0
91,45.60,0.13,41.9,0
92,46.11,0.13,43.7,0
93,46.55,0.09,36.9,0
94,47.05,0.13,44.8,0
95,47.57,0.15,48.6,0
96,48.09,0.12,45.3,0
97,48.61,0.09,41.4,0
98,49.12,0.07,44.7,0
99,49.55,0.05,40.6,0
100,50.06,0.00,36.3,0
101,50.58,0.00,38.3,0
102,51.10,0.02,45.2,0
103,51.63,-0.05,36.6,0
104,52.05,-0.06,41.5,0
105,52.56,-0.06,39.9,0
106,53.08,-0.10,36.1,0
107,53.59,-0.10,36.8,0
108,54.10,-0.10,36.8,0
109,54.61,-0.15,35.2,0
110,55.12,-0.12,34.2,0
111,55.54,-0.11,37.3,0
112,56.05,-0.12,35.9,0
113,56.57,-0.11,38.0,0
114,57.09,-0.16,32.8,0
115,57.60,-0.09,38.5,0
116,58.11,-0.06,42.9,0
117,58.62,-0.09,37.7,0
118,59.05,-0.05,41.4,0
119,59.55,-0.05,38.8,0
120,60.07,-0.02,42.1,0
121,60.58,-0.01,40.7,0
122,61.10,-0.01,40.5,0
123,61.61,0.00,42.7,0
124,62.12,0.00,39.2,0
125,62.55,0.06,44.7,0
126,63.05,0.00,37.5,0
127,63.57,0.04,43.1,0
128,64.08,0.04,41.3,0
129,64.59,0.10,47.5,0
130,65.11,0.02,39.2,0
131,65.62,0.04,40.5,0
132,66.05,0.06,43.9,0
133,66.57,0.05,41.8,0
134,67.08,0.07,42.6,0
135,67.59,0.09,45.6,0
136,68.10,0.06,43.1,0
137,68.61,0.04,41.6,0
138,69.05,0.10,45.2,0
139,69.55,0.07,43.6,0
140,70.07,0.04,39.8,0
141,70.58,0.04,41.7,0
142,71.09,0.04,42.5,0
143,71.61,0.04,42.6,0
144,72.12,0.00,36.9,0
145,72.55,0.01,41.7,0
146,73.05,0.02,38.7,0
147,73.56,0.00,39.6,0
148,74.08,0.00,39.7,0
149,74.59,-0.01,38.5,0
150,75.10,-0.02,39.0,0
151,75.61,-0.04,38.6,0
152,76.04,-0.01,46.3,0
153,76.55,-0.02,41.7,0
154,77.06,-0.05,39.8,0
155,77.57,-0.05,39.9,0
156,78.08,-0.06,37.7,0
157,78.60,-0.05,39.9,0
158,79.11,-0.06,40.2,0
159,79.63,-0.05,39.7,0
160,80.05,-0.06,39.3,0
161,80.56,-0.07,32.8,0
162,81.08,-0.01,44.5,0
163,81.58,-0.02,39.6,0
164,82.10,-0.06,41.1,0
165,82.61,-0.04,39.2,0
166,83.12,-0.01,44.3,0
167,83.55,0.00,43.0,0
168,84.06,-0.04,37.3,0
169,84.57,-0.05,42.1,0
170,85.08,0.00,43.7,0
171,85.60,0.02,44.5,0
172,86.11,0.01,43.2,0
173,86.62,0.02,46.1,0
174,87.05,-0.01,36.3,0
175,87.56,0.02,42.5,0
176,88.07,0.04,45.7,0
177,88.58,0.02,40.9,0
178,89.10,-0.01,39.8,0
179,89.61,-0.01,38.9,0
180,90.12,0.00,41.0,0
181,90.55,-0.05,36.0,0
182,91.06,-0.04,38.0,0
183,91.56,-0.02,38.5,0
184,92.07,-0.02,40.2,0
185,92.59,0.01,43.1,0
186,93.11,-0.06,36.3,0
187,93.62,-0.02,40.9,0
188,94.05,-0.05,39.3,0
189,94.56,-0.07,31.6,0
190,95.06,0.00,42.7,0
191,95.57,0.00,41.8,0
192,96.08,-0.01,40.5,0
193,96.60,-0.04,40.6,0
194,97.11,0.00,39.2,0
195,97.62,-0.04,37.1,0
196,98.05,-0.06,35.3,0
197,98.56,-0.06,38.0,0
198,99.08,-0.04,40.5,0
199,99.59,-0.02,41.7,0
200,100.10,-0.01,41.3,0
201,100.61,0.00,43.5,0
202,101.04,-0.01,43.1,0
203,101.55,-0.01,37.8,0
204,102.06,-0.01,39.5,0
205,102.58,-0.02,40.8,0
206,103.09,0.00,43.4,0
207,103.60,0.01,41.2,0
208,104.11,-0.04,36.0,0
209,104.54,0.00,37.2,0
210,105.05,0.01,43.7,0
211,105.55,0.02,41.6,0
212,106.07,0.02,38.8,0
213,106.58,0.02,38.8,0
214,107.10,0.01,42.8,0
215,107.61,0.04,47.2,0
216,108.12,0.04,44.5,0
217,108.55,0.01,40.3,0
218,109.05,0.00,38.2,0
219,109.57,0.04,42.9,0
220,110.08,0.05,44.1,0
221,110.59,0.02,42.3,0
222,111.11,-0.01,36.9,0
223,111.56,0.02,42.5,0
224,112.06,0.04,44.5,0
225,112.57,-0.02,36.6,0
226,113.09,0.04,48.9,0
227,113.59,-0.01,40.5,0
228,114.10,0.00,39.9,0
229,114.61,0.01,43.1,0
230,115.04,-0.01,40.5,0
231,115.55,-0.02,37.4,0
232,116.07,-0.01,42.2,0
233,116.58,-0.01,36.8,0
234,117.09,0.04,45.6,0
235,117.60,0.01,43.0,0
236,118.11,-0.01,37.8,0
237,118.62,0.00,40.9,0
238,119.05,0.00,39.1,0
239,119.56,0.01,42.1,0
240,120.07,-0.05,33.9,0
241,120.59,0.00,44.2,0
242,121.10,0.01,40.2,0
243,121.62,-0.02,36.5,0
244,122.04,-0.02,39.9,0
245,122.56,0.02,45.8,0
246,123.06,-0.02,42.5,0
247,123.57,-0.02,39.2,0
248,124.08,0.04,44.6,0
249,124.59,-0.04,33.4,0
250,125.10,-0.01,38.5,0
