Sample,Timestamp,Current Error
0,0.04,-0.02
1,5.11,0.00
2,10.09,-0.02
3,15.11,-0.48
4,20.08,-0.46
5,25.09,-0.37
6,30.06,-0.28
7,35.08,-0.17
8,40.05,-0.23
9,45.05,-0.24
10,50.06,-0.18
11,55.10,-0.16
12,60.12,-0.16
13,65.07,-0.12
14,70.09,-0.12
15,75.08,-0.12
16,80.05,-0.09
17,85.10,-0.10
18,90.06,-0.04
19,95.05,-0.09
20,100.09,-0.04
21,105.05,-0.02
22,110.07,-0.06
23,115.05,-0.01
24,120.11,-0.01
25,125.07,-0.04
26,130.05,0.00
27,135.07,0.00
28,140.05,-0.06
29,145.08,0.02
30,150.12,0.01
31,155.07,-0.04
32,160.05,-0.04
33,165.09,0.00
34,170.11,-0.04
35,175.10,-0.01
36,180.05,0.05
37,185.11,0.01
38,190.08,-0.02
39,195.11,0.04
40,200.06,0.07
41,205.10,-0.07
42,210.06,0.02
43,215.11,0.10
44,220.09,-0.04
45,225.12,0.05
46,230.05,0.06
47,235.11,0.00
48,240.10,-0.01
49,245.06,0.07
50,250.10,0.05
51,255.09,-0.07
52,260.06,0.05
53,265.12,0.10
54,270.10,-0.02
55,275.04,0.00
56,280.12,0.11
57,285.07,0.01
58,290.08,0.01
59,295.11,0.06
60,300.09,0.01
61,305.12,0.00
62,310.08,0.07
63,315.09,0.06
64,320.11,-0.02
65,325.08,0.09
66,330.07,0.11
67,335.05,0.01
68,340.09,0.00
69,345.12,0.09
70,350.10,0.02
71,355.08,0.04
72,360.04,0.05
73,365.09,0.02
74,370.06,-0.04
75,375.11,0.06
76,380.10,0.01
77,385.05,0.00
78,390.13,-0.02
79,395.10,0.07
80,400.11,-0.06
81,405.09,-0.02
82,410.05,0.05
83,415.11,0.00
84,420.10,0.00
85,425.07,0.00
86,430.12,-0.07
87,435.08,-0.04
88,440.10,-0.02
89,445.07,-0.04
90,450.06,-0.04
91,455.12,-0.04
92,460.10,-0.07
93,465.07,-0.05
94,470.11,-0.05
95,475.04,-0.04
96,480.10,-0.05
97,485.07,-0.05
98,490.05,0.01
99,495.11,-0.06
100,500.10,-0.05
101,505.06,-0.04
102,510.09,-0.06
103,515.05,-0.02
104,520.09,-0.01
105,525.10,-0.02
106,530.08,0.04
107,535.10,-0.01
108,540.12,-0.09
109,545.07,0.01
110,550.11,0.00
111,555.08,-0.06
112,560.04,-0.01
113,565.11,0.01
114,570.06,-0.01
115,575.10,-0.04
116,580.07,-0.01
117,585.08,0.00
118,590.10,-0.05
119,595.12,0.04
120,600.08,0.00
121,605.11,-0.06
122,610.10,0.01
123,615.07,0.02
124,620.08,-0.05
125,625.11,0.01
126,630.08,0.06
127,635.04,-0.01
128,640.09,-0.04
129,645.09,0.10
130,650.05,0.07
131,655.09,-0.05
132,660.07,0.00
133,665.11,0.10
134,670.13,-0.06
135,675.09,0.01
136,680.11,0.07
137,685.09,-0.04
138,690.05,-0.01
139,695.09,0.01
140,700.04,-0.01
141,705.08,-0.01
142,710.07,0.06
143,715.06,0.06
144,720.11,-0.04
145,725.10,0.02
146,730.08,0.13
147,735.10,-0.02
148,740.05,-0.01
149,745.12,0.07
150,750.09,-0.02
151,755.09,0.01
152,760.06,0.04
153,765.10,0.02
154,770.05,0.02
155,775.09,0.01
156,780.12,0.01
157,785.07,-0.04
158,790.09,0.00
159,795.12,0.02
160,800.08,-0.04
161,805.12,0.01
162,810.08,0.05
163,815.07,-0.04
164,820.04,-0.02
165,825.05,0.02
166,830.10,-0.04
167,835.10,-0.04
168,840.06,-0.01
169,845.10,-0.04
170,850.06,-0.05
171,855.10,-0.02
172,860.05,-0.05
173,865.07,-0.02
174,870.09,-0.01
175,875.12,-0.01
176,880.10,0.04
177,885.07,-0.02
178,890.12,-0.05
179,895.08,0.00
180,900.11,-0.01
181,905.10,-0.02
182,910.08,-0.05
183,915.09,-0.02
184,920.10,0.00
185,925.05,-0.02
186,930.09,0.04
187,935.10,0.01
188,940.06,-0.05
189,945.04,0.04
190,950.10,0.01
191,955.09,-0.02
192,960.12,-0.04
193,965.10,0.05
194,970.05,0.00
195,975.09,-0.01
196,980.05,0.06
197,985.09,0.04
198,990.10,-0.02
199,995.07,0.01
200,1000.10,0.04
201,1005.07,-0.05
202,1010.05,0.07
203,1015.08,0.05
204,1020.06,-0.05
205,1025.08,0.06
206,1030.05,0.09
207,1035.09,0.00
208,1040.10,0.01
209,1045.11,0.07
210,1050.05,0.01
211,1055.08,-0.02
212,1060.11,0.02
213,1065.06,0.07
214,1070.07,-0.07
215,1075.10,-0.01
216,1080.08,0.10
217,1085.10,-0.04
218,1090.06,-0.01
219,1095.08,0.02
220,1100.07,0.01
221,1105.05,-0.02
222,1110.09,0.09
223,1115.06,0.09
224,1120.04,-0.01
225,1125.10,0.06
226,1130.08,0.10
