Sample,Timestamp,Current Error,PID Control Signal
0,0.05,-0.01,-0.4
1,1.71,-0.01,2.4
2,3.42,0.00,2.7
3,5.05,0.00,4.6
4,6.72,0.04,6.6
5,8.38,-0.01,3.3
6,10.05,0.01,4.1
7,11.73,-0.02,3.0
8,13.38,0.02,7.2
9,15.04,-0.02,2.0
10,16.72,0.04,5.7
11,18.40,-0.02,1.1
12,20.06,0.02,4.4
13,21.71,0.01,5.8
14,23.43,0.01,5.9
15,25.08,0.00,3.7
16,26.79,0.01,4.1
17,28.45,0.00,5.5
18,30.12,0.00,2.8
19,31.79,-0.01,0.6
20,33.45,-0.01,1.5
21,35.09,0.02,5.4
22,36.75,-0.04,-2.0
23,38.43,0.00,4.6
24,40.10,-0.02,-0.7
25,41.78,-0.01,1.5
26,43.45,0.01,4.0
27,45.12,-0.01,3.3
28,46.72,0.01,4.9
29,48.40,-0.01,0.5
30,50.11,-0.01,0.5
31,51.78,0.00,0.9
32,53.38,0.00,1.9
33,55.10,-0.02,-1.7
34,56.76,-0.01,2.4
35,58.44,-0.01,0.6
36,60.09,-0.01,3.3
37,61.73,0.02,7.2
38,63.42,-0.01,2.4
39,65.09,-0.01,0.6
40,66.73,0.01,4.0
41,68.37,0.00,1.8
42,70.12,0.00,2.7
43,71.79,0.00,5.5
44,73.43,-0.02,-0.8
45,75.10,0.01,4.9
46,76.74,0.01,5.9
47,78.42,-0.02,2.0
48,80.07,-0.01,3.3
49,81.74,0.00,2.8
50,83.41,-0.01,1.5
51,85.07,-0.01,3.3
52,86.73,-0.01,2.4
53,88.41,0.01,6.7
54,90.06,-0.01,2.3
55,91.74,-0.01,0.5
56,93.43,-0.01,2.4
57,95.08,0.01,2.1
58,96.74,0.00,4.6
59,98.40,0.02,6.2
60,100.04,0.01,6.8
61,101.77,-0.01,4.2
62,103.45,-0.01,2.4
63,105.09,-0.01,1.4
64,106.75,-0.01,1.5
65,108.39,0.00,4.6
66,110.11,-0.01,3.3
67,111.76,0.00,2.7
68,113.42,0.01,4.9
69,115.09,-0.01,3.3
70,116.72,0.02,7.2
71,118.45,0.00,4.5
72,120.12,0.01,6.8
73,121.78,0.00,2.7
74,123.44,0.00,4.6
75,125.10,0.01,4.9
76,126.77,-0.01,2.3
77,128.45,0.02,7.1
78,130.11,0.00,4.6
79,131.77,0.04,6.5
80,133.42,0.00,3.6
81,135.08,0.00,4.6
82,136.74,0.00,2.7
83,138.40,-0.02,0.2
84,140.05,0.04,5.6
85,141.71,0.01,5.9
86,143.43,-0.02,1.0
87,145.09,0.00,4.6
88,146.74,0.00,4.5
89,148.41,0.01,3.1
90,150.05,-0.02,1.1
91,151.71,-0.01,0.5
92,153.44,0.00,3.6
93,155.10,0.01,4.9
94,156.75,0.01,5.9
95,158.41,0.00,2.7
96,160.08,0.01,4.9
97,161.74,0.00,6.4
98,163.38,-0.01,-0.4
99,165.10,0.00,2.7
100,166.75,0.00,3.7
