Sample,Timestamp,Current Error,PID Control Signal
0,0.05,-0.02,-31.1
1,1.77,0.01,-30.0
2,3.41,-0.01,-28.9
3,5.11,0.00,-30.4
4,6.75,-0.01,-31.7
5,8.39,0.01,-28.2
6,10.04,0.00,-30.4
7,11.77,0.01,-28.2
8,13.45,0.00,-30.4
9,15.06,0.00,-28.6
10,16.72,0.01,-27.2
11,18.40,-0.02,-31.1
12,20.06,-0.01,-31.7
13,21.78,0.01,-28.2
14,23.43,0.01,-28.2
15,25.09,0.01,-27.3
16,26.72,0.00,-30.4
17,28.38,0.01,-28.2
18,30.04,-0.02,-33.0
19,31.75,-0.02,-33.0
20,33.42,0.01,-28.2
21,35.08,-0.01,-29.8
22,36.72,0.00,-27.7
23,38.39,-0.02,-33.0
24,40.11,-0.02,-32.1
25,41.76,0.01,-29.2
26,43.40,-0.01,-29.9
27,45.11,0.00,-30.5
28,46.73,-0.02,-33.0
29,48.39,0.00,-27.7
30,50.05,0.00,-32.2
31,51.72,0.00,-29.5
32,53.38,0.01,-28.2
33,55.05,0.00,-27.7
34,56.79,0.01,-29.2
35,58.44,0.00,-28.6
36,60.09,-0.01,-31.7
37,61.73,0.00,-29.5
38,63.39,0.01,-28.3
39,65.07,-0.01,-31.7
40,66.78,0.00,-30.5
41,68.43,0.00,-28.6
42,70.10,-0.01,-31.8
43,71.73,0.01,-29.2
44,73.37,-0.05,-35.7
45,75.11,-0.02,-34.8
46,76.79,-0.01,-32.7
47,78.40,0.00,-26.8
48,80.06,-0.01,-31.8
49,81.72,0.01,-28.3
50,83.44,-0.01,-29.9
51,85.10,0.01,-29.2
52,86.75,0.01,-29.2
53,88.39,0.00,-29.5
54,90.04,0.01,-29.2
55,91.78,0.00,-27.7
56,93.41,-0.01,-31.8
57,95.07,-0.02,-33.1
58,96.73,0.00,-28.6
59,98.38,-0.01,-31.8
60,100.12,0.01,-29.2
61,101.77,0.01,-29.2
62,103.41,-0.02,-31.2
63,105.05,-0.02,-33.1
64,106.78,0.01,-28.2
65,108.43,0.01,-31.0
66,110.08,-0.01,-30.8
67,111.74,0.01,-28.2
68,113.37,0.00,-29.5
69,115.11,0.01,-27.3
70,116.76,-0.01,-30.8
71,118.43,-0.01,-28.0
72,120.08,0.01,-27.3
73,121.73,0.02,-27.9
74,123.37,-0.02,-32.1
75,125.11,0.00,-27.7
76,126.71,0.01,-26.5
77,128.44,0.00,-28.6
78,130.10,0.01,-28.3
79,131.76,0.01,-29.2
80,133.40,0.01,-29.2
81,135.05,-0.01,-29.9
82,136.77,0.00,-29.5
83,138.44,0.01,-26.5
84,140.08,-0.02,-33.1
85,141.73,-0.01,-30.8
86,143.38,0.00,-30.5
87,145.10,0.00,-30.5
88,146.74,0.01,-29.2
89,148.38,0.00,-30.5
90,150.09,-0.01,-31.8
91,151.73,0.01,-29.2
92,153.42,0.01,-29.2
93,155.07,0.04,-23.8
94,156.73,0.00,-30.5
95,158.38,0.01,-27.3
96,160.05,0.00,-27.7
97,161.78,-0.01,-30.8
98,163.45,0.01,-31.0
99,165.11,0.01,-28.2
100,166.77,0.01,-29.1
101,168.43,0.00,-30.4
102,170.08,0.01,-27.3
103,171.72,0.01,-28.2
104,173.44,-0.02,-32.1
105,175.08,-0.02,-31.2
106,176.78,-0.01,-31.8
107,178.43,0.01,-27.3
108,180.07,0.01,-27.3
109,181.73,-0.01,-30.8
110,183.45,-0.01,-29.0
111,185.10,0.00,-28.6
112,186.74,-0.01,-31.7
113,188.40,0.00,-28.6
114,190.06,-0.02,-33.0
115,191.78,0.01,-27.3
116,193.43,0.00,-30.5
117,195.07,0.00,-27.7
118,196.74,0.01,-29.2
119,198.38,0.00,-28.6
120,200.11,-0.01,-29.9
121,201.74,-0.01,-30.8
122,203.40,0.01,-27.3
123,205.11,-0.02,-32.1
124,206.77,0.00,-29.5
125,208.43,0.01,-27.3
126,210.06,-0.01,-30.8
127,211.76,0.01,-27.2
128,213.40,-0.01,-30.8
129,215.07,0.02,-27.0
130,216.77,0.01,-28.2
131,218.43,-0.01,-30.8
132,220.09,0.01,-27.3
133,221.73,0.01,-29.2
134,223.39,-0.01,-30.8
135,225.11,-0.01,-29.9
136,226.77,-0.01,-30.8
137,228.42,0.01,-29.2
138,230.07,-0.02,-31.2
139,231.72,0.00,-30.4
140,233.38,0.01,-26.4
141,235.11,0.01,-27.3
142,236.78,-0.02,-32.1
143,238.41,0.01,-28.2
144,240.06,0.01,-27.3
145,241.72,0.01,-27.3
146,243.37,0.01,-29.2
147,245.11,-0.01,-33.6
148,246.76,0.00,-28.6
149,248.43,-0.01,-30.8
150,250.07,0.00,-30.5
151,251.71,0.00,-29.5
152,253.38,0.00,-29.5
153,255.11,-0.01,-31.8
154,256.77,0.01,-27.3
155,258.41,-0.01,-31.7
156,260.05,0.01,-28.2
157,261.71,-0.02,-32.1
158,263.42,0.01,-27.3
159,265.07,0.01,-29.2
160,266.71,0.01,-26.4
161,268.38,-0.01,-30.8
162,270.05,-0.02,-33.0
163,271.76,-0.01,-29.0
164,273.40,-0.01,-30.8
165,275.05,0.00,-30.5
166,276.71,0.00,-29.5
167,278.45,0.01,-28.3
168,280.10,0.00,-27.7
169,281.77,0.01,-29.2
170,283.42,0.02,-26.1
171,285.06,-0.02,-31.2
172,286.78,-0.02,-30.3
173,288.44,-0.01,-30.9
174,290.07,-0.05,-36.7
175,291.73,0.01,-27.4
176,293.38,0.01,-28.3
177,295.11,0.01,-29.2
178,296.77,0.01,-29.2
179,298.42,-0.01,-30.9
180,300.09,0.01,-27.4
181,301.74,0.00,-28.7
182,303.39,0.01,-26.5
183,305.12,-0.01,-31.8
184,306.74,0.01,-26.4
185,308.39,0.01,-29.2
186,310.11,0.00,-28.6
187,311.78,0.01,-27.4
188,313.43,0.01,-29.2
189,315.08,-0.01,-29.9
190,316.74,0.01,-29.2
191,318.38,0.00,-30.5
192,320.04,0.00,-31.4
193,321.76,0.00,-28.6
194,323.41,-0.01,-30.9
195,325.05,-0.01,-31.8
196,326.79,-0.04,-32.5
197,328.39,0.00,-30.5
198,330.05,0.01,-25.5
199,331.77,-0.02,-32.2
200,333.40,-0.01,-30.8
201,335.09,-0.01,-31.7
202,336.77,0.01,-26.5
203,338.41,-0.01,-29.9
204,340.05,0.01,-27.4
205,341.77,0.02,-25.1
206,343.42,0.00,-30.5
207,345.08,-0.02,-33.1
208,346.73,-0.02,-32.2
209,348.38,0.02,-28.9
210,350.12,0.01,-29.2
211,351.77,0.04,-24.8
212,353.41,0.01,-29.2
213,355.10,-0.01,-30.9
214,356.73,0.00,-29.6
215,358.38,-0.01,-31.8
216,360.04,0.00,-30.5
217,361.78,0.00,-28.7
218,363.44,0.00,-28.7
219,365.07,0.02,-27.9
220,366.72,0.04,-25.7
221,368.37,0.00,-29.6
222,370.09,0.01,-28.3
223,371.74,-0.06,-36.9
224,373.41,-0.02,-33.1
225,375.04,0.01,-26.4
226,376.78,0.00,-29.6
227,378.42,-0.01,-31.8
228,380.10,0.01,-26.5
229,381.76,0.01,-28.3
230,383.40,0.01,-28.3
231,385.05,0.01,-29.2
232,386.71,0.01,-26.4
233,388.43,-0.01,-31.8
234,390.07,0.00,-29.6
235,391.72,0.01,-29.2
236,393.39,-0.01,-30.9
237,395.06,0.01,-28.3
238,396.78,0.00,-28.7
239,398.39,0.01,-28.3
240,400.05,0.01,-28.3
241,401.77,0.01,-28.2
242,403.40,0.01,-29.2
243,405.05,0.01,-27.3
244,406.71,0.00,-27.7
245,408.37,0.00,-30.5
246,410.04,0.00,-28.6
247,411.76,-0.02,-30.3
248,413.39,-0.01,-30.9
249,415.04,0.00,-30.5
250,416.76,0.04,-26.6
251,418.43,0.01,-28.2
252,420.07,0.01,-27.3
253,421.77,0.00,-30.5
254,423.40,-0.02,-31.2
255,425.04,0.00,-28.6
256,426.79,0.00,-31.4
257,428.39,-0.01,-31.7
258,430.12,-0.01,-31.8
259,431.77,0.00,-30.5
260,433.43,-0.01,-31.7
261,435.09,0.01,-26.4
262,436.74,0.01,-28.2
263,438.45,0.00,-30.5
264,440.11,0.00,-27.7
265,441.76,-0.02,-33.0
266,443.39,0.00,-30.5
267,445.11,0.01,-28.3
268,446.76,0.00,-30.5
269,448.42,0.01,-26.4
270,450.09,0.01,-28.3
271,451.73,0.00,-30.5
272,453.38,-0.01,-30.8
273,455.09,0.01,-28.2
274,456.74,-0.01,-30.8
275,458.39,0.00,-30.5
276,460.04,0.00,-30.5
277,461.79,0.02,-27.0
278,463.44,0.01,-26.4
279,465.10,0.01,-27.4
280,466.78,0.01,-32.0
281,468.43,-0.02,-30.3
282,470.07,0.01,-28.3
283,471.71,0.01,-27.4
284,473.45,-0.01,-30.9
285,475.09,0.01,-27.3
286,476.75,0.01,-25.5
287,478.39,-0.01,-30.9
288,480.12,0.01,-28.3
289,481.78,0.01,-31.0
290,483.42,-0.01,-30.9
291,485.09,0.01,-29.2
292,486.72,-0.02,-33.2
293,488.45,0.01,-27.4
294,490.11,0.01,-29.2
295,491.73,0.00,-30.5
296,493.38,0.00,-30.5
297,495.10,0.00,-28.6
298,496.73,0.01,-27.3
299,498.39,-0.02,-33.0
300,500.05,0.01,-27.3
301,501.77,0.00,-29.5
302,503.42,0.01,-29.2
303,505.09,0.02,-27.0
304,506.75,0.01,-27.3
305,508.39,0.01,-28.2
306,510.12,0.01,-26.4
307,511.78,0.01,-27.3
308,513.41,0.02,-26.9
309,515.06,0.00,-30.4
310,516.72,0.01,-29.1
311,518.45,-0.05,-33.8
312,520.10,0.01,-28.2
313,521.73,0.00,-28.6
314,523.39,0.00,-30.4
315,525.08,-0.01,-31.6
316,526.75,0.00,-28.6
317,528.41,0.01,-28.2
318,530.05,0.02,-27.8
319,531.78,-0.01,-29.8
320,533.45,-0.02,-32.0
321,535.09,0.00,-30.4
322,536.74,0.00,-27.6
323,538.39,0.01,-26.3
324,540.05,0.01,-28.2
325,541.71,0.00,-30.4
326,543.45,0.00,-27.7
327,545.10,0.00,-30.4
328,546.75,-0.01,-31.7
329,548.39,0.01,-26.3
330,550.11,-0.02,-31.1
331,551.71,0.01,-28.2
332,553.44,0.01,-26.3
333,555.09,0.01,-26.3
334,556.73,0.00,-30.4
335,558.38,0.01,-26.3
336,560.11,0.00,-29.5
337,561.76,0.01,-28.2
338,563.39,0.00,-27.6
339,565.04,0.01,-28.2
340,566.78,0.01,-29.1
341,568.42,0.00,-28.5
342,570.07,-0.01,-32.6
343,571.73,0.00,-29.5
344,573.39,0.00,-29.5
345,575.11,-0.04,-35.2
346,576.77,0.00,-27.6
347,578.43,0.01,-27.3
348,580.10,0.02,-25.1
349,581.74,-0.04,-34.3
350,583.38,0.01,-29.1
351,585.04,0.01,-29.1
352,586.77,-0.02,-31.2
353,588.43,-0.02,-33.0
354,590.06,-0.01,-29.9
355,591.75,-0.02,-30.2
356,593.42,-0.01,-31.7
357,595.05,0.01,-28.2
358,596.72,0.01,-28.2
359,598.37,-0.02,-33.1
360,600.09,0.01,-26.4
361,601.73,0.05,-23.4
362,603.40,0.01,-27.3
363,605.04,-0.01,-31.8
364,606.77,0.01,-29.2
365,608.41,0.01,-29.2
366,610.07,0.00,-28.6
367,611.73,0.00,-27.7
368,613.39,-0.04,-34.3
369,615.12,0.01,-26.4
370,616.76,-0.01,-31.7
371,618.44,-0.01,-29.9
372,620.10,0.01,-29.2
373,621.74,-0.01,-29.9
374,623.38,0.00,-28.6
375,625.05,0.04,-24.8
376,626.78,0.02,-27.9
377,628.43,0.01,-27.3
378,630.07,0.00,-29.5
379,631.78,0.00,-30.5
380,633.45,0.01,-27.3
381,635.10,0.01,-27.3
382,636.76,0.02,-26.0
383,638.44,-0.02,-32.1
384,640.08,-0.01,-31.8
385,641.72,-0.01,-30.8
386,643.37,0.01,-29.2
387,645.09,0.01,-29.2
388,646.73,0.00,-28.6
389,648.38,0.00,-27.7
390,650.10,0.01,-27.3
391,651.75,0.01,-27.3
392,653.42,-0.04,-36.2
393,655.08,0.00,-27.7
394,656.71,-0.02,-31.2
395,658.45,0.00,-30.5
396,660.11,-0.01,-31.8
397,661.78,0.00,-29.5
398,663.45,-0.02,-34.0
399,665.11,0.02,-27.0
400,666.71,0.01,-28.3
401,668.38,-0.02,-31.2
402,670.11,0.00,-29.5
403,671.77,-0.01,-31.8
404,673.41,0.01,-26.4
405,675.05,0.00,-30.5
406,676.78,-0.02,-31.2
407,678.43,0.01,-27.3
408,680.10,-0.01,-32.7
409,681.73,0.01,-27.4
410,683.40,0.00,-28.7
411,685.11,0.01,-28.2
412,686.75,0.01,-29.2
413,688.40,-0.01,-30.9
414,690.12,0.01,-28.2
415,691.76,-0.01,-31.8
416,693.42,-0.02,-31.2
417,695.09,0.01,-26.5
418,696.76,0.02,-27.0
419,698.40,0.01,-28.3
420,700.06,-0.04,-32.5
421,701.77,-0.01,-32.8
422,703.42,-0.02,-33.1
423,705.06,0.00,-29.6
424,706.71,0.01,-28.3
425,708.42,0.01,-28.3
426,710.05,0.00,-28.6
427,711.76,0.01,-29.2
428,713.41,0.01,-27.4
429,715.06,0.01,-29.2
430,716.78,-0.02,-32.2
431,718.42,-0.02,-34.0
432,720.09,0.01,-28.3
433,721.73,0.00,-30.5
434,723.37,0.00,-29.6
