Sample,Timestamp,Current Error,PID Control Signal
0,0.04,-0.01,-61.5
1,0.30,-0.02,-67.1
2,0.56,-0.02,-67.3
3,0.82,-0.01,-72.0
4,1.08,0.01,-67.0
5,1.33,0.05,-62.9
6,1.59,0.07,-60.6
7,1.85,0.13,-60.3
8,2.12,0.21,-61.4
9,2.30,0.26,-61.6
10,2.56,0.29,-55.9
11,2.82,0.37,-59.5
12,3.08,0.44,-50.8
13,3.34,0.48,-61.6
14,3.61,0.57,-54.5
15,3.79,0.60,-48.8
16,4.04,0.66,-48.5
17,4.30,0.73,-53.9
18,4.57,0.79,-35.4
19,4.83,0.90,-42.1
20,5.09,0.96,-36.5
21,5.35,0.98,-43.2
22,5.60,1.07,-42.6
23,5.77,1.10,-46.9
24,6.04,1.12,-54.2
25,6.29,1.18,-42.5
26,6.56,1.23,-42.6
27,6.82,1.26,-42.7
28,7.08,1.33,-39.4
29,7.34,1.37,-49.9
30,7.60,1.38,-41.9
31,7.77,1.37,-51.8
32,8.03,1.46,-39.7
33,8.29,1.46,-49.6
34,8.55,1.48,-42.6
35,8.81,1.50,-46.1
36,9.08,1.53,-54.6
37,9.34,1.54,-52.1
38,9.60,1.55,-46.5
39,9.77,1.56,-45.6
40,10.03,1.60,-46.2
41,10.29,1.60,-47.8
42,10.55,1.61,-54.0
43,10.82,1.67,-49.4
44,11.08,1.61,-53.0
45,11.34,1.67,-56.0
46,11.51,1.68,-60.0
47,11.77,1.71,-50.8
48,12.03,1.73,-53.3
49,12.29,1.76,-52.4
50,12.55,1.79,-40.9
51,12.81,1.82,-41.7
52,13.08,1.83,-53.9
53,13.33,1.82,-49.1
54,13.51,1.84,-47.0
55,13.77,1.92,-47.1
56,14.03,1.92,-43.8
57,14.29,1.90,-56.3
58,14.56,1.97,-52.5
59,14.82,1.98,-44.9
60,15.07,1.99,-39.2
61,15.25,2.01,-60.1
62,15.52,1.98,-62.0
63,15.79,2.01,-56.5
64,16.04,2.05,-48.5
65,16.30,2.06,-43.6
66,16.56,2.09,-54.2
67,16.83,2.04,-60.7
68,17.00,2.05,-53.9
69,17.26,2.04,-54.2
70,17.52,2.05,-53.3
71,17.77,2.04,-61.9
72,18.04,2.01,-64.1
73,18.30,2.03,-64.3
74,18.56,2.03,-52.1
75,18.82,1.97,-63.9
76,18.99,2.01,-55.8
77,19.25,1.99,-58.9
78,19.51,1.97,-78.9
79,19.77,1.92,-75.4
80,20.03,1.92,-61.9
81,20.29,1.92,3.3
82,20.55,1.90,1.2
83,20.74,1.89,-2.7
84,21.00,1.88,-0.8
85,21.26,1.81,-1.5
86,21.52,1.77,-10.3
87,21.77,1.75,-1.0
88,22.03,1.65,-11.5
89,22.29,1.60,-16.0
90,22.55,1.51,-20.7
91,22.73,1.46,-22.1
92,22.99,1.42,-16.6
93,23.26,1.32,-23.9
94,23.51,1.25,-24.3
95,23.77,1.15,-28.0
96,24.03,1.07,-34.5
97,24.28,1.01,-28.9
98,24.55,0.96,-30.7
99,24.73,0.88,-40.8
100,24.99,0.79,-40.9
