Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.00,-121.6
1,0.30,0.00,-132.0
2,0.56,0.00,-113.6
3,0.82,-0.04,-121.0
4,1.08,0.01,-115.2
5,1.34,0.04,-112.3
6,1.61,0.15,-125.4
7,1.86,0.18,-109.5
8,2.04,0.26,-110.8
9,2.30,0.35,-106.3
10,2.56,0.43,-107.5
11,2.83,0.55,-104.9
12,3.09,0.68,-95.8
13,3.34,0.82,-89.8
14,3.61,0.92,-112.8
15,3.78,0.95,-93.9
16,4.04,1.11,-98.1
17,4.30,1.22,-95.4
18,4.57,1.33,-78.6
19,4.83,1.46,-80.4
20,5.08,1.56,-75.1
21,5.34,1.65,-85.9
22,5.60,1.77,-89.3
23,5.78,1.86,-67.8
24,6.04,1.97,-73.3
25,6.30,2.06,-73.4
26,6.56,2.16,-83.9
27,6.82,2.26,-71.8
28,7.07,2.34,-68.4
29,7.33,2.42,-69.1
30,7.60,2.54,-92.9
31,7.77,2.59,-83.4
32,8.03,2.67,-66.6
33,8.30,2.76,-77.6
34,8.56,2.86,-74.9
35,8.82,2.92,-62.0
36,9.08,2.94,-80.9
37,9.34,3.06,-59.8
38,9.60,3.11,-89.6
39,9.78,3.17,-66.0
40,10.04,3.21,-67.0
41,10.30,3.23,-79.4
42,10.56,3.33,-75.8
43,10.82,3.37,-65.2
44,11.07,3.39,-61.1
45,11.33,3.44,-78.2
46,11.52,3.47,-79.2
47,11.77,3.50,-67.7
48,12.03,3.54,-79.2
49,12.30,3.55,-88.1
50,12.56,3.58,-89.3
51,12.82,3.59,-68.1
52,13.08,3.60,-75.8
53,13.26,3.64,-89.4
54,13.52,3.66,-88.9
55,13.78,3.61,-78.9
56,14.04,3.63,-93.4
57,14.30,3.64,42.7
58,14.56,3.60,40.9
59,14.82,3.59,41.4
60,15.08,3.59,42.3
61,15.25,3.54,40.5
62,15.51,3.50,36.9
63,15.77,3.38,23.8
64,16.03,3.26,20.5
65,16.29,3.14,10.7
66,16.56,3.02,-1.2
67,16.82,2.88,5.0
68,17.00,2.76,-3.0
69,17.25,2.61,-5.6
70,17.51,2.48,-7.8
71,17.77,2.32,-15.2
72,18.04,2.12,-27.8
73,18.29,1.97,-26.3
74,18.56,1.79,-41.6
75,18.81,1.68,-28.9
76,18.99,1.56,-41.7
77,19.25,1.34,-44.8
78,19.52,1.17,-58.8
79,19.77,1.06,-49.7
80,20.03,0.93,-50.7
81,20.29,0.78,-59.3
82,20.56,0.65,-71.6
83,20.74,0.54,-62.8
84,20.99,0.46,-59.9
85,21.25,0.32,-65.6
86,21.52,0.22,-67.4
87,21.78,0.10,-73.6
88,22.05,0.04,-72.4
89,22.30,-0.09,-71.2
90,22.56,-0.17,-76.3
91,22.74,-0.23,-80.7
92,23.01,-0.28,-76.8
93,23.26,-0.34,-70.4
94,23.52,-0.43,-77.5
95,23.78,-0.51,-80.4
96,24.04,-0.51,-76.0
97,24.30,-0.57,-83.8
98,24.47,-0.57,-73.4
99,24.73,-0.62,-80.2
100,24.99,-0.63,-75.7
101,25.25,-0.67,-81.3
102,25.51,-0.73,-80.8
103,25.77,-0.72,-80.3
104,26.04,-0.76,-83.3
105,26.29,-0.76,-75.9
106,26.55,-0.78,-86.3
107,26.73,-0.78,-77.0
108,26.99,-0.81,-81.4
109,27.24,-0.83,-84.0
110,27.50,-0.82,-81.3
111,27.76,-0.82,-77.2
112,28.02,-0.77,-73.1
113,28.28,-0.78,-74.7
114,28.54,-0.74,-76.1
115,28.71,-0.76,-76.9
116,28.98,-0.77,-80.8
117,29.24,-0.73,-78.2
118,29.50,-0.68,-73.3
119,29.76,-0.70,-77.2
120,30.02,-0.66,-74.7
121,30.29,-0.66,-80.1
122,30.47,-0.63,-74.3
123,30.73,-0.61,-76.3
124,31.00,-0.59,-72.4
125,31.26,-0.57,-73.8
126,31.53,-0.52,-67.4
127,31.78,-0.52,-69.2
128,31.96,-0.49,-65.6
129,32.21,-0.50,-70.4
130,32.47,-0.46,-66.8
131,32.73,-0.43,-71.8
132,32.99,-0.40,-65.2
133,33.25,-0.34,-64.2
134,33.52,-0.32,-59.4
135,33.78,-0.32,-66.2
136,33.95,-0.28,-65.2
137,34.22,-0.23,-63.9
138,34.48,-0.20,-53.5
139,34.74,-0.17,-58.6
140,35.00,-0.12,-55.4
141,35.26,-0.09,-54.4
142,35.52,-0.06,-53.8
143,35.70,-0.04,-58.1
144,35.96,0.05,-45.4
145,36.22,0.06,-49.2
146,36.49,0.11,-51.0
147,36.75,0.16,-49.5
148,37.00,0.21,-42.1
149,37.26,0.22,-45.9
150,37.52,0.27,-41.0
151,37.69,0.28,-44.2
152,37.95,0.37,-39.6
153,38.21,0.37,-38.0
154,38.47,0.43,-37.6
155,38.73,0.45,-36.8
156,39.00,0.50,-37.8
157,39.26,0.51,-38.1
158,39.44,0.52,-42.8
159,39.70,0.56,-34.1
160,39.96,0.65,-26.1
