Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.01,133.4
1,0.31,0.01,146.2
2,0.56,0.01,130.2
3,0.82,0.00,149.0
4,1.08,0.00,143.6
5,1.34,-0.04,149.1
6,1.61,-0.10,157.9
7,1.79,-0.15,146.8
8,2.05,-0.17,131.9
9,2.31,-0.31,137.0
10,2.56,-0.34,116.4
11,2.82,-0.43,126.4
12,3.09,-0.54,134.6
13,3.34,-0.61,121.2
14,3.61,-0.73,149.9
15,3.78,-0.77,122.8
16,4.04,-0.89,130.8
17,4.31,-0.95,117.2
18,4.56,-1.12,-13.4
19,4.83,-1.25,-18.7
20,5.08,-1.33,-22.4
21,5.35,-1.38,-14.2
22,5.53,-1.43,-13.2
23,5.79,-1.49,-14.6
24,6.06,-1.53,-13.7
25,6.31,-1.60,-17.8
26,6.57,-1.60,-12.5
27,6.84,-1.60,-10.9
28,7.10,-1.61,-11.8
29,7.27,-1.60,-9.6
30,7.54,-1.59,-6.7
31,7.79,-1.56,-4.3
32,8.05,-1.51,-5.2
33,8.31,-1.51,-3.2
34,8.56,-1.49,-2.0
35,8.82,-1.44,-0.4
36,9.07,-1.38,3.1
37,9.33,-1.32,6.1
38,9.60,-1.25,14.0
39,9.77,-1.18,13.8
40,10.03,-1.12,14.8
41,10.27,-1.06,14.9
42,10.53,-1.00,14.9
43,10.79,-0.92,19.2
44,11.05,-0.79,28.2
45,11.31,-0.71,29.7
46,11.58,-0.65,32.1
47,11.84,-0.54,33.6
48,12.01,-0.45,38.2
49,12.27,-0.33,46.5
50,12.52,-0.24,46.8
51,12.79,-0.12,52.7
52,13.05,-0.04,52.5
53,13.31,0.04,50.5
54,13.56,0.13,54.5
55,13.82,0.26,62.1
56,14.08,0.35,66.8
57,14.26,0.42,67.6
58,14.52,0.51,68.2
59,14.78,0.60,70.0
60,15.04,0.67,68.9
61,15.30,0.73,70.6
62,15.56,0.79,69.0
63,15.81,0.83,69.2
64,16.07,0.92,74.6
65,16.25,0.95,75.4
66,16.51,0.96,74.8
67,16.77,0.99,70.2
68,17.04,1.00,69.8
69,17.30,1.07,74.6
70,17.56,1.03,67.5
71,17.82,1.01,67.9
72,18.00,1.00,62.4
73,18.26,0.98,64.2
74,18.53,0.96,62.6
75,18.79,0.90,61.6
76,19.04,0.88,57.8
77,19.30,0.85,56.8
78,19.56,0.83,57.1
79,19.81,0.77,51.9
80,19.99,0.73,51.0
81,20.25,0.65,44.8
82,20.51,0.60,43.9
83,20.77,0.55,43.3
84,21.04,0.48,44.2
85,21.30,0.44,42.8
86,21.55,0.37,38.2
87,21.81,0.33,39.0
88,21.99,0.29,39.1
89,22.25,0.27,40.0
90,22.51,0.17,33.2
91,22.77,0.13,33.1
92,23.03,0.10,32.3
93,23.30,0.02,30.5
94,23.56,-0.01,29.8
95,23.73,-0.07,24.5
96,23.99,-0.10,28.8
97,24.25,-0.12,27.4
98,24.51,-0.12,30.8
99,24.77,-0.13,32.2
100,25.02,-0.20,28.1
101,25.28,-0.23,27.2
102,25.55,-0.28,26.5
103,25.81,-0.28,25.6
104,25.98,-0.28,27.2
105,26.24,-0.32,27.9
106,26.51,-0.34,25.4
107,26.77,-0.35,24.8
108,27.02,-0.35,26.8
109,27.28,-0.37,26.4
110,27.55,-0.39,23.6
111,27.72,-0.38,27.0
112,27.99,-0.42,23.5
113,28.25,-0.40,24.8
114,28.51,-0.43,23.6
115,28.77,-0.43,26.2
116,29.03,-0.42,27.9
117,29.29,-0.43,25.2
118,29.46,-0.40,27.0
119,29.73,-0.39,28.8
120,29.98,-0.33,34.3
121,30.24,-0.38,28.3
122,30.50,-0.33,32.0
123,30.76,-0.34,30.4
124,31.02,-0.33,30.0
125,31.28,-0.28,34.1
126,31.54,-0.27,34.5
127,31.72,-0.24,36.4
128,31.98,-0.24,32.3
129,32.24,-0.17,38.3
130,32.50,-0.21,33.3
131,32.76,-0.13,40.5
132,33.02,-0.15,34.2
133,33.29,-0.11,40.6
134,33.46,-0.12,33.4
135,33.71,-0.12,34.8
136,33.98,-0.11,33.9
137,34.24,-0.11,33.8
138,34.50,-0.06,39.2
139,34.76,-0.06,39.8
140,35.01,-0.05,37.3
141,35.20,-0.01,41.2
142,35.45,-0.04,36.8
143,35.71,-0.02,39.1
144,35.98,-0.04,37.4
145,36.24,0.02,39.1
146,36.51,0.02,41.0
147,36.76,0.04,39.8
148,37.02,0.01,37.1
149,37.21,0.02,38.9
150,37.47,0.04,38.2
151,37.73,0.02,39.2
152,37.99,0.04,38.8
153,38.25,0.05,40.2
154,38.52,0.00,35.0
155,38.69,0.01,34.8
156,38.95,0.01,35.4
157,39.21,0.04,39.9
158,39.47,0.01,34.2
159,39.73,0.02,40.2
160,39.99,-0.02,32.4
161,40.25,-0.01,35.6
162,40.51,0.01,38.1
163,40.68,0.01,39.7
164,40.95,0.01,40.3
165,41.21,-0.02,33.8
166,41.47,-0.02,36.1
167,41.73,-0.02,33.1
168,41.99,-0.02,36.0
169,42.24,-0.04,36.4
170,42.51,-0.05,35.3
171,42.68,-0.05,33.4
172,42.94,-0.09,30.5
173,43.20,-0.05,36.1
174,43.46,-0.06,32.4
175,43.72,-0.05,36.8
176,43.98,-0.07,30.8
177,44.23,-0.07,33.8
178,44.50,-0.07,33.5
179,44.68,-0.10,33.3
180,44.94,-0.13,28.1
181,45.20,-0.16,25.6
182,45.45,-0.16,27.5
183,45.71,-0.15,30.8
184,45.98,-0.13,35.0
185,46.24,-0.13,34.0
186,46.42,-0.16,31.6
187,46.68,-0.17,28.5
188,46.95,-0.16,30.7
189,47.21,-0.13,34.9
190,47.47,-0.13,31.7
191,47.73,-0.13,35.7
192,47.98,-0.12,35.0
193,48.16,-0.15,30.2
194,48.43,-0.17,29.2
195,48.69,-0.15,29.8
196,48.95,-0.17,27.6
197,49.21,-0.12,34.1
198,49.47,-0.15,31.2
199,49.73,-0.13,34.5
200,49.99,-0.13,30.8
201,50.16,-0.15,31.8
202,50.42,-0.11,34.7
203,50.68,-0.10,34.8
204,50.94,-0.10,36.8
205,51.20,-0.11,33.2
206,51.46,-0.13,29.9
207,51.73,-0.12,33.0
