Sample,Timestamp,Current Error,PID Control Signal
0,0.04,-0.01,-133.0
1,0.30,-0.01,-132.1
2,0.56,-0.01,-134.9
3,0.82,-0.01,-145.0
4,1.09,0.02,-143.2
5,1.35,0.12,-139.6
6,1.60,0.17,-117.4
7,1.86,0.21,-131.2
8,2.04,0.28,-129.5
9,2.30,0.38,-129.4
10,2.56,0.49,-114.2
11,2.83,0.63,-121.8
12,3.08,0.73,-105.0
13,3.35,0.87,-115.8
14,3.60,0.96,-104.4
15,3.86,1.12,-96.9
16,4.04,1.16,-111.5
17,4.30,1.34,-92.8
18,4.56,1.45,-94.5
19,4.81,1.61,-81.6
20,5.08,1.75,-85.5
21,5.34,1.88,-93.2
22,5.61,2.01,-80.9
23,5.78,2.05,-75.9
24,6.04,2.20,-85.8
25,6.30,2.34,-76.8
26,6.55,2.47,-67.0
27,6.81,2.58,-73.9
28,7.08,2.67,-83.0
29,7.33,2.76,-68.2
30,7.59,2.92,-67.6
31,7.85,2.99,-77.8
32,8.03,3.05,-76.2
33,8.29,3.16,-67.8
34,8.56,3.30,-70.8
35,8.82,3.37,-62.0
36,9.08,3.39,-59.8
37,9.34,3.49,-82.5
38,9.52,3.53,-88.4
39,9.78,3.58,-60.7
40,10.04,3.61,-59.8
41,10.31,3.72,-64.8
42,10.57,3.74,-81.9
43,10.82,3.71,-73.2
44,11.09,3.82,-75.2
45,11.26,3.81,-66.6
46,11.52,3.85,54.3
47,11.77,3.83,50.2
48,12.04,3.85,48.9
49,12.30,3.83,48.2
50,12.56,3.82,47.0
51,12.82,3.74,40.6
52,13.08,3.70,40.5
53,13.25,3.61,28.1
54,13.51,3.50,27.8
55,13.76,3.36,17.5
56,14.02,3.22,10.0
57,14.28,3.06,2.7
58,14.55,2.88,-1.8
59,14.81,2.67,-15.3
60,15.07,2.56,-8.6
61,15.33,2.40,-10.4
62,15.50,2.32,-10.9
63,15.76,2.08,-28.6
64,16.02,1.88,-37.9
65,16.28,1.72,-38.9
66,16.54,1.54,-40.7
67,16.79,1.38,-40.3
68,17.05,1.18,-51.9
69,17.31,1.00,-53.6
70,17.57,0.79,-64.5
71,17.75,0.70,-68.7
72,18.01,0.52,-72.5
73,18.27,0.39,-69.6
74,18.53,0.26,-72.6
75,18.79,0.05,-80.8
76,19.05,-0.09,-83.9
77,19.31,-0.17,-83.4
78,19.57,-0.32,-85.4
79,19.75,-0.35,-81.2
80,20.00,-0.46,-85.1
81,20.26,-0.60,-92.6
82,20.52,-0.66,-90.9
83,20.78,-0.74,-90.0
84,21.04,-0.79,-88.4
85,21.30,-0.82,-85.3
86,21.56,-0.90,-90.3
87,21.74,-0.95,-95.5
88,22.00,-0.98,-91.0
89,22.27,-1.01,-91.5
90,22.52,-1.03,-86.1
91,22.78,-1.01,-85.6
92,23.04,-1.03,-85.8
93,23.30,-1.04,-91.2
94,23.48,-1.03,-87.6
95,23.74,-1.01,-84.4
96,24.00,-1.00,-85.1
97,24.26,-0.93,-79.7
98,24.52,-0.92,-76.9
99,24.79,-0.87,-76.2
100,25.04,-0.78,-67.6
101,25.30,-0.73,-66.8
102,25.48,-0.71,-64.8
103,25.74,-0.62,-65.1
104,26.01,-0.51,-56.4
105,26.26,-0.43,-48.1
106,26.52,-0.38,-52.3
107,26.78,-0.33,-55.2
108,27.04,-0.23,-48.4
109,27.30,-0.12,-45.2
110,27.47,-0.11,-43.2
111,27.74,0.02,-38.1
112,28.01,0.09,-42.5
113,28.26,0.18,-33.6
114,28.52,0.24,-39.6
115,28.78,0.33,-28.8
116,28.96,0.43,-34.6
117,29.22,0.48,-24.5
118,29.48,0.52,-29.6
119,29.74,0.61,-23.5
120,30.00,0.68,-23.4
121,30.27,0.73,-26.7
122,30.53,0.84,-15.3
123,30.79,0.84,-23.5
124,30.98,0.88,-24.2
125,31.23,0.92,-17.2
126,31.49,0.95,-19.9
127,31.75,1.00,-18.5
128,32.01,1.04,-16.3
129,32.28,1.07,-19.8
130,32.53,1.11,-11.3
131,32.71,1.14,-16.7
132,32.97,1.14,-15.0
133,33.23,1.15,-18.8
134,33.49,1.12,-18.3
135,33.75,1.14,-18.5
136,34.01,1.11,-22.5
137,34.27,1.15,-20.7
138,34.45,1.15,-16.5
139,34.71,1.10,-23.4
140,34.97,1.05,-30.7
141,35.24,1.05,-24.7
142,35.51,1.01,-31.1
143,35.77,0.99,-26.8
144,36.03,0.98,-31.0
145,36.20,0.98,-23.3
146,36.47,0.92,-31.4
147,36.72,0.87,-30.0
148,36.98,0.83,-34.6
149,37.24,0.79,-34.6
150,37.49,0.76,-31.0
151,37.76,0.71,-39.3
152,38.02,0.65,-42.8
153,38.19,0.61,-40.5
154,38.45,0.57,-40.8
155,38.70,0.52,-39.9
156,38.97,0.50,-43.5
157,39.24,0.43,-46.8
158,39.50,0.38,-43.7
159,39.77,0.32,-53.4
160,39.93,0.33,-40.7
161,40.19,0.27,-47.4
162,40.46,0.21,-51.8
163,40.72,0.20,-52.6
164,40.98,0.17,-47.9
165,41.23,0.10,-49.2
166,41.50,0.10,-52.3
167,41.76,0.05,-57.2
168,41.93,0.04,-49.2
169,42.19,-0.01,-54.2
170,42.45,-0.01,-54.7
171,42.71,0.00,-49.9
172,42.98,-0.06,-59.2
173,43.24,-0.05,-56.6
174,43.50,-0.04,-49.7
175,43.67,-0.05,-46.6
176,43.93,-0.10,-51.1
177,44.20,-0.09,-57.4
178,44.45,-0.06,-50.5
179,44.72,-0.09,-50.9
180,44.98,-0.10,-54.8
181,45.24,-0.05,-46.7
182,45.50,-0.05,-47.6
183,45.68,-0.09,-51.8
184,45.94,-0.09,-48.7
185,46.20,-0.05,-50.3
186,46.46,-0.01,-41.7
187,46.72,0.04,-36.7
188,46.99,-0.01,-52.8
189,47.25,0.04,-46.9
190,47.42,0.01,-48.9
191,47.68,0.06,-40.4
192,47.94,0.10,-38.8
193,48.20,0.07,-43.5
194,48.46,0.10,-41.4
195,48.71,0.11,-45.0
196,48.97,0.15,-38.5
197,49.23,0.13,-42.0
198,49.49,0.13,-45.9
199,49.68,0.18,-43.2
200,49.94,0.18,-40.9
201,50.20,0.20,-38.3
202,50.46,0.21,-44.4
203,50.72,0.24,-33.5
204,50.98,0.23,-43.1
205,51.15,0.26,-35.7
206,51.42,0.27,-41.1
207,51.68,0.26,-36.0
208,51.94,0.31,-39.0
209,52.20,0.31,-35.8
210,52.46,0.32,-36.2
211,52.72,0.31,-36.9
212,52.90,0.29,-38.5
213,53.16,0.28,-44.6
214,53.42,0.29,-37.0
215,53.68,0.37,-27.6
216,53.94,0.33,-38.9
217,54.20,0.35,-32.8
218,54.46,0.33,-35.2
219,54.72,0.34,-37.4
220,54.98,0.32,-39.3
221,55.15,0.35,-32.0
222,55.41,0.34,-35.4
223,55.67,0.33,-34.8
224,55.94,0.33,-39.1
225,56.19,0.29,-40.6
226,56.46,0.31,-33.9
227,56.71,0.29,-38.2
228,56.89,0.27,-42.8
229,57.15,0.31,-39.9
230,57.41,0.26,-42.6
231,57.67,0.26,-40.8
