Sample,Timestamp,Current Error,PID Control Signal
0,0.06,0.00,-1.1
1,1.71,0.00,-2.0
2,3.39,0.01,-1.7
3,5.04,-0.04,-4.1
4,6.77,-0.02,-2.8
5,8.44,0.00,-1.1
6,10.10,0.01,-0.8
7,11.74,0.00,-3.9
8,13.39,0.02,0.5
9,15.07,-0.01,-3.3
10,16.75,0.00,-2.0
11,18.40,-0.01,-3.3
12,20.07,-0.02,-5.5
13,21.73,0.00,-1.1
14,23.41,-0.02,-2.8
15,25.05,0.00,-2.0
16,26.72,0.02,2.4
17,28.37,-0.01,-3.3
18,30.09,0.00,-3.9
19,31.75,-0.01,-3.3
20,33.40,0.02,1.5
21,35.06,0.05,2.2
22,36.79,0.02,0.6
23,38.44,0.02,3.4
24,40.11,-0.01,-2.4
25,41.75,0.00,-0.1
26,43.44,0.01,-1.6
27,45.09,0.04,3.8
28,46.73,0.00,-2.0
29,48.39,0.01,-0.8
30,50.11,-0.01,-2.4
31,51.74,-0.02,-4.7
32,53.37,-0.04,-6.9
33,55.05,-0.02,-4.6
34,56.78,0.01,-1.7
35,58.43,-0.01,-4.3
36,60.11,0.02,2.3
37,61.75,0.02,0.5
38,63.40,0.00,-2.1
39,65.07,0.01,0.2
40,66.75,-0.02,-6.4
41,68.39,0.04,-0.0
42,70.05,0.00,-2.1
43,71.77,0.00,-3.0
44,73.46,-0.02,-4.6
45,75.10,-0.01,-5.2
46,76.78,0.01,1.0
47,78.44,0.01,-3.6
48,80.09,-0.01,-5.2
49,81.77,0.00,-3.0
50,83.41,0.00,-3.0
51,85.08,0.01,-1.7
52,86.75,-0.02,-6.5
53,88.40,0.00,-3.9
54,90.12,0.00,0.7
55,91.77,-0.01,-2.5
56,93.43,0.02,1.4
57,95.09,0.02,2.4
58,96.75,-0.01,-3.4
59,98.40,-0.04,-3.2
60,100.07,0.00,-3.0
61,101.72,0.02,-0.4
62,103.45,-0.02,-6.5
63,105.09,0.00,-4.0
64,106.73,0.00,-1.1
65,108.38,0.01,0.1
66,110.04,0.01,-1.7
67,111.78,-0.04,-5.9
68,113.44,0.02,4.2
69,115.10,-0.01,-1.5
70,116.75,-0.01,-4.3
71,118.45,0.01,0.2
72,120.04,-0.04,-5.0
73,121.77,0.00,-5.8
74,123.41,0.01,1.0
75,125.07,-0.01,-4.3
76,126.74,-0.02,-3.7
77,128.43,0.00,-3.0
78,130.10,-0.01,-4.3
79,131.77,-0.01,-3.4
80,133.40,-0.01,-3.4
81,135.05,0.00,-2.1
82,136.71,0.00,-1.2
83,138.43,-0.01,-4.3
84,140.09,-0.01,-3.3
85,141.76,0.02,0.5
86,143.39,0.01,-1.7
87,145.11,0.01,-1.7
88,146.76,-0.01,-2.4
89,148.41,-0.01,-3.4
90,150.08,0.02,-0.4
91,151.72,0.01,0.1
92,153.45,-0.02,-4.6
93,155.11,0.01,-0.8
94,156.74,0.02,0.6
95,158.40,-0.01,-3.3
96,160.11,0.00,-0.2
97,161.76,-0.02,-4.6
98,163.41,0.00,-3.0
99,165.08,0.00,-4.8
100,166.73,-0.02,-3.7
101,168.42,-0.02,-5.5
102,170.07,0.01,0.1
103,171.72,-0.01,-3.4
104,173.44,0.01,-1.7
105,175.09,0.01,1.1
106,176.75,0.02,-0.4
107,178.42,-0.02,-5.5
108,180.08,0.02,4.2
109,181.72,-0.02,-4.7
110,183.38,-0.01,-1.5
111,185.10,-0.01,-3.4
112,186.76,-0.01,-4.3
113,188.41,0.02,-0.4
114,190.07,0.01,-0.8
115,191.75,0.00,-3.9
116,193.39,0.00,-2.1
117,195.06,0.01,-1.7
118,196.71,-0.02,-7.5
119,198.38,-0.01,-5.2
120,200.08,0.02,1.5
121,201.74,-0.02,-3.7
122,203.41,0.00,-3.9
123,205.09,0.01,-1.7
124,206.73,0.00,-2.1
125,208.40,-0.01,-5.2
126,210.06,0.00,-3.0
127,211.71,0.01,-0.7
128,213.45,0.01,-0.8
129,215.09,-0.01,-4.3
130,216.74,-0.01,-3.3
131,218.38,-0.01,-3.3
132,220.11,-0.02,-3.7
133,221.76,0.01,-1.7
134,223.41,0.00,-2.0
135,225.07,0.02,3.3
136,226.72,0.01,-1.7
137,228.45,-0.01,-4.3
138,230.08,0.00,-1.1
139,231.73,0.01,0.2
140,233.38,-0.04,-8.7
141,235.11,0.01,-0.7
142,236.77,-0.01,-2.4
143,238.43,-0.01,-1.5
144,240.08,0.02,1.4
145,241.75,0.00,-1.1
146,243.41,0.00,-6.6
147,245.07,0.01,-3.5
148,246.73,0.04,1.9
149,248.38,0.00,-0.2
150,250.05,-0.04,-4.1
151,251.78,-0.02,-5.6
152,253.42,0.01,0.2
153,255.05,-0.01,-4.3
154,256.78,0.02,2.4
155,258.43,-0.02,-4.6
156,260.07,0.01,0.2
157,261.72,0.01,0.2
158,263.37,0.01,2.0
159,265.11,-0.04,-7.8
160,266.77,-0.02,-5.6
161,268.42,-0.01,-4.2
162,270.09,0.00,-1.1
163,271.75,0.02,-1.3
164,273.43,0.00,-3.0
165,275.06,0.00,-3.0
166,276.71,-0.02,-4.6
167,278.44,-0.02,-5.6
168,280.08,0.00,-2.0
169,281.75,-0.01,-3.3
170,283.39,0.01,-0.7
171,285.04,0.00,-1.1
172,286.76,0.00,-1.1
173,288.42,0.00,-2.0
174,290.05,0.02,3.3
175,291.77,0.02,2.4
176,293.43,-0.01,-3.3
177,295.10,0.00,-4.8
178,296.77,0.01,-1.7
179,298.42,-0.01,-2.4
180,300.07,-0.02,-5.5
181,301.73,-0.04,-6.9
182,303.38,-0.01,-4.3
183,305.10,0.00,-1.1
