Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.01,151.1
1,0.13,0.02,183.5
2,0.22,0.04,171.8
3,0.31,0.00,168.6
4,0.41,-0.01,181.1
5,0.50,0.01,171.2
6,0.59,0.02,187.2
7,0.68,0.02,167.1
8,0.77,0.00,169.6
9,0.86,-0.02,167.0
10,0.95,-0.04,165.8
11,1.03,-0.02,170.1
12,1.12,-0.05,165.0
13,1.22,-0.07,174.6
14,1.31,-0.09,168.8
15,1.40,-0.12,161.5
16,1.49,-0.11,165.1
17,1.58,-0.12,175.1
18,1.67,-0.20,156.1
19,1.75,-0.27,148.6
20,1.84,-0.27,159.9
21,1.93,-0.31,154.1
22,2.02,-0.34,147.5
23,2.11,-0.37,148.2
24,2.20,-0.40,148.8
25,2.29,-0.45,145.4
26,2.38,-0.49,147.5
27,2.47,-0.52,149.6
28,2.55,-0.56,133.4
29,2.64,-0.56,149.8
30,2.73,-0.61,148.0
31,2.82,-0.68,143.1
32,2.91,-0.70,140.5
33,3.00,-0.72,146.6
34,3.09,-0.76,146.1
35,3.18,-0.82,147.9
36,3.27,-0.84,139.6
37,3.35,-0.88,141.1
38,3.45,-0.89,153.2
39,3.54,-0.89,173.5
40,3.63,-0.96,148.8
41,3.72,-1.03,140.4
42,3.81,-1.04,137.8
43,3.90,-1.06,144.6
44,3.99,-1.14,144.4
45,4.08,-1.21,135.6
46,4.17,-1.26,127.4
47,4.26,-1.28,130.0
48,4.35,-1.31,128.5
49,4.43,-1.35,128.4
50,4.53,-1.38,151.6
51,4.62,-1.44,123.8
52,4.70,-1.46,131.6
53,4.79,-1.49,130.1
54,4.88,-1.55,132.8
55,4.97,-1.55,135.0
56,5.06,-1.59,133.6
57,5.15,-1.67,124.4
58,5.24,-1.72,121.5
59,5.33,-1.77,126.2
60,5.42,-1.79,126.0
61,5.51,-1.81,127.1
62,5.60,-1.84,133.1
63,5.68,-1.87,121.5
64,5.77,-1.90,125.8
65,5.86,-1.88,134.8
66,5.95,-1.88,138.8
67,6.04,-1.97,134.1
68,6.13,-2.01,126.6
69,6.22,-2.05,129.1
70,6.31,-2.08,129.8
71,6.40,-2.10,129.5
72,6.49,-2.14,124.1
73,6.58,-2.15,136.6
74,6.67,-2.16,125.9
75,6.76,-2.21,132.5
76,6.85,-2.23,124.1
77,6.93,-2.27,128.4
78,7.02,-2.28,124.4
79,7.11,-2.27,132.8
80,7.20,-2.29,133.4
81,7.29,-2.34,129.8
82,7.38,-2.37,123.6
83,7.47,-2.40,123.8
84,7.55,-2.44,117.3
85,7.64,-2.47,133.0
86,7.73,-2.48,128.1
87,7.82,-2.49,121.4
88,7.91,-2.53,124.9
89,8.00,-2.53,134.0
90,8.09,-2.56,127.4
91,8.18,-2.58,124.2
92,8.27,-2.56,128.4
93,8.35,-2.61,125.7
94,8.44,-2.67,125.9
95,8.54,-2.66,144.4
96,8.63,-2.64,134.1
97,8.71,-2.69,124.4
98,8.80,-2.71,125.0
99,8.89,-2.70,132.8
100,8.98,-2.71,136.4
101,9.07,-2.71,135.0
102,9.16,-2.76,129.6
103,9.25,-2.77,127.9
104,9.34,-2.80,129.4
105,9.43,-2.81,132.1
106,9.52,-2.81,134.2
107,9.61,-2.84,141.0
108,9.70,-2.87,123.8
109,9.79,-2.87,129.5
110,9.88,-2.88,137.5
111,9.96,-2.92,129.9
112,10.05,-2.94,124.2
113,10.14,-2.93,126.7
114,10.23,-2.95,124.6
115,10.32,-2.95,138.4
116,10.41,-2.97,133.9
117,10.50,-2.98,127.8
118,10.59,-2.98,145.4
119,10.68,-3.00,135.0
120,10.77,-3.03,134.6
121,10.86,-3.03,134.2
122,10.95,-3.05,134.0
123,11.03,-3.08,126.5
124,11.12,-3.08,133.1
125,11.21,-3.06,135.8
