Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.01,88.2
1,0.55,0.04,101.8
2,1.06,-0.01,88.9
3,1.58,-0.09,87.9
4,2.09,-0.13,85.3
5,2.60,-0.21,89.3
6,3.12,-0.29,92.1
7,3.55,-0.37,91.6
8,4.06,-0.40,85.7
9,4.57,-0.49,91.9
10,5.09,-0.57,79.9
11,5.61,-0.59,90.2
12,6.04,-0.66,94.1
13,6.56,-0.71,92.8
14,7.07,-0.72,92.2
15,7.59,-0.77,97.2
16,8.11,-0.87,96.2
17,8.55,-0.90,83.7
18,9.07,-0.96,87.9
19,9.58,-1.03,93.6
20,10.09,-1.05,91.4
21,10.61,-1.11,88.2
22,11.04,-1.16,94.4
23,11.56,-1.21,97.8
24,12.08,-1.27,84.3
25,12.59,-1.32,87.8
26,13.10,-1.32,91.9
27,13.61,-1.40,85.4
28,14.05,-1.43,96.4
29,14.56,-1.42,105.1
30,15.09,-1.43,100.5
31,15.60,-1.45,107.1
32,16.04,-1.46,103.7
33,16.56,-1.49,109.7
34,17.08,-1.48,102.1
35,17.59,-1.46,104.8
36,18.11,-1.46,106.3
37,18.54,-1.48,114.0
38,19.06,-1.53,110.4
39,19.57,-1.50,110.8
40,20.07,-1.50,106.8
41,20.59,-1.49,115.7
42,21.11,-1.45,125.6
43,21.54,-1.46,122.9
44,22.05,-1.43,133.1
45,22.57,-1.38,121.6
46,23.08,-1.33,142.4
47,23.61,-1.32,136.9
48,24.04,-1.22,129.4
49,24.55,-1.16,138.4
50,25.06,-1.16,64.1
51,25.57,-1.00,70.4
52,26.09,-0.94,74.9
53,26.60,-0.83,80.3
54,27.12,-0.74,86.7
55,27.55,-0.62,85.9
56,28.07,-0.51,93.9
57,28.58,-0.51,88.4
58,29.10,-0.44,92.1
59,29.54,-0.38,93.8
60,30.05,-0.37,87.9
61,30.56,-0.27,89.1
62,31.08,-0.28,88.4
63,31.60,-0.20,99.4
64,32.11,-0.17,100.0
65,32.55,-0.15,95.4
66,33.06,-0.09,97.4
67,33.58,-0.06,93.9
68,34.10,-0.10,86.5
69,34.62,0.02,98.2
70,35.05,0.02,98.0
71,35.57,0.11,102.5
72,36.10,0.11,99.8
73,36.61,0.18,102.2
74,37.04,0.21,104.7
75,37.56,0.20,105.9
76,38.08,0.24,107.4
77,38.61,0.28,111.4
78,39.04,0.26,100.5
79,39.56,0.28,109.8
80,40.07,0.28,101.4
81,40.58,0.28,104.1
82,41.11,0.27,104.8
83,41.54,0.24,108.4
84,42.05,0.24,106.8
85,42.56,0.20,98.6
86,43.08,0.21,105.9
87,43.61,0.17,102.4
88,44.04,0.17,100.8
89,44.56,0.17,105.1
90,45.07,0.15,99.4
91,45.59,0.15,103.9
92,46.11,0.06,91.6
