Sample,Timestamp,Current Error,PID Control Signal
0,0.05,0.73,104.8
1,1.79,0.72,100.7
2,3.46,0.71,101.2
3,5.10,0.71,99.4
4,6.78,0.72,101.6
5,8.43,0.74,104.2
6,10.06,0.70,98.1
7,11.73,0.72,101.6
8,13.41,0.73,102.9
9,15.08,0.71,100.3
10,16.78,0.73,102.0
11,18.44,0.68,94.1
12,20.10,0.68,97.7
13,21.73,0.70,99.9
14,23.43,0.72,100.7
15,25.09,0.72,101.6
16,26.76,0.72,100.7
17,28.41,0.71,100.3
18,30.08,0.73,102.9
19,31.74,0.72,101.6
20,33.41,0.71,99.4
21,35.07,0.72,103.5
22,36.72,0.73,102.0
23,38.38,0.73,104.8
24,40.10,0.73,103.8
25,41.76,0.71,98.5
26,43.42,0.72,101.6
27,45.08,0.72,100.7
28,46.74,0.74,104.1
29,48.45,0.70,99.0
30,50.12,0.73,104.8
31,51.77,0.73,100.1
32,53.42,0.70,98.1
33,55.07,0.72,101.6
34,56.72,0.73,102.0
35,58.39,0.71,100.3
36,60.07,0.71,100.3
37,61.74,0.72,102.6
38,63.38,0.72,100.7
39,65.09,0.73,102.9
40,66.74,0.73,102.9
41,68.39,0.72,103.4
42,70.12,0.73,104.8
43,71.71,0.71,100.3
44,73.44,0.72,102.6
45,75.11,0.71,99.4
46,76.71,0.71,102.1
47,78.42,0.76,107.4
48,80.06,0.71,99.4
49,81.72,0.70,97.2
50,83.45,0.70,99.0
51,85.11,0.72,102.5
52,86.77,0.72,100.7
53,88.45,0.72,104.3
54,90.04,0.70,100.0
55,91.75,0.71,101.2
56,93.40,0.70,99.9
57,95.12,0.71,101.2
58,96.78,0.73,104.7
59,98.42,0.72,102.5
60,100.08,0.71,103.1
61,101.74,0.71,101.2
62,103.39,0.71,101.2
63,105.10,0.74,105.2
64,106.77,0.74,104.2
65,108.43,0.73,102.9
66,110.10,0.72,103.4
67,111.76,0.68,98.7
68,113.43,0.72,101.6
69,115.10,0.73,104.7
70,116.74,0.71,101.2
71,118.41,0.71,102.1
72,120.07,0.72,100.7
