Sample,Timestamp,Current Error,PID Control Signal
0,0.04,0.00,16.2
1,1.07,-0.04,16.9
2,2.09,-0.07,20.3
3,3.10,-0.12,18.4
4,4.11,-0.13,22.3
5,5.06,-0.12,27.3
6,6.07,-0.12,25.7
7,7.08,-0.10,27.0
8,8.04,-0.06,2.9
9,9.04,-0.04,3.4
10,10.07,0.07,9.4
11,11.11,0.22,18.4
12,12.05,0.29,16.8
13,13.07,0.38,21.3
14,14.10,0.42,17.9
15,15.05,0.48,21.3
16,16.08,0.55,24.4
17,17.08,0.56,27.2
18,18.11,0.51,20.2
19,19.07,0.59,27.0
20,20.08,0.57,24.5
21,21.11,0.56,25.4
22,22.07,0.56,28.1
23,23.09,0.52,26.0
24,24.12,0.39,14.9
25,25.07,0.38,19.7
26,26.09,0.24,14.6
27,27.04,0.20,10.6
28,28.12,0.17,16.1
29,29.06,0.12,11.7
30,30.08,0.17,21.6
31,31.12,0.09,9.5
32,32.08,0.15,18.6
33,33.10,0.15,16.1
34,34.05,0.12,14.8
35,35.06,0.13,14.6
36,36.07,0.12,13.1
37,37.11,0.13,17.1
38,38.06,0.15,18.3
39,39.09,0.15,14.2
40,40.12,0.16,18.1
41,41.07,0.20,19.3
42,42.09,0.21,20.2
43,43.11,0.23,19.4
44,44.06,0.20,19.1
45,45.08,0.24,23.2
46,46.11,0.21,22.1
47,47.07,0.15,15.8
48,48.10,0.12,17.0
49,49.04,0.11,18.2
50,50.08,0.01,10.0
51,51.11,0.01,15.9
52,52.04,0.00,12.5
53,53.07,0.01,12.0
54,54.08,0.07,18.5
55,55.10,0.10,19.2
56,56.12,0.11,20.0
57,57.05,0.12,18.0
58,58.08,0.10,19.5
59,59.10,0.07,13.5
60,60.10,0.04,11.3
61,61.11,0.04,16.0
62,62.04,0.02,13.3
63,63.05,0.00,11.5
64,64.07,0.02,15.1
65,65.07,0.01,15.5
66,66.09,0.07,21.7
67,67.12,0.09,22.3
68,68.06,0.06,17.3
69,69.07,0.10,19.2
70,70.09,0.09,18.7
71,71.11,0.07,16.8
72,72.05,0.01,13.0
73,73.06,0.00,12.9
74,74.08,0.02,16.6
75,75.10,-0.01,13.0
76,76.11,-0.04,12.0
77,77.04,-0.05,11.2
78,78.06,0.02,22.0
79,79.07,0.07,24.1
80,80.09,0.07,20.3
81,81.11,0.05,15.5
82,82.04,0.07,16.2
83,83.06,0.05,15.7
84,84.08,0.05,16.4
85,85.10,-0.01,11.2
86,86.12,0.01,15.4
87,87.05,-0.02,11.8
88,88.06,-0.05,11.0
89,89.07,-0.01,15.7
90,90.07,-0.01,16.4
91,91.08,-0.05,9.6
92,92.10,0.02,21.4
93,93.11,0.00,18.3
94,94.06,0.02,15.7
95,95.06,0.07,23.6
96,96.09,0.02,15.0
97,97.10,0.00,11.4
98,98.11,0.00,15.0
99,99.06,0.01,17.5
100,100.06,-0.02,11.8
101,101.06,-0.02,14.7
102,102.08,-0.06,13.3
103,103.10,-0.02,15.5
104,104.04,-0.04,9.0
105,105.06,0.01,14.4
106,106.08,0.04,17.1
107,107.10,0.06,19.2
108,108.12,0.05,18.4
109,109.08,0.01,12.0
110,110.10,0.02,13.3
111,111.11,0.04,15.3
112,112.05,-0.02,9.9
113,113.06,-0.01,14.1
114,114.08,-0.04,8.3
115,115.10,0.00,20.0
116,116.11,-0.01,16.8
117,117.05,0.05,18.6
118,118.07,0.02,22.8
119,119.10,0.06,19.7
120,120.12,0.00,12.9
121,121.05,0.04,19.7
122,122.07,0.04,18.2
123,123.10,0.00,16.4
124,124.12,0.00,15.5
125,125.05,-0.01,17.0
126,126.06,-0.05,14.4
127,127.08,0.00,19.9
128,128.09,-0.09,10.7
129,129.04,0.00,18.7
130,130.06,-0.01,12.9
131,131.08,0.04,19.0
132,132.09,0.02,16.9
133,133.10,0.04,19.6
134,134.04,0.04,18.3
135,135.06,0.02,16.9
136,136.07,0.01,16.7
137,137.08,-0.01,13.3
138,138.09,-0.02,12.7
139,139.11,-0.05,11.7
140,140.11,-0.07,10.4
141,141.04,-0.04,14.0
142,142.05,0.04,20.8
143,143.07,0.00,15.3
144,144.08,0.00,13.6
145,145.10,0.01,13.1
146,146.12,0.05,20.3
147,147.05,0.00,16.8
148,148.07,-0.01,13.2
