Sample,Timestamp,Current Error,PID Control Signal
0,0.05,-0.74,-105.1
1,1.74,-0.72,-100.7
2,3.39,-0.72,-98.9
3,5.08,-0.70,-96.3
4,6.75,-0.74,-102.3
5,8.42,-0.72,-101.6
6,10.06,-0.68,-94.9
7,11.74,-0.72,-98.9
8,13.42,-0.68,-95.9
9,15.10,-0.72,-100.7
10,16.78,-0.72,-103.4
11,18.39,-0.72,-98.9
12,20.05,-0.70,-99.9
13,21.75,-0.73,-101.1
14,23.42,-0.77,-106.8
15,25.07,-0.70,-97.1
16,26.73,-0.72,-98.8
17,28.38,-0.71,-99.4
18,30.07,-0.73,-101.1
19,31.73,-0.73,-102.9
20,33.39,-0.73,-102.9
21,35.05,-0.72,-101.6
22,36.72,-0.77,-104.0
23,38.42,-0.74,-104.1
24,40.09,-0.73,-101.1
25,41.75,-0.79,-109.3
26,43.46,-0.74,-103.2
27,45.09,-0.76,-107.2
28,46.73,-0.74,-102.3
29,48.39,-0.70,-96.2
30,50.05,-0.74,-103.2
31,51.75,-0.74,-105.1
32,53.42,-0.72,-102.5
33,55.09,-0.76,-104.5
34,56.74,-0.74,-102.3
35,58.40,-0.76,-105.4
36,60.08,-0.71,-100.3
37,61.76,-0.73,-100.1
38,63.40,-0.73,-102.9
39,65.09,-0.73,-105.6
40,66.77,-0.77,-109.4
41,68.44,-0.72,-99.8
42,70.12,-0.72,-101.6
43,71.78,-0.72,-100.7
44,73.38,-0.71,-100.3
45,75.05,-0.72,-100.7
46,76.72,-0.71,-98.5
47,78.41,-0.73,-104.7
48,80.09,-0.72,-99.8
49,81.73,-0.74,-103.2
50,83.39,-0.73,-101.1
51,85.05,-0.72,-100.7
52,86.74,-0.72,-102.5
53,88.42,-0.71,-101.2
54,90.07,-0.72,-100.7
55,91.79,-0.71,-99.4
56,93.45,-0.72,-101.6
57,95.04,-0.74,-105.1
58,96.78,-0.72,-101.6
59,98.41,-0.73,-102.9
60,100.06,-0.71,-100.3
61,101.76,-0.73,-102.9
62,103.42,-0.71,-95.7
63,105.08,-0.73,-102.9
64,106.74,-0.76,-104.5
65,108.39,-0.72,-102.6
66,110.06,-0.73,-102.9
67,111.71,-0.73,-102.9
68,113.37,-0.76,-105.4
69,115.12,-0.71,-101.2
70,116.71,-0.76,-105.4
71,118.39,-0.74,-105.1
72,120.06,-0.74,-102.3
73,121.72,-0.71,-98.5
74,123.40,-0.73,-102.0
75,125.07,-0.74,-103.2
76,126.72,-0.74,-102.3
77,128.45,-0.74,-104.2
78,130.10,-0.72,-101.6
79,131.78,-0.71,-99.4
80,133.45,-0.71,-99.4
81,135.11,-0.74,-104.2
82,136.76,-0.72,-102.5
83,138.40,-0.74,-103.2
84,140.04,-0.74,-104.2
85,141.76,-0.70,-98.1
86,143.43,-0.71,-99.4
87,145.11,-0.71,-99.4
88,146.78,-0.70,-98.1
89,148.41,-0.70,-96.2
90,150.07,-0.74,-103.2
91,151.74,-0.73,-104.7
92,153.41,-0.71,-100.3
93,155.07,-0.73,-100.1
94,156.74,-0.71,-100.3
95,158.40,-0.74,-102.3
96,160.06,-0.72,-97.9
97,161.78,-0.73,-101.0
98,163.44,-0.72,-98.8
99,165.07,-0.74,-102.3
100,166.73,-0.74,-104.2
101,168.40,-0.72,-100.7
102,170.08,-0.74,-104.2
103,171.71,-0.68,-96.8
104,173.40,-0.74,-102.3
105,175.05,-0.73,-102.0
106,176.73,-0.74,-104.2
107,178.40,-0.72,-100.7
108,180.05,-0.72,-100.7
109,181.74,-0.73,-101.1
110,183.39,-0.70,-98.1
111,185.06,-0.77,-105.8
112,186.72,-0.74,-103.2
113,188.45,-0.74,-106.0
114,190.11,-0.74,-103.2
115,191.74,-0.71,-97.5
116,193.40,-0.77,-104.9
117,195.09,-0.72,-101.6
118,196.73,-0.74,-102.3
119,198.40,-0.72,-101.6
120,200.05,-0.71,-99.4
121,201.71,-0.74,-103.2
122,203.43,-0.71,-97.5
123,205.10,-0.71,-99.4
124,206.74,-0.72,-100.7
125,208.40,-0.77,-107.7
126,210.08,-0.72,-100.7
127,211.73,-0.72,-100.7
128,213.40,-0.76,-104.6
